PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF
2014-01-01,45,43,37
2014-01-02,52,46,43
2014-01-03,48,43,37
2014-01-04,46,39,34
2014-01-05,46,39,30
2014-01-06,46,39,30
2014-01-07,46,45,41
2014-01-08,50,48,45
2014-01-09,48,46,43
2014-01-10,55,52,46
2014-01-11,57,52,45
2014-01-12,52,46,43
2014-01-13,52,52,50
2014-01-14,52,48,45
2014-01-15,52,46,43
2014-01-16,45,43,39
2014-01-17,43,39,37
2014-01-18,48,41,34
2014-01-19,43,41,37
2014-01-20,50,45,37
2014-01-21,50,43,36
2014-01-22,48,46,43
2014-01-23,50,45,37
2014-01-24,55,45,34
2014-01-25,54,45,34
2014-01-26,46,39,34
2014-01-27,48,43,36
2014-01-28,52,48,43
2014-01-29,52,48,45
2014-01-30,46,45,43
2014-01-31,46,45,43
2014-02-01,46,43,37
2014-02-02,48,41,34
2014-02-03,41,37,32
2014-02-04,37,34,28
2014-02-05,30,27,21
2014-02-06,28,25,21
2014-02-07,37,30,23
2014-02-08,43,37,30
2014-02-09,39,36,32
2014-02-10,50,43,36
2014-02-11,54,48,43
2014-02-12,54,50,45
2014-02-13,55,52,46
2014-02-14,54,48,43
2014-02-15,52,46,41
2014-02-16,48,45,39
2014-02-17,46,45,39
2014-02-18,48,45,41
2014-02-19,46,43,39
2014-02-20,50,46,43
2014-02-21,45,43,39
2014-02-22,43,39,37
2014-02-23,45,43,39
2014-02-24,45,41,37
2014-02-25,54,46,39
2014-02-26,57,50,43
2014-02-27,55,48,39
2014-02-28,57,48,39
2014-03-01,45,43,39
2014-03-02,52,45,37
2014-03-03,57,54,48
2014-03-04,57,52,46
2014-03-05,61,55,52
2014-03-06,55,54,50
2014-03-07,61,54,48
2014-03-08,55,50,45
2014-03-09,59,54,48
2014-03-10,54,48,43
2014-03-11,57,48,39
2014-03-12,61,50,37
2014-03-13,57,48,41
2014-03-14,57,54,46
2014-03-15,63,52,39
2014-03-16,52,46,39
2014-03-17,50,45,37
2014-03-18,50,45,37
2014-03-19,52,45,37
2014-03-20,52,45,36
2014-03-21,52,45,37
2014-03-22,52,43,34
2014-03-23,55,48,39
2014-03-24,66,52,37
2014-03-25,57,52,45
2014-03-26,52,46,43
2014-03-27,54,48,45
2014-03-28,54,48,45
2014-03-29,54,48,45
2014-03-30,52,46,41
2014-03-31,61,48,36
2014-04-01,57,52,45
2014-04-02,57,50,43
2014-04-03,55,50,43
2014-04-04,55,48,43
2014-04-05,54,50,46
2014-04-06,57,52,46
2014-04-07,70,61,48
2014-04-08,61,54,46
2014-04-09,57,52,45
2014-04-10,59,52,45
2014-04-11,63,52,41
2014-04-12,61,54,46
2014-04-13,70,55,43
2014-04-14,68,55,43
2014-04-15,57,52,46
2014-04-16,52,50,48
2014-04-17,54,48,45
2014-04-18,57,50,43
2014-04-19,54,48,43
2014-04-20,61,52,43
2014-04-21,63,55,46
2014-04-22,54,48,41
2014-04-23,54,48,43
2014-04-24,57,50,43
2014-04-25,57,50,43
2014-04-26,59,52,43
2014-04-27,52,48,43
2014-04-28,61,52,39
2014-04-29,77,63,48
2014-04-30,82,66,48
2014-05-01,84,70,52
2014-05-02,64,57,52
2014-05-03,59,54,48
2014-05-04,57,54,48
2014-05-05,61,55,48
2014-05-06,63,55,46
2014-05-07,64,55,45
2014-05-08,57,54,48
2014-05-09,55,52,45
2014-05-10,61,54,45
2014-05-11,66,57,46
2014-05-12,75,63,48
2014-05-13,81,68,55
2014-05-14,82,70,55
2014-05-15,81,68,55
2014-05-16,68,61,54
2014-05-17,68,61,54
2014-05-18,68,61,52
2014-05-19,70,61,50
2014-05-20,72,61,50
2014-05-21,68,61,52
2014-05-22,75,64,54
2014-05-23,68,63,55
2014-05-24,64,59,52
2014-05-25,59,55,52
2014-05-26,64,59,52
2014-05-27,68,59,50
2014-05-28,66,57,50
2014-05-29,66,59,52
2014-05-30,70,59,48
2014-05-31,73,63,50
2014-06-01,72,63,52
2014-06-02,73,63,52
2014-06-03,64,59,52
2014-06-04,66,59,50
2014-06-05,72,61,50
2014-06-06,77,64,52
2014-06-07,75,66,55
2014-06-08,73,64,54
2014-06-09,70,63,55
2014-06-10,68,61,54
2014-06-11,75,64,52
2014-06-12,72,63,54
2014-06-13,61,55,52
2014-06-14,64,59,54
2014-06-15,64,57,50
2014-06-16,64,55,48
2014-06-17,64,57,50
2014-06-18,66,59,52
2014-06-19,79,66,54
2014-06-20,68,59,50
2014-06-21,72,63,52
2014-06-22,77,64,52
2014-06-23,77,66,55
2014-06-24,75,66,57
2014-06-25,79,68,57
2014-06-26,70,64,57
2014-06-27,70,64,57
2014-06-28,68,63,55
2014-06-29,70,63,55
2014-06-30,79,66,55
2014-07-01,93,77,61
2014-07-02,81,70,57
2014-07-03,72,64,57
2014-07-04,75,66,57
2014-07-05,75,66,55
2014-07-06,84,72,59
2014-07-07,81,73,64
2014-07-08,86,73,61
2014-07-09,81,70,57
2014-07-10,84,70,55
2014-07-11,88,73,59
2014-07-12,90,75,63
2014-07-13,84,72,59
2014-07-14,82,72,59
2014-07-15,88,73,57
2014-07-16,88,73,57
2014-07-17,81,70,57
2014-07-18,75,64,54
2014-07-19,79,70,59
2014-07-20,66,63,57
2014-07-21,75,66,55
2014-07-22,70,63,55
2014-07-23,66,61,55
2014-07-24,70,63,55
2014-07-25,73,64,54
2014-07-26,79,68,55
2014-07-27,82,72,59
2014-07-28,88,73,59
2014-07-29,86,73,61
2014-07-30,84,72,57
2014-07-31,88,75,64
2014-08-01,84,72,59
2014-08-02,84,73,61
2014-08-03,90,73,57
2014-08-04,91,75,61
2014-08-05,77,66,57
2014-08-06,79,70,59
2014-08-07,79,66,55
2014-08-08,79,66,55
2014-08-09,81,72,61
2014-08-10,88,72,57
2014-08-11,97,81,64
2014-08-12,81,72,63
2014-08-13,73,66,59
2014-08-14,70,66,63
2014-08-15,75,70,63
2014-08-16,79,70,61
2014-08-17,82,72,59
2014-08-18,84,73,61
2014-08-19,81,72,61
2014-08-20,72,64,57
2014-08-21,70,61,52
2014-08-22,75,66,55
2014-08-23,82,70,57
2014-08-24,77,66,55
2014-08-25,84,72,57
2014-08-26,88,73,61
2014-08-27,84,73,61
2014-08-28,73,66,57
2014-08-29,73,66,59
2014-08-30,64,63,59
2014-08-31,70,64,57
2014-09-01,73,64,55
2014-09-02,68,63,57
2014-09-03,70,63,55
2014-09-04,75,64,52
2014-09-05,82,70,57
2014-09-06,90,75,59
2014-09-07,82,70,55
2014-09-08,70,63,55
2014-09-09,72,64,55
2014-09-10,72,63,54
2014-09-11,75,66,55
2014-09-12,75,66,55
2014-09-13,82,66,50
2014-09-14,86,70,54
2014-09-15,88,72,54
2014-09-16,72,64,57
2014-09-17,73,66,57
2014-09-18,66,63,59
2014-09-19,75,68,61
2014-09-20,75,66,57
2014-09-21,79,66,55
2014-09-22,72,66,59
2014-09-23,66,63,57
2014-09-24,66,63,57
2014-09-25,72,64,57
2014-09-26,68,63,57
2014-09-27,70,61,54
2014-09-28,66,61,54
2014-09-29,63,57,52
2014-09-30,66,61,54
2014-10-01,64,59,52
2014-10-02,66,59,50
2014-10-03,72,61,48
2014-10-04,72,63,54
2014-10-05,75,64,54
2014-10-06,79,66,55
2014-10-07,66,63,57
2014-10-08,70,63,55
2014-10-09,63,57,52
2014-10-10,64,57,50
2014-10-11,64,59,54
2014-10-12,64,59,54
2014-10-13,70,61,50
2014-10-14,63,57,54
2014-10-15,61,57,54
2014-10-16,70,61,52
2014-10-17,63,57,54
2014-10-18,66,63,57
2014-10-19,72,64,55
2014-10-20,61,57,54
2014-10-21,61,57,54
2014-10-22,61,57,54
2014-10-23,57,54,46
2014-10-24,57,54,48
2014-10-25,63,55,46
2014-10-26,55,52,46
2014-10-27,61,52,45
2014-10-28,59,54,48
2014-10-29,63,57,54
2014-10-30,61,55,52
2014-10-31,55,52,46
2014-11-01,52,48,45
2014-11-02,55,52,45
2014-11-03,57,55,52
2014-11-04,57,55,52
2014-11-05,59,55,52
2014-11-06,63,57,52
2014-11-07,57,52,45
2014-11-08,55,46,39
2014-11-09,55,52,46
2014-11-10,52,46,43
2014-11-11,46,39,34
2014-11-12,45,37,32
2014-11-13,45,39,34
2014-11-14,45,37,28
2014-11-15,46,37,28
2014-11-16,48,39,28
2014-11-17,52,39,28
2014-11-18,45,37,30
2014-11-19,52,45,36
2014-11-20,52,46,43
2014-11-21,52,50,46
2014-11-22,48,46,45
2014-11-23,55,48,43
2014-11-24,54,46,39
2014-11-25,57,54,48
2014-11-26,59,57,54
2014-11-27,57,55,54
2014-11-28,55,46,37
2014-11-29,39,32,25
2014-11-30,37,30,23
2014-12-01,39,34,27
2014-12-02,43,34,27
2014-12-03,50,41,32
2014-12-04,46,43,39
2014-12-05,55,50,45
2014-12-06,54,50,46
2014-12-07,57,52,43
2014-12-08,57,54,48
2014-12-09,61,55,52
2014-12-10,66,57,50
2014-12-11,57,54,46
2014-12-12,52,48,45
2014-12-13,50,45,39
2014-12-14,55,45,36
2014-12-15,54,48,45
2014-12-16,50,48,46
2014-12-17,48,46,43
2014-12-18,48,46,45
2014-12-19,52,48,45
2014-12-20,55,50,45
2014-12-21,55,54,50
2014-12-22,52,46,43
2014-12-23,54,48,41
2014-12-24,45,43,39
2014-12-25,46,43,37
2014-12-26,43,39,36
2014-12-27,48,45,39
2014-12-28,45,41,37
2014-12-29,43,37,34
2014-12-30,37,34,28
2014-12-31,37,34,27
