"RegionName","CBSA Title","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex"
"New York","""New York-Newark-Jersey City, NY-NJ-PA""",1,11.9356485768435,149,8.44311377245509
"Los Angeles-Long Beach-Anaheim","""Los Angeles-Long Beach-Anaheim, CA""",2,12.5247835968857,67,1.53692614770459
"Chicago","""Chicago-Naperville-Elgin, IL-IN-WI""",3,19.3592921930437,101,9.10179640718563
"Dallas-Fort Worth","""Dallas-Fort Worth-Arlington, TX""",4,15.3593441097802,50,3.11377245508982
"Philadelphia","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,19.9674552509701,100,9.12175648702595
"Houston","""Houston-The Woodlands-Sugar Land, TX""",6,18.0240569893729,75,5.90818363273453
"Washington","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,17.4814643188137,74.5,5.64870259481038
"Miami-Fort Lauderdale","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,11.245509169922,105,4.69061876247505
"Atlanta","""Atlanta-Sandy Springs-Roswell, GA""",9,14.5428162219207,75,3.89221556886228
"Boston","""Boston-Cambridge-Newton, MA-NH""",10,17.0987391981867,73,5.20958083832335
"San Francisco","""San Francisco-Oakland-Hayward, CA""",11,10.3754855416487,48,0.31936127744511
"Detroit","""Detroit-Warren-Dearborn, MI""",12,18.1212278298219,86,7.54491017964072
"Riverside","""Riverside-San Bernardino-Ontario, CA""",13,13.4754738015608,79,3.37325349301397
"Phoenix","""Phoenix-Mesa-Scottsdale, AZ""",14,19.9445676274945,70,5.5688622754491
"Seattle","""Seattle-Tacoma-Bellevue, WA""",15,9.84984157597465,50,0.219560878243513
"Minneapolis-St Paul","""Minneapolis-St. Paul-Bloomington, MN-WI""",16,17.715327066948,79,6.42714570858283
"San Diego","""San Diego-Carlsbad, CA""",17,8.52936338213522,62,0.0399201596806387
"St. Louis","""St. Louis, MO-IL""",18,16.3838887061146,75,5.26946107784431
"Tampa","""Tampa-St. Petersburg-Clearwater, FL""",19,15.4355746936072,82,5.78842315369261
"Baltimore","""Baltimore-Columbia-Towson, MD""",20,20.4929577464789,99,9.06187624750499
"Denver","""Denver-Aurora-Lakewood, CO""",21,9.47180301826847,54,0.139720558882236
"Pittsburgh","""Pittsburgh, PA""",22,17.122508827578,93,8.16367265469062
"Portland","""Portland-Vancouver-Hillsboro, OR-WA""",23,14.3814907322203,58,2.59481037924152
"Charlotte","""Charlotte-Concord-Gastonia, NC-SC""",24,10.1620433946718,73,0.598802395209581
"Sacramento","""Sacramento--Roseville--Arden-Arcade, CA""",25,8.92805267744747,58,0.0598802395209581
"San Antonio","""San Antonio-New Braunfels, TX""",26,17.2419960651046,69,4.57085828343313
"Orlando","""Orlando-Kissimmee-Sanford, FL""",27,15.0457820880967,86,6.14770459081836
"Cincinnati","""Cincinnati, OH-KY-IN""",28,14.5685319709428,84,5.10978043912176
"Cleveland","""Cleveland-Elyria, OH""",29,16.644086167186,87,7.22554890219561
"Kansas City","""Kansas City, MO-KS""",30,15.6850684299554,72,4.27145708582834
"Las Vegas","""Las Vegas-Henderson-Paradise, NV""",31,14.6683021568026,72,3.53293413173653
"Columbus","""Columbus, OH""",32,13.4208463949843,69,2.19560878243513
"Indianapolis","""Indianapolis-Carmel-Anderson, IN""",33,16.941809217898,91,7.96407185628743
"San Jose","""San Jose-Sunnyvale-Santa Clara, CA""",34,12.3818307585889,48,0.978043912175649
"Austin","""Austin-Round Rock, TX""",35,14.6762230185849,57,2.73453093812375
"Virginia Beach","""Virginia Beach-Norfolk-Newport News, VA-NC""",36,16.6942039521512,91,7.90419161676647
"Nashville","""Nashville-Davidson--Murfreesboro--Franklin, TN""",37,10.8891638677744,63,0.499001996007984
"Providence","""Providence-Warwick, RI-MA""",38,16.5948275862069,89,7.50499001996008
"Milwaukee","""Milwaukee-Waukesha-West Allis, WI""",39,15.2007136485281,85,6.0878243512974
"Jacksonville","""Jacksonville, FL""",40,15.2346857597454,88,6.60678642714571
"Memphis","""Memphis, TN-MS-AR""",41,12.392561337709,83,2.71457085828343
"Oklahoma City","""Oklahoma City, OK""",42,11.1397627643115,85,2.09580838323353
"Louisville/Jefferson County","""Louisville/Jefferson County, KY-IN""",43,15.396558416354,72,4.15169660678643
"Hartford","""Hartford-West Hartford-East Hartford, CT""",44,18.9825520285894,106,9.4810379241517
"Richmond","""Richmond, VA""",45,16.8341342653269,77,5.88822355289421
"New Orleans","""New Orleans-Metairie, LA""",46,10.6504770164788,92,2.45508982035928
"Buffalo","""Buffalo-Cheektowaga-Niagara Falls, NY""",47,14.6069469835466,90,6.46706586826347
"Raleigh","""Raleigh, NC""",48,12.8252788104089,60,1.47704590818363
"Birmingham","""Birmingham-Hoover, AL""",49,12.3979704390029,89,3.6127744510978
"Salt Lake City","""Salt Lake City, UT""",50,9.99515972894482,66,0.339321357285429
"Rochester","""Rochester, NY""",51,15.2864157119476,97,7.94411177644711
"Grand Rapids","""Grand Rapids-Wyoming, MI""",52,16.8413696715584,74,5.18962075848303
"Tucson","""Tucson, AZ""",53,15.2502568618817,85,6.12774451097804
"Urban Honolulu","""Urban Honolulu, HI""",54,10.3749115774581,71,0.6187624750499
"Tulsa","""Tulsa, OK""",55,15.5403556771546,87,6.74650698602794
"Fresno","""Fresno, CA""",56,15.4093097913323,69,3.77245508982036
"Worcester","""Worcester, MA-CT""",57,18.8496061549734,85,7.5249500998004
"Stamford","""Bridgeport-Stamford-Norwalk, CT""",58,15.3273636469357,117,9.46107784431138
