"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Metro","New York, NY",,"NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",1,6.70822942643392,87.26,3.3188,0.2608,398000,0.555836280949975,5.73857598299681,0.0363517587939699,,0.110466553651428,0.114019318699655,146
"Metro","Los Angeles-Long Beach-Anaheim, CA",,"CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",2,6.58354114713217,93.62,4.2395,0.6834,584700,0.515729757607014,5.98151169113649,0.0154010603728407,,0.0609042416786731,0.0333337764304898,69
"Metro","Chicago, IL",,"IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",3,1.02244389027431,70.67,,,202100,0.397416790859414,4.60662525879917,0.0289559623948541,,0.189739027843424,0.0475630461702001,105
"Metro","Dallas-Fort Worth, TX",,"TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",4,9.75062344139651,97.41,3.3402,0.0867,198900,0.759878419452888,12.309429700734,0.0494167923579689,,0.047702854166366,0.0203086727820148,52
"Metro","Philadelphia, PA",,"PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",5,2.81795511221945,83.34,6.1506,0.0599,213400,0.423529411764706,4.04680643588493,0.0281021555763823,,0.141678959798411,0.0725522728104581,103
"Metro","Houston, TX",,"TX","Houston, TX","""Houston-The Woodlands-Sugar Land, TX""",6,8.87780548628429,89.66,,,175800,0.285225328009127,7.52293577981651,0.0326336746302616,,0.0692970628168503,0.020876440469854,98
"Metro","Washington, DC",,"DC","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",7,3.34164588528678,84.1,3.8492,0.24,375900,0.427464600587764,2.64882577826324,0.0240728917265229,,0.14170623640137,0.0441042988662063,76
"Metro","Miami-Fort Lauderdale, FL",,"FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",8,5.91022443890274,85.61,,,243800,0.743801652892562,9.13160250671441,0.0164643150123052,,0.118165105384814,0.0650728891328615,107
"Metro","Atlanta, GA",,"GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",9,5.26184538653367,85.87,,,171100,0.706297822248381,7.54242614707731,0.04822910578609,,0.14654955268284,0.0365346510797341,73
"Metro","Boston, MA",,"MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",10,6.65835411471322,91.67,,,405200,0.720855083271191,5.96234309623431,0.0314536031589339,,0.0657220366057235,0.0373172388881926,74
"Metro","San Francisco, CA",,"CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",11,7.83042394014963,94.22,3.8986,0.3979,821800,0.513698630136986,5.37248365175022,0.0128510586517401,,0.0396732437582546,0.0231032792368264,51
"Metro","Detroit, MI",,"MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,7.58104738154614,84.34,,,133100,0.90978013646702,9.00900900900901,0.039564237415477,,0.139758991222948,0.0253559260616608,88
"Metro","Riverside, CA",,"CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",13,5.88528678304239,85.64,7.5809,1.3698,316500,0.41243654822335,6.74536256323777,0.0478736176935228,,0.120101604032034,0.0378254342097024,81
"Metro","Phoenix, AZ",,"AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",14,5.93516209476309,86.09,6.3519,1.2318,227500,0.574712643678161,6.95815702867889,0.031265934065934,,0.12636850352247,0.0228954468972301,70
"Metro","Seattle, WA",,"WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",15,8.35411471321696,95.57,5.216,2.3595,409900,0.836408364083641,12.2091431699973,0.0560087826299098,,0.0737703480948114,0.0290523942776,55
"Metro","Minneapolis-St Paul, MN",,"MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",16,6.05985037406484,81.28,8.0607,0.1907,233000,0.561070349589987,6.19872379216044,0.0305364806866952,,0.0889502986893061,0.0195527816782046,84
"Metro","San Diego, CA",,"CA","San Diego, CA","""San Diego-Carlsbad, CA""",17,7.0573566084788,91.89,3.1455,0.6943,524900,0.40168324407039,6.40583823231299,0.0207944370356259,,0.0706483848477806,0.0233552631578947,64
"Metro","St. Louis, MO",,"MO","St. Louis, MO","""St. Louis, MO-IL""",18,3.44139650872818,64.62,,,147000,0.616016427104723,6.75381263616558,0.0375986394557823,,0.147428015148255,0.031882326387674,80
"Metro","Tampa, FL",,"FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",19,6.95760598503741,84.15,,,175200,1.03806228373702,10.9563014566181,0.0479223744292236,,0.121141952483042,0.0683760571497921,83
"Metro","Baltimore, MD",,"MD","Baltimore, MD","""Baltimore-Columbia-Towson, MD""",20,0.997506234413965,80.56,9.5837,1.0834,254800,0.473186119873817,3.11614730878187,0.024682103610675,,0.16709493148263,0.053059856651864,104
"Metro","Denver, CO",,"CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",21,9.92518703241895,98.22,2.1594,0.0751,350400,0.747556066705003,10.188679245283,0.0362414383561644,,0.0475694229144345,0.00546613916416331,59
"Metro","Pittsburgh, PA",,"PA","Pittsburgh, PA","""Pittsburgh, PA""",22,6.45885286783042,89.18,2.5625,,133000,0.301659125188537,5.13833992094862,0.026045112781955,,0.0920271280053304,0.0266237807261501,96
"Metro","Portland, OR",,"OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",23,9.52618453865337,96.68,3.8552,2.5092,349500,0.924054288189431,14.6277468022302,0.0521516452074391,,0.0423062787058906,0.0244549194220441,66
"Metro","Charlotte, NC",,"NC","Charlotte, NC","""Charlotte-Concord-Gastonia, NC-SC""",24,7.28179551122195,86.05,5.6827,0.044,165800,0.667880995749848,7.24450194049159,0.0393968636911941,,0.0921284958982725,0.0342757779879916,76
"Metro","Sacramento, CA",,"CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",25,8.05486284289277,90.17,5.7412,0.4465,348600,0.635103926096998,7.62581043531954,0.0478600114744694,,0.0879346211347955,0.0271261759349194,62
"Metro","San Antonio, TX",,"TX","San Antonio, TX","""San Antonio-New Braunfels, TX""",26,7.80548628428928,,,,155600,0.387096774193548,6.50239561943874,0.0374742930591259,,0.109753450685365,0.0180958925421309,
"Metro","Orlando, FL",,"FL","Orlando, FL","""Orlando-Kissimmee-Sanford, FL""",27,7.48129675810474,84.25,,,195400,0.981912144702842,9.10106085985483,0.0574155578300921,,0.133888659721521,0.0577568973914897,90
"Metro","Cincinnati, OH",,"OH","Cincinnati, OH","""Cincinnati, OH-KY-IN""",28,5.08728179551122,83.6,4.1387,0.0968,146900,0.54757015742642,5.60747663551402,0.0306398910823689,,0.125366180920833,0.0343562631618818,85
"Metro","Cleveland, OH",,"OH","Cleveland, OH","""Cleveland-Elyria, OH""",29,1.49625935162095,77.97,6.1471,1.3093,129900,0.697674418604651,5.09708737864078,0.0285219399538106,,0.154600806494264,0.0552892076894471,83
"Metro","Kansas City, MO",,"MO","Kansas City, MO","""Kansas City, MO-KS""",30,3.19201995012469,82.14,,,151400,0.264900662251656,5.9482155353394,0.0353236459709378,,0.149560720480949,0.0217702969208501,78
"Metro","Las Vegas, NV",,"NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",31,1.77057356608479,77.63,9.9198,3.0055,212600,0.330344502123643,10.0983946141895,0.0505503292568203,,0.194554835111204,0.068401720121842,74
"Metro","Columbus, OH",,"OH","Columbus, OH","""Columbus, OH""",32,4.46384039900249,87.23,3.9621,0.2543,159200,0.441640378548896,3.57839947950553,0.0315201005025125,,0.102446750422596,0.0344219168102904,70
"Metro","Indianapolis, IN",,"IN","Indianapolis, IN","""Indianapolis-Carmel-Anderson, IN""",33,3.61596009975062,97.73,,,133100,0.150489089541008,1.06302201974184,0.0422163786626597,,0.152182745375424,0.0349394505315464,93.5
"Metro","San Jose, CA",,"CA","San Jose, CA","""San Jose-Sunnyvale-Santa Clara, CA""",34,8.60349127182045,97.01,2.7473,0.3512,958900,0.292856395774501,4.46671750735374,0.00641255605381175,,0.0244290903346631,0.0151742845936369,51
"Metro","Austin, TX",,"TX","Austin, TX","""Austin-Round Rock, TX""",35,6.15960099750623,71.43,,,258600,0.271423032183017,8.38222967309304,0.0317401392111369,,0.0671038674909994,0.00714343845269723,62.5
