"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,107.470887754026,107.442002442002,107.491856677524,107.559614408929,106.803797468354,105.966325036603,105,104.090909090909,103.467561521253,101.730133164849,100,97.6190476190476,95.633971291866,94.5095406360424,93.8928012519562,92.436974789916,93.2608695652174,93.4511434511435,93.1523500810373,92.7795031055901,92.3254472013849,91.9753086419753,90.8006814310051,89.6825396825397,89.4579811039284,90.2349032270946,91.3621262458472,91.6111111111111,92.3897581792319,92.3872875092387,91.9556275819962,91.9117647058823,91.7394763009612,92.2079918032787,99.9107142857143,99.5897903372835,99.6995192307692,100.653206650831,102.152167323431,103.974203020361,105.26690459977,106.25,106.425702811245,106.518307899951,107.028112449799,106.650246305419,105.635220125786,105.464824120603,104.673645320197,106.32183908046,107.898368883312,109.837962962963,111.386138613861,111.776315789474,112.185066422355,112.201963534362,111.974789915966,111.690245718541,110.645933014354,109.375,110.35696329814,111.80619266055,113.049151805133,114.952638700947,117.280497845859,117.785714285714,117.50516884907,117.338936669643,117.694805194805,117.477184187331,117.001828153565,116.182572614108,116.256500832648,117.352941176471,119.617224880383,122.048281553024,123.534798534799,124.424460431655,124.649885583524,124.446902654867,124.939024390244,124.808459358741
"New York, NY",1,231.980971562629,230.253445975989,232.880555939917,233.125649013499,234.683098591549,234.678714046732,232.675072758917,231.570512820513,233.141319942611,231.952693684345,230.769230769231,228.096553538542,225.595238095238,223.682105263158,227.465502113743,226.5625,226.701697394444,224.331926863572,222.222222222222,219.651614298235,217.916924984501,214.95,211.768792924033,209.620476610768,207.5,205.269607843137,207.6,207.167832167832,207.920792079208,203.617269544924,201.483981964879,198.144303613054,198.076923076923,198.959931331726,211.538461538462,209.986215376451,210.44958916278,214.367405289492,215.827338129496,217.251984126984,217.39099378882,214.604073980805,213.055003313453,211.721249047982,212.435233160622,213.47350695504,219.6,218.798131706954,219.9995,223.539688412052,222.454672245467,224.5,226.301521434126,230,225.78125,225.065039664085,224.294871794872,227.222222222222,225.281658404687,226.358695652174,229.978902953586,230.883632308358,229.166666666667,230.346344145135,230.099502487562,230.978260869565,230.387946365059,228.713249331806,229.166666666667,229.417163836622,228.351882344836,227.088402270884,235.33643018018,236.470014627011,231.25,239.874143308504,237.924865831843,238.247296958567,237.839879154079,234.764542936288,237.400537614665,238.811631149588
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.943759719245,318.616294947656,315.873015873016,318.487919840016,323.19391634981,330.458816709761,332.840236686391,335.9996,339.219330855019,338.803934654557,339.549301477352,337.922506183017,335.820895522388,328.396664746783,330.578512396694,338.386648122392,342.518709290945,348.10441777195,355.813263814174,358.048162230672,358.682634730539,360.731120731121,360.667738483595,361.69014084507,360.863095238095,361.87026671057,361.569986415263,365.266039530089,371.148801819016,375.432525951557,378.282828282828,382.482119565577,383.322026232474,382.994480181181,383.184523809524,383.036324995114
"Chicago, IL",3,138.727272727273,138.454252359928,139.421240524182,139.540169133192,137.873563218391,137.340529931305,134.791454730417,133.388302666888,130.494505494505,129.827934981357,127.485795454545,122.83950617284,120.454545454545,118.610169491525,119.047619047619,119.198717948718,119.773635153129,118.962585034014,117.767049864546,116.729797979798,113.795203103596,113.469985358712,111.111111111111,108.451757666417,108.333333333333,108.921729611385,109.211553473849,108.563218390805,108.347245409015,107.427341227126,104.823825503356,104.112324977416,103.221074659106,102.146209861379,107.939342110782,106.170673076923,105.990783410138,107.168718052251,109.211023351648,111.38187364844,112.688918075225,114.121037463977,113.316044974676,113.550083336353,114.611440570466,112.787964268923,109.0420267257,109.933333333333,108.122362869198,112.449221972253,115.923566878981,118.940504126294,120.720519660561,122.004437869822,122.339433134144,121.538835810333,120.013717421125,118.368421052632,116.696588868941,113.739837398374,114.783205553253,118.308355175884,121.824583866837,125.50881953867,129.69696969697,130.408910455204,129.587765957447,127.824503118261,126.736493936053,125.334448160535,123.535370388026,122.085084033613,122.717041800643,123.772844272844,127.856587220119,129.734368915396,130.961449942463,134.706616481775,134.559933335491,133.25,134.390009606148,134.520179372197
"Dallas-Fort Worth, TX",4,79.1607178456575,79.7477744807122,80.3402646502836,80.8689253607192,80.9311224489796,80.6309611151871,80.2027429934407,79.8668292284833,80.0947867298578,79.6213808463252,78.659354186043,77.2241992882562,76.4231706715302,76.1174843262873,75.6542912969184,75.1378446115288,75.7912308830639,76.7199017199017,76.1421319796954,75.6385998107852,73.9853027217666,74.1155371891332,73.1775949698272,71.9117081312172,72.1646433276868,72.9639101084365,72.6295828065739,72.7300392851214,74.0401366925757,75.324976991759,74.5646766169154,74.1854636591479,73.3845482681289,74.5372686343172,80.9955503923072,81.6775617745496,81.7133155684443,82.9995114802149,84.6813246895259,86.1971464996309,86.9513641755635,87.5580074507946,88.0035799522673,88.0842239794697,87.9951980792317,88.3995037220844,87.9396984924623,88.4570765661253,87.719298245614,88.5397337636144,90.271021542738,91.3852050891717,92.7221833449965,91.3982057093572,91.7469627147047,93.6161486041869,93.5924563017479,93.9381000439924,93.5251798561151,94.4611860507581,95.7592339261286,97.4791087442074,99.7340425531915,100.716091406459,100.840978593272,101.186322400558,101.626016260163,102.337555048169,103.771626297578,103.787371513004,104.499366286439,104.977988486285,106.298245630693,105.925732591992,108.303048498835,110.240061455733,112.037037037037,113.402877893534,114.259385526424,114.805360561583,115.253562737886,117.147738366417
"Philadelphia, PA",5,133.807413672636,134.538461538462,136.133603238866,135.978835978836,135.111480660261,133.928571428571,133.139050791007,132.396449704142,131.803259278395,129.57654723127,127.936746987952,125.017138244433,124.235959963091,124.420436779363,123.111001317523,122.338161999148,123.574144486692,121.212121212121,120.089285714286,118.495297805643,116.286353467562,115.625,113.505448096516,110.576923076923,111.041666666667,113.964092333998,115.162037037037,115.843678737623,116.570861339631,116.611111111111,114.918154092231,112.811031389042,111.60773624913,111.979166666667,116.222348269994,114.63875149241,113.888888888889,116.421052631579,119.35098623382,121.332080632624,123.574144486692,124.718482938854,123.234916559692,121.156637396694,121.557271557272,120.768258426966,118.741976893453,118.934348239772,116.610924683072,117.986111111111,121.17067833698,124.774944257027,126.514955517351,126.408964951047,124.206349206349,123.042495795964,122.988505747126,122.30714999643,119.855159172359,116.086021505376,117.100694444444,121.005698005698,124.501965923984,127.974276527331,130.208333333333,129.101867946649,126.552287581699,125.284963411704,125.509640666082,124.2983159583,123.809523809524,120.27972027972,118.6875,119.826756496631,123.297820626888,126.904761904762,128.176638176638,128.593040847201,127.061996101799,125,125.865845959596,125.657142857143
"Houston, TX",6,77.9754370102471,78.8599107111716,79.1666666666667,79.1783356212759,78.8834951456311,78.5388127853881,77.5337589076063,77.2365339578454,77.8868360277136,77.3472660576301,77.8205476775801,76.8920224929057,76.4085332230493,76.2909744050292,76.0392320323355,75.8029389658614,76.1402428725097,76.9088669950739,76.4961820680039,76.3477896104904,74.6187363834423,75.2293577981651,73.531848783014,73.3333333333333,73.5257803953643,73.6264267740287,74.1482965931864,74.9120672948065,75.2020852585105,75.2436853565052,74.7871148459384,75.0356593824063,74.7879858657244,75,77.8266608007039,78.3134621076428,78.0519761775853,81.0706401766004,82.2048771458696,83.5266821345708,84.4799623115578,84.9440860215054,85.5665507955738,86.0881542699724,86.8834080717489,89.1119691119691,87.7495032047808,88.4314988745396,88.9383343928799,90.8740786240786,92.5366812676547,94.8609431680774,94.920472036942,95.123384253819,95.773780962858,97.130995255245,97.967097342538,98.9034986309705,100.308641975309,103.697530864198,105.246113989637,107.473426305015,107.777280858676,110.714798742048,107.941403238242,106.581352833638,110.437397484964,112.13654353562,113.622641509434,113.830620978909,113.5998552822,115.022310361924,116.238704025624,112.83185840708,114.378347586778,114.43661971831,114.752957550452,115.10044463992,114.763624388559,115.156940619579,114.660114660115,114.808652246256
"Washington, DC",7,168.6875,170.048701298701,172.727272727273,177.547832944144,175.389221556886,172.194978632479,172.190972222222,169.749522424657,167.268123224324,165.7824933687,163.175675675676,157.533000760672,153.190519856904,152.329602992217,152.050264550265,150.399823732687,153.145161290323,154.459154351396,147.51673607854,153.038033395176,154.238465856508,153.34100204499,151.019637462236,148.809523809524,147.321428571429,148.094135802469,152.258362029644,156.246527777778,160.524091293322,163.690476190476,161.779760643397,160.136612021858,160.659013605442,163.365384615385,173.239214653859,170.011287062638,171.848137535817,176.109839130539,181.233624454148,188.325991189427,191.768706247124,195.532915360502,193.125,193.392857142857,197.30090853438,194.925742574257,191.690340909091,188.800503075844,187.12422007941,190.972222222222,196.043028938992,198.231511254019,203.0546875,202.380952380952,201.298701298701,200.345818815331,199.652777777778,200.095510983763,198.412698412698,194.118898480542,191.247768780284,194.164509300645,197.845804988662,200.414390756303,204.71734074266,205.189732142857,197.604393716249,202.764976958525,204.084321475626,203.322550831793,200.14880952381,199,198.031513606299,202.883701591827,207.963839891452,214.543451394496,218.466611706513,219.711538461538,218.810371238061,213.439469912922,214.753086419753,216.049382716049
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.699716713881,129.589632829374,131.294142696507,133.332893217893,135.480572597137,137.113402061856,138.384615384615,138.635375923512,136.849917681466,138.545953360768,140.87512666408,145.833333333333,146.141348497157,146.839273418121,149.461722488038,149.232923007013,150.9751415628,150.354280198916,152.257531006555,151.836587129429,151.878497202238,153.7366276108,154.855643044619,157.561720972323,158.373230799701,158.839779005525,162.790697674419,164.308300395257,163.387978142076,160.527066596591,162.108108108108,166.922455573506,168.627450980392,169.836956521739,171.728242461541,175.382653061224,176.470588235294,179.650923419487,181.987602018157,182.833925850686,185.465979990896,186.115613182064,186.972255729795,188.308038223721,189.627341520489,192.259615384615,192.981801505327
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0233837689133,76.615566540248,74.8918816565834,77.4907749077491,80.8654595193598,84.1042893187553,85.4663774403471,86.5800865800866,86.9765301426599,86.6892911010558,86.6336633663366,85.9749739311783,83.4879406307978,82.2122571001495,83.4921420335382,85.6164383561644,86.5162037037037,87.4166666666667,88.9624828354647,90.2890695573622,90,89.6711234382888,89.5416069723018,89.126559714795,88.2774476599434,88.202614379085,88.6401326699834,88.9975550122249,91.5750915750916,93.5970049916805,95.1086956521739,96.2093862815885,97.5790703064012,97.5056689342404,97.3495702005731,97.65625
"Boston, MA",10,196.572580645161,199.627884859945,203.005602240896,204.787234042553,204.052378189583,203.796561604585,201.826923076923,198.663959925881,197.857992522941,196.405781338164,196.212121212121,192.682926829268,189.530685920578,186.686746987952,190.044359949303,191.481197237145,195.56566230813,195.623188405797,192.239858906526,190.700808625337,190.548780487805,188.274605103281,183.127385496183,180.012004801921,181.232299467875,181.752913752914,186.545138888889,190.696117804552,192.982456140351,193.140599838969,190.223166843783,187.396092454395,188.491260201787,188.880126182965,189.301972685888,187.155260469867,186.191090645346,189.947399181765,197.190955152361,202.32383808096,204.646017699115,205.555296750584,203.728671638018,200.59880239521,202.09587626269,203.389830508475,203.091872791519,199.241630462561,199.382790858726,207.597173144876,212.440516655336,217.059564769073,219.161105815062,218.604651162791,215.860201941369,212.316093109064,212.07780450085,213.392594455817,213.227474046491,209.27033492823,209.061499506698,208.777471287665,213.714331720926,219.933333333333,224.425887265136,224.691011235955,222.282896053962,219.862542955326,222.911647938135,223.482323554483,221.98061430992,218.487394957983,216.555183946488,219.563802083333,228.625954198473,235.770440251572,239.2,241.066361010151,239.148936170213,235.511865563765,240.47619047619,241.780790441176
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.384615384615,358.829084041549,361.312493099537,375.538615576169,381.104033970276,392.530053685563,401.798322374546,401.514154048716,398.860398860399,395.424091504791,395.479661016949,392.627200356998,387.515710096355,368.604288925748,379.662447257384,401.676145347072,412.881090008258,416.56518667571,432.098765432099,431.372549019608,435.844155844156,433.159722222222,436.75751222921,440.594688015638,439.746273312319,432.542073170732,429.582193935927,447.595704948646,459.558823529412,475.238095238095,469.932203389831,471.612349914237,466.649100034614,463.240542469665,466.592592592593,468.75
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4278350515464,95.7357096941161,93.7024390243902,96.9305331179321,100.062578222778,104.801324503311,108.355916892502,110.096521594163,110.005005005005,110.071907662038,109.706362153344,107.831677381648,103.632075471698,101.49973219068,104.532320352038,107.745098039216,109.286618826509,112.244897959184,114.683711836366,115.711135611907,116.09756097561,115.688657407407,115.58886509636,114.194381302092,113.869502441835,111.607142857143,111.532738095238,112.363234947084,114.889705882353,118.943556760917,121.951219512195,122.54746835443,123.221288515406,123.477493380406,123.193277310924,122.812865861253
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.745167125317,157.361629881154,157.563025210084,160.25641025641,161.798718777487,163.461538461538,165.69784631216,166.29711751663,166.543875707783,166.392450173232,166.603773584906,166.603168843735,166.483201585817,166.585526649424,169.678899082569,171.460659081151,172.265288544358,174.601266788767,176.336404012678,176.278881232266,176.720475785896,176.318441383944,176.883507647028,178.852237352243,181.674458335541,181.789401366607,182.733437663015,183.02752293578,184.40652984754,185.836939340051,187.027551339034,187.719534050179,188.653136531365,187.113030957523,186.440677966102,186.96041470311
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.526539278132,115.452930728242,115.605186312319,116.738030362009,118.600608431117,119.32261321067,118.627918056217,119.933333333333,118.606489169162,119.000365573793,117.231602421153,120,118.3211812879,119.47830625023,121.941272430669,122.547683923706,124.583927722301,127.07182320442,127.64598540146,127.286986294819,125.686709181091,127.982716756698,128.211618257261,130.257734094346,131.141933552672,131.564986737401,132.697606961566,135.020794373007,135.986707566462,136.490412550843,137.422887368537,137.37843551797,136.708253358925,136.847440446021,137.5,137.682333873582
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.666666666667,141.528765187726,143.742953776776,148.111111111111,152.283790618283,159.368774900398,164.119892231702,166.622106481481,166.29711751663,167.362773487502,167.636767408647,163.285024154589,162.535898160618,157.289985597029,158.35210571892,161.385470719051,166.293579082041,165.955742248398,173.267326732673,173.469387755102,173.611111111111,173.299833414092,172.299382716049,164.652468749301,155.63435194942,160.408560311284,166.666666666667,172.467157548019,174.931656642974,180.548637055486,183.311822767211,182.974260310819,184.155450100661,183.6689507359,183.314087759815,180.412371134021,177.834593152512,178.571428571429,182.037381547584,188.356450099072,194.127855573731,199.784183799851,203.175249470038,203.752280916257,202.932330827068,204.166666666667,203.950193215973
"Minneapolis-St Paul, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.106344987207,146.529439128123,146.851385390428,144.693532342316,149.272403619932,152.600994778909,156.167763157895,161.398299695088,163.500881292015,163.629893238434,163.500584441598,163.364534835812,162.725508863688,162.009742572243,160.890151515152,161.283728536386,165.650897790055,168.040583386176,170.682837499649,172.337164750958,172.811059907834,172.200469851214,171.5625,171.031892609936,170.155902004454,169.562752238603,167.460317460317,168.567151411463,170.753392606458,174.53621916572,176.024869449876,179.602309172547,179.986149584488,180.722891566265,179.474469496021,180.549207054338,180.466621636834
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.773909466509,265.601217656012,266.77803217063,271.795236242856,277.423743740917,280.185664178989,282.619921299976,286.527082385071,287.401259849215,287.625418060201,287.859583721653,285.126062305896,283.375314861461,279.510348583878,283.522727272727,285.634920634921,290.087463556851,291.775997972641,297.840508171297,294.390145531897,305.286766861941,307.49677002584,307.692307692308,305.027173913043,304.858934169279,305.604075691412,305.692199578356,310.850253807107,316.062744581577,317.318035138042,319.243338360985,320.677027116845,323.488045007032,322.255790533736,325.238914082235,325.351379489849
"St. Louis, MO",18,110.516200815941,111.600496277916,111.911162314388,112.383164414414,112.108982580872,111.040609137056,110.161943319838,109.595070422535,108.99814471243,107.594936708861,106.361441798942,103.92,101.463414634146,101.151315789474,100.975650904723,101.803955476909,102.517068296289,102.290800606446,97.5130890052356,96.3488843813387,99.5968790290786,99.6926244993577,98.5819975339087,96.3451776649746,98.4486873508353,95.8223394898857,98.1309007961671,98.5500390959252,99.3635640413683,98.7553481135745,97.9208316673331,97.0853573907009,97.0064724919094,96.2210767468499,101.898734177215,100.074594489304,100.216996746224,101.671511627907,104.036384309267,105.158482887981,106.93231441048,107.147962830593,106.870068092147,106.678201246009,106.6,106.382978723404,104.577656675749,104.473222124671,103.904471893898,105.265306122449,106.6,107.630008525149,108.998808104887,108.732157850546,108.629334886128,107.890365448505,106.902468231014,106.467502017599,105.043693872911,104.517766497462,104.090884038801,106.275303643725,107.885906040268,109.118874910272,109.966666666667,109.98427672956,109.815261671628,108.768406961178,108.082706766917,107.634072142547,107.265784577073,106.39287786481,106.898058252427,108.431603773585,111.382188666557,115.945066805979,117.168481742473,116.510643054072,116.159620269105,115.315295169946,115.431766994267,114.851063829787
"Tampa, FL",19,104.83682983683,101.759426110444,100.4702864472,99.9230769230769,97.239122672087,94.778040037856,93.3748584371461,92.0245398773006,91.3676371022343,89.3089960886571,87.5334246105228,85.6531049250535,83.7053571428571,82.3626373626374,81.6714991214814,80.1952580195258,81.0064935064935,81.1546840958606,80.4114560765306,79.8769306387886,78.2581453634085,78.125,77.2188594314631,75.5857898715042,74.9867608045962,75.3338570306363,75.3281000104099,73.0088495575221,73.0088495575221,72.8900255754476,72.6371447455387,73.6074692472934,73.3747379454927,75.9390310288514,88.1570192947438,88.9218321765095,89.930151338766,91.3067552602436,92.5630780913188,93.3576642335766,94.3896424167694,95.5822328931573,97.0254957507082,96.5012819981658,95.9255241974861,96.0242587601078,93.998553868402,95.3931067758594,95.234375,97.7236567929035,98.5545335085414,99.6319955212573,99.0419914585347,96.9142259414226,100.062954068618,100.977198697068,100.347338300804,101.338504240282,101.312130398982,100.250793365667,102.215909090909,104.344781390817,104.341736694678,104.117595568222,105.148004023653,106.329517411677,107.372950819672,109.741650212742,110.781398017759,111.986338378802,113.454436841534,114.032056644722,114.285714285714,114.11835513398,116.041230642414,117.93893129771,116.504693539481,116.792380828658,117.63133481139,118.216639499021,118.442573156257,119.519463876003
"Baltimore, MD",20,164.141414141414,164.407894736842,165.310650887574,166.666666666667,165.515825089844,164.30557610733,162.696862599206,160.235448005232,158.280542986425,156.038636363636,155.086206896552,150.726392251816,148.75,148.183839881394,149.211711711712,151.100917431193,152.429189614477,151.478118235931,150.271696397857,149.994523809524,148.53747714808,146.538461538462,144.882246376812,142.353823088456,140.4821280133,141.293780193237,140.153621869417,138.928571428571,136.23046875,143.381519560646,142.803436487945,144.230769230769,139.374364820411,140.368357487923,143.832236842105,143.460925039872,144.774268307945,144.774525316456,147.877896472289,150.979054502544,154.761904761905,157.320644216691,158.293507433079,157.201986754967,158.959537572254,158.952719148648,153.846153846154,156.197916666667,154.377215610814,157.764995891537,159.42433193373,162.781100996966,163.539131013772,162.497526041667,160.881339336489,161.118421052632,159.521276595745,158.602581995813,157.982740021575,155.6600249066,156.178385416667,158.700980392157,160.896486535272,161.798918095435,161.703454894434,163.402989300407,161.62310866575,160.73763662509,162.196374400626,160.51724137931,159.574468085106,158.223909578853,159.468609935665,158.857586373267,163.184239613943,165.860735009671,166.649659863946,167.105263157895,168.106231481084,166.903561538117,166.330671989355,166.590909090909
"Denver, CO",21,148.152380952381,148.275862068966,149.017854011014,149.57264957265,148.952424296605,149.073327961322,148.324781660768,147.961024900758,145.616711148136,142.177933353408,137.571960892112,132.49953993375,129.610951008646,127.865127429458,126.139767054908,126.792445902281,128.494911622924,128.424081425183,129.762340036563,130.301274623407,128.712147868552,126.426264800861,122.549019607843,117.827505546137,117.798538982285,121.30107966858,123.579545454545,125.078173858662,127.062295744134,129.067279345454,130.12729844413,130.361256544503,130.028598854459,131.179458239278,147.619047619048,148.19587628866,147.895104127462,150.35457952072,153.587574413127,156.66372462489,160.2502346722,161.684611684612,164.495823176196,164.383561643836,165.643335737002,165.247333838311,164.103343465046,165.264720435428,167.324561403509,171.054750402577,172.708172913717,175.130595102955,177.658107770098,180.436993810826,180.369127516779,182.304326689353,182.10197710718,183.712048166956,182.10197710718,184.865616990114,188.584905660377,189.031770045386,193.176595109362,196.034444179042,197.186574531096,199.882672215226,202.03578038248,204.454409651744,204.88573680063,204.50740367308,204.918032786885,204.836021505376,206.566701137539,211.171662125341,213.833028426682,215.942234915733,220.274488585037,220.02200220022,220.935220935221,221.662561576355,222.29595222296,223.313543063525
