"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,130.444964871194,129.93762993763,129.161108619865,130.151098901099,130.266075388027,129.62962962963,129.235287138111,128.403461574714,126.56296530673,124.75,122.359928448229,118.631329113924,115.898825654923,114.231301939058,112.878653893392,112.495801142089,113.681951254558,112.911708361972,113.229454714024,112.321830056532,112.41610738255,111.70814479638,110.214530772771,108.066840197081,107.891491985203,109.489051094891,110.763869493762,111.241217798595,112.975008558713,112.899921678673,112.33660130719,111.564529220779,111.691130463833,112.385039852851,121.335036729479,120.484610698492,120.62534284147,122.95820219708,124.578830055616,126.775362318841,128.380503144654,129.276054097056,128.571428571429,127.76491265141,128.221988427144,127.220851326342,126.582278481013,125.931758530184,125.47616744276,128.296507483963,129.540420819491,132.275132275132,133.392857142857,133.450067234831,132.770709460662,132.152637556337,131.960469780945,131.744786876041,130.379939209726,129.154201794942,129.92376111817,131.596879063719,133.124481755335,135.272810203063,137.752602571953,138.478581979321,137.089606291942,135.829325391881,135.416666666667,135.671573137075,135.33392837987,133.982538616521,133.636363636364,137.895183534903,140.318054256314,142.911658080519,143.932014255864,143.743851176391,142.817732115677,141.927348092043,142.2079271095,142.539934880229
"New York, NY",1,224.28994323297,223.553323768532,225.25242429231,226.331007917066,228.58451672011,228.35583796664,227.090909090909,225.635593220339,225,222.496025437202,221.830985915493,218.879018350905,216.731469440832,214.679911699779,218.112244897959,217.764603682394,219.468574348493,217.419456510804,217.059553349876,215.944477171881,214.014135920733,212.792154063497,212.095667343733,210.105263157895,211.711463232848,210.200046487186,214.754929714955,218.985849056604,221.7535265838,218.572054314498,216.588314304903,215.455665024631,215.955284552846,218.384387435263,230.18350042695,228.225806451613,230.893433799785,234.5,235.197368421053,238.238341968912,239.922480620155,239.144956579826,240.740740740741,241.121236009833,244,245.94849537037,249.75,249.583333333333,251.648351648352,252.602359421665,257.871878393051,259.227220299885,264.176381327597,267.139796464917,265.664251207729,266.47928378097,265.990867579909,268.162768375763,263.197222222222,269.5,270.787393644311,272.272727272727,273.642732049037,277.579365079365,277.122459349593,275,272.508157324331,273.32361516035,275.669144313939,279.736718382699,282.747420710737,282.607760724267,298.303305573648,298.520842671448,295.043273013375,302.727272727273,293.35900921311,296.917547529458,298.579728857327,296.22461282611,297.662834064825,295.750033712081
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.257559713805,316.475949671081,307.287093942054,307.786450121936,310.587253275405,319.627007010403,325.611175785797,325.773438963345,327.543103448276,326.484162708208,327.008858109716,325.135623869801,322.189269344837,301.459394951297,312.227938266719,319.730077120823,326.945713193424,329.538645895746,337.529504327301,344.71485652016,346.066686108681,345.255837059116,345.522836538462,344.827586206897,344.545062526951,341.233797873674,344.085575087195,348.850046470549,351.219008264463,356.433121019108,362.360909530721,365.290455977595,363.500213949508,358.941689883501,357.924222815812,356.871198135569
"Chicago, IL",3,177.64857881137,176.757236581192,178.170728680191,177.23020160759,175,173.741102030055,168.285714285714,167.556271674409,162.901774860199,164.423657211829,161.758875828221,154.761904761905,152.544644885718,151.641684511064,152.926829268293,158.199240643645,159.695337449436,158.107883778067,156.467315716273,151.958955223881,149.722222222222,148.640996602491,141.950757575758,135.933806146572,135.16081871345,136.466341807759,138.888888888889,139.880952380952,139.899533548619,135.661236303494,132.393068279696,126.000543035864,123.589131271629,122.036874451273,129.66180074662,127.319062181448,129.128452141487,130.889351659809,132.484476508381,135.92,136.374405974202,138.078078078078,140.319715808171,137.726111949011,141.349474788711,138.90625,130.351321984788,131.84250764526,125.469956218333,136.030182351708,137.137718664741,142.785714285714,148.32162373146,145.693430656934,143.068939955523,142.195202665933,138.945335710042,141.254339446412,137.625379052951,128.650137741047,129.585326953748,135.035146133925,142.709523809524,143.847940686562,147.918303220738,151.301439039945,149.448284162237,147.635105204873,147.595238095238,149.270234409553,147.607142857143,143.221690590112,141.625,145.660412527645,152.450398507716,157.557884157236,157.557884157236,159.555396199355,157.937806873977,154.032619455817,153.753464019851,150
"Dallas-Fort Worth, TX",4,100.038353448019,99.1348233597693,100.280898876404,100.068932642399,99.2846630574269,98.8314517726282,99.6367717060706,98.0868285504047,94.7855530474041,93.4399117971334,92.436974789916,90.9877648463145,90.2033169947738,90.2429527703912,90.2734778121775,92.7258348610662,93.7566988210075,90.9884990537196,90.8677685950413,90.3081085166362,93.4178757587382,92.6358647243182,91.5019360097819,89.8420909338415,92.025884353471,94.0241238768963,95.7092982172026,96.244872199432,97.8583898773992,99.0318919902997,97.3248326776876,94.6187128177393,95.7068635493574,96.240082787168,101.046060507156,101.425831360559,101.593824966613,103.814913448735,106.673960612691,107.951685958732,108.861024033438,108.761987794246,108.499290417142,108.285714285714,109.675868106664,109.085810431856,110.158559527009,112.610526315789,112.321015419155,113.323247707206,115.355249012694,117.84706331045,118.62386051349,117.132867132867,117.433989026477,120.208709612683,119.915628995585,120.941954908507,121.312044429018,122.828784119107,124.324962330487,125.581562964803,129.031578947368,129.72547022175,127.83521366215,127.857522594365,126.707195051314,126.385183750153,125.09216023593,126.602748741875,125.807793061623,124.708774898157,125.50036347315,126.808878639377,128.994905048634,130.522890026203,130.936762004723,130.113196768745,130.352683236729,130.153609794634,130.435477531339,128.600194992374
"Philadelphia, PA",5,144.361413043478,145.333333333333,146.271744132536,145.572609208973,144.10621761658,142.840818192207,143.230659025788,141.6015625,141.592447916667,140.222305410775,139.86500777605,137.021136063408,135.958890864801,137.257124869502,133.646616541353,133.858267716535,133.668153356822,130.778325291722,132.125131272957,129.472140762463,127.19465648855,128.690219423028,127.996575342466,125.895009643202,127.959039891819,130.192299914022,134.901791495791,136.754997363263,137.961688294529,136.716535862219,137.041666666667,134.602443317114,133.949990196559,136.083342192927,137.93324775353,135.440232511028,134.544610773344,138.663771770089,141.735717400785,141.320671378092,147.365287287883,149.809487797255,144.385026737968,140.109013808643,141.435389860332,140.666317260657,139.198218262806,140.455426356589,136.95652173913,138.655703619696,142.820512820513,148.101851851852,152.453855975565,150.273224043716,145.248517066948,143.462671831093,143.855875235278,141.77864166419,142.178459375514,143.458525447123,137.262772245162,139.129597377318,143.382352941176,147.855468931273,151.380231522707,149.989856143134,144.874899112187,143.254520166898,141.700979696152,141.757871939669,141.248418388865,139.146567717996,138.504155124654,141.35647408084,145.19535374868,149.655287721555,150.28522494336,151.329545454545,146.784810126582,146.103448275862,147.013188518231,148.799118634127
"Houston, TX",6,93.9930039387587,94.5090909090909,94.8149663886468,94.6069994262765,94.1011235955056,93.9893930465527,91.8976893973516,91.2419896246567,88.2373989672205,87.1347900810214,86.5724390243902,86.5886677117147,85.6389986824769,86.3746298124383,87.0716594024555,88.3627875958653,88.6719306600272,87.9520076261854,87.2365300212412,85.609375,85.7867025207324,86.31512868801,84.8394641718052,85.159203630919,83.7161968696364,84.3454790823212,86.0813099943535,87.8873622985019,88.6835441770396,89.6165338645418,88.7622581500133,87.7820583379197,87.6345739772378,88.4649643705463,90.224795640327,90.9130887824388,91.3970932958275,94.9528032036613,97.0574162679426,98.0173267326733,99.3805548074333,101.604417670683,102.74682523077,102.201487653605,102.840501078292,104.286461055933,103.918280585735,105.422991062717,105.54448369342,107.899382171227,109.148382298252,112.109528855712,111.842912494532,113.451807228916,113.823162814853,114.237750422399,116.264242424242,116.504422476587,116.932721520495,116.636020098141,117.649484536082,118.308976261128,118.851494469287,119.789496527778,119.693312791072,119.251227303448,118.80650994575,118.309966098899,118.289264413519,119.175585768007,118.555876849804,118.330464716007,119.26582278481,117.75335815404,117.857142857143,118.370500052949,119.486768243785,119.093549868772,117.810190559731,117.233294255569,116.490166414523,116.041758241758
"Washington, DC",7,211.564673987707,210.27870493992,210.513653314086,216.054352374974,214.551329077259,211.138905965267,209.190077704722,203.047809542394,199.376869391825,199.832775919732,198.46719015882,192.901234567901,189.473631727998,188.375073930847,191.424530937194,196.298149200553,199.957771612842,199.145299145299,192.412529368134,194.436906377205,194.099378881988,192.877369065889,190.794223826715,187.062515085687,183.306166802499,188.907378286416,198.412698412698,208.92043932494,218.681318681319,219.519230769231,214.272157904726,208.946488294314,215.846916312629,218.462113127001,228.542857142857,226.674460817936,221.540558963872,223.139087749332,233.401083730527,243.648015099854,248.913534961003,254.456165878501,250.868336342938,245.810055865922,255.398978333627,250.439006836992,240.737727903044,231.915720326214,224.556213017751,239.345920431558,246.425047202558,250.137830384096,257.370464868502,260.54384017758,255.83985550873,247.333467498491,250.058066821512,253.821433691376,249.561193328394,242.216494845361,232.28193254459,233.735878457343,239.414029084688,246.258119740168,248.713550600343,244.202814120465,232.802994852597,232.726045883941,232.952924393723,232.934936200913,229.158936719452,227.253401360544,225.907197508616,238.576240072507,243.90243902439,249.266862170088,250.787778585596,245.938418577307,243.891984569224,242.648938890309,241.20082815735,243.771947733769
"Miami-Fort Lauderdale, FL",8,201.559834267609,199.245774627822,193.038994521431,185.528756957328,183.596339879296,177.748323717449,178.803478543563,176.803394625177,176.967553724944,173.670337103981,170.859342516681,170.610211706102,168.732740104326,169.324737020699,164.007508212107,163.828264758497,164.284540824708,161.929940515532,161.611138736947,163.393756294058,161.719069989271,163.223236299097,161.533491277191,159.70447284345,160.678971654581,159.646379476663,160.912007988621,161.641067097817,161.7735427,162.694108735323,162.966590094246,166.493236212279,168.790637191157,156.681556948798,177.488405280057,179.255743828717,188.123585132999,187.778098815371,190.54688445402,191.618107503433,190.56663154523,193.055375601048,194.498149802734,178.56994047619,180.279112331274,184.851694915254,187.606911532926,195.329087048832,194.895879184221,195.329087048832,193.054303556883,194.73241804427,190.294285228427,190.046782127185,188.712671054336,188.433756940828,191.632655779919,193.521594684385,193.789853063488,195.664414414414,198.111466103327,204.03324290889,207.075962539022,207.311000614858,201.541850220264,201.370567288984,203.14684076152,203.802068772715,204.088930380498,208.729649509676,212.763854840803,213.894837021175,216.794731064764,220.006538084341,220.954456676416,222.895408163265,221.356088187702,221.260289525972,219.320066334992,217.821229050279,218.893059546979,222.727032859278
"Atlanta, GA",9,111.479502513294,110.375833715099,110.394581861013,110.149741245895,109.104034417647,108.213245938984,108.213245938984,107.142857142857,104.095529261701,102.909972719006,99.7555671757275,97.3046574373567,95.026924295217,93.2057666003354,92.179159252669,91.9637804187889,91.7042889390519,89.8919011000012,89.2456836535784,87.5367576271508,87.3815165876777,88.0094506792676,84.0566606389391,82.4191210158852,82.4009895126431,82.5082508250825,85.5018587360595,86.3809194607674,88.6136363636364,90.1015644367246,88.3255813953488,87.4504315372055,88.9494549058474,90.0900900900901,99.4520445873153,100.015678896206,100.899552641955,102.531737999379,104.360497593021,106.736806380451,108.616944243302,109.604845687915,108.839674427409,107.704233772116,106.6718386346,106.125053168864,106.057629338572,105.643302080927,105.011799410029,106.567164179104,107.318318905287,112.420382165605,113.228155339806,111.38504848787,111.466946804536,110.069192352433,111.053272773373,111.097400908091,108.611139369278,110.491228070175,110.655737704918,112.907072863675,114.002172150959,113.850415512465,116.90335357803,117.685147521423,112.327909887359,110.727848101266,109.928290766208,111.395289946822,111.627689429373,109.097174362509,108.122448979592,115.557202133966,116.782006920415,119.243058017971,120.685679637025,118.07400066072,117.761607261944,117.965720292403,116.315136476427,117.785630153121
