"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,161.006711409396,160.973782771536,160.3125,158.623017212285,158.163265306122,155.075939248601,152.792514103093,148.888888888889,149.384885764499,146.956275671481,145.686512758202,141.042944785276,138.844504883703,138.819444444444,137.532301250019,133.333333333333,134.791376965317,134.907251264755,133.695305346688,133.266666666667,134.005449591281,133.771929824561,132.849503437739,131.448412698413,129.858073106056,130.742049469965,131.039089410883,130.662020905923,130.348369923004,131.066120218579,130.872483221477,129.352941176471,130.329457364341,129.757785467128,137.065637065637,136.622807017544,137.548705323935,139.420111042566,141.918096290691,144.333333333333,146.14185502728,147.383689744897,146.004098360656,147.188999364907,148.601398601399,148.092064714946,149.383173239354,148.243902439024,148.340983384428,151.145785594256,152.884615384615,155.333333333333,157.164345571833,158.602973615419,158.164556962025,158.297343260188,159.501773049645,159.557179005122,159.420717874967,157.384987893462,159.313112745098,159.54415954416,160.16713091922,162.473498233216,166.533333333333,167.5,166.914794031906,167.433097799411,169.214285714286,169.745776784432,171.585014409222,171.602288984263,173.611111111111,176.060848678943,176.387068468027,180.277031636395,180.314960629921,182.319925163704,183.430321592649,182.758620689655,187.468442605214,187.754069239032
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.794117647059,322.314049586777,319.040697674419,317.633984415521,320.796197266785,320.815450643777,325.717178188144,329.793662378737,333.333333333333,333.333333333333,333.574942638573,335.538005923001,333.778371161549,333.333333333333,329.133858267717,329.297072671668,337.259521005104,339.63282937365,344.95161240294,348.909381554944,350.875206885137,350.444225074037,354.14979757085,355.049650530778,355.258799616381,351.92,354.222926484892,358.736059479554,364.617940199336,367.739678096571,369.377259822051,370.99724279064,373.968835930339,375.518141228579,375.15762925599,375.988937034219,376
"Chicago, IL",2,182.626618071471,183.481012658228,183.25,181.443461829176,176.435406698565,176.846153846154,170.454545454545,169.38950988822,159.711327267022,162.942271880819,160.130718954248,153.329439252336,149.079949238579,146.571534667945,146.513470681458,144.958333333333,142.32,140.279169450011,136.363636363636,132.666666666667,130,126.530191972077,123.399411905326,121.278919058149,119.923076923077,121.072796934866,119.375387982901,119.051981763846,119.92,118.147573710074,111.111111111111,109.776473526474,108.183639485872,106.827894327894,108.333333333333,106.533333333333,107.585703865791,109.730848861284,112.793979303857,116,118.920481875027,121.666666666667,121.428571428571,120.314880650076,121.329479768786,119.947924187726,118.89617916132,118.307692307692,117.380952380952,124.356421956197,129.853474997961,134.915137201979,136.555555555556,137.772675086108,135.050251256281,134.406848231177,134.569377990431,133.25,131.810193321617,127.090301003344,126.647473627812,131.893361136705,136.640625,136.82016082605,138.5,140.08067906274,141.646489104116,139.8470533345,138.837721444651,137.776200980392,135.452272727273,134.989164086687,136.262570083482,140.231149903009,143.333333333333,147.087378640777,149.025510120193,151.146584307412,150.386460040984,148.87537993921,149.888888888889,151.007326007326
"Dallas-Fort Worth, TX",3,114.488992009644,113.025309100824,112.408455077666,113.321635162746,112.035851472471,112.429378531073,112.456747404844,109.387633769322,109.247847093044,107.415600397794,107.431749241658,104.169381107492,102.902797358365,106.396372903946,104.855289463251,104.702873231925,104.959919839679,105.309488777335,105.349033749678,104.382470119522,104.550209205021,106.24584717608,105.508145849496,105.38183113126,106.408706166868,106.890164941936,107.299618320611,108.195350254088,108.952702702703,107.245080500894,105.798465864219,105.569782330346,104.170286707211,107.023411371237,111.443988109769,111.742918265594,112.939841089671,114.553314121037,116.342592592593,119.496855345912,120.620217478856,120.615868955679,119.982847341338,118.972140181702,124.295190713101,122.343341291119,123.713712738752,119.089360119048,118.524031190793,120.075866429105,120.223427208721,125,129.720960415315,120.475113122172,118.736827590617,119.377990430622,122.640723071896,125,126.035550216257,130.993701532713,134.259259259259,134.07523632419,138.984771573604,139.623896857661,140.234301060815,138.254800418274,136.712178365275,137.447108603667,141.511115260144,141.653905053599,143.776824034335,147.239328648241,151.772280224397,151.940491591203,157.957110609481,158.336721785488,164.21495722147,165.418631913879,165.258905618803,168.690601900739,170.651457359672,173.204242795116
"Philadelphia, PA",4,124.303615766605,128.00315084679,133.601338631258,131.583124477861,132.669343384683,132.079283353472,132.383217141282,129.101123595506,131.045191689869,128.951747088186,126.78546277666,121.423008455719,121.09955423477,124.423963133641,122.80701754386,121.395080467418,124.9375,123.134328358209,119.388928199897,118.518518518519,116.662852784134,114.12037037037,112.667868951007,106.55737704918,109.159663865546,112.466246624662,111.562998405104,111.917562724014,112.771739130435,114.673250951757,111.111111111111,108.730298979158,108.422025966184,109.686346863469,112.453543187348,110.688972274338,111.243224744251,114.768329554044,119.73451157706,120.854591836735,124.999431818182,126.244058229352,120.480937903984,117.1875,116.746178719738,116.959064327485,118.004722550177,115.982142857143,114.433383388567,115.782449725777,120.951417004049,124.519230769231,125,124.636174636175,121.96751556683,119.6875,119.659399150417,118.540238411951,116.712548814822,113.554263290179,112.5,116.545189504373,121.353762135922,125.82056892779,127.057407165027,126.624696558539,122.937293729373,120.535714285714,120.357142857143,120.886981402003,119.735109128051,115.823517702123,114.569294699012,115.288461538462,119.189511323004,123.152709359606,124.5767516069,124.597343227663,122.547683923706,120.481927710843,121.458333333333,122.309197651663
"Houston, TX",5,96.480686695279,96.6437525272948,97.4852769756039,97.1861471861472,95.9075031103455,95.3858106321079,94.1213609898108,92.8826815642458,93.75,93.6984246061515,95.7799145299145,94.3214897287978,94.6215139442231,93.0372148859544,93.638800241954,92.5925925925926,93.4195064629847,90.6095297029703,88.59357696567,87.719298245614,87.4375,88.1696428571429,88.4040604117005,88.5809312638581,89.7153632037353,89.5450145208132,89.7672086148649,92.4606845513413,93.3404864091559,93.0232558139535,90.352628077179,91.0364145658263,87.6502599090318,86.6748134290829,88.0908395762224,91.8161434977578,92.9069767441861,94.6794735234132,96.477125289107,93.0518807346547,94.1268844221105,96.2099125364432,96.5469613259668,101.215189873418,105.828153366221,105.457755847753,107.538461538462,106.721105527638,109.131513647643,110.29916625797,111.923509561305,112.635324888078,118.918918918919,124.129284775097,119.926244622004,121.25,127.026402830551,126.746506986028,135.281385281385,136.986301369863,142.613780886358,146.163215590743,150.80174763912,161.200716845878,152.303560668826,140.607690437742,156.459304018637,161.830170015635,164.133275261324,164.133275261324,164.818811670194,166.780598958333,166.602564102564,172.402135282897,169.197293298023,172.249412232193,175.657894736842,173.393491802652,173.245448461657,177.15613190454,178.110811754727,175.373134328358
"Washington, DC",6,192.780172413793,194.235588972431,205.318973775596,214.375816993464,211.538461538462,206.63125,201.980982567353,195.315138888889,190.634104244775,191.029723991507,188.432655686754,179.06184806613,174.180107526882,174.242424242424,174.559841879503,173.175853018373,178.743961352657,184.103920148021,170.765027322404,181.763930133793,185.059018103854,184.959349593496,177.989821882952,170.51656920078,167.861425145598,172.415940224159,178.914644954027,183.082836101704,189.337121212121,195.814781834372,190.942780729423,187.200832466181,188.172043010753,189.917127071823,200.371854613234,193.30985915493,194.511907664797,204.081632653061,213.924662915159,221.709474613476,228.253116665633,227.830296268078,226.775956284153,223.684210526316,233.115468409586,231.311138146247,228.124323046929,219.969203695557,216.165413533835,223.553323768532,232.638888888889,235.813384385397,241.854838709677,243.243243243243,239.95466446365,233.606557377049,236.185383244207,236.952609478104,231.136717580114,222.584147665581,218.133779463089,221.296296296296,227.733485193622,232.060446022749,234.455370650529,234.082397003745,217.35248447205,229.145451459606,233.644859813084,232.465552292749,229.111957354569,227.207792207792,226.590421729807,231.01119931866,239.271763392857,247.10683713784,247.934941520468,250.941649642492,248.47435703273,241.803260483298,244.665178571429,244.996549344375
"Miami-Fort Lauderdale, FL",7,146.354883081155,143.013013341843,137.614678899083,132.972445887808,135.557184750733,130,126.262626262626,128.06831228473,126.271186440678,122.377134027964,126.191035744441,121.086765086765,118.59649122807,129.264349232013,120.323169783299,113.22188449848,117.77423920736,117.647058823529,117.647058823529,118.405656254411,125.711968485691,126.342387871131,130.04445732588,132.317880794702,122.307692307692,118.355263157895,118.072289156627,114.372699961457,109.83473977437,111.608394760035,119.541375872383,120.481927710843,121.251920815844,112.079439252336,130.654761904762,134.459036898061,142.341463414634,146.465018372235,149.230769230769,151.429773929774,148.936170212766,150,149.629102450836,152.823529411765,153.186433260394,157.692307692308,166.288737717309,165.315034310667,165.924276169265,165.47619047619,163.755458515284,164.131812420786,160.845839017735,163.355999080601,161.885775862069,164.585698070375,166.994390703712,168.761726078799,175.059952038369,178.794178794179,176.862479244272,178.173913043478,174.928571428571,171.870967741935,179.317689530686,178.069480169887,178.461538461538,183.273724641372,186.256218905473,188.192007436196,204.938271604938,205.518018018018,205.442362835513,208.604954367666,204.906204906205,211.402225619232,212.577502214349,217.63377037562,221.734310228478,221.799746514575,228.390026785894,231.612903225806
"Atlanta, GA",8,114.42992363801,114.166031987814,115.434795775881,118.617472434266,116.469569262599,111.367013372957,106.467927375227,98.9304812834225,102.97619047619,105.67370951417,104.082435089838,102.34962406015,100.40733197556,99.562363238512,97.167325428195,92.3910287561537,92.5925925925926,90.7187718073971,90.6765676567657,88.8888888888889,90.9910009219545,92.145900382204,91.1627930187838,90.6,88.8605442176871,88.3072835635128,87.2315573770492,85.6898029134533,86.659125188537,88.4101092727193,86.4304235090752,86.6,89.7174968913322,91.2099205685878,92.5925925925926,91.2911084043849,92.1390301825084,93.599776411403,94.8175182481752,95.7006474002025,98.5401459854015,100.358422939068,101.037684325505,99.9178532311062,103.507014028056,102.866562590985,101.642660796793,97.5935216152607,96.7741935483871,101.018675721562,102.766142572318,114.379310344828,113.372781065089,116.421568627451,114.737237630448,115.286080273271,116.071428571429,115.651417469722,112.817988507343,111.385658914729,110.123990381651,112.359550561798,113.66341991342,112.562951149908,113.103318250377,113.312202852615,111.859502359502,106.356382978723,103.820638820639,104.527272727273,103.839944835972,103.9978106185,103.626943005181,106.086956521739,107.848823831109,110.94674556213,111.815754339119,114.898965007393,118.804034582133,122.42156586244,125.143513203215,125.888888888889
"Boston, MA",9,228.360389045641,234.95,240.373665769069,243.327023616369,241.596638655462,240.465416936005,231.287726358149,223.822985074627,225.24609148813,227.185314685315,230.152131270387,224.163909680346,221.76413890661,220.635651773376,222.680389443661,226.345597002214,233.305048790836,227.479579929988,222.935085259029,220.181818181818,217.225130890052,217.141767756495,205.746559545593,203.405572755418,209.982100238663,214.249684741488,222.12962962963,226.385141198532,225.815021768194,223.529411764706,218.281172828941,214.95,215.80310880829,215.521950159374,213.241966478061,209.763106251752,210.808435852373,216.996231776625,227.973792091649,232.87307488051,235.607803379797,237.216657880865,232.932119238578,226.382306477093,233.14606741573,233.183306055646,230.393502635763,227.536231884058,229.593372071051,235.565312810909,243.165024630542,249.895833333333,251.708896995782,248.36390174521,242.745098039216,239.583333333333,241.118421052632,242.480942480942,240.641711229947,234.1824157765,235.059904153355,236.811360509116,248.454545454545,257.380073800738,258.541666666667,259.488015607581,252.525252525253,245.678470113332,250.918824660835,253.573028322635,252.207428170988,248.637021892836,252.178899082569,260.530569028868,264.380165289256,268.824701195219,269.78835978836,272.910741066349,272.063037249284,267.704918032787,278.247422680412,280.68803752932
