"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,169000,169900,169900,169900,168990,165165,164900,164000,167000,159990,155000,149900,147900,147000,147500,144990,148000,149000,148900,147500,145000,144900,140000,139900,139900,139900,141000,142000,144900,144900,141900,141900,140000,142900,165000,165000,165000,168900,169900,174430,175000,178500,178900,178000,179000,178000,175000,175000,174500,177500,179900,184900,187500,189000,189000,189000,188950,186721.5,184900,180000,184900,189000,189900,194900,199000,199900,199700,199000,199900,199500,199000,197000,197900,199000,199999,209000,210000,214900,214900,214000,214900,214900
"New York, NY",1,369000,369000,369900,369000,369000,365000,359999,359000,360000,359000,350000,349000,344900,339000,349000,349000,349000,349000,347500,340000,339000,337900,330000,329000,329000,329000,334000,334999,335500,329900,325000,319000,319000,318000,349000,349000,349000,349900,358000,355000,359000,350000,350000,349900,350000,350000,359000,359000,359000,359723,369000,369000,375000,379000,375000,375000,375000,379000,379000,379000,384999,385000,384500,382450,389000,389000,389000,385000,384900,389000,384500,379250,397800,399000,391189,399900,399000,399999,404900,399900,4e+05,405000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488000,479000,469000,475000,485000,499000,505450,519000,524925,520000,519900,510000,504000,489900,495000,510974.5,524900,538900,555000,559888,559900,565000,567695.5,569000,564000,562500,559900,569900,579982.5,590000,599000,599990,599000,599000,599000,598000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,171100,174900,169900,179000,189000,195000,199400,199950,2e+05,199900,196747.5,192500,189000,180000,184900,189900,199900,208999,215000,219000,217250,210000,209900,204900,199900,198000,199000,199900,210000,218288,219000,225000,224995,220867.5,224900,224900
"Dallas-Fort Worth, TX",4,129500,129900,131000,134000,134000,134000,132000,134000,139900,135000,129990,126430,125000,125000,125000,127000,129900,131000,129950,129000,125000,124970.5,124500,119950,120000,124500,121000,121100,124900,128500,125000,124900,122300,125000,144900,145000,145000,149500,153900,157500,159900,159900,159900,159900,159900,159900,159373,159900,158000,159900,164900,168000,169900,167500,169000,174900,174000,174900,170996.5,174900,179900,183500,189900,189900,189900,189900,189900,189900,192500,193000,195000,195000,198990,195000,2e+05,208990,213990,217800,219000,219900,219900,225000
"Philadelphia, PA",5,189000,189900,196000,196900,194900,189900,189900,187700,189000,183000,179900,172000,169900,172000,169900,169900,174900,169900,169500,167500,160000,159990,159000,152000,155000,159900,159900,159900,160000,159900,155000,149900,149000,149900,169900,169000,166900,169900,177000,179900,185000,189900,184900,179900,179900,179900,175000,175000,169999,174900,179990,189000,190000,190000,187900,184900,184900,180000,179900,170000,174000,179900,189900,195000,199900,199000,189900,187900,189900,185000,184875,179000,174900,175000,185000,194900,197900,199000,194984.5,189981,190000,189900
"Houston, TX",6,129000,129950,133000,134746,133000,132900,130000,130500,137500,135000,137000,134935.5,133990,133900,132000,132000,134900,135000,135000,135000,129900,130000,127900,128990,129000,128000,129500,129900,130000,130000,130000,132460,130000,130905.5,139900,140990,140700,149178,150000,154900,155487.5,157495,159000,159900,160000,164900,159900,160000,163805,169000,171000,178950,179500,179773,179900,183900,184900,185992.5,188995,199500,205000,212950,215950,225950,215000,209995,224789,228950,230000,232000,232000,239000,240000,229900,233000,233467.5,230000,234000,229950,229000,226901,226690
"Washington, DC",7,235000,239888,249000,254900,250000,249900,247787.5,245000,250000,249900,239900,229900,220000,224298,225000,224900,229000,235950,225000,237990,239900,239000,235000,230000,229900,230000,239888,249900,259550,265000,264900,259900,259000,265000,289990,289900,290000,299900,310000,319900,325000,329735,325000,324990,329000,326352.5,319900,315000,314900,321990,332500,337167.5,345000,343900,340900,339900,339900,339900,339000,332416,328945,329990,339000,345000,349900,349900,335000,344300,346810,349000,344900,344444,339990,340000,349900,362481,365845,369950,365000,359900,359990,360000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,249900,249900,250000,250000,255900,257000,259900,254900,254900,259000,259900,265000,267000,269000,275000,285000,279900,269000,270000,285000,289500,295000,299000,3e+05,309990,314994.5,317000,315000,325000,325000,325000,325000,329000,334900,335000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,134900,129900,135000,142000,149900,150000,154000,154900,152000,150000,149900,144000,139900,143900,148900,149900,152217.5,157000,159611,157000,158900,158900,155000,152500,151900,154500,154900,159900,164900,169000,169900,172500,171000,171711,172687
