"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,399500,399900,399900,399900,399000,399000,398500,395000,399000,389500,375000,359000,349900,349900,348000,340097.5,349000,349000,349000,344900,345000,339900,334900,325000,329000,335000,339990,344900,349900,349000,344000,340000,340000,349000,399900,399900,399900,412300,419000,425000,429900,429900,429000,425000,425000,425000,425000,420000,419900,429900,435000,440000,444900,440000,439000,435000,437500,434000,429900,429000,429900,439000,446990,449900,459000,464900,459000,450000,449900,450000,449990,449000,449500,460000,470000,479000,479900,479000,475000,469950,474900,475000
"New York, NY",1,579000,579000,589000,584450,585000,579000,575000,574900,575000,565000,554900,549000,529000,525000,539000,545000,549000,549000,549000,548000,539688,539500,539000,529000,539000,539000,549000,559000,570000,559000,549900,549000,549000,549000,599000,590000,588500,595950,599000,599000,599000,599900,6e+05,599000,599990,599000,599000,625000,619000,600044,609000,649000,690000,7e+05,699000,699000,679000,698900,649000,650000,659000,649000,656500,719000,719000,675000,689000,699000,729000,745000,775000,769000,799999,799999,799000,849999,825000,849000,845000,799000,799900,819000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070000,1075000,995000,975000,989000,1058250,1099000,1099000,1099000,1090000,1099000,1088800,1089000,948000,1000713,1049000,1099000,1119500,1195000,1225000,1200000,1199999,1199000,1199000,1198000,1199000,1202697.5,1248000,1249999,1250000,1285000,1299000,1299000,1285000,1290000,1284900
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,287500,269900,299000,309000,324900,349900,350000,339000,330000,334900,330450,324900,299000,284900,299000,329000,330000,344426.5,347000,340000,345000,344900,345000,335000,324900,315000,329000,359000,375000,379900,379900,369700,354900,349000,334999.5
"Dallas-Fort Worth, TX",4,374000,374900,374900,375000,375000,374900,375000,369959.5,365000,355000,349900,339900,329900,329900,334900,349900,352578,339900,339000,329000,349900,348995,343500,335990,349000,350000,365000,367400,375000,379900,371000,359000,360000,365000,399900,402778,403138,419900,438990,441900,449000,440000,441934,438418.5,445000,435000,439900,450000,449900,450000,460000,474950,474900,467500,474945,486000,479900,485957.5,481195,489900,495062,499999,525000,529900,514900,510000,499900,499900,495904,499950,499000,488900,493900,499950,509900,515990,516040,509250,510000,510000,510000,496020
"Philadelphia, PA",5,429900,429000,430000,425000,430000,425000,425000,419900,425000,415000,4e+05,398900,385000,394897,379000,379900,394900,384900,389900,380669,375000,383700,389900,379000,398695,399250,415000,417500,439900,429000,429900,424000,415000,425000,460000,449999.5,449000,465000,480000,486500,519900,539000,479900,464900,459900,462950,450000,474000,449900,449900,477000,499999,530000,525000,475000,465000,489900,450000,465000,475000,439420,449900,479900,495000,525000,525000,497250,495000,489000,485000,475000,460000,450000,473800,484950,520000,519900,525000,500450,499900,5e+05,525000
"Houston, TX",6,355000,359900,360000,359900,357000,353750,349900,349000,342950,335000,333942.5,331270,329000,332797,332000,339850,340000,339000,335990,327695,325000,329807,325000,330000,324990,325000,335000,344900,345495,348000,343990,340000,340000,340000,350760.5,361490,360000,374900,379997.5,385495,397600,403509,408000,403702,410000,415990,417697.5,424900,420000,433990,436990,450000,449730,456384.5,458990,460000,469800,469995,469267,474900,479650,482296,485000,492990,489884,482746,479900,479000,470000,475000,474900,465509,476990,469000,469950,475000,475683,470000,459990,459170,453000,444700
"Washington, DC",7,575000,573900,565000,587500,587750,585500,575000,549900,549952.5,559000,549999.5,525000,499900,5e+05,525000,550000,569900,569000,549900,549000,550000,549999,549900,529000,569900,618000,618000,649900,678000,675000,650000,649900,650000,669700,729000,729000,699900,699994.5,739995,775000,795000,799900,799000,785000,799900,799000,784974.5,775000,749000,780000,792000,788444,798000,789700,779500,769900,769450,759990,749900,739000,738995,744900,750000,759900,769900,764900,739900,729900,749900,749900,749990,749000,741497.5,780000,789990,799994.5,799000,789890,779900,779000,787465,799450
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,749450,759000,775000,789000,750000,774650,765000,679900,695000,699000,699500,750000,765900,750000,749000,750000,725000,710000,699000,699900,724900,733995,725000,749900,766645,799000,809990,8e+05,775000,775000,793875,799750,799900,834990,855900,890000,879900,895000,890000,879999.5,875000,880000,865000,849900,849900,874495
"Atlanta, GA",9,379900,379242.5,380000,384999.5,379900,375000,375000,375000,350900,349000,325000,301137.5,3e+05,299900,299900,3e+05,309900,299900,299900,290000,296245,299000,282963.5,275000,279900,280081,295000,3e+05,314350,319900,308235,302900,305994.5,308937.5,359628,360000,363950,369900,378537,389000,395000,399900,399900,397450,393500,388945,385000,384900,380650,389215,389900,407762.5,409900,399900,399000,399000,399900,399000,384900,390000,393500,400900,408900,403357.5,419900,424900,399000,390000,386599,391893.5,391900,379900,378975.5,409140,411412.5,424000,424387,409900,409445,410000,4e+05,403245
