"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,192000,195000,195000,190525,190000,189000,180000,179000,178500,174000,169900,164900,161000,164000,162900,159900,162900,162900,160000,160000,161590,160000,159900,159000,158000,159000,159900,159900,159900,159900,159000,155000,158000,157900,175000,175000,178000,179900,184900,189000,189900,189900,189500,189500,189988,189900,194890,189900,190000,195000,199000,199935,205000,209000,205500,209000,209900,209900,209900,205000,209500,209900,213900,215000,219900,220000,220000,222000,225000,225000,228800,228500,229900,233000,234000,239000,239900,240000,244900,240000,249000,249000
"New York, NY",1,319900,315900,299900,3e+05,325000,321450,314250,312000,320000,325000,320000,317000,317990,289000,314900,315000,305000,299000,289900,284000,279850,279000,275000,275000,275000,279000,275000,285000,285312,285000,280000,275000,279000,275000,279500,279000,284900,285000,289950,299000,298900,290000,289000,288000,289500,289900,324900,321000,335000,329000,345000,358894,368000,399000,385000,389000,385000,380000,383000,396893,439000,413653.5,415557.5,419000,425000,445000,439000,429990,450000,475000,475000,478000,549999,550000,499000,549000,499900,5e+05,515000,499900,529000,549000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,389000,389000,395000,399900,409950,415000,415000,415000,420000,420000,419000,409000,4e+05,425000,430000,444000,449000,450000,449900,449900,450000,450000,449000,449000,450900,464500,465000,469000,474500,479800,479000,479000,479900,479000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900,159900,157900,169500,179900,189000,194900,195000,194000,189900,189900,189000,184900,176000,174900,184650,189999.5,190000,195000,198900,195000,190000,189900,189000,184900,180000,185000,195000,199900,209000,209000,210000,209900,204900,209900,210000
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178999.5,182499,180950,190000,199000,2e+05,205000,2e+05,199900,195000,195000,2e+05,209450,212000,219900,229000,226000,232500,236900,247500,247950,248000,249000,250000,255000
"Philadelphia, PA",5,149900,151750,159900,159000,157900,155900,156000,149900,153900,149900,147000,139999.5,140000,145000,144900,140000,148500,144900,139900,139900,139000,134900,134900,125000,129000,130000,129900,129900,130500,134000,129900,125000,125000,127700,130000,129900,129900,134900,141968,145000,150000,154400,144900,139900,139400,139900,139900,139000,135000,138900,145000,149900,149900,149900,147450,144900,144900,142900,139900,137999,134900,139900,147500,152500,155000,154900,149900,145900,145999,146000,144900,139900,135800,138945,144900,150000,154900,152400,149900,145000,148900,149900
"Houston, TX",6,115000,114900,115000,114900,110000,110000,108900,104900,108000,109900,112055,110000,110000,110000,109000,106000,106000,102500,1e+05,100250,101700,105000,99900,99900,99500,99900,99999,106000,109900,109000,106000,109000,1e+05,99000,1e+05,106000,105000,110000,112000,107900,110000,110000,108949.5,113250,119000,119900,124990,120000,125044,130000,139900,145000,147950,149000,144900,145000,149700,150000,160000,169000,174900,175000,178483,184900,169900,157500,175000,179900,180750,180000,187625,194900,195000,199949.5,199900,199900,205000,199990,204945,215000,210000,2e+05
"Washington, DC",7,240000,245000,250000,260000,259000,250000,249000,247000,239800,234900,229000,220000,214800,215000,219000,219900,225000,229950,214999.5,229000,231975,235000,225000,219900,215000,219900,229000,235000,240000,249000,244900,239900,239000,239900,253900,249900,250000,260000,274000,279900,285000,289000,285000,285000,289900,289000,283000,278500,274999,282000,290000,295350,299990,3e+05,299900,299000,299900,299900,295000,285000,279999,284900,289900,295000,299000,299000,279900,291995,298000,296900,289900,289793,288372.5,290000,299990,314900,314900,314900,311500,305000,309000,309000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000,169000,175000,177000,179900,179500,179000,179000,175000,175990,180000,189900,189900,190000,189900,189900,189900,189900,190000,188990,190000,195000,198246,206945,210000,205000,209900,205000,199999,207500,205000,212000,219900,224900,225000,240000,247000,239900,244900,239000.5,249000,249150,252000,256900,255000,260000,265000
"Atlanta, GA",9,145000,145000,149900,149900,149000,144900,144900,139900,139000,133000,129900,125000,125000,124900,124900,119900,119900,118000,115000,112900,114900,117990,112900,111900,114900,113000,114900,113900,115900,118000,114700,114900,119900,120000,127500,127000,130000,135000,139900,142500,145000,145000,147500,145000,147000,140500,144900,137900,138900,139999.5,145000,145000,145000,150000,155000,155000,157500,159000,155000,150000,155000,161995,170000,170000,169900,173404,167500,187500,189900,193900,193140,193000,189935,193400,189910,193000,199900,2e+05,202140.5,2e+05,2e+05,206000
"Boston, MA",10,259900,279900,289000,289000,289000,285000,279000,274900,274900,275000,275000,265000,265000,260000,263950,269900,279000,279900,279000,279000,278000,277000,259900,258950,269444,278000,284700,289900,289900,289900,279900,275000,279900,279000,279000,269900,279000,289000,299900,306900,314000,314900,309450,299900,310000,309000,309700,299995,309999,330000,324500,325000,329000,324000,315000,310000,319000,319900,319997,317650,320000,329000,339000,339900,339900,339000,329900,324000,329900,339000,339900,339000,344900,360000,373917,379000,379000,379900,379000,369900,399000,390450
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465000,450000,460000,489000,489000,498000,499000,489000,489000,488944,499000,498000,495000,471900,469500,509999.5,529000,549000,576500,575000,558238,549950,578500,6e+05,619950,599000,599000,615000,640000,649000,649000,649000,625000,6e+05,640000,649000
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129900,129900,129949.5,136900,139738.5,142000,149500,149900,144900,149900,149900,144900,137900,134900,137500,144900,142000,144950,150000,158950,154900,154900,153250,153750,153900,149900,151900,155000,155000,159000,159900,164900,164500,167449.5,169900,170000
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,237250,229900,229000,229900,235000,245000,250000,258000,259000,259000,259000,260999,258800,254000,249500,249900,249990,255900,257000,259900,269000,269000,270000,273000,274950,269000,264900,269000,273000,279900,279250,279900,279900,279650,279000,278999.5,279000,279000,276000,279000,279000
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150900,150000,154900,154500,152000,154900,155000,156450,153950,151000,157850,160000,163500,161749.5,166000,169000,169000,169900,173400,169950,160000,169900,179000,179900,185000,187900,189900,189000,185000,187000,189900,189900,189000,189000,190000,192000
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,230000,225000,229500,235950,245000,249950,254000,256950,254850,250000,249950,239500,224900,235000,255000,265000,269999.5,270000,270000,274900,275000,285000,279995,275000,274990,275000,289000,299000,299950,309888,307500,307500,3e+05,305450,299994.5
