"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,179000,168983.5,179900,179900,179000,179000,174975,174000,169990,169000,170000,189000,190000,189995,198990,195000,199000,199900,199900,199900,2e+05,2e+05,209000,216040,210000,204000,210000,219000,214900,215000,219000,215900,214900,215900,214900,214900,210000,209900,213990,215000,215000,223000,230000,226000,224900,220000,219900,217500,214000,218000,219000,224900,225000,229000,229950,229900,229900,235000,234999
"New York, NY",1,489999,488000,495000,489000,489000,485000,486700.5,489000,489900,486800.5,480000,479000,476000,475000,479000,479000,479000,479000,479000,479000,479000,475000,475000,475000,469000,475000,469900,469945,475000,469000,469250,475000,469999.5,469000,485000,489000,489000,499000,499000,499000,499000,499000,499000,5e+05,510000,519000,525000,529000,529000,529000,529000,529999,549000,550000,559000,565000,569000,559000,554900,550000,550000,549000,549000,569000,580000,584900,590000,599000,6e+05,619000,639000,639000,649000,649000,649000,675000,675000,689000,685000,678999.5,675000,679000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439888,447600,450500,469900,474900,499000,511995,525000,555000,565000,575000,589000,575000,596000,570990,575000,575000,599000,610000,625000,644000,649000,639000,639000,625900,629000,638000,649000,649900,679000,695000,698000,699000,709900,7e+05,7e+05,720000,706212.5,7e+05,719900,735000,738944,753444,775000,779000,775000,795000,785000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,155000,150000,159000,165000,159945,168000,179000,179700,179900,185000,184700,174900,165000,159900,160400,170000,180000,190000,194700,190000,199000,190000,199000,190000,185000,185000,184970,194900,209000,205000,2e+05,199940,199900,2e+05,199900
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,155000,159900,158250,159900,160000,162500,152500,156500,147900,148500,145250,160000,160000,160000,169000,158900,154900,159000,150000,149000,144250,159900,168500,169950,169950,180000,180000,179000,178000,175000,175500,175000,179900,187950,175000,179900,190000,194500,199900,208825,220000,215000,212450,220000
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,189900,184900,189900,187000,189900,188945,199000,209000,199000,189900,194500,189900,189900,179900,189000,189900,194900,199900,199900,198000,194900,199945,2e+05,199990,199990,199900,199000,199900,199990,205000,204990,199999,199900,199800,199945,199900,199900,198000,209900,210000,214990,199900,199994,199900,199900,199900,196250,189900,194999.5,195000,198500,190000,2e+05,204900,199000,2e+05,199999,204900,205000
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,249450,249000,254950,247000,239900,249700,259000,249000,240000,255000,269000,269000,299000,284999,290000,299000
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340990,345990,346492.5,343990,349990,359900,357890,359990,359146,369740,374990,365095,359990,370302.5,375000,380690,375000,383000,395000,384990,395000,379945,389900,398195,377035,375000,369990,369990,373000,384945,397100,394990,365495,387990,399990,399900,394995,408495,389999,407990,424950,454590,440000,469995,474990,499000,504990,5e+05
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000,249000,250000,249945,248000,249500,250000,250000,250000,260000,257450,249000,255925,256000,269000,275000,279000,269000,270000,279900,285000,295000,299000,314900,310000,316000,312000,3e+05,329000,339950,335000,349800,349900,373500,379900
"Boston, MA",9,320000,325000,329900,349000,349900,349900,349900,342900,339900,339000,334900,324900,319000,301900,299900,299900,329000,335375,329900,329900,325000,3e+05,309900,299900,299900,301950,319900,335000,339000,349250,339900,339000,329900,329997.5,339900,339000,336995,339900,350000,364387.5,375000,395000,389900,389000,389900,392497.5,383300,374950,369900,384900,389900,399900,409999.5,409999.5,409900,399999,409000,419000,414900,399900,399900,399900,424900,439900,444900,449000,449900,439900,445000,449000,439000,429900,419900,419000,435000,449900,459000,469900,479000,469900,469900,475000
"San Francisco, CA",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,751990,794000,795000,799000,799000,799000,799000,789000,799000,879500,898500,887500,849000,814500,867000,864500,925000,899000,879300,899000,949000,997000,995000,899000,895000,966000,1050000,1100000,1145000,1100000,1095000,1075000,1100000,1196500
"Detroit, MI",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133950,129450,125000,139000,145000,129900,120000,119900,118450,119900,119900,120000,122500,125450,145900,145900,150000,149950
"Riverside, CA",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239990,244900,250000,275000,289900,299000,299900,299900,299000,299000,299000,289950,279000,290000,289900,290000,289999.5,298750,310000,319000,299900,322400,305000,325000,324900,319900,324925,328944,315000,310000,320000,323450,323995,349875,345000,338950,342450,329000,334200,339700,349900,351950,354000,350000,350000,344900,350000,360000
"Phoenix, AZ",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,140000,145000,156000,160000,164900,167000,164900,159994.5,169000,165000,165000,169175,169900,169900,168450,165000,165000,169000,165400,159900,160000,164000,165450,169900,174250,175000,180249.5,179900,189400,215000,220000,219500,216000,215000,210000,220000,210000,229900,235000,230000,229000,231700,237000
"Seattle, WA",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,295900,3e+05,309800,309950,337000,349950,359950,375000,370000,370000,349995,320000,329475,329950,329000,329950,329950,329925,349950,375000,360000,350000,350000,350000,349992.5,352475,350000,360000,369925,4e+05,425000,409475,399950,399950,384950,394750,399900,389975,392000,419950,415000,429500,449000,453000,449950,437700,449975
"Minneapolis-St Paul, MN",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169945,179900,180997.5,179900,179995,179900,170000,178650,179900,172000,169950,164900,165000,179900,170000,189900,189900,189900,189900,189900,189932.5,195000,180550,185000,186000,194900,197450,199900,209900,204950,212500,214000,204900,203900,199990,202900,2e+05,199900,213900,214800,217575,209900,210000,215000,215267
"San Diego, CA",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578950,617000,647000,681500,690000,7e+05,650000,725000,735000,675000,685000,696500,696500,699000,695000,775000,749000,762450,799000,825000,810000,810000,787000
"St. Louis, MO",17,,,,,,,,,,,,,,109900,110000,109250,110000,110000,109900,100500,99900,94450,96500,94900,98500,90000,89900,89900,89900,96500,97000,89900,89900,95000,99900,99900,99900,99900,108000,109500,114700,110000,109900,109900,108875,109900,104500,99900,99000,1e+05,106000,104500,108900,102500,1e+05,104900,99900,104000,105000,1e+05,1e+05,105000,105000,105000,104900,1e+05,1e+05,1e+05,1e+05,99900,99000,95900,99900,97900,102500,99950,103500,104900,1e+05,1e+05,99949.5,105500
"Tampa, FL",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137800,141490,139990,147650,145040,150000,150499.5,150999,150000,144995,149970,150000,149900,149900,159945,153957.5,159000,160990,159900,159900,169900,179000,179945,179000,179900,179000,178490,194950,179990,179990,169250,175532.5,171469,185000,184950,190000,195000,194990,199900,199862.5,197032.5,207495,189000,189000,199000,199900,220000,229000
"Baltimore, MD",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292490,292990,297032,292990,299990,312990,312490,318423.5,299990,295107.5,297990,309175,292990,308990,319990,310689.5,314900,321990,311990,325480,328100,333710,348253.5,337532,335152,334990,335099,327324,318854,322276.5,323540,325030.5,317451.5,330490,333876,324950,317490,322995,329845,314240,313990,324990,314490,324990,335812.5,346400,331100,338213
"Pittsburgh, PA",20,,,,,,,,,,,,,,,,,,,,,,,,90000,89850,89900,89900,89450,89900,89900,85450,89900,90000,89900,89900,89900,89900,91000,98900,99500,99900,99900,99500,99250,99900,96900,94900,90000,97000,95000,95000,106900,105000,110000,105000,111900,109900,121900,110000,109900,110000,117450,117450,114900,119000,120000,118950,118900,119000,117500,114000,105000,99950,105000,104900,109888,109888,110000,114900,118000,110000,109900
"Charlotte, NC",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143900,143020,142100,143355,146825,145000,146990,148900,149900,149950,151900,145450,145000,152150,152400,152900,149900,152650,149950,146695,139900,149900,135000,125000,138000,149700,139250,139500,139500,144500,170200,154950,157450,152500,166400,149900,146400,129900,145400,142950,139900,142950,159900,149900,159900,170000,198500,185000
"Sacramento, CA",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298500,275000,299000,292450,3e+05,329450,339900,349950,349925,349900,345000,358250,360000,345000,319888,329000,325000,341745,349900,350000,359900,375000,375000,379950,375000,375000,375000,379450,377500,360000,390000,399000,417000,409454.5,399900,399900,399000
