"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,183000,188741,189900,197000,199900,199900,199900,199900,199900,199900,198500,197000,194900,199500,203900,210000,215000,217990,217900,215000,215000,214900,210000,205000,209900,214900,219900,224900,229000,229900,229500,229000,229000,228900,226900,225000,224950,225000,229900,237000,239900,240000,239900,239500,239900,239000
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369000,369000,379000,380000,385000,389000,389000,384900,379000,379000,379000,379000,379000,379000,379990,389000,398000,399000,399504,399000,399000,399000,399000,395000,390000,389000,390000,398000,399000,399000,399900,409000,399999,399900,399900,399000,399000,399000,399000,399900,415000,420000,424900,424000,415000,419000,410000
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570000,569000,549900,560000,578000,599000,615000,625000,625000,620000,619900,599995,599500,570000,589000,603888,629000,649000,675000,679900,679000,677845,675000,674900,670000,665000,665000,679995,699000,699000,7e+05,715900,715000,7e+05,699999,7e+05
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,199900,199000,209000,219900,228890,235000,239900,238500,234900,229900,229000,224900,215000,214900,224000,234900,239900,249000,249900,249000,245993,242900,239990,239000,229900,229900,239000,249900,259000,260000,267000,264000,259000,259000,254900
"Dallas-Fort Worth, TX",4,159900,159993,164900,165000,166900,168293.5,165000,166900,179900,174900,169000,161507.5,159900,159900,160000,162500,168000,170000,170000,164900,159900,159900,159000,155000,157900,159900,159900,159900,163000,166990,164900,159900,159000,160890,187000,189900,188990,190740,199900,205990,210000,211990,210000,209900,209900,209900,205500,210000,209900,214900,219990,225000,230990,226500,229000,234000,234900,237812.5,234999,247500,249990,259000,270000,270000,265000,264900,259900,259950,260000,268900,269766.5,275000,275000,270000,279900,282646,286850,288900,286990,287000,289900,299900
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,219000,220000,225000,229900,239000,239500,230000,229000,229000,228900,225000,229900,220000,224900,230000,239900,244000,244900,239900,237900,239900,235702.5,230000,224900,224900,229900,238998,240000,248000,246994.5,240000,239900,239900,234900,232900,225700,224900,225000,234900,239900,244900,249000,239900,235900,239900,235000
"Houston, TX",6,157900,159900,163000,164900,164183,164670,160000,162000,175000,174500,174900,170000,169900,169900,169000,169000,169900,174900,174900,171950,160000,162500,159020.5,159900,161900,163990,165000,169500,169900,169900,169500,169500,169000,169900,182000,187950,189000,197990,2e+05,207000,210000,215000,214990,214990,217000,223990,218900,219900,220000,229000,234500,244111,247053,248904,249000,250000,256450,259500,261025.5,275000,281990,287391,292462,299000,289990,283000,294500,298000,297500,299900,299900,306658,305950,292000,297000,295250,295000,295000,291990,289900,289000,289900
"Washington, DC",7,274999,285000,299000,305000,299990,299900,299900,299000,324900,325000,319900,299990,295000,299900,299999,3e+05,319900,325994.5,309900,310000,314990,312500,3e+05,299900,299999,311000,324900,339900,350000,355000,349900,345000,339990,347000,376990,369000,366600,379900,389900,399999,419000,420000,415000,4e+05,406000,4e+05,399900,399900,394990,399900,415000,425000,435000,433795,429000,424900,424900,424900,415000,402990,399990,410000,425000,435000,440000,439900,425000,428450,429900,425900,423900,419000,424900,425000,439000,459700,464900,459900,450000,445900,447990,445000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299900,299900,304900,3e+05,308000,310000,319500,314900,310000,312000,310000,314900,314900,315000,329000,339000,335000,318550,324900,339000,339900,339900,340000,349900,350000,359000,360000,364900,374994.5,375000,375900,378000,379000,380990,385000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,184500,178000,185000,198000,2e+05,208995,214900,215000,210000,205000,2e+05,199059,189900,195000,199900,199900,204900,210000,214900,213990,215000,214900,214885,210000,211340,213099,211048.5,219900,226592,234000,235900,235900,233290,231400,233400
