"RegionName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47680412371134,1.41666666666667,1.42857142857143,1.4066091954023,1.38297872340426,1.37174211248285,1.375,1.4573268921095,1.47368421052632,1.46323529411765,1.4695652173913,1.47744945567652,1.51071907315205,1.51351351351351,1.50833333333333,1.5,1.5,1.50655542312277,1.50976524121244,1.53846153846154,1.54545454545455,1.54938089084551,1.55405405405405,1.53731343283582,1.61155435473617,1.51981764464359,1.51389511709018,1.4930646113469
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89470423270071,1.96502732240437,2.00963287972057,2.05700549450549,2.06832545496924,2.09551916376307,2.12655172413793,2.16666666666667,2.18068535825545,2.17705167173252,2.17977528089888,2.19298245614035,2.21041666666667,2.21666666666667,2.23295944779983,2.25013312034079,2.26816348973607,2.29312762973352,2.29687267716445,2.30582524271845,2.34746639089969,2.34375,2.38295880149813,2.3839928057554,2.40148950575491,2.3992,2.4,2.41578947368421,2.43890977443609,2.42249778565102,2.4390243902439,2.38562091503268
"Dallas-Fort Worth, TX",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03675293668227,1.05827937095282,1.05412719891746,1.04685212298682,1.04703368526898,1.07692307692308,1.07326114015434,1.06694560669456,1.0948480277892,1.13154172560113,1.1353550295858,1.13364928909953,1.1811320754717,1.19955406911929,1.19067577061561,1.1749285709925,1.15425531914894,1.15307692307692,1.15841887183351,1.21036959533143,1.17562380038388,1.13108065889732,1.19483985765125,1.19420456740752,1.20955882352941,1.21845082680592,1.23809523809524,1.24606624549218,1.25273277740317,1.26341938214135,1.26869666656013,1.29976462441602,1.3052589235506,1.30915178571429,1.31774415405777,1.35153129161119,1.34076015727392,1.3561320754717,1.35849056603774,1.36099230111206,1.345541152758,1.39385065885798,1.33709613534771
"Philadelphia, PA",3,,,,,,,,,,,,,,,,,,1.07097902097902,1.07610859728507,1.14098765432099,1.03916976118284,0.914634146341463,0.954545454545455,0.991666666666667,0.92,0.933333333333333,0.967507274490786,0.998888888888889,1.01682972880192,1.14771182971756,1.21875,1.3082650273224,1.2843137254902,1.25,1.23093083387201,1.23972602739726,1.25,1.30813953488372,1.25,1.252,1.24563171096018,1.23986301369863,1.28571428571429,1.35502958579882,1.36188614494314,1.36363636363636,1.35304293412492,1.3328488372093,1.3125,1.30999974957248,1.28737541528239,1.28826929084661,1.32308743169399,1.37346609951018,1.39416637674158,1.41486486486486,1.40115050557428,1.39408866995074,1.38461538461538,1.36923076923077,1.36875,1.44405594405594,1.41659311562224,1.46161616161616,1.4896342019247,1.5,1.53988636363636,1.54721111111111,1.54994259471871,1.52924076607387,1.5,1.47373271889401,1.47664767531828
"Houston, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18423383525244,1.15284549570598,1.17846153846154,1.25840366103906,1.26802334611754,1.26505214433105,1.24212979588668,1.30749842470069,1.32515306634548,1.25206611570248,1.25656451978809,1.26859142607174,1.27268394141607,1.28410067275386,1.29910972608565,1.32734530938124,1.34106028501497,1.35152869404838,1.35029097575144,1.37037037037037,1.3572399068323,1.54946364719905,1.5136815920398,1.53425526736666,1.44903651837304,1.47375697463281,1.45579710144928,1.45984848484848,1.42739273927393,1.41129744042365,1.37393767705382,1.38427947598253,1.34827586206897
"Washington, DC",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98274723249848,1.81646000573395,1.8077519379845,1.81739130434783,1.95985832349469,2.04347826086957,1.98328025477707,1.93944095728425,1.85416765896642,1.91733547351525,1.92282831426867,1.91437299970905,1.95949509006498,2.07323027867738,2.09407163836036,2.25571428571429,2.28301886792453,2.172,2.11363636363636,2.0997375328084,2.05288932419197,2.04776579352851,2.14147909967846,2.13943355119826,2.18589743589744,2.16107994389902,2.15899581589958,2.16247139588101,2.15832769508345,2.16450216450216,2.14375,2.08088235294118,2.0625,2.08333333333333,2.11976047904192,2.11194968553459,2.11940298507463,2.10432957181519,2.11690930037704,2.04768456559146,2.0176507677472,1.94640338504937,1.95373134328358
"Miami-Fort Lauderdale, FL",6,,,,,,,,,,1.08664259927798,1.11059718367766,1.11111111111111,1.0707635009311,1.05215004574565,1.03189493433396,1.05857843137255,1.07267950963222,1.1,1.08333333333333,1.1094674556213,1.10181164495494,1.09090909090909,1.10984871591533,1.10841836734694,1.06309980465281,1.06434470968672,1.07665805340224,1.08333333333333,1.09756097560976,1.15107913669065,1.1887779362815,1.21232876712329,1.22472783825816,1.29411764705882,1.30434782608696,1.35294117647059,1.36363636363636,1.46520146520147,1.42380952380952,1.375,1.36,1.34431916738942,1.33638211382114,1.34328358208955,1.37388724035608,1.39413988657845,1.4018691588785,1.4328116567728,1.42857142857143,1.42967542503864,1.47967130777545,1.47849462365591,1.52631578947368,1.5969387755102,1.56875,1.52057245080501,1.56862745098039,1.55741626794258,1.57118967452301,1.59821173313962,1.649,1.70483682983683,1.6932802124834,1.70212765957447,1.7542091114884,1.8361581920904,1.77940106062182,1.76165803108808,1.70940170940171,1.66666666666667,1.68367346938776,1.75478577939836,1.718536349134
"Atlanta, GA",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13189771197847,1.08820882088209,1.11997438236622,1.09889499389499,1.07274063188832,1.09293680297398,1.05444444444444,1.11504424778761,1.09504132231405,1.109,1.15298087739033,1.15531010338534,1.1705909540255,1.23425596684659,1.27374261806633,1.25264643613267,1.27450980392157,1.25555555555556,1.23671096345515,1.34230769230769,1.31127813676647,1.32863849765258,1.31067961165049,1.33546034639927,1.32879204940257,1.17866666666667,1.25136612021858,1.20551601423488,1.22711644538497,1.28431728963987,1.23487597512506
"Boston, MA",8,,,,,,,,,,,,,,,1.69230769230769,1.75,1.65950292397661,1.83098591549296,1.95238095238095,2.06896551724138,2.14599358974359,2.09047619047619,1.92973286875726,1.96818181818182,1.95072815533981,1.95238095238095,2.05714285714286,1.9672131147541,2.08571428571429,2,1.91807542262679,2.08333333333333,2.05278592375367,2.31622807017544,2.27272727272727,2.26019891500904,2.23809523809524,2.26656955571741,2.2,2.04166666666667,2.20145202020202,2.2,2.26041666666667,2.375,2.41666666666667,2.42307692307692,2.31266666666667,2.25303292894281,2.23880597014925,2.2,2.13517320137038,2.29773462783172,2.34064233888178,2.40480961923848,2.5,2.49310344827586,2.43949579831933,2.46153846153846,2.38309352517986,2.30704697986577,2.25909090909091,2.29509713228492,2.35294117647059,2.4375,2.49375,2.53807106598985,2.5625,2.54545454545455,2.5,2.5,2.44444444444444,2.40066730219256,2.32552588996764
"San Francisco, CA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38683127572016,2.6629117488846,2.90796963946869,2.81403467666354,2.88312192126059,2.95477553942121,2.85177596212802,2.8520027155465,2.85987261146497,3.01284403669725,3.08882907133244,3.09900568181818,3.06311239411722,3.1953642384106,3.285166772442,3.325,3.33612040133779,3.35926660186227,3.31836112605343,3.27343841556311,3.2318951540263,3.28185328185328,3.49464104193139,3.48588235294118,3.6029251596256,3.58349760630808,3.5496417604913,3.53159851301115,3.2261780104712,3.44858156028369,3.28144025229478,3.25
