"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,1.28465179175118,1.32013201320132,1.295,1.35711426283884,1.19047619047619,1.08333333333333,1.16666666666667,1.21951219512195,1.22086570477248,1.232741617357,1.11764705882353,1.13259668508287,1.17886178861789,1.22799295774648,1.23215984776403,1.21428571428571,1.22282608695652,1.212976022567,1.17924528301887,1.09921082299887,1.12130479102956,1.15474815792368,1.15384615384615,1.16840422299676,1.20481927710843,1.19047619047619,1.2076813655761,1.22377622377622,1.22436670687575,1.22659780503551,1.22767857142857,1.2304084639331,1.21822033898305,1.19357638888889,1.15504451038576,1.2,1.22126436781609,1.2109375,1.225,1.19586374695864,1.26086956521739,1.26860622462788,1.34009009009009,1.36116152450091,1.37053571428571,1.39097744360902,1.38636363636364,1.35789473684211,1.34057971014493,1.36674259681093,1.48104265402844,1.5625,1.47727272727273,1.44444444444444,1.45,1.42292490118577,1.40142755265772,1.3986013986014,1.41176470588235,1.46875,1.495,1.4975,1.51282051282051,1.52255639097744,1.54494382022472,1.54927631453656,1.53333333333333,1.52380952380952,1.51588065447546,1.52599169630709,1.53365384615385,1.5625,1.57005253940455,1.56871402763831,1.57066666666667,1.55,1.6,1.53846153846154,1.52636405684972,1.50977747808496
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10714285714286,3.04347826086957,2.95833333333333,2.9052734375,2.88888888888889,2.96296296296296,3,2.95833333333333,3,2.88978494623656,2.9119450232409,2.875,2.90909090909091,2.90454545454545,2.825,2.79130991707679,2.79166666666667,2.81125,2.83870967741935,2.85,2.95,3,3,3.0060151734104,2.95414462081129,2.875,2.88461538461538
"Los Angeles-Long Beach-Anaheim, CA",2,,,1.65061252859915,1.65847665847666,1.64468260511129,1.64749077056583,1.65847665847666,1.58974358974359,1.61009573542211,1.63120567375887,1.63265306122449,1.65,1.62040416328737,1.61616161616162,1.60623895656034,1.61458333333333,1.63636363636364,1.65130568356375,1.64835164835165,1.64712133525036,1.63369037875283,1.61111111111111,1.64534412955466,1.65172413793103,1.68650793650794,1.72636363636364,1.74375,1.7319793814433,1.74264007597341,1.74043190397371,1.75183300726635,1.75175175175175,1.76315789473684,1.77041052435156,1.75,1.75,1.76785714285714,1.7910447761194,1.84,1.83788121990369,1.85153374233129,1.83180922231514,1.82086614173228,1.82352941176471,1.825,1.83333333333333,1.825,1.89767171290461,1.87777322030809,1.85654569471964,1.85565217391304,1.89845290059138,1.92488262910798,1.96046927768537,1.97077688468104,1.98902606310014,2.00713558335758,2.05888888888889,2.07393932393932,2.08430413066955,2.08872458410351,2.1,2.10827769969548,2.13775510204082,2.16288561054407,2.16763005780347,2.18987341772152,2.21333333333333,2.21382289416847,2.21428571428571,2.26241587055368,2.27293064876958,2.3,2.30106059486876,2.31949971574758,2.31644260599793,2.29831932773109,2.32323232323232,2.35591603053435,2.3121387283237,2.36241610738255,2.27605253303376
"Dallas-Fort Worth, TX",3,,,,,,,,,,1.04732690622261,1.00827077353352,1.05957900218411,0.99,0.96551724137931,0.959808038392322,0.944615384615385,0.941343424787133,0.952380952380952,0.961538461538462,0.945935935935936,0.930543187889581,0.936614138077275,0.94543429844098,0.983441892908046,0.99258709748324,0.995680345572354,1.02769230769231,0.998766954377312,1.01398601398601,1.02937724385529,1.02239641657335,1.02414850688554,1.03313441469519,1.03427895981087,1.03632887189293,1.0472972972973,1.09458944069928,1.06624102154828,1.08370044052863,1.07538461538462,1.1,1.10552763819095,1.10635172596007,1.05843724668426,1.1,1.11297709923664,1.12970307768789,1.12771084337349,1.11419649778028,1.11666666666667,1.1195652173913,1.16421315917935,1.17341640706127,1.16754994476586,1.15151515151515,1.13797369503969,1.13880262249827,1.14050480769231,1.18486515729947,1.15111521181001,1.11797752808989,1.16946959896507,1.1741214057508,1.19125683060109,1.19617224880383,1.21634615384615,1.22336448598131,1.22720240580085,1.23481364426673,1.24168126094571,1.28048780487805,1.28296507483963,1.29032258064516,1.29968103878026,1.33066924576985,1.31818181818182,1.32981508298986,1.33078526754691,1.33424657534247,1.31924198250729,1.36540962288687,1.30743369443407
"Philadelphia, PA",4,,1.02827763496144,1.01550960118168,1.07438016528926,1.07692307692308,1.08532052456613,1.09983079526227,1.1029560845059,1.125,1.14864864864865,1.1279926335175,1.11668587158313,1.13227705208837,1.1284046692607,1.15638766519824,1.17521367521368,1.15794573643411,1.14582650825198,1.13821138211382,1.15825546241583,1.12892515957675,1.14375,1.22666666666667,1.22295697888855,1.22972972972973,1.25764001642312,1.2962962962963,1.32142857142857,1.3172338090011,1.31111111111111,1.30567956349206,1.23647604327666,1.2124038896427,1.20603965257239,1.20412844036697,1.20777600108294,1.2,1.21007371007371,1.21428571428571,1.25,1.27899503796258,1.26,1.2291169451074,1.20065575899234,1.195,1.20495126870321,1.25,1.21428571428571,1.21409921671018,1.20833333333333,1.20754716981132,1.24397452860116,1.3,1.3,1.30168453292496,1.2805061838244,1.25451225381794,1.23893805309735,1.23453601673299,1.23552883464944,1.24463519313305,1.27502276867031,1.32666666666667,1.35869565217391,1.36935603256847,1.35467980295567,1.35,1.33239831697055,1.31086142322097,1.31077051743573,1.35294117647059,1.32601351351351,1.36594558089885,1.38811771238201,1.41600803496981,1.45,1.46687697160883,1.45945945945946,1.43129770992366,1.40926708949965,1.40893668877018,1.36344569859671
"Houston, TX",5,,,,,,,,,0.803225806451613,0.812677532153378,0.819486432641841,0.82089552238806,0.875,0.899907235621521,0.881110361373519,0.88365434669443,0.885826771653543,1.03305785123967,1.03892543859649,0.873898043445916,0.902777777777778,0.906593406593407,0.942231075697211,0.927272727272727,0.943105075670179,1.04659685863874,1.0494289892091,1.02786624203822,1.03439576881589,1.0620776802341,1.06292749658003,1.10123119015048,1.11384615384615,1.0930612244898,1.08886953155246,1.08859271366174,1.03407407407407,1.067376517663,1.0764192139738,1.08588957055215,1.11367837338262,1.07495741056218,1.16125760649087,1.18437994126948,1.27881433426012,1.2896174863388,1.2568578553616,1.18633540372671,1.27817745803357,1.18423383525244,1.15473370689198,1.17846153846154,1.25203841978153,1.26067293269972,1.2550571369404,1.23563218390805,1.29338842975207,1.30854605993341,1.24427480916031,1.25206611570248,1.25686842550805,1.26117330287206,1.27154306493538,1.28879892037787,1.31478260869565,1.32511400201354,1.33333333333333,1.333484026522,1.34851628171438,1.33439201993009,1.50602409638554,1.47360593233459,1.49190110826939,1.41717791411043,1.45184135977337,1.43791390728477,1.43484230908324,1.4043983837353,1.39453125,1.3631090487239,1.37240356083086,1.33766233766234
"Washington, DC",6,,1.44030104636014,1.43470719112234,1.45454545454545,1.39313306330633,1.43266475644699,1.40116233672069,1.35100510466543,1.46648044692737,1.46551724137931,1.46862483311081,1.49665551839465,1.47431506849315,1.45714285714286,1.46310432569975,1.48132271892223,1.48026315789474,1.47435897435897,1.47515527950311,1.50022065313327,1.51024811218986,1.51085930122757,1.60180226477695,1.62632690737388,1.66423357664234,1.69487546749423,1.77237289163936,1.79423624288425,1.85770363101079,1.83324477506199,1.79800441463461,1.74870023767083,1.74358974358974,1.80146163215591,1.79684033939663,1.83555595068753,1.85089771542326,1.88184438040346,1.92253045209429,1.88050314465409,1.79329423264907,1.80683918669131,1.78873757025508,1.81538448720396,1.76415094339623,1.76470588235294,1.77401746724891,1.7434011429631,1.77270357379846,1.77190721649485,1.75294117647059,1.80388529139685,1.84782608695652,1.84954700877713,1.92528735632184,1.95603194329375,1.8640897755611,1.82727272727273,1.82795698924731,1.82072829131653,1.81818181818182,1.88316998704347,1.875,1.91428571428571,1.90140028171348,1.88927163844927,1.89293062904174,1.89579248895772,1.90292887029289,1.88592254519674,1.90687022900763,1.89732142857143,1.92649755227318,1.93984222249,1.95961002785515,1.96993670886076,1.9590668767507,1.96629213483146,1.90440627333831,1.86590436590437,1.84887459807074,1.82416267942584
"Miami-Fort Lauderdale, FL",7,,,1.66793120890238,1.64285714285714,1.59611380985427,1.62337662337662,1.5,1.37228970741902,1.59776464260625,1.57802552473368,1.58402203856749,1.55367231638418,1.4525993883792,1.44444444444444,1.44444444444444,1.44157814871017,1.43184421534937,1.41606591143151,1.39888089528377,1.3980868285504,1.41129032258065,1.39237359082011,1.38504155124654,1.375,1.35931634888128,1.36278195488722,1.37028133903134,1.35909090909091,1.35684399282726,1.38888888888889,1.37672090112641,1.37426900584795,1.36802575107296,1.34412821254641,1.33574007220217,1.33715377268386,1.34020618556701,1.35135135135135,1.36630276235489,1.3671875,1.38173017572097,1.41843971631206,1.51133501259446,1.50905432595573,1.5,1.50875075437538,1.52998776009792,1.53609831029186,1.48148148148148,1.45833333333333,1.44021739130435,1.42333138593362,1.47783251231527,1.50793650793651,1.53272576636288,1.54166666666667,1.5527950310559,1.54309648860224,1.52631578947368,1.53272576636288,1.55856831827343,1.57790927021696,1.61856307370446,1.63131313131313,1.70542635658915,1.77420853267304,1.78113451475128,1.80851063829787,1.75972508591065,1.79611650485437,1.79149717962978,1.78203707754952,1.78297872340426,1.82170719341214,1.84210526315789,1.79310344827586,1.78571428571429,1.76730005008858,1.70634920634921,1.71630979681753,1.75953079178886,1.73913043478261
"Atlanta, GA",8,,0.958727240896359,0.887265135699374,0.902338873215521,0.894736842105263,0.862068965517241,0.763807285546416,0.730665615349235,0.801282051282051,0.838713975625951,0.865641711229946,0.929188829787234,0.809220161631846,0.863854494234801,0.872957899984927,0.833333333333333,0.825961538461538,0.808510638297872,0.808301561923503,0.822411364573313,0.819494376082871,0.789036544850498,0.799757281553398,0.811477864003819,0.794985250737463,0.862068965517241,0.862157534246575,0.837053571428571,0.847391946130627,0.837487537387837,0.846153846153846,0.878588516746411,0.838686652391149,0.877928303697948,0.869565217391304,0.863871973379427,0.84327113342455,0.868421052631579,0.837988826815642,0.845223700120919,0.839514272469416,0.829969450101833,0.878632478632479,0.858037352167922,0.879942112879884,0.842105263157895,0.85780362098586,0.913617886178862,0.970873786407767,0.94759472115794,0.954268292682927,1.0008038585209,0.968245967741935,0.98854898607002,0.968484848484849,0.973684210526316,0.986842105263158,0.977583732057416,1.02338152610442,1.01851851851852,1.04166666666667,1.07681940700809,1.08534179724019,1.09285714285714,1.1383993596735,1.17773943054357,1.15753424657534,1.16144018583043,1.1339545680205,1.12069055618201,1.25834127740705,1.255,1.26590330788804,1.25671398620009,1.28434886499403,1.26893939393939,1.15239905502937,1.20964566929134,1.17666666666667,1.18364928909953,1.2390977443609,1.18636798885762
"Boston, MA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20833333333333,2.16666666666667,1.88276874798841,1.81884194643531,1.79787234042553,1.8,1.86349693251534,1.92592592592593,2.02118270079435,2.1,2.20074349442379,2.32489451476793,2.33050847457627,2.49399038461538,2.40322227892396,2.39495798319328,2.36467537903451,2.38787878787879,2.35546038543897,2.28358208955224,2.38537794299876,2.38805970149254,2.4,2.53333333333333,2.57575757575758,2.57142857142857,2.49532804048159,2.4375,2.38600212089077,2.35760320415141,2.30769230769231,2.45454545454545,2.5,2.58333333333333,2.66666666666667,2.66666666666667,2.64,2.64,2.56651376146789,2.5,2.44328097731239,2.45454545454545,2.5,2.58333333333333,2.62852310231023,2.66666666666667,2.69230769230769,2.68962151394422,2.64,2.61363636363636,2.57976298997265,2.51289516364893,2.4375
"San Francisco, CA",10,,,,,,,,,,1.63085384206799,1.59333333333333,1.59355964710395,1.45650179649874,1.4596750546783,1.48287632982437,1.44941236586612,1.47539846517119,1.5,1.55482815057283,1.6256157635468,1.65562745383161,1.66092752552979,1.74545454545455,1.74113009198423,1.85537583254044,1.91439012345679,1.98989340305712,1.917194092827,1.92741935483871,2.0224797934441,2,2.05275976998865,2.06692506459948,2.08309523809524,2.10526315789474,2.06615532118888,2.02522806025034,2.1039679656039,2.16693944353519,2.16712328767123,2.12016731016731,2.10126391096979,2.21036585365854,2.20782851817335,2.375,2.37780040733198,2.32394366197183,2.46153846153846,2.48764415156507,2.43288590604027,2.4094000545405,2.58833680150231,2.84375,2.74451900241665,2.80487351190476,2.88,2.78879310344828,2.77758270911361,2.77777777777778,2.8910411622276,2.95653656988735,3.00438917572115,2.9972254290772,3.14339756461247,3.22718631178707,3.25583482944345,3.25,3.25534324138256,3.21141479099678,3.18688725490196,3.17289719626168,3.21726755218216,3.39312419936247,3.41177358449143,3.53252032520325,3.5031847133758,3.4432,3.43803216650899,3.20026007802341,3.33333333333333,3.20406278855032,3.18033078880407
"Detroit, MI",11,,0.862082317438747,0.883333333333333,0.866911764705882,0.867407847418443,0.869061942959002,0.869272047170691,0.875,0.839030453697949,0.859984779299848,0.848076923076923,0.85,0.839297332465843,0.84176460568898,0.853245071613551,0.882723833543506,0.8779296875,0.881523272214386,0.882387557797394,0.874069369686604,0.86881038647343,0.8125,0.822703459047867,0.843373493975904,0.859922613929493,0.857142857142857,0.866666666666667,0.878474764112575,0.882723833543506,0.860420650095602,0.865,0.893617021276596,0.895436164067013,0.88302858343842,0.880281690140845,0.852941176470588,0.833333333333333,0.875,0.892857142857143,0.865555555555556,0.872411823504212,0.866435285480454,0.863636363636364,0.876511226252159,0.928571428571429,0.922571989450241,0.905077262693157,0.917647058823529,0.914285714285714,0.915948275862069,0.917647058823529,0.923243000537129,0.966666666666667,0.956632653061224,0.955882352941177,0.947982498784638,0.96,0.968888274336283,0.957396223002025,0.957829453833189,0.961168923313428,0.953259532595326,0.979326923076923,0.994633939663187,1,1,0.995,1,1,1,1,1.00896860986547,1.01476014760148,1.01499428699871,1.02367426810199,1.03013314646111,1.01111111111111,1.01941747572816,1.03711790393013,1.03809869375907,1.06726457399103,1.04301771025909
"Riverside, CA",12,,,1.3262599469496,1.24508519003932,1.16666666666667,1.2856568903174,1.25994694960212,1.25,1.21033961437336,1.24674817898023,1.23319615912209,1.30486793611794,1.18320610687023,1.23126338329764,1.22282608695652,1.28504672897196,1.2578009565285,1.19861833622338,1.16653706583722,1.16525423728814,1.16558675989967,1.17222068584071,1.15075825156111,1.18307426597582,1.19880034275921,1.23809523809524,1.27062374245473,1.21602434077079,1.15894039735099,1.17805383022774,1.17283950617284,1.2,1.21829998725628,1.23113869799749,1.26303704151308,1.23655913978495,1.21212121212121,1.2216201968135,1.21212121212121,1.21193220338983,1.20847671149786,1.14161849710983,1.16509986301975,1.1541588492808,1.12515206812652,1.13571428571429,1.10494631963559,1.13636363636364,1.1204954954955,1.09195402298851,1.08333333333333,1.10555555555556,1.20942028985507,1.20999219359875,1.21877779700085,1.26227208976157,1.2641536901499,1.25,1.25661375661376,1.30246913580247,1.28339395787502,1.32432062114638,1.34794040315513,1.36406396989652,1.3652162014231,1.37426900584795,1.37833723170769,1.37959023734886,1.36316246741964,1.37241379310345,1.44360114926613,1.49659863945578,1.47795591182365,1.45322434150772,1.475,1.51376811594203,1.4742640302841,1.42820056371458,1.48997354497354,1.47058823529412,1.40394088669951,1.44570707070707
"Phoenix, AZ",13,,,0.851653602701877,0.916590284142988,0.90689238210399,0.93984962406015,0.939776025812378,0.929814037192562,0.93984962406015,0.957120980091884,0.99403578528827,0.966175402712692,0.91489361256676,0.892857142857143,0.885368126747437,0.932400932400932,0.924721189591078,0.903454412762634,0.882352941176471,0.872641509433962,0.872507827742923,0.866372980910426,0.866422357901607,0.873394069166128,0.861124160792313,0.872751830676457,0.881410256410256,0.878434637801832,0.875,0.876712328767123,0.879162423625255,0.89247311827957,0.890625,0.883561643835616,0.882197418741251,0.877710906335464,0.880767389535162,0.887896825396825,0.888346127006281,0.889024390243902,0.888888888888889,0.880628272251309,0.897119341563786,0.9,0.905895691609977,0.906264174072939,0.893769152196119,0.906432392996109,0.911300121506683,0.913705583756345,0.906113537117904,0.92086019445758,0.937823834196891,0.944057578323455,0.940020682523268,0.9375,0.940169880890691,0.9375,0.941676516942474,0.955254830366651,0.964730290456432,0.996126175982291,1.008274033872,1.03477739547492,1.03205128205128,1.03672019565665,1.03478260869565,1.04865771812081,1.05764705882353,1.0578125,1.09308194981638,1.1377245508982,1.14192495921697,1.13690274790342,1.15939595143796,1.15853658536585,1.13339731285988,1.15544041450777,1.11469336222677,1.11353052288143,1.1142061281337,1.09784283513097
"Seattle, WA",14,,1.03970248077542,1.20300751879699,1.18881118881119,1.19236883942766,1.21359223300971,1.19421318180124,1.28139718662713,1.30340017436792,1.28048780487805,1.26404494382022,1.14705882352941,1.095,1.10526315789474,1.12262521588946,1.13568480503964,1.16106719367589,1.13993710691824,1.13072552447552,1.17633701982155,1.1875,1.19016770391585,1.22307692307692,1.20055730848447,1.24219489120151,1.26332288401254,1.26067073170732,1.26771066368382,1.25064377682403,1.24854819976771,1.26445946253442,1.29537366548043,1.29674166343006,1.34078212290503,1.34294385432473,1.33769192708131,1.30538043116641,1.37086206896552,1.42156862745098,1.42325480275121,1.43200962695548,1.42120512373649,1.43382157947775,1.44236251206035,1.5342454710676,1.55179076284892,1.53668036433936,1.57114474929044,1.5625,1.54929577464789,1.54166666666667,1.6179435483871,1.73029675638371,1.7524115755627,1.77504496217686,1.74232696523645,1.76470588235294,1.71428571428571,1.7962308598351,1.75438596491228,1.77215189873418,1.8875,1.88933200398804,1.87654698242934,1.87739130434783,1.91489361702128,1.94870086608927,1.97122302158273,1.9495817536258,1.93913076302142,1.79357798165138,1.93333333333333,1.94054054054054,2.02332539952397,2.10239033676534,2.08929841480321,2.1513353115727,2.14423076923077,2.07349497535078,2.056,2.07198817217412,1.98979708636837
"Minneapolis-St Paul, MN",15,,,,,,,,,,0.923076923076923,0.930232558139535,0.934848927875244,0.9,0.934343434343434,0.950543478260869,0.947925142392189,0.940206657303642,0.95,0.966366574330563,0.974166666666667,0.998571428571429,1.01380813953488,1.02404274265361,1.02086438152012,1.04087452471483,1.04166666666667,1.05745062836625,1.0528596187175,1.06217001389415,1.06414145611702,1.07471852610031,1.10351236845702,1.09915809167446,1.10883905958809,1.10805084745763,1.135,1.11111111111111,1.14205263157895,1.14903416149068,1.15333333333333,1.15154536390828,1.13333333333333,1.1153488372093,1.12312811980033,1.16177944862155,1.14837713718311,1.15384615384615,1.13584474885845,1.12916666666667,1.15896706941483,1.165,1.17684478371501,1.17354024943311,1.19373114843311,1.19278273809524,1.22376025800683,1.21866071428571,1.20341614906832,1.2,1.19980806142035,1.21283255086072,1.24184350132626,1.25,1.25215661485833,1.25983795353183,1.26425855513308,1.26344086021505,1.28,1.29817444219067,1.29100529100529,1.325,1.34836065573771,1.36267919631974,1.37689931427796,1.38789682539683,1.3870421302068,1.36666666666667,1.37401318681319,1.39198717948718,1.375,1.44285714285714,1.37483595800525
"San Diego, CA",16,,,2.18150087260035,2.37896322627286,2.1671826625387,2.0325756287838,2.05423171733772,1.99253772434222,1.68579410280441,1.71368908327762,1.66240409207161,1.72131147540984,1.58234126984127,1.55875299760192,1.54411764705882,1.57329620667954,1.58805937400773,1.59433474852304,1.58910329171396,1.59921671018277,1.58730158730159,1.57368421052632,1.57744874715262,1.58136277206894,1.595,1.625,1.64711615640408,1.60855941844546,1.6046277665996,1.640625,1.64805162717368,1.625,1.63157894736842,1.62223972478575,1.62664558781259,1.61891891891892,1.60502918287938,1.60984848484848,1.61284722222222,1.63136818381706,1.64051355206847,1.6321155480034,1.62749438350733,1.66270783847981,1.70447558709919,1.68650793650794,1.65148063781321,1.75278219395866,1.76666666666667,1.74002047082907,1.7451645030954,1.78968217233665,1.84,1.85171919770774,1.89042788472388,1.90021033993718,1.88781014023732,1.91964285714286,1.95,1.93363106723013,1.97649304334723,2.00980392156863,1.99173019887021,2.0186799501868,2.01509105224714,2.04861111111111,2.05517503805175,2.09575429087624,2.0998899486427,2.08333333333333,2.11764705882353,2.10815765352887,2.10526315789474,2.11216314639476,2.13172306834842,2.1506736755039,2.11486486486486,2.11819852941176,2.17729826600794,2.13369963369963,2.1830985915493,2.10354676710609
