"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87735849056604,2.92620865139949,2.86016949152542,2.73333333333333,2.80627306273063,2.74777975133215,2.64444444444444,2.56860175504648,2.65058236272879,2.72093023255814,2.70237175951462,2.72757271132752,2.7363184079602,2.73809523809524,2.7219152854512,2.66940796147759,2.64214046822742,2.63577235772358,2.57647058823529,2.58333333333333,2.6,2.64705882352941,2.625,2.66384778012685,2.72820512820513,2.70661157024793,2.79006172839506,2.71317829457364,2.70398287493513,2.68768063583815
"Los Angeles-Long Beach-Anaheim, CA",1,2.03977272727273,2.11822660098522,2.14285714285714,2.11111111111111,2,2.20443349753695,2.14285714285714,1.9875,2.06849315068493,1.9586305278174,1.94117647058824,1.97777777777778,2.14285714285714,2.20221674876847,2.35836909871245,2.325,2.35714285714286,2.35836909871245,2.41327160493827,2.32327586206897,2.4195652173913,2.41518578352181,2.44444444444444,2.40824915824916,2.30444444444444,2.40899357601713,2.47058823529412,2.44640322311289,2.47,2.35294117647059,2.375,2.42962962962963,2.37494623655914,2.40298668741355,2.2375,2.32738697096634,2.39,2.39279588336192,2.36650485436893,2.43722826086957,2.48062015503876,2.5,2.59428571428571,2.57795138888889,2.6059379217274,2.67710049423394,2.72978836796413,2.7376179245283,2.72258927551836,2.77941176470588,2.80110769940833,2.81666666666667,2.84388350312192,2.89464812290739,2.94285714285714,2.94627383015598,2.97428078250863,2.95454545454545,2.97416666666667,2.97809523809524,3.01614641343497,3.02600099354198,3.06707566462168,3.08947256540139,3.05309734513274,3.10964083175803,3.19310344827586,3.10758858196898,3.09,3.05291666666667
"Chicago, IL",2,,,,,,,,,2.3033119764659,2.29254167885347,2.30769230769231,2.3125,2.27611940298507,2.20720779220779,2.18166666666667,2.19646207451086,2.36880952380952,2.34807895069799,2.35521778584392,2.41288136466708,2.43276283618582,2.38738738738739,2.37200069348128,2.40909090909091,2.44496855345912,2.55897435897436,2.56410256410256,2.6,2.63590419687981,2.62705843393443,2.65529491027133,2.61990212071778,2.64855687606112,2.60085044516494,2.58350340136054,2.6,2.58880308880309,2.55501222493888,2.60854700854701,2.64158415841584,2.70960221331692,2.7955223880597,2.86840510274763,2.72,2.86209193870753,2.79511278195489,2.66338582677165,2.53069306930693,2.65528742805631,2.81556195965418,2.71941272430669,2.6814279293004,2.72844816425871,2.71804511278195,2.7122641509434,2.61220472440945,2.68157423971377,2.69230769230769,2.7283950617284,2.69344262295082,2.67017543859649,2.75,2.6328431372549,2.58005942980901,2.63450834879406,2.54174067495559,2.6,2.61052631578947,2.57333333333333,2.56865947741271
"Dallas-Fort Worth, TX",3,,,,,,,,,1.24816176470588,1.07142857142857,1.1131976744186,1.2684766214178,1.25435540069686,1.27594936708861,1.34628096860183,1.2375,1.42655566924007,1.52918813362141,1.43664473684211,1.35714285714286,1.42678571428571,1.45,1.43448275862069,1.43296909659205,1.45161290322581,1.44602328794158,1.4661669535912,1.49769585253456,1.47042117930205,1.5048584605598,1.58781015917603,1.58520599250936,1.58854166666667,1.4810917721519,1.58539290240811,1.4810917721519,1.4856528340081,1.47058823529412,1.51821862348178,1.55199843260188,1.63562753036437,1.72310756972112,1.7,1.74664107485605,1.61635148477254,1.68125,1.73105497771174,1.72233400402414,1.60991006368527,1.7,1.66666666666667,1.67543859649123,1.70466179159049,1.70466179159049,1.76447368421053,1.76487854251012,1.6969696969697,1.79012345679012,1.79663608562691,1.78,1.78041543026706,1.75595238095238,1.78285714285714,1.81145668251453,1.855665044363,1.81354001584786,1.90189873417722,1.81818181818182,1.90189873417722,1.82300884955752
"Philadelphia, PA",4,,,,,,,,,,,,,,,,,,,,,,1.72916666666667,1.73846153846154,1.54228855721393,1.54545454545455,1.5,1.62267617812365,1.64366197183099,1.74038461538462,1.73553719008264,1.66666666666667,1.66666666666667,1.68194874060981,1.69375,1.83428571428571,1.76923076923077,1.66475095785441,1.6504347826087,1.66666666666667,1.77197802197802,2.08464566929134,1.99788888888889,1.999,1.82692307692308,1.75,1.74363636363636,1.74363636363636,1.76923076923077,1.88317647058824,1.85357142857143,1.94616977225673,2.15277777777778,2.36280487804878,2.3125,2.31428571428571,2.08104347826087,1.97420634920635,1.9875,2.10869565217391,2.13793103448276,2.28900255754476,2.27545236538042,2.375,2.52321981424149,2.5625,2.36800808866661,2.49487179487179,2.475,2.46913580246914,2.32094717668488
"Washington, DC",5,,,,,,2.57954545454545,2.71698113207547,2.86666666666667,2.7,2.72905525846702,2.81151799667074,2.88461538461538,2.91519434628975,2.90785448827902,2.99214708056171,3.06930693069307,3.10336616635397,3.06368330464716,3.01567944250871,2.98872180451128,2.95638126009693,3.01567944250871,2.99249530956848,3.046904315197,3.035413153457,3.06922344848313,3.14415279556125,3.16901408450704,3.02895752895753,2.97145919149344,2.95212765957447,3.09552845528455,3.08333333333333,3.08257575757576,3.03260869565217,2.98888888888889,2.98888888888889,2.98058252427184,2.96910407339855,2.99727272727273,3.03883495145631,3.07198443579767,3.06060606060606,3.09778597785978,3.11660079051383,3.08447765212709,3.11413043478261,3.08257575757576,3.02884615384615,3.05859386343909,3.08502772643253,3.06378976263523,3.05882352941176,3.0668449197861,3.10457516339869,3.11411992263056,3.1236802413273,3.09323492976673,3.10460875331565,3.17647058823529,3.19264069264069,3.17647058823529,3.19334676935627,3.14159926802819,3.18662321539417,3.25,3.15957446808511,3.20961538461538,3.1,2.98853260869565
"Miami-Fort Lauderdale, FL",6,,,2.26244343891403,2.28571428571429,2.31211033480308,2.28592498946481,2.2,2.14650695258837,2.05357142857143,2.02931486791532,2.06106870229008,2.08846469622332,1.97916666666667,2.10526315789474,2.11611737119781,2.1181001283697,2.13574542160831,2.2,2.26647780925401,2.26190476190476,2.26824457593688,1.9247311827957,1.96476964769648,2.05036896353888,1.70803662258393,1.7,1.86741363211951,1.875,1.88888888888889,2.125,2.2,2.225,2.33333333333333,2.22057856673241,2.31053604436229,2.40956790123457,2.33333333333333,2.21565731166913,2.22718253968254,2.2,2.33522190745987,2.3371104815864,2.32299741602067,2.37588028169014,2.45295698924731,2.4290293040293,2.34453781512605,2.4,2.4390243902439,2.51572327044025,2.58620689655172,2.58620689655172,2.66666666666667,2.74809160305344,2.74809160305344,2.73463615624564,2.60434782608696,2.63636363636364,2.6395173453997,2.63465103598691,2.6541095890411,2.66423357664234,2.7,2.71377534064473,2.66666666666667,2.6541095890411,2.72822917212356,2.57394524949997,2.73325892857143,2.67241379310345
"Atlanta, GA",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82335766423358,1.8,2.04761904761905,2.15950920245399,2.15995691336572,2.0735524256651,2.14244481355769,2.18759643189226,2.16541131535416,2.06176961602671,2.08928571428571,2.09672126119495,2.16193656093489,1.94691780821918
"San Francisco, CA",8,,,,,,,,,,,,,,,,,,,,,,3.77027027027027,3.77027027027027,3.7281202435312,3.90357142857143,3.7375,3.71428571428571,3.65566037735849,3.86988304093567,3.85674931129477,4.06898801088692,4.04109589041096,4.41984781230184,4.1935960591133,4.0037037037037,4.35286041189931,4.22478991596639,4.2343137254902,4.28116710875332,4.40714285714286,4.6560942502241,4.6,4.57831325301205,4.58748995983936,4.63333333333333,4.58986402966625,4.50244698205547,4.63721804511278,4.66238532110092,4.71081343943413,4.65235404896422,4.87170765742194,4.71428571428571,4.75543237250554,4.80769230769231,5.19791666666667,4.84390243902439,4.96277915632754,4.91346153846154,4.97017892644135,5.09933774834437,5.17647058823529,5.13685594111462,5.17647058823529,5.09066709164099,5.17647058823529,4.90896219771039,4.80035650623886,4.72293233082707,4.85281385281385
"Detroit, MI",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.904545454545455,0.916307471264368,0.9,0.902272727272727,0.9,0.875,0.904545454545455,0.848896434634975,0.842105263157895,0.933333333333333,1,1,1,1,1,1,1.00503597122302,1.00503597122302,1,1.02020408163265,1.16576697671415,1.05207785376118,1.14972940173088,1.02288795370857,1.08333333333333,1.02577590741715
