"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,1043,1050,1057,1109,1200,1248.5,1399,1400,1400,1375,1395,1300,1249,1200,1250,1250,1250,1300,1300,1355,1323,1300,1300,1300,1295,1299,1296,1250,1299,1350,1350,1360,1350,1400,1400,1500,1599,1500,1600,1595,1575,1595,1600,1700,1750,1550,1540,1500,1500,1478,1450,1470,1500,1520,1525,1595,1575,1595,1595,1545,1509,1500,1520,1550,1580,1600,1600,1600,1595,1645,1600,1585,1600
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2565,2565,2535,2495,2499,2500,2500,2500,2595,2525,2500,2500,2500,2500,2451.5,2450,2400,2450,2495,2500,2500,2515,2535,2500,2595,2600
"Los Angeles-Long Beach-Anaheim, CA",2,,1950,1900,1975,1975,1995,2100,2100,1900,1895,1895,1900,1800,1800,1800,1850,1895,1895,1875,1850,1800,1750,1700,1700,1710,1750,1780,1775,1790,1780,1763,1783,1800,1789,1755,1730,1750,1797,1815,1820,1850,1850,1842.5,1800,1900,1900,1800,1995,1950,1915,1900,1950,1995,2030,2095,2097.5,2100,2150,2150,2165,2170,2170,2165,2198,2200,2215,2225,2250,2250,2290,2300,2300,2300,2334.5,2365,2355,2350,2350,2340,2345,2364,2325
"Chicago, IL",3,,,1300,1350,1350,1375,1350,1320,1365,1400,1440,1500,1450,1500,1500,1575,1585,1650,1600,1595,1600,1550,1490,1495,1495,1485,1450,1400,1450,1500,1495,1495,1499,1500,1450,1500,1475,1550,1500,1500,1600,1650,1675,1681,1660,1600,1600,1700,1550,1500,1530,1550,1600,1625,1700,1600,1695,1662,1600,1500,1505,1650,1575,1600,1620,1600,1600,1600,1650,1650,1700,1635,1600,1700,1615,1625,1650,1650,1650,1600,1595,1550
"Dallas-Fort Worth, TX",4,,,,,,,,,,1237.5,1235,1252,1036,995,1000,963,975,990,995,950,940,900,899,950,953,965,1004,967,995,1005,999,995,1010,1020,1019,1090,1185,1095,1125,1110,1151,1180,1187,1066,1208,1340,1350,1350,1300,1250,1280,1327,1250,1255,1239,1225,1200,1199,1253.5,1273,1259,1250,1243,1266.5,1275,1280,1293.5,1300,1295,1309,1315,1330,1362,1385,1404.5,1398.5,1399,1390.5,1383,1372,1413,1369
"Philadelphia, PA",5,,1250,1237.5,1200,1225,1250,1300,1300,1250,1225,1200,1200,1200,1200,1200,1225,1250,1250,1250,1237,1235,1200,1200,1232.5,1250,1250,1265,1295,1300,1295,1275,1250,1245,1230,1210,1200,1200,1200,1250,1250,1300,1295,1250,1250,1295,1250,1250,1270,1250,1230,1225,1250,1300,1300,1300,1300,1299,1300,1300,1295,1278.5,1295,1300,1325,1350,1350,1325,1350,1320,1300,1320,1300,1350,1350,1379,1399,1400,1400,1385,1395,1395,1355
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,1210,1337,1205,1155,1205,1278,1278,1275.5,1264.5,1289,1319,1249,1255,1265,1255,1295,1350,1374,1395,1395,1375,1365,1365,1485,1470,1489,1450,1480,1459,1429,1409,1400,1364.5,1390,1319
"Washington, DC",7,,1500,1550,1550,1535,1595,1550,1500,1525,1535,1550,1597.5,1592,1550,1555,1625,1650,1650,1650,1700,1750,1725,1666,1700,1700,1710,1760,1800,1875,1850,1785,1740,1730,1783,1800,1850,1880,1900,1915,1885,1800,1849,1850,1900,1900,1889.5,1887,1832,1859,1850,1835,1860,1919,1945,2000,2000,1950,1900,1900,1895.5,1900,1950,1923,1953,1950,1950,1945,1950,1941,1895,1875,1850,1900,1920,1940,1950,1920.5,1910,1890,1850,1830,1809
"Miami-Fort Lauderdale, FL",8,,,1705,1800,1795,1800,1699.5,1500,1750,1750,1730,1700,1600,1595,1550,1550,1525,1500,1500,1500,1500,1500,1500,1500,1450,1450,1495,1450,1450,1500,1475,1495,1450,1400,1400,1400,1425,1425,1450,1459,1500,1500,1625,1600,1600,1650,1650,1700,1670,1650,1600,1600,1650,1600,1600,1615,1650,1650,1600,1600,1625,1650,1700,1700,1750,1800,1800,1850,1800,1800,1850,1850,1850,1870,1900,1806,1800,1800,1750,1750,1800,1800
"Boston, MA",9,,,,,,,,,,,,,,,,,,1808,1875,1842.5,1850,1800,1799,1755,1800,1850,1885,1995,2100,1995,1975,1892,1850,1850,1900,1900,1980,2000,2035,2100,2100,2150,2250,2200,2200,2200,2200,2150,2150,2162.5,2200,2200,2250,2300,2275,2275,2200,2200,2200,2200,2250,2300,2300,2385,2400,2375,2360.5,2320,2300,2250,2225,2260,2302,2300,2300,2350,2350,2350,2325,2310,2300,2295
