"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,2200,2200,2250,2295,2300,2200,2200,2000,1995,2300,2300,2400,2400,2500,2595,2800,2500,2490,2395,2299,2250,2200,2200,2260,2350,2400,2400,2400,2300,2400,2300,2300,2300,2250,2300,2400,2365,2345,2450,2600,2600,2500,2500,2400,2300,2300,2300,2500,2495,2500,2500,2500,2500,2500,2500,2500,2450,2450,2500,2600,2700,2800,2799,2795,2700,2750,2650,2700,2600
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,4500,4399,4625,4399,4200,4300,4300,4300,4400,4100,4500,4300,4299.5,4300,4150,4000,3992.5,3750,3600,3500,2995,2999,2950,3000,3250,3100,3197.5,3250,3425,3500,3450,3650,3500,3200,3500,3370,3200,3195,3200,3600,3772.5,3750,3900,3925,3950,3950,3750,3750,3850,3950,4200,4300,4200,4200,4200,4200,4197.5,3800,3800,3980,4000,4200,4100,4300,4300,4000,3995,4300,3950
"Dallas-Fort Worth, TX",2,,,,,,,,,,,,,,2000,2195,2100,2100,2000,1995,1995,1950,1900,1895,1850,1820,1850,1850,1850,1900,2000,1995,1800,1900,2000,1850,1799.5,1825,1900,1950,1895,1900,1995,2000,1995,1950,2000,2000,1995,1995,1995,2039,2172.5,2200,2250,2200,2225,2150,2150,2195,2195,2200,2237.5,2300,2395,2395,2345,2300,2300,2350,2300,2300,2300,2350,2395,2350,2400,2400,2400,2495,2500,2400
"Philadelphia, PA",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2500,2450,2400,2500,2300,2370,2400,2500,2450,2500,2500,2400,2375,2475,2450,2300,2100,2275,2000
"Houston, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2625,2600,2562.5,2350,2300,2397.5,2385,2270,2290,2400,2550,2800,2800,2897.5,2750,2700,2750,2700,2700,2700,2800,2770,2800,2700,2900,2550,2900,2700
"Washington, DC",5,,,,,,,,,,,,,2800,2800,2925,3000,3197.5,3112.5,3000,2997.5,2923.5,3000,2995,2995,2995,2800,2995,3100,3200,3200,3100,3000,2950,2900,2900,2850,2850,2900,2900,2900,2900,3000,3100,3100,2975,2962.5,2900,2850,2800,2750,2800,3000,3100,3050,3000,2950,2900,2850,2850,2850,2850,2900,3000,3110,3200,3200,3097,2999.5,2950,2950,2995,3000,3000,3000,3100,3100,3200,3300,3250,3200,2995
"Miami-Fort Lauderdale, FL",6,,,,,,,,,,,,,,,,,,3500,3500,3600,3700,3650,3600,3600,3550,3900,3800,3800,3900,3800,3600,3525,3500,3400,3500,3500,3500,3500,3500,3500,3500,3600,3500,3500,3400,3399,3350,3250,3200,3200,3200,3500,3500,3500,3500,3500,3500,3600,3600,3600,3500,3525,3962.5,3800,3850,3800,3800,3750,3800,3800,3800,3800,3800,3900,4000,3900,4100,3925,3950,3999,3950
"Atlanta, GA",7,,,,,,,,,,,,,2100,1950,2000,2100,2000,2100,2000,2000,1995,1950,1975,1800,1850,1950,1900,1900,1900,1900,1850,1700,1750,1700,1650,1649.5,1600,1650,1700,1655,1695,1695,1650,1700,1680,1575,1600,1575,1525,1550,1600,1759.5,1725,1725,1700,1795,1800,1800,1800,1759,1775,1800,1800,1850,1955.5,2000,1990,1900,1897.5,1874,1829,1895,1900,1933.5,2000,2000,1950,2000,2000,2000,1962.5
"Boston, MA",8,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,3850,3650,3500,3500,3500,3450,3500,3600,3850,3800,3800,3800,3799.5,3800,3750,3600,3600,3600,3600,3800,4000,4000,4000,4100,4000,3900,3800,3750,3800,3900,3800,4000,4200,4200,4100,4000,4000,3900,3800,3800,3700,3500,3772.5,4050,4400,4400,4350,4200,4200,4000,4000,4000,4000,3900
"Riverside, CA",9,,2495,2650,2650,2500,2500,2500,2497.5,2600,2500,2495,2225,2250,2200,2225,2225,2200,2199.5,2150,2145,2100,2125,2095,2095,2150,2100,1995,1950,2000,2050,2000,1995,1997,2100,2000,2000,2100,2095,2000,2050,1995,2100,2100,2100,2100,2047,2099.5,2100,2100,2100,2100,2180,2195,2200,2195,2200,2195,2175,2195,2225,2201,2299,2300,2300,2300,2300,2350,2350,2350,2395,2400,2450,2350,2381,2400,2307,2400,2350,2350,2350,2395
"Phoenix, AZ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1837,1895,1895,1850,1850,1900,1950,1995,2000,2095,2100,2125,2000,1995,1995,1995,1950,1950,2000,2100,2099.5,2150,1995,2000,2095,2095,2000,2000
"Seattle, WA",11,,,,,,,,,,,,,,,,,,,,,,,,1995,1895,1825,1825,1797.5,1950,1900,1950,1795,1750,1650,1800,1895,1895,1800,2000,1962.5,2000,1912.5,1950,1950,1899,1885,1912.5,1895,1895,1895,1950,2075,2050,2097.5,2200,2182.5,1999.5,2000,1999,1995,2024.5,2074.5,2200,2175,2200,2200,2400,2395,2395,2297.5,2200,2280,2234.5,2300,2175,2395,2400,2500,2450,2499,2300
"Minneapolis-St Paul, MN",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1925,1795,1875,1995,2095,1985,2050,1995,1895,1865,1905,2025,1925,1950,1995,1925,2000,2250,2147.5,2047.5,2100,2175,2100,2000,1900,1995,2000,2000,2247.5,2222.5,2000,2197,2100,2100,2150,2172.5,1900,2100,2097.5,1900
"San Diego, CA",13,,,,,,,,,,,,,,,,,3075,3250,3500,3197.5,3300,3125,3000,3172.5,3090,3200,2650,2800,3000,2925,2950,2890,2750,2700,2695,2687.5,2800,2800,2920,3000,3000,3100,3200,3200,3100,3072.5,3195,3050,2999.5,2950,2995,3500,3600,3650,3425,3450,3467.5,3500,3500,3700,3800,3625,3800,3697.5,3800,3500,3500,3550,3550,3495,3500,3600,3800,3772.5,3795,3650,3495,3500,3490,3550,3550
"Tampa, FL",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.5,1772.5,1587.5,1650,1499.5,1400,1497,1600,1700,1750,1800,1750,1950,1900,1800,1800,1850,1900,1900,1900,1900,1999,2000,2000,1995,1950,1895,1862.5,1895,1975,1995,1995,2056,2050,2097.5,2000,2065,2022.5,2020,2000,2000,2000,1950,1950,1985,1995,2012.5,2025,2067.5,1937.5,1900
"Denver, CO",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,2150,2200,2295,2295,2299.5,2297,2250,2395,2200,2400,2397.5,2347.5,2395,2400,2397.5,2299.5,2400,2200,2197,2200,2495,2500,2495,2575,2550,2495,2500,2497.5,2395,2495,2472.5,2500,2595,2499.5,2450,2485,2400,2400,2400,2525,2500,2495,2500,2500,2500,2500,2585,2500,2400,2372.5
