"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684,1640,1625,1600,1582,1525,1565,1600,1601,1600,1650,1625,1630,1625,1595,1580,1506,1540,1575,1600,1625,1622,1645,1629,1695,1646,1600,1670
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2200,2200,2400,2500,2550,2595,2600,2625,2650,2700,2700,2700,2700,2700,2700,2700,2660,2725,2700,2650,2695,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2750,2799,2895,2400,2395,2400,2400,2400,2300,2300,2384,2395,2400,2495,2445,2400,2445,2400,2400,2350,2300,2300,2350,2395,2400,2435,2480,2499,2495,2500,2525
"Los Angeles-Long Beach-Anaheim, CA",2,,1807.5,1750,1695,1735,1700,1675,1650,1600,1600,1650,1425,1475,1450,1400,1395,1375,1365,1395,1375,1350,1375,1375,1395,1395,1425,1400,1395,1395,1400,1400,1400,1395,1395,1361.5,1395,1400,1599,1600,1650,1605,1625,1650,1627,1595,1525,1690,1650,1625,1625,1675,1735,1745,1755,1780,1787,1850,1854,1875,1875,1900,1895,1900,1905,1930,1935,1950,1950,1960,1995,1995,2025,2050,2090,2070.5,2095,2095,2080,2020,2071,2000
"Chicago, IL",3,,1125,1300,1297.5,1200,1150,1175,1297,1396,1399.5,1400,1350,1300,1250,1282,1300,1400,1350,1300,1300,1299,1362.5,1400,1300,1281,1300,1395,1495,1545,1536.5,1515,1450,1494,1495,1495,1500,1575,1474.5,1450,1525,1590,1577,1575,1550,1504,1530,1599,1550,1495,1495,1500,1525,1576,1650,1529,1653,1651,1600,1400,1495,1640,1508,1500,1550,1550,1537,1500,1625,1674,1747,1645,1580.5,1669,1530,1500,1528.5,1510,1500,1477,1470,1400
"Dallas-Fort Worth, TX",4,,,950,937.5,950,850,950,915,950,997.5,995,892.5,875,895,885,887,895,900,869,850,844,810,755.5,844,950,967,979,975,945,815,799,795,792,840.5,842,825,801,875,910,900,900,895,955,1019,1013,1000,1050,1130,1118,1124.5,1161,1116,1149,1100,1099.5,1080,1089,1139,1150,1150,1150,1125,1150,1150,1159,1161.5,1175,1185,1190,1200,1200,1210,1234.5,1264,1249,1252,1249,1230,1221,1288,1240
"Philadelphia, PA",5,,975,900,950,1024.5,900,897.5,950,1000,1095,975,962.5,950,995,1000,1025,1078,1060,1095,1072.5,995,950,900,957.5,1000,1100,1028,1000,995,975,975,950,925,925,923,915,950,1095,1105,1213,1190,1150,1100,1150,1100,1169,1150,1100,1100,1100,1195,1250,1250,1250,1248,1200,1200,1225,1200,1200,1200,1250,1300,1295,1295,1275,1255,1250,1230,1300,1250,1300,1300,1300,1334.5,1350,1325,1300,1300,1295,1300
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149,1095,1120,1256,1269,1259,1229,1241,1270,1200,1212,1209,1210.5,1255,1280,1285,1300,1300,1299,1319,1305,1400,1395,1410,1354,1379,1365,1370.5,1350,1335,1292,1299,1245
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,1880,1865,1885,1935,1892.5,1610,1650,1600,1567.5,1622,1600,1625,1655,1820,1760,1607,1600,1625,1790,1840,1799,1775,1700,1735,1729,1715,1750,1814,1842,1888,1899,1840,1799,1800,1795,1790,1820,1811,1830,1825,1825,1816,1823,1833,1822,1780,1769,1795,1810,1820,1815,1800,1805,1780,1760,1735,1700
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,1375,1300,1250,1250,1250,1250,1295,1300,1350,1395,1400,1350,1325,1350,1300,1350,1300,1250,1295,1299,1300,1300,1350,1350,1350,1350,1485,1514,1600,1600,1650,1700,1700,1685,1650,1650,1700,1600,1600,1555,1600,1650,1600,1628,1600,1697,1700,1650,1609,1650,1650,1650,1650,1695,1750,1750,1790,1800,1850,1799,1775,1750,1710,1700,1785,1795
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1100,1105,1121.5,1129,1100,1115,1119,1134,1115,1150,1179,1184,1200,1215,1255,1240,1265,1260,1228,1323,1300,1309,1300,1315,1325,1191,1276,1261,1260,1308,1230
