"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,,,,,,,,,,,,,,,1450,1450,1441,1500,1650,1575,1395,1395,1426,1450,1399,1450,1500,1479,1500,1560,1600,1600,1590,1580,1600,1580,1700,1725,1700,1700,1660,1699,1750,1800,1900,1800,1890,1850,1875,1850,1850,1895,1850,1595,1550,1600,1580,1495,1500,1530,1541,1500,1517,1500,1525,1500,1523,1500,1500,1470,1475,1495,1500,1500,1500,1525,1500,1550,1525,1549,1600
"New York, NY",1,1700,1750,1800,1800,1875,1897.5,1925,1950,2012.5,1972.5,2025,1997.5,1900,2050,2050,2085,2063,2100,2175,2155,2100,2095,2025,2025,2100,2095,2100,2150,2150,2149,2150,2150,2195,2195,2195,2150,2195,2195,2195,2200,2200,2200,2200,2250,2250,2240,2250,2205,2250,2250,2250,2295,2295,2195,2100,2100,2155,2150,2100,2150,2150,2150,2200,2195,2150,2100,2175,2195,2150,2120,2100,2100,2100,2100,2100,2100,2100,2125,2100,2125,2200
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,995,900,897.5,895,895,1050,985,950,895,868,875,895,947.5,1000,995,1025,995,995,995,1050,1034,1050,1050,1035,1099,1150,1140,1165,1136.5,1095,1100,1034,1066,950,1050,1065.5,1050,1000,1050,1100,1150,1199.5,1200.5,1200,1245,1255,1299,1295,1308,1308,1350,1295,1395,1395,1425,1405,1415,1450,1405,1505,1515,1550,1545,1582.5,1541,1725,1489,1525,1440
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1405.5,1350,1295,1393,1223,1155,1192,1120,1115,1100,1195,1225
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,855,862,895,899.5,898,906,918,831.5,950,960,937.5,893,881,974,956.5,990,945,899,950,899,929.5,865,942.5,935,979.5,1035,1055,1035,1015,1075,1034.5,1025,990,1050,976,1035,1033
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,750,775,750,800,799.5,800,850,810,820,815,807.5,815,800,792.5,795,750,800,850,852.5,850,800,799,875,850,850,835,796,790,805,850,899.5,850,860,895,850,875,907.5,822,850,847.5,875,931,925,925,900,900,895,875,900,899.5,910,950,950,995,995,995,964.5,975,995,995
"Washington, DC",6,,,,,,,,,,,,,,,,,,,,2048,1777,1660,1702.5,1665,1650,1680,1700,1675,1675,1675,1607,1659,1659.5,1660,1655,1660,1672,1715,1685.5,1628.5,1620,1600,1630,1665,1634,1600,1535,1527.5,1505,1500,1500,1549,1565,1590,1635,1596.5,1577.5,1575,1597.5,1600,1595,1600,1579,1560,1589,1590,1600,1600,1591.5,1590,1595,1599,1619,1635,1625,1640,1645,1640.5,1630,1600,1557
"Miami-Fort Lauderdale, FL",7,,,,,,,,,,,,1000,1150,1200,1200,1200,1200,1150,1200,1100,1000,999,1000,1000,1100,1100,1075,1100,1100,1149,1150,1100,997,1000,1050,1000,1000,1105,1112.5,1115,1150,1200,1180,1200,1150,1200,1300,1290,1200,1185,1150,1300,1200,1250,1200,1250,1250,1200,1250,1287.5,1400,1450,1409,1398,1400,1350,1350,1350,1350,1350,1350,1400,1400,1447,1450,1400,1350,1350,1300,1350,1300
"Boston, MA",8,,,,,,,,,,,,,,,,,,1295,1300,1350,1300,1350,1250,1300,1300,1300,1350,1400,1375,1361,1350,1400,1425,1425,1425,1425,1400,1400,1435,1450,1450,1460,1475,1475,1450,1500,1480,1495,1500,1500,1500,1500,1525,1550,1550,1550,1560,1595,1595,1600,1600,1595,1600,1600,1600,1600,1625,1625,1645,1650,1650,1640,1625,1600,1600,1600,1600,1600,1625,1625,1600
"San Francisco, CA",9,,,,,,,,,,,,,,,,,,,,,,1495,1395,1481.5,1550,1650,1609,1595,1625,1692.5,1612.5,1500,1500,1595,1610,1730.5,1745,1750,1734,1795,1750,1832.5,1884,1899,1995,1981,1999.5,2047.5,2025,1997,2050,2099,2005,2115,2200,2200,2300,2290,2295,2195,2250,2195,2200,2195,2200,2230,2345,2295,2295,2310,2350,2495,2450,2380,2395,2350,2395,2295,2200,2200,2195
