"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
102001,"United States",0,10000,10000,10000,10000,10000,10000,10000,9900,9961.5,10000,10000,9900,10000,9950,9740,9500,9500,9100,9100,9100,9050,9000,9000,8446,8000,7900,7281.5,7500,7500,7400,7119,7400,7500,7600,7900,7500,7600,7400,7000,7000,7000,7000,7000,7000,7600,7900,7850,7500,7600,7500,7000,7000,7000,7000,7100,8000,8400,8700,8500,8000,8000,8000,7100,7162,7500,7900,8000,9000,9100,9100,9000,8000,8000,7900
394913,"New York, NY",1,19900,19000,17000,16000,16000,16000,16000,15100,15164,16000,15100,15000,16000,15900,15000,15000,15000,15000,15000,15000,15000,15000,14889,14000,14900,14900,14000,14100,14100,14000,14000,15000,14900,14901,14000,14000,14000,14000,14000,13000,14000,14000,14000,14900,15000,15000,14100,14000,15000,14900,14000,11950,13000,14000,14000,15000,15000,15000,14500,14000,14900,14902,14000,12000,13900,14000,14900,15000,15000,15000,15000,14000,15000,15000
753899,"Los Angeles-Long Beach-Anaheim, CA",2,20000,20000,19000,17332.5,18000,19000,16100,18436,17251,19000,19000,18025.5,16000,16000,15000,15000,15100,15003,16000,19100,19500,20000,20000,20000,20000,20000,20000,20000,19975,20000,20500,21000,24000,20100,20000,19900,19000,17000,15100,15000,15000,15000,15100,15500,15001,16000,15900,15000,15100,15000,15000,15000,15100,15030,18000,20000,20000,20000,20000,20000,20000,20000,20000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
394463,"Chicago, IL",3,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9000,9900,9999,9899.5,10000,9900,9600,9500,9100,9000,8500,8000,7000,7900,8000,8000,8900,9000,9000,9600,8150,8800,8600,7550,7600,8000,7875,8000,8000.5,9000,9100,9000,8900,9000,8500,8000,8000,8000,8000,8100,9100,9100,9100,9000,8000,8500.5,8000,7000,7400,7000,7400,9600,9200,9900,9500,9000,8000,8000,7000
394514,"Dallas-Fort Worth, TX",4,7000,6400,6000,5700,5600,5900,6000,5720,5497,5500,5500,5500,5500,5900,5550,6000,6000,5200,5500,5900,5500,5500,5100,5100,5100,5100,5100,5000,5400,5100,5100,5500,6000,5900,6000,5100,5100,5500,5500,6000,5999,5500,6000,6000,6000,6500,6000,6000,6500,6900,6000,6500,7000,8462,8977,9100,9853,9600,9030,8000,8860,9000,8000,7000,9421.5,9600,10000,10000,10000,10000,10000,9100,9500,9000
394974,"Philadelphia, PA",5,10000,10000,9901,9450,9900,9850,9501,9500,9900,9900,9900,9500,9600,9500,9000,8000,9000,9000,8662.5,8350,9000,9000,8100,8000,7700,7500,6400,6100,7000,7000,6100,7000,7500,7000,7360,6600,7900,7000,6000,6900,7000,7000,7000,7000,7900,7600,7100,7000,7500,7000,7000,6925,6400,6910.5,6979.5,7000,8000,7500,7000,6600,7115,7400,6500,6900,7000,7000,7000,8000,8000,9000,7600,7000,7400,7000
394692,"Houston, TX",6,6994.5,6100,6400,6000,6200,6900,6000,6000,6500,6000,6000,6686,6000,6000,6000,6000,6000,6000,5710,6000,6000,5900,5900,5910,6000,5500,6000,6000,6100,5500,6000,6000,7000,6000,6100,6309,6900,6000,6500,6100,7000,7000,6900,8100,8000,8100,9000,8000,8000,9900,9000,9500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9902
395209,"Washington, DC",7,15000,12500,11900,10995,12000,10999,11500,10900,12400,12499,12100,11000,11500,12005,12000,10100,10900,10900,12000,12282,13900,13000,11000,11000,11000,10893.5,10100,10001,11000,11000,10900,13921.5,14000,13500,12000,10000,10050,10000.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394856,"Miami-Fort Lauderdale, FL",8,11000,10000,10000,10000,10000,10000,10400,10099,10500,10901,10900,10100,10100,10100,10000,10000,10000,10100,10900,10500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394347,"Atlanta, GA",9,10000,10000,10000,9900,10000,10000,9900,10000,9900,10000,9900,9500,9900,9500,9100,9000,8900,9100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,9500,9900,9000,7900,8000,8000,6975,7450,7600,8700,7600,8000,6400,6544.5,6800,6500,6600,6000,6000,7000,7500,7500,7400,6660,6650,6500,6000,6000,6000,5900,6000,7000,8000,9000,9000,7000,6904,7000,7000
394404,"Boston, MA",10,12100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10900,10100,10100,10000,10100,10000,10000,10000,10000,10000,13000,14800,15000,15000,14100,12500,15000,13000
395057,"San Francisco, CA",11,25000,24000,20000,20000,20000,20000,20000,20000,20662,24000,20250,20075,24000,24000,20000,20000,20000,20000,20000,25000,30000,30000,30000,33000,35000,34000,30000,29050,34000,30500,40350,44000,49969.5,40000,30000,26000,26000,26000,24050,20000,25000,20000,24000,25000,25300,25000,23500,20000,20900,20150,20000,18900,24000,25000,29500,40000,39450,33200,29000,25000,26000,30000,30000,24900,25475,30000,35000,40000,40000,30000,30000,25000,28025,30000
394532,"Detroit, MI",12,8200,6900,6500,5500,5900,5413,5400,5400,6000,6260,6100,6000,5500,5105.5,5000,5000,5000,5000,5400,5940,5100,5500,6000,6000,6000,5400,5000,5000,5000,5000,5000,5100,5100,6000,6100,6000,6000,5400,5100,5000,5100,5000,5000,5100,5900,6100,6500,6000,6000,5800,5100,5000,5000,5000,5000,5100,5500,5700,6400,6000,5400,5100,5000,5000,5000,5000,5000,5100,5935,7000,6000,6000,5500,5100
395025,"Riverside, CA",13,10900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394976,"Phoenix, AZ",14,7700,6900,7000,7000,7400,7000,8000,7000,7400,7400,7000,7500,7000,7400,7980,7800,8500,9210,9500,10000,9900,7000,6290,6000,6000,6000,5400,6000,6327,6370,7100,7000,5900,6000,5100,5099.5,5000,5000,5000,5000,5000,5100,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5001,5100,5100,5100,5100,5010,5000,5000,5000,5000,5000,5000,5050,5100,5100,5100,5010,5000,5000,5000,5000,5000
395078,"Seattle, WA",15,15000,14950,12900,12900,12000,12050,11000,10502.5,11000,11000,12000,10950,11000,10950,10500,10000,10000,10000,10000,10500,11000,11600,11500,11500,12500,12000,10200,10662.5,11000,10900,10100,13000,14000,14000,14000,11025,12500,10999.5,11000,10600,10000,10050,10000,10000,10050,10100,10888,10000,10450,10000,10000,10000,10000,10000,10000,10000,10500,10888,10500,10000,10049,10001,10000,10000,10000,10997.5,14000,14950,14000,14950,12000,11758.5,10950,10500
