"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
102001,"United States",0,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,9500,10000,10000,9991,9900,9900,9900,9100,9000,8700,8000,8000,7600,8000,8000,7400,7900,7100,7350,7100,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,6600,6424,7000,7000,6500,6388,6900,6800,6500,7000,7000,7000,7000,6100,7000,7500,7000,7000,7500,8000,7600,7900,8000,8000,8000,7125,8000,7760
394913,"New York, NY",1,15100,15000,15000,15000,15000,15000,14270,14000,14000,14000,13999,11000,14000,14000,12000,12000,13000,13000,10125,10000,10111,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10900,10000,10000,10011,10000,10000,10000,11000,12500,11050,10000,11000,12500,11000,14900,14000,11200,11000,10000,14000,15000,15000,12000,15000,14900,15000,16000,20000,20000,15000,12500,20000,20000
753899,"Los Angeles-Long Beach-Anaheim, CA",2,15100,15000,14100,14650,14500,14900,13000,14000,12900,14000,13980,14000,11604.5,13500,11000,11000,10800,11272,12000,13000,13000,13650,13500,15000,14000,13000,14000,13500,15000,15000.5,19100,16000,15000,14950,11495,12875,11000,11306,10500,10000,10000,10000,10000,10050,10000,10000,10000,10000,10000,10011,10200,10100,10000,10000,10100,14000,13000,10900,11000,10000,11000,10900,11000,10000,10025,10000,10000,11000,13000,13000,11650,10999,11000,11000
394463,"Chicago, IL",3,10000,10000,10000,9900,10000,10000,9901,10000,9500,10000,9900.5,9100,9500,9900,9000,9000,9100,9100,8099,9000,8000,7100,8000,8000,7412.5,8000,6050,6000,6900,7000,6400,7000,6400,7000,9000,8000,9000,9000,7625,7500,7501,8000,8000,8000,7900.5,8000,7500,7100,8000,9000,8000,7925,7500,7200,7300,7000,6900,6500,6494.5,6000,7000,6095,6000,6300,6000,6000,6400,6150,6000,6000,6000,6000,6000,6000
394514,"Dallas-Fort Worth, TX",4,6000,5900,5099.5,5804.5,5100,5050,5000,5000,5000,5000,5000,5000,5000,5000,5000,6100,5050,5000,5000,5000,5000,5000,5000,5000,5000,5000,5001,5000,5000,5000,5000,5000,5000,5000,5097.5,5000,5000,5100,5000,5270,5000,6000,5000,5000,5000,5100,5000,5100,5000,5000,5950,5000,5000,5000,5500,6600,8450,7050,6000,7600,7950,7000,10000,8000,10000,9000,10000,10000,10000,9000,8000,8750,9100,9000
394974,"Philadelphia, PA",5,5900,6000,5100,5100,5428,5000,5000,5100,5100,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5000,5000,5000
394692,"Houston, TX",6,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5100,5050,5000,5400,5500,7000,7095,8000,8000,9000,6000,9000,7250,6100,7450,6500,6000,6000,7000,6000,7900,9000,9000,8000,8800,9600,8400,6050,7000,6000
395209,"Washington, DC",7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9225,10000,10000,10000,10000,10000,10000,10000,9900,9900,9100,9650,8000,9900,10000,9900.5,10000,10000,10000,10000,10000,9905,9900,9000,9000,9000,9900
394856,"Miami-Fort Lauderdale, FL",8,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9900.5,10000,10000,10000,9999,10000,10000,9900,10000,10000,10000,9901,9500,9900,10000,9778,9100,9930,10000,10000,9788,9400,9000,8000,8000,8000,7400,7600,7600,7499.5,8000,8000,8200,9400,10000,9400,9160,9000,9000,9920,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
394347,"Atlanta, GA",9,10000,10000,9000,9000,9001,10000,8900,8900,7000,7800,8000,7000,7500,7150,8000,6707.5,8000,7150,7400,7000,9000,10000,9000,7900,9850,7000,8000,8901,7750,10000,9350,8000,7050,7000,7100,6000,6000,7000,6000,6000,6000,5100,5500,5000,6000,5000,5000,5000,5025.5,5000,5000,5100,5000,5000,6000,5750,5900,5400,5000,5100,5100,5100,5100,5000,5100,5000,5000,5000,5100,5100,5000,5000,5090,5040
