"RegionName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"United States",0,4.52,4.83,4.37,4.15,3.84,3.58,3.55,3.59,3.83,4.25,4.39,4.59,4.75,4.7,4.44,4.26,3.83,3.65,3.73,3.79,4.13,4.24,4.54,4.74,5.13,5.55,5.48,5.39,4.87,4.41,4.43,4.43,4.52,4.74,4.86,5.11,4.96,4.94,4.52,4.4,3.96,3.75,3.69,3.81,3.96,4.21,4.5,4.7,5.29,5.15,4.76,4.85,4.58,4.48,4.59,4.66,4.89,5.2,5.89,6.31,6.8,6.52,6.24,6.03,5.69,5.5,5.59,5.91,6.58,7.07,7.51,8.42,8.84,8.59,8.16,8.06,7.93,7.63,7.66,8.46,9.28,10.01,10.98,12.28,13.9,14.27,14.21,14.42,14.22,14.18,14.56,15.23,16.71,17.92,20.11,21.56,23.48,24.08,23.12,23.27,22.35,21.91,22.13,22.35,22.92,23.2,23.53,26.41,28.94,28.93,27.56,26.17,25.47,25.71,27.88,28.34,28.5,28.69,29.28,28.05,31.11,33.59,32.73,31.42,30.73,30.07,29.87,30.47,30.98,31.84,32.5,33.49,34.4,34.34,33.55,31.94,30.77,30.79,30.17,30.1,29.88,30.44,30.34,30.02,30.13,30,28.85,27.95,26.41,25.56,24.63,24.33,24.52,24.49,24.51,25.17,25.12,24.59,23.82,23.42,22.42,21.64,21.16,21.1,21.26,21.13,21.55,21.91,22.53,22.06,21.05,20.47,19.08,18.56,18.24,18.23,18.14,18.32,18.62,17.84,18.95,19.21,18.12,17.11,16.23,15.06,14.72,14.53,14.37,13.56
"New York, NY",1,3.12,3.91,3.73,4.11,3.46,3.42,2.66,2.96,2.72,3.35,3.31,3.43,3.34,4.1,4.42,3.91,3.12,3.3,3.32,2.93,3.03,3.83,3.19,3.98,4.25,4.53,4.98,4.65,4.61,4.1,3.56,3.64,3.58,3.85,4.01,3.73,4.16,4.4,5.04,4.46,4.1,3.65,2.95,3.29,3.11,3.18,3.57,4.01,4.45,4.04,4.38,3.98,3.82,3.71,3.25,3.24,3.46,4.03,4.1,4.26,4.04,4.95,5.1,4.87,4.06,3.92,4.15,4.27,4.65,4.95,6.28,6.3,7.04,6.67,5.6,4.65,4.46,4.47,5.62,6.02,7.5,6.39,7.05,8.99,9.34,8.93,10.21,10.12,10.88,10.19,10.64,10.52,11.97,12.69,13.4,15.04,16.19,18.31,20.4,19.85,19.44,18.85,18.68,18.21,18.4,18.7,19.57,19.69,19.75,21.3,22.53,21.9,22.05,19.86,19.81,21.4,21.27,21.5,20.79,21.32,22.82,23.84,24.29,24.01,24.35,23.82,21.59,22.76,23.2,24.54,23.96,24.57,25.52,27.64,26.57,26.85,25.61,25.59,26.05,24.18,24.57,25.89,25.47,24.55,25.09,26.66,25.77,25.83,23.95,24.82,23.45,22.38,22.71,22.29,21.87,21.58,22.04,21.66,22.8,21.97,20.88,21.69,21.27,20.42,20.37,19.41,21.3,19.8,19.5,20.86,21.27,20.84,20.77,19.5,19.23,18.77,18.25,17.99,18.65,19.26,19.8,19.05,18.23,18.06,18.79,16.32,18.24,16.3,16.12,12.74
"Los Angeles-Long Beach-Anaheim, CA",2,3.46,2.93,2.5,2.51,2.22,1.9,2.29,1.69,2.22,2.4,2.34,2.12,3.79,2.57,1.99,1.82,1.73,1.66,1.84,1.76,1.97,1.81,2.18,2.64,3.91,2.92,2.24,2.44,1.92,2.28,1.82,2.06,2,2.11,2.04,2.07,2.64,1.84,2.05,2.01,1.79,1.62,1.8,1.8,1.99,2.1,2.31,2.07,3.29,2.17,1.83,1.79,1.82,1.98,3.44,2.24,2.17,2.46,3.08,2.74,4.02,3.63,3.55,3.5,3.13,2.03,2.01,2.26,2.42,2.6,3.6,3.72,3.64,4.5,4.01,4.65,4.69,5.46,5.36,5.83,8.31,8.98,10.34,12.96,14.72,17.62,17.24,18.09,19.49,21.82,22.7,24.07,28.03,29.68,32.55,34.44,35.61,35.13,31.73,34.3,31.41,28.67,29.23,31.97,29.03,33.44,31.84,33.73,35.97,37.25,35.26,35.35,32.77,35.63,35.04,34.42,33.55,35.06,35.55,34.85,38.88,39.76,38.99,32.21,36.1,35.83,33.45,34.81,34.57,37.45,36.92,39.98,39.61,38.34,41.29,35.13,34.02,32.28,31.78,31.82,31.16,30.55,30.85,29.88,28.03,27.17,23.97,20.69,20.13,17.59,16.38,15.32,15.05,15.39,15.57,15.56,13.9,13.11,12.46,11.86,11.64,12.05,11.08,10.68,10.68,10.53,10.08,10.8,10.45,10.72,9.58,9.81,9.47,8.08,8.99,8.75,8.71,8.41,9.65,9.02,8.76,9.59,7.7,7.31,6.64,7.3,6.45,6.12,6.73,6.38
"Chicago, IL",3,2.36,2.8,2.53,2.83,1.65,1.8,2.03,1.8,2,2.2,2.19,2.54,3.13,2.53,2.79,2.62,2.49,1.93,1.8,1.59,1.85,1.83,2.16,2.09,2.74,2.85,2.49,2.41,2.48,1.55,1.98,2.2,2.07,2.08,2.45,2.47,2.75,2.71,2.65,2.62,2.36,2.21,2.3,2.03,2.24,2.5,2.76,2.65,3.17,2.96,3.04,2.71,2.45,2.89,2.53,2.4,2.67,2.82,3.33,3.9,3.73,3.72,3.81,3.31,3.18,3.14,3.47,3.22,3.45,4.27,4.52,5.55,6.07,5.41,5.15,6.15,5.23,5.18,5.59,6,6.76,7.84,9.5,11.9,11.75,14.57,14.52,14.77,14.53,14.65,15.06,15.99,17.54,19.78,21.51,22.31,26.12,28.69,29.75,28.77,30.05,28.27,27.43,27.24,29.17,28.49,30.85,32,36.8,38.8,37.67,36.04,36.02,35.5,37.75,38.14,37.8,41.74,40.78,39.93,41.76,44.46,43.79,40.63,42.11,40.65,40.06,41.11,42.82,41.71,42.63,41.75,44.6,45.9,50.3,49.17,47.92,47.51,46.01,46.95,47.53,50.24,48.05,48.04,45.61,46.35,48.71,46.48,42.97,42.22,40.25,38.53,41.23,38.69,37.07,37.08,41.65,40.43,39.93,39.03,37.44,34.4,35.46,34.38,32.69,35.01,33.37,33.25,32.31,36.49,34.57,33.67,33.33,31.68,31.1,30.85,31.42,31.25,31.16,32.52,32.69,33.22,33.07,30.2,30.08,28.4,28.63,28.67,28.43,29.33
"Dallas-Fort Worth, TX",4,3.48,2.91,2.78,2.53,2.65,2,2.75,3.09,3.03,3.14,3.44,4.06,4.34,3.27,3.53,3.49,3.38,3.24,3.14,4.46,3.96,4.32,3.85,5.57,4.67,3.95,4.06,4.44,4.79,4.15,4.13,5.02,4.92,5.21,5.15,4.71,4.68,4.11,4.4,3.26,4.15,4.51,4.17,4.01,4.69,4.13,4.48,5.47,4.62,4.85,5.99,5.06,4.71,4.08,4.48,4.97,5.15,5.26,7.05,5.29,5.79,5.75,6.14,5.3,5.97,6.22,5.86,5.32,7.21,7.48,7.24,6.85,8.68,8.08,9.76,7.34,7.79,7.1,7.62,8.22,10.54,9.99,11.83,13.06,14.34,15.13,13.69,13.89,12.68,13.08,13.07,16.61,15.31,18.18,17.87,21.01,20.5,21.96,18.48,18.12,17.17,18.77,18.46,17.28,16.62,18.22,26.04,20.27,21.53,22.9,21.16,23.58,21.53,22.85,22.66,23.18,24.61,25.28,27.15,28.72,30.81,29.45,30.43,28.95,28.05,29.83,27.76,29.04,30.87,29.36,30.15,31.53,32.28,32.99,31.13,28.23,27.5,28.03,26.34,26.52,28.96,27.83,28.71,27.14,29.28,27.48,24.96,21.61,20.32,18.02,18.25,17.45,17.59,18.07,18.03,17.24,17.66,16.77,15.26,14.38,13.77,13.52,12.58,11.99,12.52,12.91,12.38,12.63,12.8,11.16,11.89,9.91,9.37,8.42,8.4,7.02,7.14,7.61,7.22,7.28,8.18,6.67,6.71,6.44,5.72,3.05,2.59,2.73,2.67,2.59
"Philadelphia, PA",5,5.87,7.17,5.29,3.01,3.05,2.76,2.35,1.95,2.24,2.68,2.69,2.5,2.57,2.55,3.31,3.19,2.75,2.72,2.2,2.25,2.55,2.28,2.47,2.5,2.69,3.11,3.38,2.71,2.62,2.33,2.41,2.59,2.73,2.62,2.51,3.4,3.92,3.75,4.08,4.51,3.88,3.04,2.86,3.79,3.3,3.53,3.71,3.8,4.39,6.31,5.99,5.67,5.28,4.02,3.64,4.12,4.63,4.93,4.87,4.12,4.96,5.82,5.12,5.41,4.49,4.21,3.69,4.28,4.3,4.32,5.48,5.84,6.16,5.79,6.75,5.87,5.82,5.17,4.33,5.1,5.54,6.32,7.02,7.03,8.35,10.27,8.55,9.23,8.33,8.62,7.75,8.69,9.09,10.76,12.23,13.25,16.28,16.51,14.44,14.36,13.81,15.36,13.8,14.09,14.25,14.21,13.19,15.14,17.99,18.51,16.63,16.7,15.01,15.6,17.27,18.68,18.2,17.78,18.13,19.98,19.71,22.97,22.23,23.77,20.9,19.59,23.28,20.48,21.01,21.12,22.41,21.45,22.74,24.17,23.47,22.59,23.13,23.41,23.24,23.37,22.17,24.06,23.02,23.18,22.5,23.58,24.16,24.35,24.65,23.23,23.98,22.46,23.51,22.51,22.32,23.25,24.28,24.65,24.46,24.2,23.04,22.25,21.31,21.44,21.78,21.11,21.15,23.16,22.53,24.71,22.2,22.51,23.07,21.73,19.44,21.01,20.79,22.03,21.25,20.72,21.76,21.25,21.94,22.03,20.61,18.9,18.71,17.49,18.82,16.66
"Washington, DC",6,2.69,5.51,4.64,3.35,3.46,3.11,2.32,2.75,3.28,3.76,4.16,4.29,4.45,4.13,3.55,3.74,2.93,3.2,2.85,3.05,3.52,3.91,3.97,3.54,4.42,4.1,4.71,4.19,3.88,3.62,3.7,3.74,4.01,4.55,4.53,4.48,4.24,3.75,3.38,3.3,2.85,2.32,2.58,2.89,2.55,3.22,3.39,3.49,3.78,3.46,3.65,3.65,3.07,3.71,3.3,3.41,3.95,4.43,4.81,5.65,5.51,5.7,5.31,4.76,4.19,4.55,3.95,4.44,5.03,5.69,6.01,6.7,7.29,6.93,7.53,7.19,6.05,6.41,7.23,7.67,8.85,10.68,11.01,11.98,14.51,15.8,16.43,17.73,17.31,16.66,17.01,18.88,22.04,24.32,27.62,29.09,31.6,33.69,34.83,32.73,30.86,28.83,29.67,27.18,30.66,30.99,29.94,29.29,42.93,37.11,34.11,31.2,28.48,29.8,30.98,29.08,30.01,30.58,32.41,29.03,34.87,35.53,35.63,33.48,31.6,26.54,28.34,30.75,29.35,32.48,33.53,33.48,35.47,35.43,29.27,31.41,27.66,27.9,26.27,24.94,24.38,26.1,24.36,24.17,25.9,25.55,23.04,22.47,20.82,21.68,19.35,20.55,22.71,22.32,22.28,22,21.5,21.56,21.46,20.92,18.75,18.65,17.35,19.27,20.25,19.21,19.91,20.14,22.05,21.94,18.67,19.95,17.44,17.96,18.04,18.16,19.16,20.08,20.15,20.84,20.91,20.82,20.51,18.34,17.89,15.88,14.92,17.2,15.6,15.9
"Miami-Fort Lauderdale, FL",7,3.89,4.21,4.37,4.73,3.8,3.6,3.81,3.18,3.4,3.44,3.84,3.8,3.37,3.22,2.96,2.97,3,2.76,2.88,2.92,2.88,2.53,2.86,3.03,3.44,3.13,3.15,2.89,3.13,2.94,2.61,2.65,2.56,2.68,2.87,2.92,2.93,2.93,2.62,2.55,2.07,2.16,1.88,1.62,1.57,2.1,2.99,2.52,2.43,2.69,3.38,3.53,3.67,4.1,5.99,4.97,5.02,5.16,4.6,4.84,5.16,5.01,4.19,3.3,3.44,3.08,3.46,4.14,3.99,4.4,5.05,5.07,4.37,5.32,4.95,5.44,5.93,6.57,6.63,8.24,8.32,9.91,11.67,14.2,14.4,16.57,17.8,18.06,19.97,20.81,24.14,25.95,27.9,31.5,36.43,33.16,40.14,40.24,40.48,39.21,40.79,41.9,41.82,40.88,42.38,42.57,42.47,45.43,50.05,48.87,48.37,44.5,44.75,46.38,42.53,47.73,52.37,52.11,51.22,49.98,52.88,52.92,50.34,48.21,48.74,47.63,45.44,48.05,47.76,49.56,48.63,51.83,49.43,48.46,45.76,41.6,41.39,41.88,40.4,42,42.42,42.99,42.58,41.24,41.64,38.82,35.51,33.4,32.34,32.04,30.3,29.21,27.62,29.81,25.66,27.43,26.93,26.84,21.94,23.2,23.49,21.15,21.01,20.87,21.24,19.56,20.42,20.73,21.18,19.8,18.37,18.69,17.74,16.97,17.75,17.62,17.68,16.94,17.14,17.21,16.83,15.84,16.35,16.33,14.56,14.92,14.64,13.61,14.72,14.39
"Atlanta, GA",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.99,46.26,46.71,41.9,45.01,44.35,42.17,41.93,42.07,46.81,44.9,44.18,47.13,48.36,42.57,50.35,47.75,42.58,46.04,49.92,50.48,47.67,48.07,49.52,57.47,56.39,58.88,49.97,51.95,50.31,52.42,52.43,49.59,54.07,52.58,54.22,54.96,53.86,55.74,48.66,49.83,53.03,51.83,46.99,53.66,49.93,50.13,49.18,47.74,45.15,49.91,49.7,46.69,43.41,39.49,40.72,39.58,40.7,38.01,43.04,38.59,38.39,38.32,36.42,35.13,33.23,31.8,31.36,29.57,32.3,31.84,31.24,33.31,33.06,33.07,29.24,27.03,25.47,24.16,22.79,23.96,23.58,25.93,25.3,25.72,25.41,25.74,23.28,22.69,20.31,16.99,14.63,15.05,15.95,14.13
"Boston, MA",9,2.71,3.36,2.55,2.63,2.44,2.25,1.95,1.89,1.91,3.02,3.1,3.22,3,3.3,2.9,2.55,2.13,1.91,2.04,2.42,2.42,3.23,2.7,3.83,4.59,6.15,10.83,6.42,6.74,5.25,4.51,4.98,5.77,6.2,4.93,5.5,8.26,9.56,9.77,7.73,5.65,5.84,5.31,5.9,6.68,6.35,7.4,7.33,8.7,9.71,8.72,7.56,6.27,4.24,3.88,5.1,5.16,5.79,6.27,6.81,9.11,9.99,8.89,8.57,7.96,6.79,7.39,9.01,9.54,12.53,11.87,14.93,17.11,14.08,15.93,14.36,14.9,12.11,12.06,12.42,14.17,16.89,17.45,20.54,22.42,26.56,22.8,21.87,19.66,20.35,18.85,18.61,22.89,24.49,23.63,23.89,29.42,31.07,28.23,26.92,27.24,23.8,23.37,25.45,25.47,24.22,24.15,27.3,29.1,30.66,29.04,25.49,25.84,24.71,26.3,26.39,28.08,27.06,28.64,26.06,30.6,34.99,31.68,28.71,27.69,26.2,26.26,28.17,27.76,28.24,28.56,32.36,31.31,33.44,31.84,32.06,28.42,26.1,28.89,27.33,27.82,29.1,29.36,28.98,33.5,33.01,32.46,28.54,24.19,20.75,20.46,21.13,22.35,21.49,21.26,20.58,18.87,22.02,24.49,21.2,21.19,19.14,18.8,21.11,17.82,17.5,18.05,16.06,19.89,19.13,16.82,17.06,14.03,12.13,11.08,12.12,12.77,11.78,11.14,12.18,11.86,13.04,11.39,10.9,10.32,8.7,8.12,8.31,8.59,8.33
