"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
102001,"United States",0,99600,99900,100100,100200,100200,100300,100600,100600,100600,100900,101500,101800,102100,102600,103000,103400,103800,104300,104800,105200,105600,106000,106700,107300,107200,106900,107300,108300,109000,109400,109900,110200,110500,110900,111500,112100,112500,113200,113900,114400,114800,115300,115700,116200,117000,118000,118700,119300,119900,120700,121200,121700,122400,123000,123400,123900,124700,125600,126400,126900,127500,128200,128800,129200,129600,130100,130500,131200,131900,132500,132900,133700,134500,135000,135500,136100,136900,137600,138400,139100,139900,140500,141300,142100,142800,143700,144600,145200,145900,146900,147900,149000,150000,150800,151600,152800,154100,155300,156600,158100,159500,160700,162200,163700,165100,166300,167600,169100,170700,172200,173800,175500,177100,178500,180000,181400,182600,183600,184600,185700,186700,187400,188400,189100,189700,190300,190700,190700,190900,191300,191600,191900,192000,192100,191900,191600,191200,190500,189700,188900,187800,186800,185700,184000,182200,180800,179300,177600,176200,174800,173500,172300,171100,169700,168500,167300,165900,164300,162800,161700,160900,160200,159600,159100,158800,158800,158300,157600,157200,157000,156500,155700,154800,154000,153200,152400,151600,150900,150200,149700,149100,148400,148000,147700,147200,146500,146000,145500,145300,145400,145500,145700,146000,146100,146300,146900,147400,147900,148200,148800,149400,150200,150800,151500,152300,153400,154400,155300,156300,157300,158300,159100,159800,160300,160900,161600,162200,162800,163400,163800,164400,165200,165700,166200,166700,167200,167800,168700,169700,170700,171500,172400,173400,174100,174700,175700,176500,177000,177800,178800,179400,180200,181600,182700,183500,184400,185600,186600
394913,"New York, NY",1,152500,152900,153200,153300,153100,152900,152700,152600,152800,153500,154500,155300,156100,156800,157300,157600,157700,158000,158400,158700,159000,159900,161100,162000,162500,162700,162800,163100,163800,164500,165300,166300,167300,168300,169300,170600,172000,173300,174700,176200,177700,179400,181000,182800,184900,187000,189000,191000,192900,195000,197300,199300,201400,203400,205400,207200,209400,211800,213900,215600,217300,219300,221200,223400,226100,229400,232700,235900,238900,241500,243600,246300,249300,252100,254900,258300,262100,265600,269000,272600,276000,279200,283200,287100,290500,294100,298300,302300,305500,308300,311100,314100,317100,320400,323800,327000,330400,334100,337700,341500,345500,349400,353500,357800,362300,366800,371600,376500,381200,385500,390000,394000,397100,399900,402800,405300,407000,408300,409600,410800,412000,413100,413600,413900,414400,414600,414000,413200,411800,410300,409300,409100,408600,408200,407600,406300,404200,402100,400600,399200,397200,394900,392400,389700,386900,384000,380500,377300,374800,372500,370000,367400,364700,362400,360200,357800,355400,352900,350300,347700,345500,344200,343500,342500,343200,345300,346100,344700,343400,342100,340900,339400,337600,335700,333700,332200,330900,329300,327400,325700,324400,323300,322100,320800,319400,317800,316200,314800,312900,310800,309500,309500,308900,307300,306600,307700,308800,309100,309100,309300,309300,309000,309000,309300,310000,311600,313500,314800,316000,316800,317300,317800,318300,318700,319100,319500,320400,321800,322800,323300,323700,324000,323900,323900,324300,324900,325300,325800,326600,327500,328600,329500,330700,332200,333600,334600,335200,335300,335900,337000,338400,339200,339900,341000,342600,344300,346300,347900
753899,"Los Angeles-Long Beach-Anaheim, CA",2,164900,165300,164700,164000,163600,163600,163600,163800,164200,165000,165800,166600,167300,168000,167900,167500,167500,168000,168800,169700,170800,172400,174600,174100,171300,169700,173100,178400,182000,182800,184400,186100,187500,188500,189700,191700,193700,195300,196200,197100,198100,199600,201400,203400,205600,207900,210400,213000,215600,218000,219600,220700,222300,224300,225800,227400,229600,232200,234700,237300,239800,242100,243800,245300,247000,249300,251800,254500,257300,260500,263700,267100,270900,275200,279400,283600,288100,293000,298100,303500,308700,313700,318600,323500,328600,333200,337200,341800,347300,353600,360300,367200,374400,382000,390000,399200,409600,420900,432900,444400,454200,462400,469200,474900,480100,485200,490600,496900,504400,512300,520100,528900,538400,547100,554600,561500,566700,570700,574200,577400,579600,581200,582800,583800,583900,583100,582000,580900,578900,576900,575600,574200,572300,570000,565900,560500,555000,549600,544600,539100,530900,521400,512200,502000,489800,477800,467000,456400,445900,436900,429300,422900,416500,410600,405500,401100,397000,393300,390900,389600,389000,388800,388800,388000,392300,399700,403900,403400,403500,403000,401800,399900,398900,398000,397000,395700,393900,391700,389700,387700,385300,382500,380000,377200,373600,370100,367800,366400,364800,363200,362200,362800,364700,367800,371200,375400,379700,383600,386700,390400,394700,398600,403000,409700,417600,425500,433100,439500,445200,451100,455600,458600,460400,461900,464000,467400,470500,473600,476500,479300,482300,485000,487200,489200,490500,491900,494500,498100,501400,503600,505600,508900,512300,514700,517300,521100,524200,526900,530400,534600,537900,540300,542000,543300,545200,548000,551900,555900
394463,"Chicago, IL",3,133400,133800,134100,134200,134200,134100,134000,134000,134600,135400,136000,136300,136100,135800,135800,136000,136500,136900,137200,137400,138000,138900,139500,139700,140200,140600,141000,141300,141200,141200,141500,142000,142800,144000,144900,145400,145800,146100,146500,147000,147500,148200,148900,149300,150400,152100,153400,153900,154600,155300,155900,156400,157200,158200,158900,159300,160700,162800,164200,164900,165800,166800,167600,168100,168600,169300,170100,170500,171800,174100,175400,175400,175800,176300,176900,177400,178000,178600,179400,180000,182000,184900,186900,187800,188800,189700,190900,192300,193300,193700,194100,194400,196300,199100,200700,200800,201500,202300,203200,204300,205600,206800,207900,211300,204000,189900,183700,186700,187800,188700,189200,189700,190500,191300,192000,192200,194000,197100,198700,198700,199000,199300,199500,199600,200000,200500,200800,200600,201700,204100,205500,205400,205300,205000,204600,204100,203300,202600,201900,201100,201200,201800,201500,200300,199300,198300,197300,196100,194800,193500,191900,189600,188100,187500,186500,184600,182800,181000,179400,178200,177400,176500,175600,174800,174200,173300,172600,172000,171200,170400,169600,168500,166800,165300,164700,164400,163900,163600,162900,161400,159800,158200,156500,154900,153700,152800,151800,150900,150300,149600,148700,148200,148100,148400,149000,149600,150000,149900,149700,149900,150500,150700,151100,152000,153300,154700,155900,157000,158000,158900,159400,159500,159800,160500,161400,162200,162400,162300,162600,163200,164000,164700,165300,165200,164900,164700,165200,165700,166300,166700,167000,167300,167700,167700,167700,167900,168300,168700,168800,169000,169700,170600,171300,171900,172300,172900,173600,174200
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,85800,85700,85400,85500,85700,85900,86200,86500,87100,88100,89000,89500,89900,90100,90000,89900,89800,89800,89700,89600,90100,91100,92000,92600,93200,93800,94200,94700,95000,95500,96100,96600,97300,98700,99800,100100,100100,100200,100300,100400,100400,100300,100400,100600,101400,102500,103300,103600,104000,104400,104800,105300,105900,106500,106900,107100,107600,108500,109200,109400,109800,110200,110600,110900,111300,111700,112200,112800,113200,113600,113900,114400,114600,114900,114900,115100,115200,115400,115600,115700,115900,116100,116400,117100,118400,119600,120800,121800,122600,123100,123800,124600,125100,125300,125700,126000,126300,126700,127000,127200,127400,127700,127700,127700,127700,127900,128000,128200,128400,128700,129100,129600,130000,130300,130700,131100,131300,131600,131600,131500,131500,131600,131700,132000,132400,132800,133100,133400,133800,134200,133600,132000,130500,129400,128000,126600,125800,125200,124400,123700,123200,122700,121800,120800,120000,119400,118600,117600,116900,116700,116500,116400,116400,115900,117800,121200,122700,122100,122500,122900,123000,122800,122500,122200,121700,121200,120600,119900,119700,119700,119600,119300,118700,118100,117700,117200,116900,117100,117000,117100,117400,118100,118600,119000,119000,119000,119200,119400,119400,119500,119900,120200,120700,121500,122400,123300,124300,125100,125700,126400,127200,128000,128300,128500,129100,129800,130400,131000,131700,132500,133600,134700,135600,136600,137200,137700,138600,140100,141900,144100,146000,147600,149400,151600,153600,155400,156900,158100,159500,161100,162600,164300,167200,170500,172400,173100,174500,175800
394974,"Philadelphia, PA",5,89500,89800,89900,89700,89500,89400,89300,89400,89700,89900,90000,90100,90100,90100,90100,90000,90100,90200,90400,90700,91100,91400,91700,92100,92300,92200,92200,92200,92000,91900,92000,92200,92300,92500,92900,93300,93500,93800,93900,94300,94900,95400,95700,96000,96300,96800,97400,97900,98200,98600,99000,99200,99500,100200,100700,100900,101300,102100,102800,103500,104100,104600,105200,106100,106900,107500,108300,108900,109700,110800,111700,112400,113500,114500,115400,116400,117500,118600,119900,121400,122600,123800,125000,126200,127400,128600,129800,131200,132800,134300,135700,137300,138900,140200,141700,143300,145000,146800,148900,151000,153100,155200,157400,159500,161700,163700,165500,167500,169700,172100,174400,176500,178400,180700,182700,184400,185800,186800,187500,188300,189200,190400,191500,192200,192600,192600,192600,192600,192500,192600,193300,194200,194600,194700,195000,195600,195800,195700,195300,194900,194100,193300,192900,192600,192000,191400,190700,190100,189700,189500,189100,188500,187800,187100,186600,186100,185200,184200,183300,182900,182800,182800,182700,182700,183500,184600,184600,184100,184400,184700,184300,183000,181200,179500,178400,177800,177200,176400,175800,175100,174100,173000,171700,170500,169600,169000,168600,168100,167600,167300,167000,166500,166000,165500,165100,164900,164900,165000,165200,165700,166200,166500,166500,166800,167600,168500,169000,169200,169400,169600,169500,169400,169300,169600,169900,170000,169900,170200,170700,171200,171400,171600,171500,171400,171500,171600,171700,172100,172600,173000,173600,174800,176000,176400,176500,176600,176500,176500,176800,177500,178000,178500,179700,181300,182700,183700,184700,185300
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111900,111600,111200,110800,110100,109600,109100,108600,108200,107900,108000,107900,107800,107600,107500,107400,106900,106300,105500,104800,104300,103900,104100,104300,104800,104900,105100,105100,104900,104800,104900,105100,105200,105300,105700,106400,107200,108100,108900,109800,110700,111600,112500,113200,114100,115000,115900,116900,117700,118300,119100,119900,120800,121600,122300,123200,124100,124900,126100,127400,128900,130100,131200,132400,133300,134400,135300,136000,137000,137900,139100,140400,141700,142800,144100,145000,146800,148200,149600,150400,150500
395209,"Washington, DC",7,144000,144300,144600,144800,144600,144300,144300,144300,144600,145100,145700,146000,146200,145000,142900,141600,141900,142000,142200,142500,142900,143500,144000,144100,144100,144300,144500,144600,144500,144600,145200,145700,146000,146700,147600,148200,148600,149200,150000,150900,151700,152400,153000,153600,154500,155900,157400,158600,159700,161100,162700,164000,164900,166100,167600,169400,171300,173200,175200,177300,179300,181600,184000,186400,188800,191200,193300,195600,198200,200700,203100,205900,208700,211700,214800,218200,221700,225000,228200,231300,234300,237200,240000,243000,245900,248400,251000,253900,257100,260600,264400,268100,271800,276100,280600,285500,291000,297100,303500,310300,317500,324400,331200,338100,345100,351800,358400,365300,372500,380000,387500,394200,399900,404600,408500,411600,413200,413800,414100,414000,413100,411600,409500,406900,404400,401900,399900,398500,396400,394000,392300,391200,389600,387800,385700,383100,380000,376800,373700,370100,365100,359600,354200,348600,342600,336900,331200,326200,321900,317900,313900,309900,306200,303300,301100,298900,296300,293600,291100,289100,287800,286900,286600,286000,288800,293900,297100,297300,298600,299600,300200,300100,299800,299500,299200,299200,298500,297200,296000,295900,296400,297200,297800,298200,298600,298700,298800,298900,298700,298100,298000,298700,299200,299800,301000,302700,304400,306000,307500,309700,311300,312000,313300,315700,318500,322200,326500,330500,334200,337300,339200,340700,341800,343000,344500,345900,346500,346900,347400,347800,347800,347700,347900,348800,350100,351300,352500,354000,355300,356300,356900,357200,357600,358200,358800,359700,360500,361000,361600,362500,363000,363500,364000,364700,365700,367200,369500,371600
394856,"Miami-Fort Lauderdale, FL",8,109200,109200,109100,109000,109000,109200,109600,109800,110100,110800,111500,111900,112000,112000,112100,112400,112900,113100,113300,113500,113800,114200,114900,115300,115500,115800,115900,115900,116300,116600,116800,117200,117600,117900,118100,118300,118700,119200,119800,120200,120600,121100,121500,122100,122700,123500,124500,125400,126100,126900,127700,128300,128700,129500,130300,131300,132200,133200,134400,135500,136700,138000,139500,140900,142200,143700,145200,146700,148200,149900,151800,153600,155400,157000,158700,160700,162900,165100,167300,169500,171500,173300,175100,177100,179300,181200,183200,185300,187400,189800,192400,195100,198100,201200,204400,208000,212100,216800,221500,226400,231300,236200,241000,246000,251000,256100,261500,267800,274600,281700,289100,296400,303300,309600,315400,320700,324900,328100,330800,333500,335500,336300,336200,336300,336300,335700,334800,333900,332200,330400,328900,327000,324400,321400,318000,314500,311100,307700,303900,300000,295100,289300,282700,276200,269600,263100,256400,249800,243000,236000,229200,222600,216200,210900,206100,200900,195600,191600,188600,186000,184100,182700,181300,179600,180500,182700,182700,180200,178600,177200,175700,174000,172100,170500,169300,167600,165200,163300,163000,163600,163600,163100,162600,161900,161000,159900,159100,158800,158900,158900,159800,161600,163100,164200,165200,166500,167700,168400,168900,170400,171900,173000,174000,176000,178300,180400,182300,184000,186300,189600,193300,196300,198900,201400,203200,204600,206900,210200,212700,215100,218000,221000,223500,226000,228100,229800,231600,234000,236400,238800,241100,243200,245300,247700,250200,252500,253900,254600,255400,256900,258400,259700,262800,266500,268900,270100,272200,273900
394347,"Atlanta, GA",9,95300,95100,95000,95100,95100,95200,95500,95800,96200,96600,97200,97600,98000,98400,98800,99400,99900,100300,100900,101400,101700,102200,102900,103500,104100,104800,105300,105700,106200,106600,107300,108000,108600,109100,109800,110500,111100,111900,112700,113700,114600,115400,116100,116800,117500,118600,119600,120300,121000,121900,122700,123300,124000,124700,125400,126200,127100,127900,128400,128900,129400,130100,130800,131300,132000,132700,133100,133400,133700,134100,134400,134700,135000,135400,135800,136200,136500,137000,137400,137800,138100,138500,139000,139600,140100,140400,140500,140800,141100,141200,141300,141600,142100,142400,142600,142700,142800,143000,143500,143900,144300,144800,145300,145600,146200,146900,147400,148000,148600,148900,149200,149700,150400,151000,151400,152000,152300,152400,152800,153300,153600,154000,154600,155100,155300,155500,155900,156400,156200,155300,154700,154500,154600,154800,154700,154400,154300,154100,153800,153600,153000,151700,150400,149700,148800,147400,145800,144300,142700,141100,139500,137600,135900,134800,134000,132700,131100,129700,128400,127400,126700,126100,125500,124400,125300,127700,128700,127700,127000,126500,125600,124000,122200,120700,119300,117900,116000,113700,111900,110600,109200,107800,106500,105200,103800,102500,101300,100500,99600,98800,98200,97700,97300,96900,97200,98000,98900,99400,99900,100300,100700,101100,101500,102300,103600,105400,107200,108800,110500,112000,113600,115200,116300,116800,117400,118500,119700,121000,122200,123100,123700,124200,124800,125800,126700,127400,128400,129800,131000,132100,133300,134400,135600,136800,137700,138800,139800,140700,141600,142700,143700,144500,145000,145800,147000,148300,149600,150600
