"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
102001,"United States",0,201100,201000,200600,200200,200100,199900,200100,200600,201500,202400,203300,204300,205100,206100,207300,208400,209200,210300,211400,212400,213500,215000,216400,217200,217400,217500,218900,220900,222600,223600,224600,225700,227100,228300,229600,231200,232900,234600,236100,237400,238500,240000,241400,243000,244500,246200,248300,250100,251900,253900,255700,257200,258800,260500,262200,263900,265700,267700,269600,271400,273300,275100,276700,278200,279700,281300,282700,284000,285300,287000,288900,290800,292600,294300,296000,298000,300600,303100,305300,307300,309500,311600,313700,315700,317700,319800,322000,324300,326600,328900,331500,334800,338000,340800,344000,347600,351500,355700,360000,364300,368300,372300,376600,380900,384900,388600,392300,396700,401500,406100,410400,414800,419200,423600,427700,431400,434300,437100,439800,442500,445300,447600,449500,451000,452400,453300,453700,453700,454200,455100,455900,456300,456400,456000,455300,454200,452500,450400,448100,445500,441700,438000,434000,428800,423000,418400,413700,409500,405800,402600,399500,396600,393600,390600,387800,384800,381400,377600,374200,371600,369800,367900,366200,364700,364200,364100,363200,361700,361100,360200,358900,357200,355300,353300,351400,350100,348900,347400,346000,344700,343400,342600,341900,340900,339900,339100,338300,338000,337900,337800,338000,338800,339800,340900,342100,343500,344900,346300,347700,349200,350800,352600,354700,357200,360000,363000,366100,369300,372100,374700,377000,378800,380300,381700,383200,384800,386600,388400,390000,391200,392300,393500,394800,396000,396900,398000,399600,401700,403700,405600,407400,409000,410800,412400,413800,415200,416700,418300,420200,422200,423500,424600,426600,428400,429800,431600,434000,435800
394913,"New York, NY",1,258200,258400,258200,257700,257000,256500,254300,251600,251100,253500,256800,259500,261000,262200,263600,264700,265800,267000,268300,270000,271600,273000,274800,276900,278700,280200,281500,283200,285200,287100,289600,292200,294300,296500,299300,301900,304100,306400,309700,313700,317300,320800,324700,328600,332600,337100,340800,344100,347900,352100,356400,360300,363200,366300,370400,374700,379200,383500,386900,389200,391500,394600,398100,402000,406500,411500,416200,420200,423600,426600,430600,435500,441000,446300,451100,455700,461500,466900,471300,475900,480800,486200,492200,497900,503000,508300,513600,518800,524200,529200,534000,539400,544800,549400,553700,558100,563200,568500,573300,578400,584400,590900,597800,604800,611500,617900,624900,632700,640200,646900,654200,661000,665900,670200,675400,680800,685600,689600,692300,694400,696100,697200,697600,697900,697700,696700,695200,693600,690600,687600,686300,686400,687000,687800,687600,686900,685700,683500,681000,679600,678400,676300,674000,671800,668600,664200,658700,653400,649000,646400,644900,642200,639000,637400,635400,631200,627000,623400,619700,616300,613600,611900,610800,609100,608800,609400,609200,607300,605800,604800,604300,602900,600700,598100,595400,593300,591800,589600,586600,584300,583500,583600,583700,583400,582200,580400,578500,576800,574500,572300,571600,571900,570700,569200,568800,570700,573400,575700,576300,576500,577100,577900,578700,579700,580600,582000,584400,587300,589700,590300,590100,590600,591600,592600,593700,594900,596600,599400,602300,604100,605500,606400,606800,607300,608800,610500,612100,613700,615200,615900,616500,617300,618600,620900,623900,626300,627700,628400,629700,632100,634400,636000,637100,638600,640900,644100,648200,651700
753899,"Los Angeles-Long Beach-Anaheim, CA",2,324000,322900,321900,320400,318600,316900,316600,317500,319700,322500,324800,326400,328000,329800,332000,334500,336700,338500,340300,342700,346100,349900,353400,358700,365200,370700,372700,373400,375300,378400,381800,385800,389400,391200,393400,396100,398000,400200,404200,408500,411700,414600,417400,420800,424600,427500,430200,433200,435200,436000,436900,439300,442700,446900,451000,454300,457600,462200,466900,471100,474300,475800,476600,478800,481600,484800,488700,493300,497800,502900,507500,511100,515400,521500,529100,537100,545600,553800,561400,568600,576100,584000,592900,601300,609800,618900,627600,635900,644400,653300,663300,673700,684000,694600,705900,719000,735800,754100,771300,786700,800700,811700,820400,827900,834300,840200,847700,856600,865700,876000,887300,899000,910500,921900,932400,941800,950200,956900,963300,969600,972900,973900,975900,977700,977200,976700,977000,976700,973700,971800,971500,970600,969100,967400,963700,958700,953100,946400,938600,929000,920700,913100,903000,888800,873200,858600,846300,834500,824100,816100,809500,802300,797000,792900,786600,777800,770100,763600,759200,757500,757600,758600,759500,760100,760000,759200,758200,758100,759700,761400,759900,755900,751800,746700,741900,740700,741000,740100,738500,736200,732700,729600,726800,723100,719100,716200,714000,712300,709600,705800,704800,709000,714400,719500,724900,732200,738000,740300,742000,747300,754300,761100,770000,781800,795100,806000,814000,821000,829500,838900,846500,851000,854000,857000,859800,863800,867100,869900,873200,877300,880500,883600,886600,888300,891300,897700,904600,909600,913600,916400,918000,920600,923100,925900,929800,934600,939300,944500,949500,952000,951600,950200,950800,952300,954600,958800,964800,969200
394463,"Chicago, IL",3,257200,256500,256500,256900,257100,257300,257600,257900,258000,258500,259200,259600,260300,261600,262400,263000,264000,265100,265900,266800,268000,269900,272000,273800,275100,275800,275700,275500,276100,277000,278100,278700,280100,282400,284200,285400,287200,289100,290700,292300,293900,295800,298100,300800,303700,306600,309200,311800,314200,316000,317800,320200,322300,324400,326500,328300,331200,335100,338100,340000,342300,344400,346400,348100,349800,351600,353600,355000,357000,359700,362100,363400,364700,366000,367300,368600,370200,372200,374400,376800,380500,384500,387500,389500,391800,394500,398200,402200,405000,406200,406500,406900,409100,412400,414900,416600,418600,420600,423000,425900,429100,431600,434300,439400,435700,425300,421200,425000,426600,428700,431100,432900,434200,436400,439200,441200,443800,447700,450400,451600,453200,455000,456100,457000,458100,459300,460200,460500,462100,465300,467600,468400,469400,469800,469400,468500,466700,464200,461400,458700,457400,456800,454800,451300,448400,445900,442700,438700,436200,435100,433300,429400,427700,428300,427600,424500,421400,417900,414200,411400,409500,408400,407400,407200,403200,396300,391500,390100,388300,386100,383200,380100,377100,373900,371000,368700,367900,367900,367000,364500,361700,359000,357100,356000,354600,352900,351300,350500,349800,348300,346100,344300,343900,344100,345700,348700,350700,350100,349600,350000,350600,351200,352700,354700,356500,358700,362000,365200,367500,369500,370900,371400,372400,374300,376400,378000,379300,380600,382000,383700,384900,385500,385800,385600,385500,386400,387800,389100,390600,391700,390500,386200,383500,385300,388100,389000,389600,390200,390800,392000,393700,395200,396400,397100,397300,397700,398500,399100
394514,"Dallas-Fort Worth, TX",4,215500,219700,222900,225000,227000,226400,227800,229200,227500,225400,225900,226500,227600,228800,229900,231400,232800,234400,235100,235700,237200,239000,240200,240900,240700,240500,240400,240700,241600,242200,242200,242600,243700,244900,246100,247600,248600,249300,250400,251700,252600,253700,254600,256000,257900,259600,260400,260700,260300,260100,259900,259000,257800,257800,258000,258100,258600,259400,261600,265500,268800,270400,271600,272300,272900,274100,275700,277100,278300,279600,280200,279700,279500,280100,281100,282100,282900,283200,283700,284500,284400,283600,283300,283100,282800,282400,282300,282500,282900,283400,283700,283600,284200,285700,288000,290700,293300,295200,296800,298700,300800,302700,303900,305100,306800,308400,309200,310000,311300,312700,313800,315100,316700,318000,319400,320800,321700,322300,323300,324700,326100,327700,329400,330700,331800,332800,333700,334800,335600,336400,337200,338100,338900,339600,340500,341600,342800,344000,345500,347100,347000,345200,342500,340100,337800,335900,334000,332300,330800,329700,328600,327700,326100,324300,322900,321700,320000,318300,317100,316300,316300,316500,317000,316800,319700,324800,328000,328100,329200,329900,330200,329700,328900,327700,326200,325200,324900,324600,324400,324600,324300,324000,323800,323800,323800,323600,323100,323400,324000,324800,325600,326800,328400,329800,330600,331100,332000,333300,334900,336000,336300,336800,338700,341400,344300,347500,351200,354700,357600,360200,362900,365500,367200,368000,369600,372400,374700,376600,379100,381500,383500,385500,387300,389100,390700,392600,395400,398800,402900,407000,409900,412800,416200,419400,422400,425300,427800,430400,433400,435400,436700,438800,442200,444900,446700,448500,450800,452900
394974,"Philadelphia, PA",5,213900,212800,212000,211400,210800,210000,209600,209700,210100,210400,211200,212000,212600,212900,213400,214000,214400,215100,216100,217000,217700,219000,220900,222500,223400,224100,224700,224900,224800,224700,224900,225500,226200,227100,228300,229400,230300,230500,231000,232400,234100,235600,237000,238200,239300,240400,241800,243600,245600,247700,249700,251600,253400,255400,257400,259500,261800,264000,266000,267700,269700,272100,274600,277000,279700,282200,284200,285900,288200,290700,292700,294600,296800,299400,302100,305300,308900,312700,316100,319400,322900,326700,330300,333300,336400,339400,342400,345500,348700,352200,356000,359600,362700,365500,368800,372800,376900,381000,385300,389100,392500,396000,399700,403200,407100,410900,414000,416900,420400,424200,428100,432100,435900,439400,443100,446800,449600,451400,453000,454600,456200,457200,458200,458700,458400,458100,457600,456700,455700,455700,456300,456700,456600,456600,456700,457000,456700,455600,454400,454000,453400,452700,451900,451400,450700,449400,447600,446200,445300,444400,443000,441100,439700,439000,438400,437200,435400,433100,431100,429600,428300,427700,427600,427700,425000,420100,416300,415800,416300,416900,416200,413600,411100,409300,407800,406400,406900,408200,408700,407500,405700,403800,402400,401300,400200,399000,398400,397600,398100,400000,401200,400500,399500,398600,398400,398700,399500,399700,399900,400400,400900,401500,402300,403700,405900,408400,410200,411500,412600,413900,415300,416100,417300,419100,420000,420100,420400,421700,423300,424300,424800,425300,425800,426200,426400,426200,427000,428700,430200,431300,433100,435300,436700,436700,436500,437000,437100,436500,436200,436400,436400,436000,436200,438300,441200,443500,444600,445100
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298200,298200,297700,297100,295700,294200,291500,288900,286300,285100,287000,289300,291100,290900,290700,291200,290600,289800,288800,287600,286300,285100,286700,288400,290400,289800,290300,291000,292100,292200,292200,291900,292100,292500,295000,297700,301000,303100,305300,307600,310400,312900,314600,315800,317300,320000,323600,327200,330400,332300,334300,335800,338000,339600,341700,343800,345900,347600,350400,353200,356700,358800,360700,361400,361400,361500,362500,363400,364500,364900,366600,367900,369600,369600,368500,366300,362400,359800,358000,358900,359300
395209,"Washington, DC",7,269500,268700,267700,266800,266300,266200,266800,267800,268800,270100,271500,272700,272900,274200,276800,278500,278800,279400,280200,281600,282900,284000,285200,286300,286900,286900,286600,286500,287100,288300,289800,291100,292600,294700,296800,298800,300800,303300,306100,309400,312900,315600,317400,319400,322800,326800,330200,333500,337500,341700,345700,349600,353700,357500,361300,365600,370100,374400,378600,383100,387800,392400,396800,401400,405900,410100,414200,417900,420800,424000,427800,431900,435800,440100,444700,449200,453700,458300,462700,467000,471600,476500,481400,486000,490500,494600,498500,502600,507400,513300,520200,527200,533700,540600,548400,557100,566400,575800,585900,597200,608600,618700,629000,640100,651300,661600,671800,682400,693200,704000,714200,723400,731000,737400,742100,745700,747700,748100,747800,746700,744000,740000,734800,729200,724600,721300,718500,715700,712200,709000,706700,705400,704300,702900,700700,697700,694400,691400,688300,684700,678600,671400,664400,657700,650800,644600,638900,633900,629400,624600,619600,614700,609400,604000,600100,596800,593100,589800,587600,587200,588100,589600,591400,591300,597200,607900,614500,614800,616300,617000,617300,616800,614800,612100,610000,609600,609800,609300,608500,608900,610300,612700,614300,614500,614400,614300,614200,614000,613000,611700,611000,611800,613800,616200,618300,621000,623100,624100,625300,628000,629900,630300,632400,637000,641400,646000,651800,657500,662800,667700,670900,672900,673800,674500,675200,676200,677100,678000,678400,677800,677000,676500,676600,678400,680800,682600,684700,687200,687800,687100,685900,685200,685600,686500,687000,688100,689200,690100,691400,693300,694000,694300,694500,695200,696900,699700,703400,706700
394856,"Miami-Fort Lauderdale, FL",8,277400,276800,275700,273400,270500,268400,267800,267600,268200,271200,274100,274400,273700,273200,273600,274700,274300,274300,276700,279300,280200,282000,283500,283500,283000,284800,287000,288000,287600,286800,286300,287900,289600,290100,291400,294500,297400,298900,298800,297200,295900,297500,300300,302700,304700,307100,309300,312400,316700,321100,324000,325100,325100,326600,330200,335100,340500,345400,348700,351700,354300,355900,358300,362800,366800,368900,372200,376100,379200,384100,394100,401800,405100,407900,413500,425500,448200,464700,464200,458600,456700,453000,447100,443200,442900,445100,449100,453000,455100,457900,463100,468800,473600,479200,485800,493400,502000,510500,517700,523300,527700,534800,546600,559900,573300,586600,598400,610800,625900,642500,657800,670100,678900,687600,698300,709700,716900,721600,727600,734500,739300,742400,744500,745000,743600,742000,743500,746400,746500,744300,742900,741700,736800,729900,722500,715600,708800,702000,693200,684000,671300,654900,638300,625300,613100,600300,587100,575300,564100,552800,539800,525800,514300,508200,503100,496200,489900,485900,482300,477500,473100,470600,470100,468100,476100,490800,497000,491400,487400,484000,481600,480000,477800,475300,472800,469600,462800,456600,454700,455400,454900,455000,454800,455200,455700,456000,455700,456800,457500,457200,458600,461200,463800,466400,469000,469600,470700,472500,474800,478600,483000,484900,487000,492300,498600,502300,504400,507300,510900,513800,517500,521800,522600,521100,522900,527600,530900,534200,539200,542900,544600,547200,551700,557000,560400,560800,561000,563800,567900,571800,573900,575900,580300,585900,590000,594000,596300,597100,597800,599400,600900,602700,608400,617000,623400,626200,628600,629900
394347,"Atlanta, GA",9,221500,221500,221900,222100,222100,221900,222000,222600,223500,224200,224900,226400,228100,229100,229600,230400,231400,232500,233700,234900,236200,237800,239300,240300,240600,240900,241900,243100,244600,246300,248300,249900,251500,253000,255000,257100,259400,261400,263300,264800,265800,266700,268100,269100,270000,271600,273400,275000,277000,279300,281200,282900,284800,286700,288300,289400,290200,291300,292500,293400,294300,295200,296300,297700,299300,301200,302700,304100,305400,306500,307500,308600,309600,310700,311700,312600,313800,314500,314800,315700,317100,318200,319300,320800,322300,323500,324400,325100,325800,326600,327600,328800,330000,331200,332500,333400,334100,334900,336100,337900,339700,341500,343200,344900,347000,349200,351100,353000,354900,356900,359000,361100,363000,364700,366900,370000,372700,374900,377300,379500,381400,383500,385500,387100,388600,390000,391400,392800,393200,392800,392200,392700,393400,393400,392800,392200,391600,390900,389800,388500,386600,384200,381900,379900,377500,374600,371800,369200,366000,362800,359000,354300,350000,347500,345500,342600,339100,335900,332800,330500,329400,328900,328200,327100,328000,329900,329800,327700,327300,327500,326200,323100,319500,316100,313400,311100,308700,305500,303000,301500,300300,298900,298200,298400,299100,299500,299500,299300,298800,298400,298500,298500,298000,298500,300600,302700,303900,304900,306400,308200,309700,310800,312000,313900,316000,318300,320700,323100,325200,327400,330000,332700,334700,335500,336400,338300,340400,342400,344000,345400,346600,347400,348000,349200,350700,352500,355500,359200,361800,363800,365900,368100,370000,371700,373200,375100,376900,378600,379800,381300,383100,384800,385200,385600,387000,389100,391100,392800
