"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
102001,"United States",0,99600,100000,100000,99900,99800,99900,100000,100400,100800,101500,102100,102500,102800,103200,103500,103900,104300,104700,105300,105800,106100,106500,107200,107700,107800,107700,108100,109000,109700,110100,110500,110800,111300,111900,112500,113100,113600,114300,114900,115500,116100,116800,117200,117800,118400,119000,119800,120700,121400,122000,122800,123500,123900,124500,125300,126000,126700,127400,128100,128700,129600,130400,130900,131100,131600,132200,132700,133400,134200,134800,135100,135200,135600,136200,136900,137700,138600,139600,140500,141300,141900,142500,143300,144200,145300,146400,147300,148400,149400,150200,151100,152100,153200,154400,155800,157200,158500,159700,161100,162500,164000,165300,166500,167900,169500,171100,172600,174200,175600,177200,179100,181000,182400,183900,185500,187100,188200,189300,190200,191400,192400,193100,193600,194000,194400,195000,195500,195500,195600,195700,196100,196300,196600,196500,196100,195400,195100,194500,193700,192800,191700,190500,189100,187500,186000,184700,183300,182200,181300,180200,179400,178600,177900,177200,176500,175500,174300,173200,172000,171000,170100,169200,168400,167700,166900,165900,165000,164400,164000,163400,162800,162200,161300,160300,159300,158500,157900,157300,156700,156100,155500,154800,154200,153500,152900,152600,152200,151800,151600,151600,151800,152000,152100,152400,152700,153000,153500,153900,154300,154800,155400,156100,156800,157400,158300,159200,160200,161100,162200,163000,163700,164400,165200,166000,166700,167200,167600,168200,168900,169500,169900,170500,171000,171600,172200,172700,173300,174100,175000,175900,176800,177600,178400,179300,180000,180700,181500,182400,183300,184200,184800,185700,187000,188100,188900,190100,191400,192500
394913,"New York, NY",1,165700,167000,167200,166700,166300,166100,165400,164200,163300,163700,165300,166800,167300,167600,168000,168300,168800,169500,170200,170900,171500,172400,174000,175200,175700,175900,176100,176400,176900,177600,178500,179500,180200,181300,183100,184800,186100,187800,189600,191400,193300,195100,197200,199700,202500,205500,208300,210600,212300,214200,216400,218700,221000,223500,225900,228200,230500,232900,235600,238300,240500,242500,244400,246600,249500,252600,255700,258700,261800,262700,261000,260400,263500,267400,270800,274200,278100,281700,285100,288800,292100,295400,299700,304200,307200,310800,316700,322200,325300,327700,330500,333300,338700,345800,351400,354600,358400,361900,364900,368300,372400,376600,380900,384500,386700,389300,394100,399700,404600,408400,411800,415400,418900,422300,426100,429800,432500,434500,436800,439300,441300,442800,443500,444100,444800,445200,444900,444500,443700,442700,442100,442200,442100,441700,440300,438300,436300,434500,432800,431300,429800,427800,424900,421800,418600,415500,412100,409000,406100,403100,400000,396500,393200,390800,388700,385800,382900,380200,377500,374900,372800,371600,370800,370100,369900,370000,369800,368900,367700,366500,365900,364700,363100,361200,359600,358400,357200,355800,354500,353200,351800,350600,349600,348600,347200,345700,344300,342900,341300,340000,338800,338200,338000,337800,337800,338500,339400,339900,340200,340900,341500,341800,342400,343200,344200,345800,347700,349500,351600,353400,354500,355900,357200,358100,359000,359900,360800,362000,363000,363500,364100,364500,364300,364200,364800,366000,367000,368100,369100,370000,371100,372100,373100,374500,376400,378000,379100,379800,380500,382000,383800,385100,386600,389300,392700,395900,398400,400500
753899,"Los Angeles-Long Beach-Anaheim, CA",2,170600,170400,170100,169900,169900,169900,170000,170200,170800,171800,172900,173500,173800,174000,174200,174600,175200,176100,176900,177900,179300,181000,182600,184100,185600,187100,188500,189700,191200,193300,195500,197300,198900,200200,201900,203800,205300,206700,208400,210000,211200,212400,214000,216000,218000,220300,223000,225500,227700,229900,231800,233800,235800,237600,239300,241200,243500,246000,248500,251200,253600,255800,257800,259700,261800,264100,266600,269100,271900,275200,278600,281600,285200,289600,294400,299400,304600,309700,315000,320500,326000,331200,336200,341100,345800,350100,354200,358900,364700,371100,378000,385500,393500,401500,409600,418900,429600,441300,453700,465200,474700,482600,489400,495100,500200,505100,510900,517800,525400,533000,540800,549600,558900,567600,575000,581900,587400,591700,595100,598000,599700,601300,602900,604000,604000,603200,602300,601100,599000,597300,596600,595600,593900,591500,587300,582400,577400,572200,567100,561100,552900,543700,535000,525100,513300,501800,491500,481800,472500,464400,457600,451500,445400,439300,433900,429500,425700,422200,419500,418100,417600,417300,417400,416800,420000,426100,429300,428300,428600,428500,427000,424300,422200,420400,418800,417700,417200,416100,413900,411600,408900,406100,403300,400500,397700,394900,392500,390800,388800,387000,386600,387800,389800,392800,396400,400000,403600,407100,410400,414400,418400,422100,427200,434700,442500,450500,459000,467100,473800,480100,484900,488500,491300,493900,496700,500600,503400,505900,508200,511200,514100,516700,518700,520800,523000,525400,528200,531300,534400,536900,539400,542700,546100,548800,551700,555100,557800,560400,563700,567300,570700,573600,575500,576700,578500,581500,585900,590000
394463,"Chicago, IL",3,,,,,,,,,,138400,138700,138900,139000,139100,139100,139100,139300,139500,139800,140400,141000,141500,141900,142300,142600,142800,142900,143300,143500,143800,144300,144900,145600,146400,147000,147500,148100,148900,149800,150500,151200,152000,153100,154200,155100,156200,157400,158400,159600,160700,161600,162300,163300,164400,165500,166600,168000,169400,170500,171500,172700,173900,174900,175600,176500,177600,178900,180200,181500,182900,184300,185500,186400,186800,187300,188400,189700,191200,192600,194100,195700,197000,198500,200400,202000,204100,207000,209600,211200,212200,212700,213200,213900,214900,215900,216900,217900,219000,220100,221500,223100,224100,224400,224500,224700,225100,225400,225900,227300,228800,230100,231500,232700,234000,235600,237200,238500,240000,241200,242400,243100,243600,243900,244200,244500,244900,245600,246100,246400,246500,246700,247000,246900,246300,245500,244700,243900,243200,242700,242000,240900,239500,238100,236300,234400,232600,230600,228300,226200,224400,222800,221300,219900,218600,217400,216000,214200,211800,209600,208100,207000,206400,205800,205100,204300,203700,202500,200800,199300,198600,197600,195800,193900,192200,190300,188200,186600,185600,184500,183000,180900,178700,176600,175100,173500,171800,170300,169300,168300,167000,165900,165200,165300,165900,166700,167500,167600,167000,166700,166700,166600,166600,166900,167700,168700,170200,172100,173600,174800,176100,177300,178300,179100,179900,180700,181500,182100,182600,183000,183800,185000,186000,186500,186800,187000,187200,187700,188700,189900,190800,191200,191700,192300,192700,193200,193800,194300,194500,195100,196000,197000,197800,198700,199500,200400,201300,202300,203400
394514,"Dallas-Fort Worth, TX",4,102200,102100,102100,102300,102400,102600,102200,99400,96000,95100,95900,96000,96000,96100,96300,96700,97000,97500,97800,98400,99300,100000,100500,100900,101100,101100,101200,101300,101500,101800,102100,102600,103500,104400,104900,105400,106100,107000,107700,108300,108900,109600,110400,111700,112900,113400,113500,113800,114200,114500,114800,115100,115200,115500,116000,116900,117700,118000,118400,119100,119800,120200,120400,120700,121100,121300,121700,122300,122800,123300,123700,124000,124100,124300,124800,125300,125800,126200,126500,126800,127200,127700,128100,128100,128200,128300,128500,128600,128900,129100,129300,129300,129600,130200,131300,132500,133800,134900,135800,136400,137100,137700,138200,138700,139000,139200,139700,140100,140300,140500,140900,141400,141600,141800,142100,142400,142500,142600,142900,143300,143700,144100,144500,144800,145200,145600,145800,146100,146400,146500,146500,146600,146800,147000,147400,147800,148200,148600,149100,149600,149400,148000,146300,145200,144100,143000,141900,141200,140500,139900,139500,139000,138200,137300,136600,136200,135500,134600,133900,133600,133700,133700,133700,133200,134700,137500,139000,138700,139000,139600,139900,139800,139300,138900,138400,138000,137400,137100,137100,137100,136900,136600,136300,135800,135300,134700,134500,134700,134900,135200,135800,136400,136900,137400,137600,137800,138200,138400,138400,138700,139200,139500,140000,141000,141900,143000,144000,144700,145600,146800,147800,148700,149300,149600,150200,151200,151900,152600,153500,154400,155200,156100,157200,158100,158900,159500,160400,162300,164500,166500,168600,170800,172900,175100,177100,179000,180400,181700,183500,185400,187000,188600,191300,194100,196000,197400,199100,200400
394974,"Philadelphia, PA",5,106300,106200,106300,106400,106200,105900,105900,106100,106200,106500,106800,107100,107100,107100,107000,106900,106900,107100,107200,107400,107800,108200,108700,109000,109400,109600,109600,109500,109500,109700,109800,109900,110200,110700,111400,111900,112200,112500,112900,113400,113800,114300,114800,115200,115600,116100,116600,117300,117900,118500,118900,119500,120400,121200,121800,122400,122900,123500,124300,125000,125800,126700,127700,128600,129400,130000,130800,131700,132700,133800,134900,136100,137300,138400,139400,140700,142200,143900,145400,147000,148700,150300,151900,153300,154800,156400,158100,159900,161500,163000,164800,166700,168500,170100,171800,173500,175400,177500,179700,181900,184200,186600,189100,191400,193800,196100,198300,200600,203000,205500,208200,210900,213500,216000,218300,220600,222300,223600,224700,226000,227400,228600,229500,229900,230300,230600,230500,230300,230000,229900,230000,230300,230500,230300,230200,230400,230300,229800,229200,228900,228300,227500,226700,225900,225000,224200,223500,222700,222100,221400,220500,219300,218000,217000,216300,215800,215000,213800,212600,211900,211600,211300,211200,211100,211700,212600,212700,212100,212300,212500,212100,210600,208800,207300,206200,205400,204800,204400,203900,202900,201500,200300,199300,198400,197500,196700,196000,195100,194300,193800,193600,193200,192700,192100,191800,191700,191900,192200,192600,193000,193400,193700,193800,194100,194800,195500,196000,196300,196400,196400,196500,196800,196900,197100,197400,197600,197900,198400,199000,199500,200000,200400,200600,200500,200400,200200,200100,200400,201000,201800,202700,203500,204300,204800,205100,205400,205400,205400,205800,206800,207500,207800,208600,209600,210900,212000,213100,213800
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132700,132600,132300,131700,131300,130700,130200,129300,128800,128400,128700,129200,129900,129900,129700,129300,128500,127600,127100,126600,126100,125700,126200,126900,127700,127700,127700,127700,127700,127800,127800,127800,127900,128000,128800,129700,130900,131700,132800,134000,135000,135900,136800,137600,138400,139200,140700,142200,143500,144200,145000,145900,146800,147700,148600,149600,150600,151400,152900,154400,155900,156900,157800,158900,160100,161200,162400,163400,164500,165100,166200,167400,168900,169800,171100,172100,173400,174400,175200,175800,176000
395209,"Washington, DC",7,154200,154200,154400,154500,154200,154100,154200,154600,154700,155000,155500,155800,155900,155000,153300,152200,152300,152400,152400,152900,153500,154100,154800,155200,155400,155600,155800,155900,156000,156100,156400,156700,157100,157900,158800,159500,159900,160500,161500,162500,163500,164700,165500,166100,167400,168900,170300,171400,172600,174200,175700,177000,178100,179300,180800,182400,184000,185800,187800,189700,191900,194100,196400,198900,201400,203600,205800,208100,210300,212800,215500,218300,221200,224300,227600,230900,234100,237700,241100,244500,248100,251600,254700,257600,260300,263200,265900,268900,272000,275600,279300,283100,286800,290800,295500,300600,306000,311900,318300,325300,332200,338900,345600,352200,358700,364700,370600,377300,384400,391000,397500,403800,409400,414000,418200,421900,424300,425500,426400,427300,427600,427300,426200,424500,422800,421100,419500,418300,416600,414700,413700,413200,412300,411100,409200,406300,403000,399700,396500,393100,388300,382500,376500,370900,365200,359800,354700,350300,346600,342900,339300,335500,331500,328000,325700,323800,321500,319100,316600,314800,313600,313100,312800,311700,314700,320700,323900,322800,322700,322600,322300,321400,320300,318900,317700,316900,316000,314700,313700,313100,312300,312200,312400,312400,312200,312200,312100,312300,312100,311500,311100,311800,312600,313200,314300,316100,317800,319200,320700,322400,323600,324200,325600,328100,330600,333400,336600,339800,342700,345100,346700,348000,348900,349800,350800,352000,353200,354600,356000,356900,357200,357100,357400,358300,358900,359100,359800,360900,362000,363100,364100,364800,365200,365600,366100,367200,367900,367800,368000,369100,370100,370900,371400,371700,372700,374500,376400,378000
394856,"Miami-Fort Lauderdale, FL",8,93500,93200,92800,92500,92500,92600,92700,92800,93300,93800,94200,94700,95000,95300,95600,96000,96300,96700,97100,97200,97200,97500,98100,98500,98800,99300,99600,99600,99700,99800,100000,100600,101100,101600,102000,102600,103000,103400,103700,104300,104900,105500,105900,106500,107200,108000,108700,109300,109900,110800,111800,112700,113600,114400,115100,115900,116800,117900,118900,120100,121500,123000,124500,125800,127000,128500,130000,131400,132700,134300,136100,137600,138800,140000,141700,143600,145400,147200,149200,151100,153100,154900,156700,158400,160400,162100,163900,165700,167700,169600,171600,173900,176400,179000,181700,184800,188300,192300,196200,200400,204900,209700,214600,219600,224500,229600,235300,241600,248100,254600,261200,268000,274400,280100,285300,290100,293700,296100,298200,301100,303500,304800,305000,305200,305200,304500,303800,303200,301800,300000,298600,297100,294600,291600,288500,285200,282000,278700,275100,271700,267200,261400,255000,248700,242200,236300,230900,225500,219400,213000,206900,200700,194900,190500,186100,180800,175800,171900,168800,165700,163300,161800,160700,159200,159600,161100,160800,158600,157000,155600,154100,152700,151000,149400,147800,146300,144500,142900,142500,143100,143500,143300,142500,141600,141300,141000,140200,139600,139700,140000,140900,142100,143400,144400,145500,146700,147900,148600,149700,151300,152800,153900,155300,157400,159600,161600,163200,164600,166200,168300,170500,172600,174400,175900,177500,179100,180900,183000,185000,187100,189500,192200,195200,197900,199900,201600,203500,205800,208300,211000,213800,216600,219000,221200,223300,225400,226700,227400,228100,229600,231200,232500,235100,238400,240500,241900,243800,245200
394347,"Atlanta, GA",9,106700,107000,107000,107000,106900,106900,107100,107500,107900,108300,108700,109100,109400,109900,110600,111300,112000,112500,113000,113500,114100,114700,115300,115900,116600,117200,117600,118000,118600,119400,120200,120800,121400,122200,123200,123900,124400,125300,126300,127100,128100,129000,129900,130700,131500,132600,133600,134400,135100,135900,136800,137700,138400,139100,139900,140700,141300,141800,142500,143300,143900,144400,145000,145500,146100,146700,147200,147800,148300,148600,149000,149500,149900,150300,150700,151200,151700,152000,152300,152700,153000,153500,153800,154100,154400,154900,155300,155600,155800,156000,156400,156800,157300,157700,158200,158700,159000,159200,159400,159800,160200,160900,161400,161800,162400,163000,163600,164300,164900,165400,165900,166500,167000,167400,168100,168900,169500,169800,170300,170900,171300,171800,172400,172800,173300,173800,174100,174400,174400,173600,172800,172700,173000,173300,173000,172700,172800,172900,172600,172300,171600,170700,169700,168700,167500,165900,164400,163100,161400,159600,157800,155900,154200,153300,152800,151800,150400,148900,147700,146900,146400,145700,145000,144200,144800,146300,146700,145800,145300,144900,144100,142600,140900,139200,137800,136300,134400,132100,130200,128800,127500,126400,125600,124500,123300,122500,121500,120800,120300,120100,119700,119300,119200,119400,119800,120400,120800,121000,121500,122300,123000,123500,124200,124900,125800,127000,128400,129900,131600,133400,135000,136500,137400,137900,138500,139600,140900,142000,142800,143600,144500,145300,146100,146900,147500,147900,149000,150800,152100,153000,154100,155400,156700,157900,159100,160300,161500,162200,163100,164200,165200,166000,166700,167400,168400,169700,171200,172300
