"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
102001,"United States",0,99900,100100,100300,100300,100200,100300,100600,100900,101500,102200,102700,103100,103500,103800,104000,104400,104800,105300,105800,106400,107000,107400,108000,108400,108400,108300,108800,109800,110500,110900,111300,111500,111800,112300,112900,113600,114400,115100,115700,116300,116800,117200,117700,118300,118900,119600,120300,121100,121800,122500,123200,123600,124100,124800,125500,126000,126700,127500,128100,128700,129300,130000,130700,131200,131500,132000,132500,133100,133700,134300,134700,135100,135600,136000,136500,137200,138100,139000,139800,140700,141300,141700,142500,143500,144400,145300,146200,147000,147800,148800,149700,150600,151700,153000,154200,155400,156700,157900,158900,160200,161700,163000,164000,165400,167000,168500,169800,171200,172600,174000,175800,177700,179100,180100,181500,182800,183800,184800,185700,186600,187600,188600,189200,189500,190000,190600,191100,191100,191000,191100,191400,191500,191800,191900,191700,191300,191100,190700,190000,189100,188000,187100,186100,184700,183200,181900,180700,179800,178900,178100,177300,176700,176100,175600,175000,174200,173300,172200,171000,169900,169000,168200,167500,167100,166500,165500,164500,163800,163300,162800,162300,161600,160800,159800,158900,158400,157700,157000,156400,155800,155000,154400,154100,153600,152900,152600,152200,151700,151500,151600,151800,152100,152200,152400,152700,153000,153500,153900,154300,154800,155300,156100,156800,157500,158200,159000,159900,160800,161600,162500,163200,163800,164700,165300,165800,166300,167200,167700,168000,168600,169200,169600,170100,170800,171300,171800,172500,173300,174100,174900,175800,176600,177500,178300,179000,179700,180500,181400,182200,182800,183500,184500,185700,186600,187500,188600,189900,190900
394913,"New York, NY",1,165300,165300,165100,165000,164900,165000,164300,163100,162500,163100,164200,165200,166000,166600,167100,167500,167900,168300,168900,169500,170200,171000,172200,173200,173800,174300,174600,175000,175500,176100,177100,178200,179000,180000,181300,182700,184100,185800,187600,189400,191100,192700,194500,196700,199700,202700,205100,206900,208600,210700,213100,215400,217600,219900,222300,224700,226900,229300,231700,233900,235800,238000,240100,242400,245100,248300,251400,254300,257200,259800,262300,265200,268700,272100,275200,279000,283200,287000,290600,294400,298000,301500,305400,309500,312900,316500,321000,325300,328600,331500,334300,337400,340800,343800,346900,350500,354500,358200,361900,366000,370500,375100,379900,384400,388700,393400,398200,402900,407700,412500,417000,420800,424200,427700,431300,434600,437500,439900,442000,444000,446100,447700,448500,449100,449700,449800,449200,448600,447900,447200,446600,446400,446100,445500,444200,442300,440200,438000,436000,434400,432700,430800,428100,424800,421200,417800,414100,410500,407200,404100,401000,397400,394000,391300,388900,385900,382900,380000,377100,374600,372600,371200,370500,369900,369000,368100,367500,366800,365600,364400,363500,362300,360500,358600,356900,355500,354200,352900,351700,350300,348900,347600,346500,345300,344000,342600,341100,339500,337900,336600,335500,334800,334500,334200,334000,334700,335600,336100,336200,336700,337400,338000,338400,339000,339900,341400,343200,345200,347300,349100,350100,351100,352400,353500,354300,354900,355700,357000,358100,358700,359200,359300,359000,358900,359500,360500,361300,362300,363500,364400,365200,366000,366800,368400,370100,371500,372500,373100,373700,375200,376900,378000,379100,381200,384000,386800,389300,391300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,178800,178800,178700,178600,178700,178900,179100,179300,179900,181100,182100,182900,183400,183700,183900,184200,184700,185400,186400,187700,189200,191200,193100,194800,196500,198500,200400,202200,204000,205900,207900,209700,211200,212700,214600,216500,217900,219300,221000,222500,223600,224700,226300,228200,230400,232700,235300,238000,240300,242400,244300,246600,249200,251500,253200,255200,257500,260100,262900,265800,268400,270400,272100,274000,276100,278700,281600,284600,287500,290900,294300,297800,301500,306300,311600,317000,322200,327700,333400,339400,345000,350200,355200,360200,364900,369200,373300,378100,383900,390300,397500,405500,414000,422600,431400,441300,452700,465200,478000,490100,500400,508700,515500,520900,526200,531600,537300,543900,551800,560200,568600,577300,586800,596100,603900,611000,616700,620800,624100,627100,628900,630100,631400,632600,632800,631600,630100,628900,626900,625600,625300,624500,622500,619700,615200,610300,605200,599700,594600,588500,579900,570300,561000,550600,538900,527400,517100,507200,497800,489900,483200,477200,470400,463800,458200,453600,449300,445900,443300,442100,441800,442100,442300,441500,445400,452700,456700,456500,457000,456900,455700,453200,450300,447900,446000,444900,444300,442900,440700,437800,434800,431800,428700,425200,422400,420100,418100,416400,414900,413700,413500,414600,416100,418400,421400,425100,428900,432500,435700,439900,444300,448000,453500,462600,472200,481700,491200,499600,506500,512600,517500,521500,523700,525400,528300,532400,535500,538000,540700,543800,546900,549400,551900,554600,556900,559100,561600,564300,567800,571000,573600,576700,579800,582200,584700,588400,591500,594200,596900,599900,603200,606600,609700,612700,615800,619200,623500,627100
394463,"Chicago, IL",3,148000,147700,147500,147200,146900,146600,146600,146900,147600,148400,149000,149200,149300,149500,149700,149900,150000,150300,150700,151000,151400,152100,152700,153000,153100,153200,153300,153400,153700,154000,154500,154900,155500,156300,157100,157600,158400,159200,159800,160100,160700,161600,162500,163500,164500,165700,166900,167800,168900,169900,170700,171800,173100,174400,175400,176400,177800,179200,180100,181000,182200,183500,184600,185500,186400,187400,188500,189400,190600,192400,194000,195100,196100,197000,197900,199200,200800,202300,203800,205100,207000,209300,211400,213000,214700,216700,219200,221500,223100,224100,224500,224900,226100,227800,229200,230100,231200,232300,233600,235200,236800,238100,239500,242000,240700,236300,234900,237400,239200,240800,242500,243900,245200,246700,248400,249700,251200,253200,254800,255600,256400,257100,257500,257800,258100,258500,259100,259400,260100,261200,261700,261400,261100,260300,259100,258100,257000,255800,254600,253600,252600,251300,249600,247500,245200,243200,241000,238500,236500,234900,233000,230500,228500,227500,226400,224400,222000,219700,217500,215800,214600,213800,213000,212200,211700,211200,210200,208600,207300,206400,205100,203300,201600,199800,197900,196100,194700,193400,192200,191100,189900,187900,185900,184200,182600,181100,179600,178300,177100,176100,175000,174100,173900,174400,175400,176400,176700,176300,176100,176400,176600,176500,176600,177200,178300,179800,181800,183600,184800,186100,187400,188500,189400,190100,191200,192700,193900,194700,195600,196800,198000,198900,199500,199800,199800,199800,200100,200900,202200,203300,203700,203900,204200,204700,205300,206000,206500,207000,207800,208800,209600,210200,210900,211600,212400,213300,214300,215000
394514,"Dallas-Fort Worth, TX",4,102100,102100,102200,102300,102300,102300,101900,99600,96900,96300,97100,97200,97300,97300,97400,97600,98100,98500,99000,99800,100700,101400,101900,102200,102300,102300,102400,102600,103100,103400,103700,104200,105000,105600,106100,106800,107500,108200,109000,109800,110400,111200,112000,113300,114300,115000,115300,115400,115600,116000,116300,116600,116700,117100,117600,118300,118900,119300,119900,120600,121100,121400,121800,122100,122300,122700,123100,123600,124100,124400,124700,125100,125500,125900,126200,126700,127100,127400,127700,128100,128500,128900,129100,129300,129400,129600,129600,129800,130100,130300,130400,130600,130900,131500,132400,133700,135000,136000,136900,137600,138200,138700,139300,139700,140200,140500,140800,141200,141600,142100,142500,142600,142800,143100,143300,143400,143600,143900,144300,144500,144700,145100,145500,145800,146200,146600,146900,147400,147500,147400,147500,147800,147900,148200,148400,148800,149200,149800,150300,150800,150400,149000,147500,146400,145100,143900,143100,142600,142000,141300,140800,140300,139500,138500,137800,137300,136500,135600,134900,134600,134700,134800,134900,134300,135800,138800,140300,140000,140500,140900,141100,141000,140700,140100,139600,139300,139000,138500,138200,138200,138100,137900,137500,137000,136400,136100,136000,136000,136200,136500,137100,137700,138400,138900,139100,139200,139300,139500,139700,140100,140400,140800,141500,142500,143400,144500,145500,146200,147200,148300,149200,150200,150800,151100,151600,152600,153400,154100,155000,155900,156700,157700,158600,159600,160400,161100,162200,163800,165600,167900,170100,172300,174500,176600,178600,180500,182000,183200,184900,186900,188500,190100,192900,195900,197700,198900,200500,201900
394974,"Philadelphia, PA",5,122100,122200,122200,122200,122100,121900,122000,122200,122400,122700,123200,123400,123500,123800,123900,123900,124000,124100,124300,124800,125200,125800,126600,127200,127400,127500,127700,127800,127700,127600,127700,127900,128200,128700,129300,129900,130000,130300,130800,131400,132000,132600,133200,133700,134100,134700,135700,136700,137400,137900,138500,139100,139700,140600,141400,142000,142600,143400,144000,144700,145700,146700,147600,148500,149600,150700,151800,152800,154100,155400,156600,157800,159000,160500,162000,163400,165000,166800,168400,170200,172100,174000,175600,177400,179300,181200,182900,184700,186800,188900,190800,192800,194900,196800,198800,201100,203400,205900,208600,211700,214800,217700,220500,223100,225800,228400,230700,233000,235500,237900,240400,243100,245600,247800,250300,252800,254300,255300,256500,257600,258600,259800,260700,261100,261300,261300,261000,260600,260100,259900,260100,260400,260300,260200,260200,259900,259400,258900,258100,257500,256600,255400,254300,253400,252400,251300,250500,249500,248400,247400,246500,245300,243900,242700,241800,241200,240100,239000,238000,237100,236300,235900,235900,235600,236300,237500,237500,236600,236600,236400,235500,233800,231800,230100,229000,228100,227300,226800,226400,225500,224000,222700,221600,220700,220000,219300,218300,217500,217200,217100,216900,216700,216400,215900,215300,215300,215600,216100,216500,217300,217800,217800,217800,218500,219500,220500,221200,221800,222200,222400,222600,222800,222900,223100,223200,223200,223500,224300,225100,225800,226400,226700,226600,226300,225900,225500,225500,225900,226200,226700,227600,228600,229200,229400,229600,229900,230000,229900,229900,230400,230800,231000,231700,232800,234200,235600,236700,237300
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135300,135400,135100,134600,134100,133600,132900,132000,131200,130600,130800,131400,132200,132200,131800,131400,130700,129900,129300,128800,128300,127900,128500,129300,130200,130200,130100,130000,129900,130000,130100,130000,129900,130200,131100,132200,133500,134500,135800,136800,137700,138400,139300,140300,141300,142200,143700,145200,146500,147100,147900,148900,149800,150700,151600,152600,153700,154500,155900,157200,158600,159600,160700,161900,163100,164400,165600,166600,167500,168200,169400,170700,172100,172900,174000,175000,176600,177700,178600,179100,179400
395209,"Washington, DC",7,176200,176600,176800,176800,176600,176600,176900,177100,177400,177900,178600,178800,178600,178100,177500,177000,177000,176900,176900,177300,177600,178300,179400,180100,180400,180700,180800,180900,181100,181500,182000,182800,183600,184600,185500,186400,187200,188000,188800,190100,191600,193000,194100,195200,196700,198500,200300,202000,203600,205500,207400,209200,210700,212300,214100,216100,218400,220700,223100,225400,227800,230200,232600,235100,237800,240200,242500,244700,247100,249600,252400,255500,258600,261800,265300,268800,272100,275500,279200,282900,286300,289700,292900,296000,299200,302300,305600,309100,313000,317000,321300,325700,330200,334900,340200,345600,351000,357000,363700,370800,378200,385500,392600,399800,406900,413600,420400,427700,435400,443100,450500,457600,464000,469700,474600,478900,481800,483600,485000,486500,487500,487700,486900,485600,483800,481700,479700,478100,476100,473700,472100,471200,470100,468700,466200,462500,458000,453800,449700,445100,439000,431800,424200,416900,410000,403300,396700,391200,387000,383000,378900,374700,370600,367500,365500,363700,361500,359200,356800,354800,353300,352500,352200,351400,354400,360400,363700,362700,362600,362600,362200,361300,360000,358600,357300,356200,355100,353800,352800,351800,350400,349600,349400,349500,349800,350000,349900,350100,349700,348600,348200,349100,349800,350400,351800,354000,356000,357500,359000,360800,362200,363000,364300,366700,369500,372400,375800,378900,381600,383600,385200,386500,387300,388000,389100,390300,391700,393200,394500,395000,394900,394700,394800,395700,396500,396800,397500,398800,400100,401300,402400,403400,404100,404500,405100,406100,406600,406300,406200,407300,408600,409900,410500,410900,412000,413900,416100,418000
394856,"Miami-Fort Lauderdale, FL",8,120400,120200,119900,119500,119400,119500,119600,119800,120100,120800,121400,121700,121800,122100,122300,122400,122700,123300,123600,123500,123700,124200,124900,125500,125900,126300,126600,126800,126900,127100,127400,128100,128700,128700,128800,129400,130100,130500,131000,131600,132000,132400,132900,133600,134400,135300,136400,137300,137900,138800,140100,141100,141800,142400,143200,144200,145100,146200,147600,149200,150700,152200,153600,155200,156800,158600,160400,162000,163800,166000,167900,169600,171300,172900,174600,176800,179200,181500,183900,186600,189300,191800,194000,196300,199100,201900,204400,207100,210100,213300,216300,219300,222400,225800,229400,233300,237600,242300,247500,252700,257800,263000,268400,273800,279100,284600,291000,298200,305700,313500,321700,329700,337300,344000,349800,355000,359200,362500,365800,368700,370800,371600,371300,370900,370800,370500,370300,369800,368000,365800,364100,362000,359200,356000,352400,348700,345000,341100,336600,332200,326900,320600,313400,306000,298200,290400,282700,275300,267900,260700,253900,247000,240500,235200,230500,225200,220100,216100,212900,209900,207700,206500,205600,204600,205300,206500,205900,203700,202300,201400,200500,199600,197700,195500,193300,191700,189700,187500,186200,186100,186200,185500,184300,183000,181700,180600,179400,178600,178900,180100,181900,183600,184700,185900,187300,188400,189600,190600,191500,193100,195000,196600,198300,200800,203900,207100,210100,213300,216700,220700,224800,228100,229900,231100,232900,234800,236800,238800,241200,243500,245800,247900,250300,253000,255000,256700,259100,262000,264700,267500,270500,273400,275800,278400,281300,283700,285400,286700,288000,289700,291900,293900,296400,299300,302400,304900,307200,309100
394347,"Atlanta, GA",9,108000,108300,108500,108500,108500,108400,108700,109000,109400,109800,110200,110600,110900,111400,112100,112800,113500,114000,114400,114900,115500,116100,116800,117300,117700,118100,118600,119000,119600,120400,121100,121800,122400,123100,123900,124800,125500,126200,126800,127600,128600,129600,130200,130900,131900,133100,134100,134900,135600,136400,137300,138100,138700,139300,140200,140900,141500,142200,142900,143500,144200,144900,145400,146000,146600,147200,147600,147900,148400,148900,149200,149500,150000,150600,151100,151700,152200,152500,152700,153200,153600,153800,154000,154500,155000,155400,155600,155900,156200,156500,156900,157300,157800,158400,159000,159400,159500,159600,159900,160300,160800,161300,162000,162600,163000,163500,164300,165100,165500,166000,166700,167200,167600,168300,169100,169900,170500,170800,171100,171700,172200,172500,173200,173900,174400,174800,175100,175400,175200,174400,173600,173700,174000,174300,174000,173600,173500,173500,173400,173200,172500,171500,170600,169700,168500,167000,165300,163800,162300,160500,158500,156500,154900,154200,153700,152700,151400,150100,149000,148000,147300,146700,146300,145500,146000,147700,148200,147200,146700,146200,145300,143900,142300,140600,139000,137500,135700,133500,131600,130200,128900,127900,127000,126000,125000,124100,123300,122600,121800,121500,121200,120800,120600,120800,121300,122000,122600,123000,123200,123900,124900,125400,125800,126400,127100,128200,129700,131400,133100,134800,136500,138000,138900,139400,140000,141200,142300,143200,144200,145200,145800,146500,147200,148100,148800,149500,150400,151900,153400,154600,155500,156700,157900,159100,160300,161500,162400,163300,164300,165500,166500,167400,168000,168500,169400,170700,172100,173300
