"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
102001,"United States",0,171800,171900,171900,172000,171900,171900,172400,173000,173700,174700,175800,176700,177400,178200,179000,179700,180500,181500,182400,183100,183800,184800,186100,187000,187200,187200,188100,189500,190600,191100,192000,193000,194000,194900,196000,197400,198700,199800,201000,202100,203100,204300,205400,206400,207800,209200,210600,211900,213500,215200,216400,217500,218700,220000,221300,222500,224100,225600,227100,228400,229800,231000,232100,233100,234400,235600,236800,237800,239000,240200,241200,242200,243200,244400,245700,247300,248900,250500,252100,253700,255400,257100,258700,260300,262000,263900,265900,267700,269300,271000,272800,274600,276400,278200,280400,282600,285000,287600,290400,293200,296200,299100,302100,305200,307900,310600,313700,317400,321100,324600,328000,331400,334700,337900,340900,343800,346300,348500,350400,352200,353600,354800,355700,356500,357000,357400,357700,357700,357600,357700,357900,357900,357900,357600,356900,355900,354800,353600,352000,350300,348100,345800,343300,340200,337200,334600,332200,329800,327500,325400,323400,321500,319700,317900,316300,314400,312100,309500,307100,305500,304300,303200,302400,301500,300600,299800,298600,297600,296900,296200,295200,293700,292000,290400,288900,287800,287000,286100,285100,284100,283000,282200,281500,280700,279900,279200,278300,277900,277900,278100,278300,278900,279600,280500,281400,282300,283400,284400,285200,286100,287300,288600,290100,291800,293800,295800,297900,300100,302200,304000,305600,306800,308000,309400,310700,311600,312500,313500,314600,315600,316500,317300,318200,319000,319700,320400,321500,322900,324500,326000,327100,328400,329700,330600,331400,332500,333700,334600,336000,337300,338300,339300,340800,342100,343000,344600,347000,348900
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615000,622000,627400,632600,635200,638400,645400,654900,661800,668400,674500,679900,683800,687700,692500,697600,700100,701400,704200,707900,711000,713800,715200,715500,715700,715200,714500,714100,711700,708800,708200,709200,708900,708600,707900,706500,704900,704100,703800,703800,702100,699100,696300,694500,692100,689300,686000,683200,680200,677200,674000,669900,666000,662800,658800,653500,648500,643600,639000,634900,631900,629900,628800,628500,625900,622000,619900,619700,619000,619000,618900,618200,617100,615600,614100,613300,613300,613300,613100,612200,610900,609600,609000,608000,606600,605100,603300,601400,600100,599000,598100,598400,599000,599600,600700,603200,606200,608500,609900,611300,613000,614600,616100,617600,619700,622500,626100,630200,634300,637100,639100,641400,644700,648900,653300,656500,658900,661600,664000,665100,665700,666400,666800,667700,670100,673200,675500,677900,680500,683200,686700,690400,693500,696600,699800,702500,705100,707600,709400,712000,715000,717100,718100,720100,724100,729800,736500,742300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,292600,293600,292900,291900,291800,292400,292700,293400,295100,298100,300800,303100,305200,307200,307900,308600,310000,312200,314500,317100,320000,323300,327800,328900,326900,326100,333900,344800,352300,354600,357900,361200,364100,366100,368100,371300,374700,378200,381000,382600,383800,386300,389400,392600,396000,399900,403600,407000,410500,414200,416500,418300,420800,424000,427000,431000,435500,440300,445200,450400,454400,456900,457800,459300,461700,464600,467700,471900,476300,480600,484700,489400,495000,501400,507900,514700,522700,532200,541300,549100,556400,564200,572300,579700,587000,594300,600600,607300,615700,625100,635500,647300,660000,672300,684700,698900,715900,734000,751700,767700,780600,790400,797900,803800,809200,815100,821300,827900,835800,846700,859000,870500,880300,889100,897000,904600,911200,916300,921500,927100,930600,931200,931500,931500,930900,930000,928800,926200,922600,920100,919700,920200,919800,916900,912000,907700,903600,898000,891800,885600,879500,872600,863200,849900,835700,823200,811800,800700,791500,784600,778900,772300,766700,763200,758500,751400,744400,738700,736100,736500,738000,740300,742100,743000,740800,737300,735800,736300,737500,738500,736700,732700,728900,725200,722600,722200,723000,722500,720400,718300,715200,710900,707300,703300,698500,694900,692500,690800,690500,690700,691200,692700,696000,701800,708300,714300,720100,724400,727300,731900,738600,746000,755800,767800,780200,791300,800400,808500,816800,825200,832800,837800,840300,842700,846300,852000,857300,860500,862900,867100,870900,873300,874900,877400,881900,887900,893400,897900,902100,905700,908300,911400,915100,919400,924100,929600,935400,941100,947300,952800,956600,958700,962600,966300,968700,971800,977900,983000
394463,"Chicago, IL",3,220000,220500,221000,221100,221100,221300,221600,221900,222800,224400,225800,226500,226900,227400,227800,228200,228700,229600,230500,231100,231800,233000,234100,235100,236100,236800,236900,237100,237600,238600,240200,241900,243400,244600,245800,247200,248800,250200,251500,253200,254900,256500,258300,260400,262300,264300,266300,268100,269900,271800,273700,275700,277800,280000,282200,284300,286900,289600,291700,293500,295500,297600,299500,301300,303300,305600,307700,309600,311400,313300,315100,316700,318000,319100,320400,322300,324500,326800,329200,331300,333500,335900,338500,341200,344100,347700,352400,356400,358600,358700,357700,357100,358200,360200,362100,363700,365700,367500,368700,370200,372600,375000,377500,381000,381700,380100,380600,384000,386500,388800,391000,393100,395200,397500,400200,402700,405200,407600,409500,410700,412000,413000,413800,414300,414800,415500,416500,417100,417400,418100,418600,418200,417100,415700,414400,413200,412000,410600,409000,407000,405400,404300,402800,400100,397000,394000,390500,386600,383500,381100,379100,376600,374900,373900,372300,369200,366100,363100,360100,357600,355800,354500,353300,352400,350700,348000,345300,343100,341600,340900,339800,337500,334800,332600,330100,327600,325900,324900,323900,323100,321400,318700,316200,315200,314700,314000,312900,311600,310300,308500,306600,305900,306300,307100,309100,311300,312200,311700,311900,312900,313300,313300,314500,316700,319300,322300,325800,329000,331600,333500,335100,336300,337700,339400,340900,342100,343300,344600,345900,347200,348400,348900,348900,348700,349000,349800,350600,351600,353300,355000,355200,354100,353400,353800,354500,355300,356400,357000,357800,359000,360600,361600,362300,362800,363400,364500,365700,366600
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,168500,169000,169400,169900,170600,171300,172000,173200,174200,174900,175600,176700,177500,178000,177900,178000,178400,179200,180100,180800,181400,182200,183300,184600,185600,186500,187500,188800,190100,191300,192500,193600,194200,195100,196500,197600,197700,197900,198000,198500,198800,198600,198400,198600,199000,199700,200300,201000,202400,204400,206300,207600,208800,209700,210600,211500,212400,213000,213800,214600,215000,215300,215500,215800,216200,217000,217700,218200,218800,219400,219900,220400,220600,220700,220600,220500,220700,221100,221400,221600,221700,221800,222200,223400,225000,226800,228700,230400,231500,232600,234000,235300,236400,237600,238400,238800,239400,240400,241100,241900,242800,243800,244900,246100,247100,248000,248800,249700,250700,251700,252400,253300,254500,255700,256500,257200,258200,259400,260000,260400,261000,261900,262600,263200,263900,264600,265600,266700,267800,268900,268900,267600,265800,264300,263200,262500,261800,261000,260100,259300,258600,258100,257100,255700,254800,254100,253000,251800,250700,250300,250400,250700,251000,250500,252500,256700,258600,258100,258800,259900,260700,260700,260300,259600,258500,257800,257500,257600,258000,258300,258200,257700,257300,256900,256500,256100,256300,256900,257500,258400,259700,261200,262300,262900,263100,263400,263900,264600,265200,266000,266700,267200,268300,270500,272800,275000,277100,279200,281200,283200,285100,286800,287800,288300,289600,291300,292600,293900,295700,297900,300200,301900,303500,305300,306900,308300,310200,313200,317200,321800,325900,328900,331600,334700,338000,341100,343700,345900,348500,350800,352800,354900,357600,360400,363000,365600,368300,370600
394974,"Philadelphia, PA",5,179700,179500,179600,179700,179600,179500,179500,179800,180200,180900,181600,182400,183000,183400,183600,183800,184000,184400,184900,185500,186000,186900,188300,189500,190200,190500,190700,190800,190600,190600,191000,191500,192100,193100,194100,195000,195800,196500,197400,198800,200500,202200,203500,204600,205800,207200,208600,209900,211200,212600,214000,215500,217000,218200,219700,221400,222800,224300,226100,227700,229400,231500,233500,235300,237200,239300,241200,242800,244800,247100,249100,251200,253300,255600,258100,260800,263600,266600,269500,272600,275800,279000,281700,284400,287600,290500,293000,295800,298900,302000,305100,308300,311200,313700,316400,319600,323000,326600,330300,333700,337000,340200,343300,346600,349900,352900,356000,358900,362000,365400,369000,372300,375500,378800,381900,384700,387200,389100,390700,392300,393700,394500,395000,395800,396200,395900,395300,394400,393300,393100,393400,393300,392500,391800,391000,390400,389600,388900,388200,387800,386800,385300,383800,382500,381300,380300,379400,378600,377700,376700,375200,373400,371500,370100,368900,367800,366000,364000,362200,360900,359600,358700,358400,358400,358000,356900,355600,354900,355100,355100,354400,352300,349900,348100,346800,345400,345100,345400,345700,344800,343200,341400,339900,338700,337700,336700,336000,335500,335200,335100,334800,334200,334000,333400,332900,333300,334400,334900,334900,335300,336400,337600,338400,339300,341300,343600,345400,346400,347200,348300,349700,350600,351100,352100,353200,354000,355000,356500,358000,359300,360100,360600,360800,361100,361000,360500,360600,361500,362700,363900,365400,366700,367400,367100,366600,366900,367400,367500,367800,368500,368800,368900,369400,370800,372700,374800,376400,377400
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255200,255300,255400,255500,255000,254400,253100,251700,250600,249900,250700,251600,252700,252600,252300,252200,252000,251700,251200,250500,249900,249600,250700,251900,253300,253600,254200,254600,255100,255500,256100,256700,257500,258400,260000,261800,264100,266000,268400,271000,274200,277100,279400,280800,282200,284800,288200,291300,293400,294900,297100,299500,302200,304400,306700,308700,310300,311600,313100,315000,317200,319200,321000,322800,324100,325100,325900,326700,327700,328300,329200,330200,331300,332000,331300,329500,325800,323100,321600,322600,323000
395209,"Washington, DC",7,250300,250100,250000,249700,249500,249600,250200,251000,251700,252700,253700,254300,254400,254200,253900,253900,254200,254500,254800,255800,257100,258600,259900,260900,261500,261900,262100,262600,263000,264100,265400,266400,267500,269200,270900,272400,273700,275600,278100,280800,283400,285800,287600,290000,292900,296000,299400,302600,305900,309500,313100,316700,320500,324200,327700,331300,335100,339100,343100,347000,351300,355800,360200,364700,369100,373000,376700,380400,383600,386800,390600,394800,398600,402500,406900,411500,416000,420800,425400,429800,434500,439300,443700,448000,452000,455500,458800,462600,467000,472000,477900,483700,489400,496100,503400,511100,519700,529100,538800,549000,559400,569600,579500,589500,599500,609000,618500,628500,638800,648500,657900,666100,672200,677100,681400,685100,687100,687700,687800,687100,685000,682200,678200,673600,669100,665500,662600,660300,657500,654800,653000,652100,651500,650200,647900,644800,641100,637800,634400,630400,625200,619600,613900,607900,601700,595900,590600,586600,583800,580900,577500,574000,569400,564300,560400,557600,554500,551900,550300,549700,550100,551100,552300,552400,557300,566100,571400,571200,572100,573000,573600,573300,572100,570500,568900,568300,567700,566200,565200,565500,566300,567100,567800,568700,569700,570000,570000,570400,570200,568900,568400,569700,572000,574300,576200,578300,579700,580300,581500,583700,585900,587700,590100,593300,596700,600800,606200,611400,616000,620200,623200,624700,625200,626000,627500,629400,631300,633100,634500,634600,634100,634100,635000,636800,638700,640600,642600,644400,645200,645800,646300,646300,646300,646700,647400,648800,650700,652300,653900,656000,656700,656400,655900,655900,656800,659200,662300,664900
394856,"Miami-Fort Lauderdale, FL",8,175600,175700,175500,175200,174900,174500,174500,174800,175300,176200,177200,177600,177900,178100,178400,178700,179000,179900,181100,181900,182300,183000,183800,184300,184400,184700,185000,185200,185500,186000,186600,187500,188400,189100,190000,191300,192400,193500,194800,195800,196400,196900,197600,198500,200000,201800,203600,205400,207100,208900,210700,212200,213200,214300,215800,217700,219800,222000,224500,227600,230700,233400,235500,237600,239800,242300,245400,248100,251100,254700,258900,262500,265600,268000,270900,275800,283200,289100,291800,294100,296400,297900,298900,300200,301900,304300,307000,309500,312100,315200,319000,322900,326900,331300,335600,340100,345500,352000,359300,366400,373000,380100,388000,395900,403600,411900,420900,431100,442200,453200,463700,473900,483400,491700,499700,507500,513400,518000,522500,526400,529200,531100,531400,530400,528600,526900,526300,526300,524700,521300,518000,514700,510500,505400,499500,493300,487200,481300,474700,467900,461000,453200,443700,433600,423100,413100,404200,396200,388100,379400,370300,361000,353800,349700,346500,341700,336800,332900,329800,326600,324000,322900,322900,322700,323100,322700,321000,319000,317500,316500,315800,315400,314500,313300,311200,308900,306100,304200,303800,304900,305900,306500,306200,305800,305600,305000,304700,305000,306200,308200,311000,313500,315700,317800,320300,322400,324400,325900,328000,331300,334800,337000,339100,342200,346000,349200,351700,354500,357900,362000,366000,369000,371400,373700,376200,378600,381800,385300,388100,389500,390700,392500,395100,398200,401000,402900,405500,408600,411300,414200,417500,420400,423300,426200,428600,430800,433200,435200,435900,436300,437200,437800,439300,442200,445000,447600,451100,454000
394347,"Atlanta, GA",9,182300,182300,182200,181900,181900,182300,182900,183600,184500,185500,186500,187600,188700,189400,189900,190600,191400,192100,193000,193900,194900,196000,197200,198300,199400,200400,201600,203000,204400,205900,207600,209100,210500,211800,213400,215200,217000,218800,220700,222400,224400,226400,228100,229600,231300,233000,234700,236400,238300,240000,241800,243700,244900,245700,246600,247500,248400,249400,250200,250900,251700,252700,253600,254400,255300,256400,257100,257700,258500,259400,260200,260900,261700,262800,263800,264800,265800,266300,266600,267200,267900,268500,269200,269900,270500,271100,271600,272100,272800,273700,274700,275700,276700,277600,278500,279800,281000,281700,282500,283400,284400,285400,286700,288300,290100,291900,293600,295400,296900,298000,299000,300400,301900,303500,305300,307300,308900,310200,311700,313000,314100,315200,316500,317800,319100,320100,320800,321600,322000,321400,320900,321200,321900,322300,322400,322300,322500,322500,322100,321300,320500,319500,318100,316400,314500,312600,310400,308100,305600,303200,300500,297300,294600,293600,292900,291300,289100,286900,284800,283100,282200,281400,280800,280200,279500,278400,277400,276100,275200,275100,274700,273200,270900,268500,266300,264300,262800,260900,258700,257000,255900,254600,253700,253200,252800,252700,252700,252700,252500,252600,252600,252700,252800,253700,255400,257200,258300,259100,260200,261700,263500,264900,266200,267600,269500,271500,273600,275700,277800,279800,281800,284000,286000,287500,289300,291200,293000,294500,295700,297000,298200,299300,300500,302200,304000,305800,308300,311600,314300,316400,318500,320700,322600,324600,326500,328200,329900,331800,333600,335500,337800,339700,340700,341600,343800,346300,348700,350500
