"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"United States",,0,1540,0,-0.000648929266709929,0.0259826782145237,15204807
2016-11-30,"New York, NY","NY",1,2322,0.00129366106080207,-0.00938566552901024,-0.0177664974619289,1570213
2016-11-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2384,0.00252312867956266,0.00210172341319882,0.0576752440106477,851604
2016-11-30,"Chicago, IL","IL",3,1542,-0.00580270793036751,-0.0159540523292916,-0.00836012861736334,859302
2016-11-30,"Dallas-Fort Worth, TX","TX",4,1341,0.00449438202247191,0.00827067669172932,0.0575709779179811,145331
2016-11-30,"Philadelphia, PA","PA",5,1229,-0.0032441200324412,-0.00726978998384491,0.0275919732441472,528243
2016-11-30,"Houston, TX","TX",6,1320,-0.000757002271006813,-0.00377358490566038,0.00533130236100533,120980
2016-11-30,"Washington, DC","DC",7,1903,0.00157894736842105,0.00316288877174486,0.00528262017960909,664629
2016-11-30,"Miami-Fort Lauderdale, FL","FL",8,1614,0.000619962802231866,-0.00185528756957328,0.0221659278024066,1150336
2016-11-30,"Atlanta, GA","GA",9,1312,0.0053639846743295,0.0107858243451464,0.0445859872611465,168957
2016-11-30,"Boston, MA","MA",10,2200,0.00364963503649635,0.00917431192660551,0.0377358490566038,558091
2016-11-30,"San Francisco, CA","CA",11,3031,-0.00164690382081686,-0.00296052631578947,0.0267615176151762,294848
2016-11-30,"Detroit, MI","MI",12,1294,0.00232378001549187,0.00310077519379845,0.0229249011857708,218861
2016-11-30,"Riverside, CA","CA",13,1608,0.00688791484032561,0.00562851782363977,0.0414507772020725,142521
2016-11-30,"Phoenix, AZ","AZ",14,1169,0.00171379605826907,0.00257289879931389,0.0705128205128205,227268
2016-11-30,"Seattle, WA","WA",15,1815,0.00276243093922652,0.0128348214285714,0.0803571428571429,226838
2016-11-30,"Minneapolis-St Paul, MN","MN",16,1368,0.00440528634361234,0.00588235294117647,0.0254872563718141,200800
2016-11-30,"San Diego, CA","CA",17,2147,0.0051498127340824,0.0151300236406619,0.0735,239038
2016-11-30,"St. Louis, MO","MO",18,935,0.00321888412017167,0.00429645542427497,0.00537634408602151,113461
2016-11-30,"Tampa, FL","FL",19,1197,0.00167364016736402,0.00167364016736402,0.0509218612818262,251351
2016-11-30,"Baltimore, MD","MD",20,1589,-0.000628930817610063,-0.00376175548589342,-0.00125707102451289,105074
2016-11-30,"Denver, CO","CO",21,1615,0.000619578686493185,0.00372902423865755,0.0365853658536585,188876
2016-11-30,"Pittsburgh, PA","PA",22,1086,-0.00549450549450549,-0.0171945701357466,-0.00640439158279963,102172
2016-11-30,"Portland, OR","OR",23,1545,-0.0025823111684958,-0.0051513200257566,0.060398078242965,89932
2016-11-30,"Charlotte, NC","NC",24,1188,0.00168634064080944,0,0.0179948586118252,79688
2016-11-30,"Sacramento, CA","CA",25,1379,0.00583515681983953,0.0139705882352941,0.0723172628304821,68539
2016-11-30,"San Antonio, TX","TX",26,1136,0.00798580301685892,0.0088809946714032,-0.00612423447069116,22646
2016-11-30,"Orlando, FL","FL",27,1136,0.0017636684303351,0.00264783759929391,0.047970479704797,150103
2016-11-30,"Cincinnati, OH","OH",28,1020,0.00098135426889107,0.0149253731343284,0.0450819672131148,87245
2016-11-30,"Cleveland, OH","OH",29,910,-0.00219298245614035,-0.00871459694989107,-0.0151515151515152,102218
2016-11-30,"Kansas City, MO","MO",30,1002,0.003003003003003,0.003003003003003,0.0329896907216495,62730
2016-11-30,"Las Vegas, NV","NV",31,945,0.00318471337579618,0.00638977635782748,0.0106951871657754,148459
2016-11-30,"Columbus, OH","OH",32,1088,-0.000918273645546373,-0.0100090991810737,-0.0285714285714286,118473
2016-11-30,"Indianapolis, IN","IN",33,1005,-0.00396432111000991,-0.00593471810089021,0.0029940119760479,62413
2016-11-30,"San Jose, CA","CA",34,3096,-0.00386100386100386,-0.00737415838409747,0.0326884589726484,107825
2016-11-30,"Austin, TX","TX",35,1538,-0.0012987012987013,-0.0038860103626943,0.0267022696929239,74322
2016-11-30,"Virginia Beach, VA","VA",36,1240,0.00161550888529887,0,-0.00720576461168935,99707
2016-11-30,"Nashville, TN","TN",37,1416,-0.00141043723554302,0.0049680624556423,0.0527881040892193,63698
2016-11-30,"Providence, RI","RI",38,1287,-0.00077639751552795,-0.00694444444444444,0.057518488085456,122785
2016-11-30,"Milwaukee, WI","WI",39,938,-0.00212765957446809,-0.00740740740740741,-0.0105485232067511,103732
2016-11-30,"Jacksonville, FL","FL",40,1175,-0.000850340136054422,-0.00339270568278202,0.0173160173160173,62307
2016-11-30,"Memphis, TN","TN",41,1126,-0.00177304964539007,-0.00530035335689046,0.00177935943060498,41794
