"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"United States",,0,1384,0.00217233888486604,0.000723065798987708,0.0176470588235294,84779133
2016-11-30,"New York, NY","NY",1,2418,0.0033195020746888,-0.000826446280991736,0.0163934426229508,3406478
2016-11-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2742,0.00366032210834553,0.00920132499079867,0.0611455108359133,2096258
2016-11-30,"Chicago, IL","IL",3,1681,0.00119118522930316,0.00119118522930316,0.00238521168753727,2263049
2016-11-30,"Dallas-Fort Worth, TX","TX",4,1584,0.00380228136882129,0.0089171974522293,0.0386885245901639,1722892
2016-11-30,"Philadelphia, PA","PA",5,1682,0.00178677784395473,-0.00237247924080664,0.000594883997620464,1494771
2016-11-30,"Houston, TX","TX",6,1583,0,-0.00440251572327044,-0.006900878293601,1639411
2016-11-30,"Washington, DC","DC",7,2269,-0.00175978882534096,-0.00482456140350877,0.000882223202470225,1217484
2016-11-30,"Miami-Fort Lauderdale, FL","FL",8,2134,-0.00140383715489003,-0.00559179869524697,0.0195891065456283,1239800
2016-11-30,"Atlanta, GA","GA",9,1331,0.00377073906485671,0.0113981762917933,0.0431034482758621,1661509
2016-11-30,"Boston, MA","MA",10,2386,0.00294241277847835,0.00336417157275021,0.028005170185265,919787
2016-11-30,"San Francisco, CA","CA",11,3481,0.000574877838459327,-0.00257879656160458,0.0160537069468768,937704
2016-11-30,"Detroit, MI","MI",12,1137,0.00176211453744493,0.000880281690140845,0.0393053016453382,1439178
2016-11-30,"Riverside, CA","CA",13,1753,0.00343445907269605,0.00400916380297824,0.0257460503218256,1045660
2016-11-30,"Phoenix, AZ","AZ",14,1343,0.00298730395817774,0.00298730395817774,0.0418929402637704,1230754
2016-11-30,"Seattle, WA","WA",15,2174,0.00415704387990762,0.0125756870051234,0.0848303393213573,929007
2016-11-30,"Minneapolis-St Paul, MN","MN",16,1591,0.0056890012642225,0.00632511068943706,0.0284421460892049,938205
2016-11-30,"San Diego, CA","CA",17,2532,0.00158227848101266,0.00277227722772277,0.0389823553549446,582310
2016-11-30,"St. Louis, MO","MO",18,1148,0.00262008733624454,-0.00260642919200695,0.00174520069808028,922562
2016-11-30,"Tampa, FL","FL",19,1384,0.00289855072463768,0.00581395348837209,0.0297619047619048,827247
2016-11-30,"Baltimore, MD","MD",20,1743,0.00172413793103448,-0.00114613180515759,0.00172413793103448,875006
2016-11-30,"Denver, CO","CO",21,2118,0.000472366556447804,-0.00516674495068107,0.0226943505552873,684042
2016-11-30,"Pittsburgh, PA","PA",22,1081,-0.00276752767527675,-0.0136861313868613,-0.0136861313868613,759447
2016-11-30,"Portland, OR","OR",23,1844,0.00655021834061135,0.0143014301430143,0.0702263493905978,625026
2016-11-30,"Charlotte, NC","NC",24,1252,0.00400962309542903,0.0088638195004029,0.0195439739413681,782774
2016-11-30,"Sacramento, CA","CA",25,1741,0.0023028209556707,0.00986078886310905,0.0583586626139818,587120
2016-11-30,"San Antonio, TX","TX",26,1332,0.00225733634311512,0.00452488687782805,0.0160183066361556,623852
2016-11-30,"Orlando, FL","FL",27,1434,0.00349895031490553,0.00702247191011236,0.0309130122214234,613801
2016-11-30,"Cincinnati, OH","OH",28,1287,0.00390015600624025,0.00783085356303837,0.0246815286624204,612786
2016-11-30,"Cleveland, OH","OH",29,1192,0.000839630562552477,-0.0016750418760469,0.0136054421768707,623419
2016-11-30,"Kansas City, MO","MO",30,1275,0.003147128245476,0.00235849056603774,0.0307194826192401,628301
2016-11-30,"Las Vegas, NV","NV",31,1289,0.00311284046692607,0.00233281493001555,0.0157604412923562,525228
2016-11-30,"Columbus, OH","OH",32,1343,0.00149142431021626,0.000745156482861401,0.020516717325228,522383
2016-11-30,"Indianapolis, IN","IN",33,1202,-0.00414250207125104,-0.00988467874794069,0.00838926174496644,646184
2016-11-30,"San Jose, CA","CA",34,3621,-0.00247933884297521,-0.00275406224180666,0.0328009127210496,358068
2016-11-30,"Austin, TX","TX",35,1732,0.000577700751010976,-0.00287852619458837,0.00991253644314869,459758
2016-11-30,"Virginia Beach, VA","VA",36,1445,-0.000691562932226833,-0.0102739726027397,-0.0163376446562287,461562
2016-11-30,"Nashville, TN","TN",37,1470,0.00409836065573771,0.0110041265474553,0.0440340909090909,569799
2016-11-30,"Providence, RI","RI",38,1654,-0.00181050090525045,-0.00720288115246099,0.0273291925465838,375413
2016-11-30,"Milwaukee, WI","WI",39,1464,0.00205338809034908,-0.00610997963340122,-0.00204498977505112,304601
2016-11-30,"Jacksonville, FL","FL",40,1290,0.0015527950310559,0.000775795190069822,0.00938967136150235,425472
2016-11-30,"Memphis, TN","TN",41,1049,-0.00190294957183635,-0.012241054613936,-0.00379867046533713,403190
2016-11-30,"Oklahoma City, OK","OK",42,1118,-0.00445235975066785,-0.0149779735682819,-0.0493197278911565,460998
2016-11-30,"Louisville-Jefferson County, KY","KY",43,1139,0.00440917107583774,0.00352422907488987,0.0261261261261261,502238
2016-11-30,"Hartford, CT","CT",44,1696,-0.00176574455562095,-0.00760678759508484,0.00712589073634204,302205
2016-11-30,"Richmond, VA","VA",45,1347,0,-0.00296076980014804,0.00148698884758364,415975
2016-11-30,"New Orleans, LA","LA",46,1382,0.00363108206245461,-0.00647016534867002,-0.0462387853692201,354883
2016-11-30,"Buffalo, NY","NY",47,1231,0.00901639344262295,-0.0120385232744783,-0.0222398729150119,301026
2016-11-30,"Raleigh, NC","NC",48,1405,0.0050071530758226,0.00572655690765927,0.0122478386167147,387944
2016-11-30,"Birmingham, AL","AL",49,1046,-0.000955109837631328,-0.0141376060320452,-0.0287836583101207,393862
2016-11-30,"Salt Lake City, UT","UT",50,1519,0.00529450694904037,0.0160535117056856,0.0475862068965517,272852
2016-11-30,"Rochester, NY","NY",51,1423,0.00779036827195467,0.00921985815602837,0.0556379821958457,304843
2016-11-30,"Grand Rapids, MI","MI",52,1243,-0.00718849840255591,-0.0304212168486739,0.0281224152191894,305827
2016-11-30,"Tucson, AZ","AZ",53,1141,0.00175592625109745,0.00087719298245614,0.0115248226950355,254918
2016-11-30,"Urban Honolulu, HI","HI",54,2681,0.00186846038863976,-0.0033457249070632,0.0163002274450341,153530
2016-11-30,"Tulsa, OK","OK",55,1088,-0.00548446069469835,-0.00820419325432999,0,328692
2016-11-30,"Fresno, CA","CA",56,1283,0.00469851213782302,0.0150316455696203,0.0330112721417069,207644
2016-11-30,"Worcester, MA","MA",57,1626,-0.00184162062615101,-0.00914076782449726,0.0592833876221498,223443
2016-11-30,"Stamford, CT","CT",58,2603,0.00269645608628659,0.000384319754035357,-0.00572956455309397,208110
2016-11-30,"Albuquerque, NM","NM",59,1189,-0.00251677852348993,-0.00418760469011725,0.000841750841750842,291435
2016-11-30,"Albany, NY","NY",60,1566,0.00384615384615385,0.00837089504185447,0.006426735218509,224679
2016-11-30,"Omaha, NE","NE",61,1290,0.000775795190069822,0.0015527950310559,0.0205696202531646,433347
2016-11-30,"New Haven, CT","CT",62,1751,-0.0056785917092561,-0.0135211267605634,0.0209912536443149,194590
2016-11-30,"Bakersfield, CA","CA",63,1260,-0.00237529691211401,-0.00630914826498423,-0.000793021411578113,193888
2016-11-30,"Knoxville, TN","TN",64,1084,0.00556586270871985,0.000923361034164358,0.00931098696461825,319631
2016-11-30,"Greenville, SC","SC",65,1208,0.00499168053244592,0.0100334448160535,0.0202702702702703,262593
2016-11-30,"Ventura, CA","CA",66,2641,0.00303835928598557,0.00418250950570342,0.0177263969171484,172924
2016-11-30,"Allentown, PA","PA",67,1432,0.00280112044817927,-0.00278551532033426,0.013446567586695,252155
2016-11-30,"El Paso, TX","TX",68,1000,-0.00299102691924227,-0.00299102691924227,-0.053030303030303,199499
2016-11-30,"Baton Rouge, LA","LA",69,1335,0.0037593984962406,0.00225225225225225,-0.0241228070175439,239575
2016-11-30,"Dayton, OH","OH",70,969,0,0.00103305785123967,0.00414507772020725,258074
2016-11-30,"McAllen, TX","TX",71,1070,0.0229445506692161,0.0753768844221105,0.0521140609636185,175908
2016-11-30,"Columbia, SC","SC",72,1123,-0.00177777777777778,-0.0088261253309797,0,257452
2016-11-30,"Akron, OH","OH",73,1114,-0.0071301247771836,-0.0253718285214348,0.000898472596585804,216804
2016-11-30,"North Port-Sarasota-Bradenton, FL","FL",74,1770,-0.00112866817155756,0,0.0125858123569794,242978
