"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California","State","California","All Homes",141153,140163,140656,140794,139205,138822,139618,141165,144495,148192,151252,153199,153956,157659,162820,162931,160143,159421,159757,157532,153124,149659,147236,143491,138238,130999,120668,111346,105311,99096,92128,86825,82601,78127,74614,72976,72601,72086,70885,70007,69157,67112,66066,67728,69761,70785,71506,72401,73362,74788,77177,80360,83382,85463,85892,85264,85480,85919,84688,82574,80850,78729,77202,77975,79651,80467,80516,80393,80060,78887,76654,73585,71067,70790,72432,74686,76468,78439,80533,80425,78234,76064
"Texas","State","Texas","All Homes",160032,160878,163291,163982,160910,158764,160636,165385,168866,168823,169553,171056,171376,170768,170729,172039,173117,175028,172259,161459,152937,150692,149183,146016,142459,139308,134861,130250,128238,125989,122302,119978,118790,117249,115336,113788,113239,113617,113840,113240,111826,108750,106156,105563,104470,102699,101359,100305,99238,98187,97510,97430,97347,96864,96762,97169,97051,96210,95003,93923,93121,91812,89687,88013,87306,86507,87067,89052,90285,90701,90474,89570,87908,86531,86203,85917,86069,87390,89291,90891,91741,92095
"New York","State","New York","All Homes",99688,101042,102883,100831,96252,94031,92604,91267,91750,93191,95137,97170,98211,99145,102124,106979,111203,114848,119444,122319,121668,121273,122418,122041,119675,117517,114777,111537,109811,107431,103841,101445,100442,98931,96238,94254,94006,94215,93505,91714,89150,86442,84629,83976,83777,83741,83961,84193,84304,83835,82710,82535,83294,83922,84357,84520,84327,83487,82282,81539,81263,80371,79717,80805,82907,84760,85373,84800,83868,82909,81687,80331,79199,78133,77321,76870,76150,75175,74165,73334,73132,73129
"Florida","State","Florida","All Homes",234326,233456,239080,244082,244576,246359,248138,250029,254659,257928,259759,262014,261921,261623,261899,257683,250392,250246,254441,251486,244887,241377,237381,229714,222807,215988,203397,190700,185010,180476,175103,172072,168224,162837,158031,154441,154128,156986,158593,156855,153809,148751,142951,141752,144271,147260,150121,152113,152723,153453,156591,161505,165372,166604,165251,163040,161489,159342,156154,154209,153327,148351,140739,139489,141866,141584,141555,141966,140645,137977,135545,134423,133953,135217,139349,143957,145947,145702,145555,145380,144187,142675
"Illinois","State","Illinois","All Homes",84682,85869,87841,88265,86710,86300,86917,86627,86087,85757,86558,88391,89440,90683,92345,92300,91267,90929,91158,91126,90802,90587,89966,88726,87303,85192,82465,80556,79680,78301,75839,72319,68020,65329,64388,63590,63342,63063,62008,61049,59553,56986,55549,56161,57229,57746,57963,58125,57926,57255,56588,56975,58769,60547,61485,62420,63527,63857,63292,62708,62428,62159,62125,62614,63344,63630,63270,63241,63775,63909,63142,61777,60463,59535,58989,58786,58904,59641,60330,60271,60211,60091
"Pennsylvania","State","Pennsylvania","All Homes",67882,69599,73027,74566,73079,71893,71975,72799,74046,74936,76254,78107,79299,80422,81720,82194,82205,83495,85522,85398,83759,82798,82126,81112,79916,78521,76452,74025,72483,70880,68322,66865,66857,66828,66236,65824,66749,67911,68123,68114,68069,67331,66411,66235,66393,66477,66745,67095,66792,65475,64959,66842,68766,69065,69185,69440,69196,68658,68058,67477,66824,65680,63686,62221,62986,64742,65871,66034,65709,65233,64359,63446,62966,62745,62561,62154,61312,60487,59843,59277,58843,58562
"Ohio","State","Ohio","All Homes",57217,58512,61921,65795,66877,66541,66910,67430,67730,67516,67889,68783,68896,70550,73524,73969,72619,71879,71357,70167,69015,68462,67564,66326,65586,64459,62276,60100,58773,57665,56257,55040,54308,54208,54254,54319,55195,56054,55722,55113,54962,54489,53518,52872,52663,52531,52609,52918,52665,51347,50140,50302,51027,51501,52061,52460,52438,52172,51689,51419,51369,50491,48895,48043,48634,49713,50148,50066,49972,49891,49470,48887,48407,47425,45864,44479,43735,43518,43914,44825,45119,44761
"Michigan","State","Michigan","All Homes",88052,89248,90573,89619,86567,84733,84304,83135,82455,83160,83926,84533,85340,85873,86075,85754,84607,83575,82759,81214,79655,79015,78225,76911,75912,75012,73691,72486,71919,70923,69000,67278,66144,65134,64300,63843,63576,63441,63328,63365,63066,61169,59145,58899,59346,59748,60357,60649,60064,58985,58204,58484,60070,62266,63910,64640,64414,63463,62850,62547,61851,60667,59572,59269,59634,60186,61137,62351,62689,61720,60113,58584,57308,56344,55764,55364,55086,55093,54965,54495,54050,53559
"Georgia","State","Georgia","All Homes",95059,95234,95962,96484,95888,95892,96052,95360,95734,96643,97202,97790,98223,100218,103057,103516,101904,100692,100237,98722,93569,89584,91545,91941,89348,87007,82989,78388,75269,72409,68305,64027,61260,59519,57783,56967,56992,56565,55659,54984,54482,53303,53085,55164,57764,59173,58798,58199,58138,57631,57011,57327,58469,59435,60056,60648,61603,62169,61527,61199,61162,60826,61734,63459,64313,64957,66093,66839,67332,67027,65046,63028,61492,59903,58840,59009,60422,61745,62085,61956,62128,62525
"North Carolina","State","North Carolina","All Homes",91253,91902,93241,94286,94151,94215,93893,93608,94861,95783,95829,96015,96068,96753,98965,100614,100860,101612,102614,101536,98700,97099,96656,95613,94466,93637,91881,89392,87362,84530,80642,78457,78665,79033,78735,78383,78432,78634,78683,78885,78670,77554,76874,77146,77452,77711,77770,77426,76698,75355,74617,75406,76250,76633,77016,76841,75629,73856,72291,71183,70054,68753,66049,62449,61083,61271,62002,62826,62700,61724,60690,60466,60588,60073,59449,59559,59642,59873,60254,60037,59609,59314
