"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California","State","California","All Homes",134620,132744,138067,139408,135930,140108,143766,145698,149832,153614,154372,151662,144624,149687,163233,159935,157896,159690,165720,163626,158330,153829,151672,140782,129739,126619,116684,106652,104344,101102,95917,92273,88978,82571,77940,69200,63967,65754,66790,66548,68329,69084,69264,74959,75446,76648,74424,69658,63369,67984,72003,77428,81976,88224,91902,91366,91602,91732,88966,77994,72082,71245,71608,74189,78944,82879,86292,87256,86751,84467,80562,69930,60187,63162,66975,71574,75260,80372,87495,88204,84532,81198
"Texas","State","Texas","All Homes",149458,153070,160636,166308,162124,161932,169004,169988,177547,167116,170020,165178,160663,164786,165381,174464,172792,180921,185160,165103,155740,152376,149307,140246,131252,132869,132606,128074,130711,131641,129438,125987,124135,118698,115144,107388,102481,106324,111315,112314,114447,113628,112416,113416,109146,104763,100727,94968,88126,91426,93368,96980,98769,101710,103979,104518,102220,98534,94962,87882,82776,84774,86362,85994,89586,90484,93800,97134,94984,93874,90050,84655,76920,78857,82742,84840,86626,92183,96497,98736,96704,95181
"New York","State","New York","All Homes",88532,90934,99911,101969,95637,100765,99300,96938,97216,96820,95221,92606,87166,89454,96364,106986,113362,120105,126381,131080,126371,124374,123575,117579,108263,107987,111379,108504,113161,113426,110508,107399,106450,103360,96484,88206,82889,85236,88522,90915,91189,92334,91095,90932,89448,87783,84422,79012,72969,75197,76430,80945,85746,89736,91999,91047,90966,87392,83166,75367,70766,70912,73095,79487,84734,91626,92707,91956,89723,87358,82375,74642,68069,68684,71117,75706,78248,81355,81550,79881,79338,77486
"Florida","State","Florida","All Homes",239658,233354,249507,246534,238018,241744,245166,242302,252050,257592,260820,269732,261862,268129,270145,261326,242314,242529,255682,246194,239959,238886,243800,232310,223764,224858,211987,186507,182333,176741,169052,168463,164864,160358,161594,157338,153986,163946,167061,157280,150424,146464,135940,137080,140019,145574,152932,156673,153392,159430,162229,162844,162944,163686,161769,158150,157748,157831,158170,156828,155032,157862,143134,138968,142128,136331,138214,138366,136936,135959,136968,138092,133899,140872,145306,145630,144721,141809,141990,141751,140301,140018
"Illinois","State","Illinois","All Homes",76245,79059,85458,89135,87402,89638,93392,92036,90323,87506,85401,84399,81422,83200,91008,91442,92946,94313,97033,97102,94715,92882,90039,83712,79591,78926,79158,79422,81425,82872,80963,79491,70982,67241,64542,58434,55253,56963,58470,60069,61988,60312,60332,62303,61670,60499,57762,53566,50064,50446,53012,54935,60582,64806,67023,68273,68340,66936,63358,57726,54572,55172,58384,61125,64938,68008,68583,69133,68492,67107,63490,56971,52302,52541,55169,57176,60310,63280,66709,65893,65118,63176
"Pennsylvania","State","Pennsylvania","All Homes",59760,61766,69486,74801,72656,75346,76610,77283,78994,78370,77096,75899,71422,73264,78032,80591,82624,85997,91834,90532,87870,86416,83767,78138,72352,71680,72566,71634,72906,75374,72426,71342,71736,70479,68110,61995,59263,61502,63510,65990,68884,71172,70784,71403,70990,70317,68062,64490,59499,58861,58758,64866,70076,72462,74074,74838,73894,72529,69724,64384,59606,58899,59309,58289,63848,68282,71436,71144,70436,69347,66006,60319,55380,56030,57448,60041,61593,64257,64788,64459,63564,62466
"Ohio","State","Ohio","All Homes",49195,51345,57316,66842,68046,69163,72188,71884,72748,69987,68096,66594,60943,62392,71826,72909,73524,74634,76870,74755,73372,71233,69044,62418,58796,57988,58602,58474,59548,61150,60698,60104,58442,57152,55428,50788,48084,50230,51700,53384,55592,57953,57789,57923,57160,55690,53425,50148,46297,45120,45392,48367,51614,54234,56696,57756,57046,55542,52870,48160,45195,44525,44450,45575,48538,53138,54553,55394,54439,53486,50731,45856,42074,41586,41364,42271,43410,46645,47630,50710,49873,48124
"Michigan","State","Michigan","All Homes",80772,82233,85861,86444,84366,86326,91217,89822,88749,87248,85732,81197,78994,78850,80528,81891,82784,85953,88940,88781,85861,83398,80136,73685,69255,68040,68056,67498,70417,74096,74466,74799,73042,69568,65557,61300,56510,56414,57103,58500,61915,64314,63627,67218,66278,64405,61784,58646,53005,51854,51196,53258,57765,65445,69960,72798,72430,67646,64620,60033,55128,53250,52595,53919,57618,63055,66546,71084,70496,66806,61621,56154,50152,48818,48772,50188,52750,58079,60996,62643,61890,58381
"Georgia","State","Georgia","All Homes",89578,91942,94860,99102,96686,98981,100317,96567,96760,95114,96828,97186,91805,96200,103598,105114,103536,103123,104388,101177,97278,81440,96133,89950,83543,84248,82446,78458,76982,76162,71770,65853,62192,58412,57818,54994,51908,52752,54506,55350,56531,56640,54883,58554,58856,59498,58832,56518,52738,53799,55016,57489,60075,62922,63283,63570,62911,62741,61420,59502,56090,55967,59610,64314,65764,67826,69834,69822,68936,67984,65080,61338,56043,55360,56708,58470,61986,65408,65569,64848,63926,62778
"North Carolina","State","North Carolina","All Homes",82918,86614,90492,96349,95234,99763,97978,95760,97946,97624,95418,92964,88252,90300,97236,101830,102422,106402,106910,106179,100134,98434,97039,92352,86412,88355,90548,88574,90315,89548,84215,80585,81970,80492,79026,74815,70833,73234,76486,78650,81499,81778,80322,81066,79982,79467,78002,74221,69502,69909,71517,75298,78578,80738,81294,80720,78792,75207,72479,67762,63164,62684,65978,59116,64278,64548,66346,66768,65796,63667,60196,57589,53079,55344,56074,59630,61204,64104,64529,63867,62462,61097
