"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Alaska",,"AK",,,,4.8936170212766,84.95,,,265200,-0.0376931775348662,1.96078431372549,0.0465384615384616,,0.143769659427383,0.0119172428358857,92
"State","Alabama",,"AL",,,,1.48936170212766,70.12,7.701,0.1178,122800,0.244897959183673,1.82421227197347,0.0345195439739414,,0.156519670308183,0.0283770591998714,101
"State","Arkansas",,"AR",,,,4.46808510638298,83.63,2.3697,0.1082,114700,0.525854513584575,3.42651036970243,0.0297646033129904,,0.14658011576003,0.0280651589701922,103
"State","Arizona",,"AZ",,,,5.1063829787234,85.39,6.7051,1.2253,214800,0.75046904315197,7.77722027094832,0.0360335195530725,,0.141298843901596,0.0259816261215448,74
"State","California",,"CA",,,,6.38297872340426,90.97,5.3567,0.8036,479600,0.608349066498846,6.88656117673278,0.0233924103419516,,0.0779774972569501,0.0315928613409936,68
"State","Colorado",,"CO",,,,10,96.09,2.5648,0.1236,316500,0.892572521517373,10.7805390269513,0.0388909952606635,,0.0655314139990114,0.0138128675767945,63
"State","Connecticut",,"CT",,,,0.425531914893617,74.18,2.9846,1.2251,242300,0.331262939958592,1.46566164154104,0.019880313660751,,0.157252476581725,0.0647772109812091,115
"State","District of Columbia",,"DC",,,,8.08510638297872,94.34,2.0901,0.9166,527000,0.591715976331361,4.54274945447332,,,0.103905230398554,0.053968253968254,72
"State","Delaware",,"DE",,,,0.212765957446809,70,4.2892,,213200,0.0469263256687001,2.94543698696282,0.0106801125703564,,0.132300496207667,0.0741562472536944,96
"State","Florida",,"FL",,,,7.4468085106383,83.19,,,198000,0.917431192660551,10.4294478527607,0.0369898989898989,,0.126553738284284,0.0596627552438952,97
"State","Georgia",,"GA",,,,4.04255319148936,82.2,,,150800,0.667556742323097,6.57243816254417,0.0454177718832891,,0.149917999438357,0.0349378107542241,80
"State","Hawaii",,"HI",,,,5.31914893617021,50,,0.7453,578400,0.573813249869588,5.75973669775096,0.038594398340249,,0.0552259339489043,0.0667484803382595,82
"State","Iowa",,"IA",,,,6.17021276595745,95.52,1.5786,0.0598,125500,0.319744204636291,3.29218106995885,0.0289402390438247,,0.114640785363194,0.0194441946284212,84
"State","Idaho",,"ID",,,,7.02127659574468,82.39,,,180200,0.614182021217197,8.03357314148681,0.037819089900111,,0.135504994929628,0.0168664264835198,64
"State","Illinois",,"IL",,,,1.06382978723404,70.49,,,164600,0.365853658536585,5.10855683269476,0.0290400972053464,,0.183865996109213,0.0423933414827608,104
"State","Indiana",,"IN",,,,1.27659574468085,92.51,,,118000,0.254885301614274,0.340136054421769,0.0363644067796609,,0.155542650693127,0.0335213382310958,84
"State","Kansas",,"KS",,,,4.25531914893617,89.76,,,121600,0.33003300330033,3.84286934244236,0.0401480263157894,,0.123220961570865,0.0205476741917749,70
"State","Kentucky",,"KY",,,,8.93617021276596,85.61,1.0016,,131300,0.613026819923372,5.71658615136876,0.0452399086062452,,0.12663334822063,0.0245774870172135,81
"State","Massachusetts",,"MA",,,,3.19148936170213,90.06,16.5416,7.9058,358600,0.673778775968557,6.00059119125037,0.0319408812046849,,0.0767567235153195,0.0538018104705223,78
"State","Maryland",,"MD",,,,0.851063829787234,80.56,9.8831,1.0222,265400,0.644671975729996,4.28290766208251,0.0291974378296911,,0.177061585805376,0.0556282175528544,104
"State","Maine",,"ME",,,,3.61702127659574,100,,,138800,0.506879073135409,-6.59488559892328,,,0.147500214500624,0.0595011971529313,108
"State","Michigan",,"MI",,,,7.87234042553191,85.57,,,127600,0.710339384372534,6.95725062866723,0.0387774294670846,,0.142673453824833,0.021784834190142,87
"State","Minnesota",,"MN",,,,5.74468085106383,82.23,7.9412,0.1866,198300,0.60882800608828,7.53796095444685,0.0321936459909229,,0.094833239842513,0.0188692443646746,84
"State","Missouri",,"MO",,,,2.34042553191489,76.68,,,138000,0.436681222707424,6.15384615384615,0.0359782608695651,,0.159792593039394,0.0245369106037002,76
"State","Mississippi",,"MS",,,,0.638297872340426,,,,111500,0.0897666068222621,2.10622710622711,0.0375067264573992,,0.169118615550134,0.0346925930103518,
"State","Montana",,"MT",,,,9.36170212765957,100,,,193700,0.571131879543095,5.32898314301251,0.0188435725348477,,0.105279655373884,0.0127220877841541,81
"State","North Carolina",,"NC",,,,4.68085106382979,84.07,4.7612,0.0737,154900,0.519143413367943,5.23097826086957,0.0367398321497741,,0.109000797017797,0.0342874372062006,83
"State","North Dakota",,"ND",,,,7.65957446808511,98.1,,,203600,0,0.295566502463054,0.0378192534381139,,0.110489699035519,0.0116270715375436,83
"State","Nebraska",,"NE",,,,8.51063829787234,98.25,2.6896,1.0245,143600,0.842696629213483,5.27859237536657,0.0331685236768802,,0.106134811849346,0.0116972611903172,68
"State","New Hampshire",,"NH",,,,5.95744680851064,82.15,,,235300,0.684638425331622,5.23255813953488,0.0326774330641735,,0.0941772187011618,0.0282083890070202,91.5
"State","New Jersey",,"NJ",,,,2.5531914893617,76.64,4.5024,0.3656,296700,0.542189088444595,3.9593552908199,0.0258746208291203,,0.13810186487613,0.113150357518741,135
"State","New Mexico",,"NM",,,,1.91489361702128,0,,,167600,0.842358604091456,3.20197044334975,0.0371420047732698,,0.199103479694058,0.0469207173576091,93
"State","Nevada",,"NV",,,,2.12765957446809,78.77,9.2406,2.5401,226000,0.48910626945309,8.81078478574868,0.0475132743362832,,0.16693783327708,0.0650595331944473,74
"State","New York",,"NY",,,,5.53191489361702,87.14,3.2741,0.2702,273700,0.662008091210004,4.78560490045942,0.036006576543661,,0.104005018187802,0.0906904232677698,138
"State","Ohio",,"OH",,,,1.70212765957447,80.03,5.6189,0.2995,123400,0.488599348534202,4.22297297297297,0.0294489465153971,,0.141567200497699,0.0390959696288525,81
"State","Oklahoma",,"OK",,,,6.80851063829787,87.1,2.2414,,113000,0.444444444444444,4.62962962962963,0.0347699115044249,,0.118975797727228,0.031483039169342,106
"State","Oregon",,"OR",,,,9.78723404255319,95.5,4.9467,3.2777,292800,0.895933838731909,13.0501930501931,0.0478654371584699,,0.0630836594191331,0.0361535049317121,74
"State","Pennsylvania",,"PA",,,,2.76595744680851,83.33,5.5771,0.0387,156700,0.320102432778489,3.70615486432826,0.0269942565411614,,0.12506588538184,0.0419527672595497,97
"State","Rhode Island",,"RI",,,,2.97872340425532,80.45,9.1171,6.3019,243400,0.745033112582781,5.45927209705373,0.0431183237469186,,0.125190771597679,0.0541923591051053,94
"State","South Carolina",,"SC",,,,6.59574468085106,82.3,5.9544,0.1176,140300,0.935251798561151,10.7340173638516,0.0369280114041339,,0.11030442300067,0.0435697711533892,97
"State","Tennessee",,"TN",,,,7.23404255319149,85.69,,,135200,0.670141474311243,6.12244897959184,0.0399482248520711,,0.118249298054394,0.0235968173124129,79
"State","Texas",,"TX",,,,8.29787234042553,97.01,,,161300,0.310945273631841,8.4005376344086,0.039435833849969,,0.0828531495850934,0.0208694829099138,54
"State","Utah",,"UT",,,,9.57446808510638,,,,237800,0.549682875264271,8.83295194508009,0.0418082422203532,,0.143769264974531,0.0138043787718699,
"State","Virginia",,"VA",,,,3.40425531914894,81.27,3.547,0.1617,238400,0.4212299915754,2.93609671848014,0.0249161073825503,,0.139774874197088,0.0262756945551389,81
"State","Washington",,"WA",,,,9.14893617021277,93.98,5.0974,1.927,314000,0.867330549309348,11.2291888062345,0.0507770700636943,,0.0767543609449696,0.0295143283138955,62
"State","Wisconsin",,"WI",,,,3.82978723404255,88.12,1.5249,0.5473,158800,0.379266750948167,4.95703899537343,0.0318073047858942,,0.127362445276497,0.0286968965941198,81
"State","West Virginia",,"WV",,,,8.72340425531915,89.47,1.3369,0.1764,99700,0.605449041372351,3.42323651452282,0.036740220661986,,0.143008307368716,0.0215429918143683,128.5
