"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,249000,245000,248950,249900,258000,265000,269000,265000,265000,263000,259694,255000,249000,249000,249000,259900,272950,279000,280000,279900,284000,289000,290000,289000,285000,285000,295000,299000,301429,309000,318000,319900,319000,319888,315900
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89500,94000,90000,93750,96300,99900,99900,105000,106450,108000,109500,109000,104450,98500,97900,99900,1e+05,104500,109900,103500,103500,1e+05,109900,107990,92500,99800,99999.5,110000,120000,125000,129000,125000,130000,129900,129900,130000,129900,135000,132800,137700,139000,139000,140000,139900,139900,149500,150000,149900
"New York",3,239900,235000,225000,229000,250000,249000,239412,239932.5,249000,259000,259000,249000,249000,220000,249000,249000,239000,229000,219000,209999,208000,199000,199900,199000,199000,199000,199000,209000,208500,199900,199000,195000,195600,190000,199000,199000,199000,199000,195000,189900,188000,179000,175000,179000,179900,179000,194500,189900,190000,189000,197500,195000,199000,225000,215000,219900,219000,219000,205000,209000,225000,224000,224000,215000,215000,225000,224900,219000,220000,228000,225000,228000,250000,265000,239000,259999,245000,249000,248000,249000,257500,265000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129249.5,124900,120000,119900,119900,123000,119000,117000,119900,125000,126000,127700,119900,115900,123000,131500,114900,116000,134900,134900,129900,130000,129900,129900,145000,138815.5,127500,139000,144000,145000,154900,159000,159900,159000,165000,169000
"Pennsylvania",5,,,,,,,,,,,,,,,,,,,,,,,,113345,114200,113900,112000,111990,110000,109900,112000,109900,1e+05,109900,109900,115000,114900,118500,119900,120500,125000,125000,115000,110700,110000,110950,118000,119700,114900,115000,124900,134500,129900,129500,124900,121000,119900,120000,99949.5,95000,109900,119900,122900,125000,124600,125000,125000,125000,120000,119000,119900,120000,119999.5,124500,129900,130000,136500,135000,134500,125500,125250,126950
"Ohio",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,59900,64800,68250,69900,72900,72300,69900,69500,69250,68800,64500,62000,62930,65000,65700,67000,68200,69900,69900,69900,69900,69900,67300,65000,65000,67400,69900,70500,71500,69950,71000,73000,73450,74900
"Georgia",7,,,,,,,,,,,,,,,,,,,,,,,,87000,80000,89900,85000,87900,89900,94000,89900,89500,89500,89900,104900,105950,109900,109999.5,112700,110000,109900,109900,110000,110000,112999,105000,105000,99900,1e+05,109900,111900,112000,115000,117950,119000,119900,120000,123950,115000,110000,115497.5,124250,129000,129900,130000,130000,129900,134900,135921,135000,137000,135000,134999,138900,139900,142000,139900,139316.5,139500,139900,139000,140995
"North Carolina",8,,,,,,,,,,,,,,,,,,,,,,,,93000,90000,89900,87500,80000,79900,85000,87500,87500,86000,89900,95000,99000,99000,99900,105000,104950,105000,105000,99900,99900,95900,97500,98500,99900,99500,104500,109900,109900,113000,110000,108000,109000,110000,109000,1e+05,99900,104900,117000,119500,119000,119900,119900,120000,119900,119000,124500,120000,120000,125000,126450,125400,125650,127000,124900,125200,128000,129900,134900
"New Jersey",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,156200,155000,155000,159900,159900,159900,159000,159000,154000,154900,159000,160000,159000,155500,150000,149900,149900,149900,149900
"Virginia",10,,,,,,,,,,,,,,,,,,,,,,,,145000,139000,149000,149925,159000,160000,159900,159900,152000,149900,150000,159000,159000,158450,160000,175000,182500,189000,188500,185000,189000,189000,189000,180000,180000,179000,180000,189900,195000,197750,199900,199900,199500,195000,198000,198000,184999.5,189694,189000,189950,198550,199900,197900,189000,199000,199500,199900,199500,194250,192500,189950,199900,204990,205000,2e+05,199900,195000,199900,198000
