"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728000,719999.5,696990,699900,725000,749000,760000,759900,750000,747500,749000,725000,699900,650000,689000,719000,745000,758800,789000,796853,780000,779888,775000,769000,775000,769000,769900,799000,819000,837750,849000,849000,845000,827000,825000,820267
"Texas",2,365453.5,368346,368995,369000,368990,367957,365000,360000,359000,350000,349900,342970,334990,335900,339000,349000,349900,345000,343990,335000,345000,339500,338338,334999.5,337982.5,339900,349500,351990,359000,363919,359500,353351,354597,354900,375000,379900,375950,388995,398800,399900,409000,409175,414925,407995,413498,411990,410000,419558,415000,425000,430000,446985,440990,443990,445867,450000,450000,450000,449950,452990,459900,469000,475000,479900,475000,475000,474000,469900,459000,464990,459990,450000,459990,465000,472369,479000,480000,475000,472832,469970,467990,454582
"New York",3,535000,535000,549000,539000,539000,529000,529000,520000,529000,519000,509000,499000,499000,498500,499000,499000,499000,499000,499000,499000,495000,490000,489000,480000,484000,489000,489000,499000,499000,489900,485000,480000,485000,489000,519000,524000,520000,529000,529000,529000,529000,519000,520000,519000,524894,529000,539000,549000,549000,549000,549000,559000,569000,570000,559000,550000,550000,559000,549900,549000,549000,549000,550000,569994.5,579000,569000,569000,575000,574000,579000,575000,570000,599000,627000,629000,639000,635000,649000,614999,599999,620000,625000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481950,499000,498000,499000,511450,499000,499000,499000,475500,479000,467995,484999,480000,479000,489000,484945,489250,475000,469999.5,475000,465000,460000,459000,450990,469000,469900,480970,478088,475990,476995,479900,479965,489900,481995,494999.5,499925,511990,508171.5,544533,549000,549900,545950,539900,529900,525000,536900,547655
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,290000,275000,298681.5,3e+05,313950,330000,339000,325000,320000,324000,320000,314900,299000,280000,295000,319350,324900,329000,329900,328000,328950,329500,329900,325000,314800,3e+05,319900,344950,354000,359700,359000,349900,339900,330000,325000
"Pennsylvania",6,289900,290000,296250,289900,284500,279000,275000,269900,269900,265000,258900,244900,235000,239000,229900,239000,245000,239900,249000,235000,230000,240000,240000,235000,239000,240000,249500,250000,259000,250000,249900,249000,239999,239900,250000,249900,249000,250000,274900,275000,289900,299900,285000,269900,279900,275000,269900,269900,249900,259900,279000,299000,311000,309500,295000,284840,285000,279900,269900,269500,254900,259900,279000,292900,320000,317450,299000,295000,295900,285000,289000,275000,269900,275900,295000,3e+05,314900,324900,310000,299900,299900,299900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,195000,189900,195000,193269,210000,224900,225000,224250,215990,212250,210000,199900,191825,199900,209800,215000,219900,229250,239900,239900,239000,229900,220000,220000,210000,199900,208000,229900,247700,249900,249900,248000,239000,239900,229900
"Michigan",8,279900,275000,274900,279500,273325,264900,259000,254900,265000,264900,259900,244987.5,239900,229900,235000,235875,249000,249900,249900,249000,249900,249000,249000,240000,239900,239900,245000,259000,268000,269900,270000,269000,264900,274900,289900,289000,289000,289900,297250,299900,309900,319900,319000,319900,329900,324900,304950,324900,314450,314950,325000,339500,346450,349900,345000,344900,333000,321350,324825,319000,309414.5,323750,344900,350000,374950,369900,374900,370000,374900,374900,375000,370000,375000,370000,375000,389900,399900,399000,399900,398900,387950,394800
"Georgia",9,379000,379000,379900,380000,379000,373949.5,375000,375000,358000,349900,329500,316900,314900,304900,304900,311970,314900,3e+05,299925,298000,299900,299900,289900,280081,284700,289000,297000,299900,309000,309900,300161,3e+05,3e+05,299999,345000,345000,348742.5,350000,355500,368500,374900,375500,375000,369900,369500,364900,362000,359900,359277,369000,369800,382700,383567.5,375000,375000,376954,379000,376000,369222,370900,369900,379899.5,385000,385000,395990,399000,380000,377871.5,374900,379375,379000,369900,366900,389000,389900,399500,399900,395000,397000,397900,390000,394900
"North Carolina",10,459000,450000,450000,449900,449900,448250,449500,449000,445000,435000,433917.5,419700,399900,399000,399000,399000,399500,399000,399000,395000,399000,389000,375000,375000,382000,389900,389900,397000,379000,379000,380000,385000,385000,389900,414900,409900,409900,419900,425000,437000,425000,450000,425000,419995,419850,414950,409971,389900,4e+05,414382.5,415000,425000,429900,429900,425000,424900,425000,429000,425000,429900,424900,429900,436218,449900,450000,452900,450000,453999,454850,459000,455000,464990,479900,499000,479700,489900,489900,475000,474900,474900,474900,479900
