"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,395000,384900,390000,399900,419000,420000,425000,425000,425000,419000,410940.5,399999,385000,399000,408894,419950,428800,440000,449000,439950,449000,449000,449000,449000,440000,439000,449000,459000,469900,475000,480000,480000,476690,476900,475000
"Texas",2,158700,159900,159950,162500,162900,164500,160000,161146,169995,169500,165900,162000,159950,159900,159900,159900,164900,167497,165900,163000,157000,156900,155000,154900,155000,155999,158495,159900,159900,162500,159999,159900,159000,159900,174900,175000,174987,179900,184000,186995,189900,190000,190000,189900,191000,194900,189999,192687.5,191647,197950,2e+05,209900,215000,212950,214000,219000,217990,216900,217630.5,224000,225900,232950,239000,244500,243900,244900,245000,247990,249000,249900,249900,253995,250192,244900,249900,250000,254500,255000,255000,254210,250900,255000
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304900,309000,319000,322000,319000,315000,299900,299000,294000,295000,299000,304599,3e+05,310000,325000,325000,325950,329000,330000,325000,319999,319900,324000,321000,319900,329000,329990,334900,329999,329999,339000,329000,320000,319000,324000,320000,320000,339000,340000,339000,349900,349000,349000,329990,329000,329500,329000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,2e+05,199900,205000,209000,210000,209900,205000,214900,215000,216900,215675.5,217300,215000,219900,225000,225000,224900,225900,229000,229500,236990,239900,240000,249000,249000,249000,249900,250000,259000,255900,258000,258000,254900,259900,259990
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155000,164900,172000,179900,186900,189900,189000,185000,181900,179900,175000,169900,169500,175000,185000,189900,199900,199900,199000,194900,189900,189900,185000,179900,179900,185000,197500,204000,209500,209000,203000,199000,199000,195001
"Pennsylvania",6,163500,165500,169900,169900,169900,169900,169900,169900,169900,169000,165000,163900,160000,164900,160000,159900,159900,159900,165000,159900,155000,159900,159900,157000,159000,159000,159500,159900,159900,159900,155000,150000,149900,149900,164900,160000,162500,167000,169900,171900,179500,179900,175000,169900,170000,169900,169000,173900,168000,169625,172000,179900,179999,180000,179000,175000,174999,175000,170000,169000,169000,169900,175000,179900,184900,180900,179900,175000,179900,174900,174500,169900,167000,165000,174900,177800,179900,184000,179000,174900,175900,174990
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,120000,119900,124150,128000,129900,134900,135000,134900,132900,129900,129900,127500,124900,125000,129900,132000,135000,138900,139000,139000,136000,135000,132900,130000,129000,129900,129900,134500,139900,142500,144500,144900,139900,139900,139900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,119900,117500,119900,124900,129900,135000,139425,139000,138900,135000,134000,128500,123500,124900,129000,130000,137000,139900,144900,144900,142000,139900,139500,136500,132500,129900,129900,136900,140000,149500,149900,149900,149900,149900,149900
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,172900,171900,169900,165000,162500,167500,173650,179000,179900,184900,184988,180000,179900,179000,175000,169900,174900,178853,179900,183500,185000,187900,188970,189900,189900,189000,187500,187900,187900,185402.5,189900,198000,2e+05,204900,205000,2e+05,2e+05,2e+05
"North Carolina",10,185000,187750,189000,189000,186900,185000,183900,179900,184800,178000,174863,169900,165900,165000,165000,165000,169500,169900,170000,169900,168907,167000,164900,164000,169900,169900,169900,169900,169000,166990,165900,165000,163900,164900,179900,179900,179900,184500,187500,189900,194900,199000,196000,195000,195500,195000,189900,194000,189000,189900,195000,198501,199900,199900,199900,199900,199500,199000,199000,195000,196070,199900,199900,205000,214900,215900,215361,215000,215000,215000,215000,212990,215900,218315,220000,225000,227900,228900,229000,228490,227900,229000
