"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,349000,345000,349000,359000,369000,368950,375000,379000,379000,379900,375000,373888,359000,359000,375000,385000,390000,399499.5,399000,399999,405000,410000,410000,399999,399000,399000,410000,419000,425000,429000,439000,439000,439000,439999,439000
"Texas",2,145900,147500,147500,147900,145000,145000,143000,138000,145000,145000,144950,139900,139900,139900,139000,137900,137900,137000,136995,137800,137000,138900,139800,139000,139000,139900,139900,139900,139900,139800,137000,139000,138000,139825,145000,149000,147250,152900,150000,151500,155000,155000,158000,159900,164800,169000,169900,165000,165000,166700,169000,172765,175000,169850,168925,194950,178000,175000,179900,180000,185000,190000,195000,198000,196000,194900,196950,199900,208000,209000,205000,209900,214900,217000,219500,220000,229000,229500,229997.5,236950,239000,238000
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,425000,425000,449000,499000,479000,479000,479000,490000,508000,5e+05,499800,530000,550000,549990,550000,640444,649000,595250,650000,599000,6e+05,6e+05,599000,625000,639000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,164900,165990,169000,169999,169900,169900,169900,169900,169900,170000,175000,176250,179000,178500,179000,179500,179000,175000,179000,179900,184000,185000,189500,189900,189900,194900,189900,189900,192500,189900,191000,199900,204000,209000,219900,224900,222900,225000,224900,228000,225000,229000,229500,229000,235000,238000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159400,154900,150000,164900,175000,179999,189000,189900,189000,184900,184900,180000,179900,172900,169900,179900,189000,189000,189900,190900,189900,188000,185000,183000,179900,178000,179900,189900,198000,199997,199994,2e+05,199900,199500,199900,199999
"Pennsylvania",6,147900,149900,157900,154900,154900,152375,150900,149000,149900,148500,144900,139900,139900,141000,139900,139900,140000,139900,139500,139871,138600,136000,136900,129900,129999,135000,134900,134900,135000,138000,134900,130000,129900,132000,135500,134900,135000,139750,144900,149000,150000,153000,149000,144500,144107.5,144900,144900,143000,139900,142000,149000,152000,154900,154900,149900,149000,149000,147000,146900,142900,139900,144900,149900,154900,154999,155000,152100,150000,149999,149997,149900,147500,144900,145000,149999,159900,159900,159900,157900,154900,155000,155950
"Ohio",7,124000,122000,123000,124900,122900,121999,119900,119900,119876,117000,114900,111900,109900,109900,109900,110000,114050,114500,111900,110000,109900,109900,108000,105999.5,108375,108000,109900,109900,109900,109900,109900,107500,104900,104900,110000,110000,109900,109900,110000,114900,114900,115000,114900,114900,114900,118000,114900,115000,115000,119400,119900,119900,119900,119900,118900,117900,115900,118000,115000,112900,114900,115900,116900,118000,117900,118500,119900,120000,119900,119500,119900,119000,119900,123900,124900,125900,128000,125900,125500,127500,129900,129900
"Michigan",8,114900,114900,112900,114900,114900,110000,109900,108000,109000,109000,1e+05,99900,99900,99900,1e+05,1e+05,109900,112000,112500,110000,112900,112500,110000,109900,109900,109900,111900,115000,119900,123900,124900,124900,124894,124900,128900,129900,129900,129900,131979,134000,139900,139900,139900,147000,150000,153000,149900,149900,150000,155000,159900,162500,164900,164900,164900,165000,167000,164500,159000,154250,154900,160000,164900,164900,169900,175000,170000,170000,169900,169900,174900,172500,169900,172000,173000,174900,179900,184900,185000,187500,189900,189900
"Georgia",9,148300,149900,149900,149900,149900,147900,148500,142500,139950,139000,134900,129900,129900,129900,129900,127900,127000,125000,124900,122250,124900,124900,122900,123833,124900,125000,124999,124900,126000,125000,124900,125000,129900,133375,139777,139900,145000,149900,149900,150000,155000,155550,155000,155000,159900,159900,163900,149900,149900,150000,154900,157500,149900,155000,156000,155000,157500,159000,159000,154975,159000,162900,169500,169900,167500,169900,165000,184900,186026,189062.5,189000,189000,186535,189250,186650,189900,195000,195000,196000,194900,195000,199900
"North Carolina",10,159000,156900,156945,155900,154000,153660,150960,146000,149725,145000,142900,139900,139000,139900,139900,139900,140000,143472,141900,140000,139900,141900,139900,139900,141900,139900,139500,139900,136900,135450,138000,139900,140000,144900,150000,156000,157900,159900,165000,169331,171949.5,179900,172000,169000,169000,169000,171000,168000,169000,162500,162000,169000,169900,160000,159500,159900,159900,157000,154945,154900,156000,159900,157894,159900,163000,164900,164900,165000,165000,167000,169000,169900,179900,180000,179000,180500,182250,184900,189000,185745.5,188000,192900
