"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399900,410000,419900,429000,458650,490000,495000,499000,499000,499000,499000,449990,499000,489000,494900,499900,519950,529900,545000,535900,531589.5,535000,545000,520000,519000,520000,527000,539990,565000,579000,579999,575000,590087,599000,599000,599900,595000,595000,599000,610000,625000,639000,650000,650000,650000,650000,659900
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149970,150000,155000,160000,162750,162750,164900,165986.5,174900,174900,174900,175000,175000,172500,169900,170000,169900,175000,179000,173000,173000,175000,175000,179000,180000,183000,183575,179000,180000,182900,185900,185500,189000,190000,195000,189900,185500,194500,189000,189500,193250,194500,199900,210000,223000,220000,220000,219000
"New York",3,459000,450000,469000,450000,449685.5,445000,439000,435000,440000,435000,429900,429000,425000,419000,429000,419900,419000,425000,425000,428000,424900,399999,420000,419000,405000,425000,415000,417694,409000,399900,399000,399900,405000,407500,429000,439000,445000,449999,449000,449990,450000,439000,449000,449999,449000,465000,479000,479000,479000,485000,498000,479000,479000,479000,479000,480000,489000,484900,489000,485000,489000,495000,495000,489000,495000,499999,499999,499000,499000,499000,489000,489000,499000,515000,529000,539888,539000,549000,520000,529000,539000,549000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,179000,176500,180000,183990,180000,182500,184990,186895,185990,194900,205980,239000,229000,199900,199900,199999,2e+05,205000,201990,214899,215000,219900,219992.5,217707.5,220220,221348,225000,223385,224000,219900,225000,225000,234990,239000,245000,250000,253600,259000,259900,259900,264990,260000,259900,269000,265000,279000,285000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,134900,129900,134900,142000,142650,144900,150000,155000,157000,155000,150000,149500,139900,139000,135000,142999,151855,169000,166000,168000,169500,159900,154900,150000,140000,144900,139900,149900,150000,155000,159900,159900,164350,165470,164350
"Pennsylvania",6,,,,,,,,,,,,,,,,,,,,,,,,125000,120000,119900,122000,124900,120000,124900,129900,125000,124500,124900,121999.5,120000,119900,119949.5,124000,125000,127000,128000,125000,125000,129900,125000,129900,129466,125000,125000,125000,125000,125000,125000,124994.5,125000,125000,129000,125000,125000,124900,125900,129900,129900,129900,129725,129000,125000,125000,124000,123400,119900,119000,115000,117500,116900,115000,119900,121700,119000,114900,114900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69999,73500,74900,75000,77500,79900,79900,79900,79900,79900,84000,79900,79000,79250,80000,79900,82000,80000,80000,79900,79900,79000,78500,75000,75000,75000,75000,78900,78900,79000,79900,79900,79900,79900,79900,79500,77900,77900,79000,79900,79900,82000,82500,80000,80000,79900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,95000,92000,89900,89000,89900,89250,89900,89900,89000,87750,89000,89900,94900,95000,95000,99825,104900,108950,109900,109000,110000,109900,114950,109900,106000,105000,109000,109450,109000,111500,109900,110000,115000,112000,114900,105000,104900,99547.5,105000,114900,108000,118916,109950,109900,110000,115000,118999,115000,114900,110000,110000,110000,119900,116000,119000,120000,119900,120000,119900
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137445,135900,139950,139900,137500,140000,140495,139000,139500,138950,135000,135000,135000,137700,142945,149900,146395,149900,148245,145000,135000,137990,139000,139000,139900,148888,149900,149900,149500,132900,153106.5,152813,155000,158750,155000,169900,155000,155000,169900,159900,149950,165000,175000,194900,175850
"North Carolina",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150200,150000,149700,149355,150000,154900,157700,158900,159900,164995,165000,161490,156900,159500,159500,159900,160636,160000,164500,164900,159900,160900,159900,159990,162900,164262,170000,164990,169900,159949.5,179000,179900,182012.5,185000,189900,189900,199950,2e+05,225000,197000,194900,199900,199000,195150,189900,204920,209450,209900
