"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408888,4e+05,395000,399900,415000,429900,439000,442925,440000,438000,429000,424990,415000,392900,4e+05,419900,429000,439000,450000,459000,449900,457900,457990,459000,455000,450000,449900,459000,470000,485000,489900,495000,495000,489000,489000,488500
"Texas",2,159000,159900,160000,164000,164800,164900,162250,163900,172500,169900,168000,164000,160490,160000,159990,160990,165000,169000,168000,164900,158737.5,158000,155000,155000,155990,157500,159000,159900,160000,164000,161550,159999,159900,160000,175000,175990,175000,179999,185000,189000,190000,194340,194000,192000,194000,195990,192000,194900,194475,199000,204500,212000,218000,215000,215000,219900,219900,219366,219025,225000,229000,235000,239990,245950,245000,246500,248935,249500,249900,249990,250000,255450,254900,245000,249990,250611.5,255000,257500,256900,254995,253000,256990
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312900,310000,325000,328600,319900,319000,299999,299000,294900,292992.5,299000,299000,299000,299000,319000,315000,311750,309900,305000,299500,299000,299000,299000,299000,295000,293500,299900,299999,3e+05,299900,299900,299000,289000,284900,284900,282500,280000,285000,289000,295000,299000,299900,299900,285000,280000,279900,276900
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214900,215000,210990,219500,219999,224310,220000,219600,225000,225000,225000,225000,225000,224900,228000,234990,234500,232500,236000,239000,239500,247500,249900,250000,255000,255000,257990,259990,265000,269900,269000,269000,268734,264990,269000,269900
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,156000,164900,170000,179900,185900,189900,189000,185000,180000,179900,175000,169900,169000,174900,185000,189900,199900,199900,199900,195000,190000,189900,186900,179900,179500,184900,197500,204900,209900,209900,204900,199000,198900,194900
"Pennsylvania",6,165000,169900,174900,174900,174900,172000,174900,171900,175000,169900,169900,169000,165387.5,169000,165000,165000,160000,162000,169900,164900,159900,162900,163000,159900,160000,159900,162500,164900,164997,161900,159900,155900,150000,150000,169900,168500,169000,169980.5,174900,175750,183900,184900,179900,175000,176837,174900,170000,179000,170000,174000,177900,184900,187900,187672,182900,179900,179900,179900,176900,173900,174900,175000,179900,185000,189900,189000,184900,179900,184900,179000,178000,173900,169900,169900,178900,179900,184900,189000,180000,179000,179900,179000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,122730.5,120000,124900,129900,132000,135000,139900,137900,134900,134500,131500,129500,125000,127000,129900,134900,139000,139900,139900,139900,139000,138500,134900,133500,129900,129900,129900,134900,139900,144900,145000,145000,142000,140000,139900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,116900,114500,115000,119900,129000,132475,135000,135000,134900,132900,129900,124900,119900,119900,125000,129900,134888,139875,139900,139900,139900,139500,134900,132500,129900,126900,126500,130000,139473.5,144900,147500,149000,148500,147500,145000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,169000,164900,169300,175000,179900,184000,188000,188000,184900,179990,179900,177500,172500,175000,179900,179900,185000,189000,189900,189900,189900,189900,188990,186990,187500,188000,185000,190000,199000,2e+05,206925,207900,202000,2e+05,2e+05
"North Carolina",10,189000,189900,189900,189900,189900,189000,187000,184900,188497.5,179900,175000,170600,169804,169000,169000,169000,169900,174900,174900,172490,169900,169900,167500,165000,171155,172030,174900,173900,169900,169900,169700,169000,165000,165000,182500,183208,184900,187900,189900,194900,198500,199900,199500,199000,199500,199500,194900,198500,190000,194900,199500,199900,204900,204900,204800,204000,2e+05,199985.5,199900,199900,199900,204000,204800,212000,219000,220000,220000,220000,219900,219900,219900,217900,219900,220000,225000,229500,230000,230000,230000,229900,229900,229900
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,279000,274900,279000,289000,299000,299950,299900,299900,299000,299000,299000,289900,285000,279900,285000,289900,299000,299900,299990,314000,299999,299900,299000,290000,279900,275000,279900,290000,299900,306000,309900,3e+05,299000,299900,295000
"Virginia",12,229000,229900,234900,235000,235000,235000,235000,231500,239500,234000,227000,219950,215000,215000,219000,217332,220000,224900,220000,219900,216970,214900,209950,2e+05,2e+05,204990,212900,219000,219990,220000,219000,214900,207950,209999,229000,225000,226950,229900,237000,247500,249900,249900,249500,245000,245000,240000,235950,235000,235000,237310,249000,259769.5,265000,268000,265000,264900,264900,259900,258000,249990,249899,258000,266442.5,275000,279900,280000,275000,275000,275000,275000,269999,269000,265000,259900,279000,289900,294900,293000,289000,284900,280000,279900
"Washington",13,249950,249950,259000,254900,250000,254500,256530,251500,259900,240000,234900,228000,219900,215000,214900,205000,208500,209900,209950,219900,217500,214950,214900,207000,204900,214900,219900,220000,224950,225000,225000,224000,219950,215085,245000,241950,240000,245000,249900,252200,264500,269000,270000,269900,270000,270000,260900,260000,255000,259900,269000,275000,279950,285000,286680,287000,286450,282500,270000,259000,265000,275000,280000,289900,295000,299000,295000,299000,297995,297000,294750,289900,286700,288000,290000,299900,309900,315000,319000,319000,318900,319900
"Massachusetts",14,279900,309900,309000,309000,308000,309000,309000,3e+05,319000,314903.5,312950,299900,299900,314900,309000,299900,299999,299900,299000,295000,299000,289900,279900,274900,275000,274900,280000,295000,299900,299900,299000,289900,289900,295000,334900,329900,329500,339000,349000,350000,359900,368900,359900,349900,350000,350000,349900,349000,339900,349900,359900,369900,374900,369900,365000,359900,359900,359900,359650,349900,349900,350000,359900,369900,379000,379900,375000,374000,375000,374900,373500,368000,359900,369900,389500,399000,399900,399900,399500,395000,395000,399000
"Indiana",15,,,,,,,,,,,,,,,,,,,,,,,119900,114900,114900,114900,114900,118900,119700,119000,118900,115000,114900,114000,124500,122000,120000,124900,128661.5,129900,130000,133900,130900,129900,129900,129900,126000,125000,124900,126900,130000,134900,139500,139900,139900,139500,137900,135000,134900,129900,130000,134900,138900,139900,139900,140050,139900,139100,139900,136900,135000,130000,129995,130000,135000,139900,143000,145000,145000,142500,141000,140000
"Arizona",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,225000,225000,229000,234570,237000,239825,239500,237990,237296.5,238900,239864,235000,234900,239900,245000,249900,250000,257500,257900,250000,256900,255900,259900,259990,259000,259900,259900,261850,267983,269000,269000,265000,264900,265000,265000
"Tennessee",17,149900,149900,149900,149900,149900,149900,149900,149900,159500,155000,152000,149900,144900,140000,140000,144500,147900,146900,145900,142500,139900,139900,136000,129900,128500,129500,129900,135000,134900,132900,135500,134900,124900,127900,149900,149000,149900,149900,154900,159000,159900,160000,160000,159900,159900,159900,157900,157000,154900,154900,159900,160000,164900,164900,164900,164500,162500,160000,159900,159900,159500,159900,159500,163999.5,170000,174110.5,172900,169900,169900,169650,169000,165000,164900,164900,166500,174500,178000,179600,179900,179900,179500,175900
