"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,1397,1450,1450,1475,1500,1450,1190,1175,1199,1200,1175,1195,1195,1200,1200,1200,1200,1250,1250,1195,1150,1150,1195,1200,1260,1250,1245,1250,1250,1286,1310,1309,1300,1295,1265,1299,1330,1295.5,1295,1250,1250,1250,1300,1336.5,1250,1390,1400,1350,1325,1380,1495,1495,1495,1525,1570,1600,1607,1620,1625,1665,1670,1678,1695,1700,1705,1732,1750,1750,1795,1795,1830,1855,1885,1857,1850,1845,1895,1799,1850,1795
"Texas",2,800,795,882.5,900,950,892.5,800,750,797,800,794,796,794,790,795,785,800,805,700,720,699,700,715,737,790,809,780.5,794,800,792,800,816,780,820,842,829,827,825,850,849,865,875,855,925,945,965,945,957,936,950,971,934.5,940,925,919,920,927,948,935,928,927,914,942.5,946.5,950,956.5,964,976,978,1040,1037,1049,1025,1061,1040,1030,1024,1010,1014.5,1040,989.5
"New York",3,,,,,,,,,,,,,,,,,,,,2200,2200,2300,2300,2300,2350,2400,2400,2450,2450,2495,2499,2500,2500,2500,2550,2500,2599,2595,2600,2645,2650,2595,2600,2650,2675,2600,2599,2550,2595,2595,2595,2600,2600,2200,2195,2200,2190,2180,2145,2100,2195,2200,2250,2300,2200,2150,2200,2200,2195,2150,2100,2100,2100,2125,2195,2200,2250,2250,2250,2300,2400
"Florida",4,,,,,,,,,,,,,1150,1150,1170,1100,1100,1050,1050,1100,1000,995,1000,975,995,1000,980,980,1000,1000,975,972,950,945,925,900,910,929,929,940,950,1050,1030,1050,1100,1100,1095,1035,1000,999,989,1035,1035,1050,1070,1100,1099,1050,1050,1045,1100,1129.5,1100,1165,1200,1300,1350,1300,1350,1307.5,1308.5,1339,1350,1368,1325,1319,1300,1280,1295,1300,1300
"Illinois",5,,1100,1150,1100,1100,1000,985,1125,1250,1250,1265,1150,1200,1200,1250,1259,1339,1295,1250,1285,1250,1204.5,1275,1295,1225,1185,1150,1200,1250,1250,1245,1295,1350,1315,1350,1328,1475,1389,1409,1450,1495,1497,1508,1500,1465,1500,1580,1550,1450,1400,1395,1385,1400,1550,1395,1595,1607,1585,1300,1429,1550,1372,1375,1395,1375,1350,1350,1495,1550,1650,1566,1500,1605,1450,1400,1400.5,1395,1390,1385,1375,1350
"Pennsylvania",6,,,,,,,900,895,900,940.5,915,945,895,895,895,875,835,800,825,812.5,820,850,845,850,890,900,930,912.5,900,900,875,869,876,895,850,830,860,873,895,971,940,895,850,835,825,850,860,835,826.5,850,850,930,940,950,925,900,895,875,875,875,880,913.5,975,975,935,925,941.5,905,900,950,925,975,975,985,1010,1030,995,1000,985,975,995
"Ohio",7,,,,,,,,,500,499.5,499,520,525,525,579,584,579,550,525,519,500,525,535,549,556.5,550,530,539,535,529,550,550,545,550,545,535,550,556.5,550,552.5,545,545,525,525,525,515,545,525,525,525,550,553,555,550,559,550,572,572,575,595,600,629,625,650,631.5,625,615,605,595,635,665,650,650,669,685,690,669,680,675,655,675
"Michigan",8,,,750,750,750,662.5,650,595,595,600,600,600,605,617,625,650,641.5,625,600,589,500,525,540,550,550,560,575,560,545,545,550,560,575,575,559,550,570,599,580,590,578,579,570,595,600,600,600,605,625,635,633.5,630,650,650,665,650,665,675,675,675,650,675,700,700,705,650,650,650,700,737,750,725,700,724,739.5,725,700,750,771,679.5,775
"Georgia",9,1000,975,1000,999.5,1000,997.5,900,825,881,900,900,848.5,895,885,875,850,850,845,850,875,765,755,765,755,799,775,775,792,790,799,830,795,805,800,800,790,775,770,770,790,785,809,805,855,895,855,900,950,929,927.5,929.5,925,959,936,914,950,924,925,950,950,965,965,970,1000,1027,1002.5,1029,1019,1015,1109,1115,1115,1108,1140,1126,1025,1078.5,1061,1095,1148.5,1064
"North Carolina",10,,,,,,,,,,,,,650,655,638,672,660,669,694,699.5,680,696,699,700,715,720,716,715,695,697,750,754,750,748,743,730,740,750,765,779.5,750,790,769,775,759.5,725,749,748,749,735,749,768.5,789,765,755,750,760,760,780,790,799,800,800,820,829,825,855,864.5,863.5,935,919,924.5,955,1025,975,990,992,1035,1015,1020,1000
