"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,2500,2550,2500,2500,2500,2500,2400,2380,2350,2400,2000,2050,2095,2100,2100,2050,1995,1950,1900,1895.5,1870,1850,1825,1850,1900,1850,1825,1850,1805,1800,1800,1800,1795,1750,1750,1750,1790,1750,1750,1795,1800,1750,1850,1850,1799,1850,1850,1800,1800,1800,1995,1995,2000,2000,2000,2000,2050,2095,2100,2100,2125,2200,2230,2295,2295,2300,2297,2295,2300,2300,2300,2379.5,2400,2400,2400,2425,2500,2400,2425,2400
"Texas",2,,1250,1250,1265,1250,1277.5,1250,1250,1250,1250,1225,1250,1250,1200,1200,1225,1250,1250,1200,1200,1195,1195,1195,1200,1200,1200,1225,1200,1200,1245,1245,1225,1200,1195,1225,1231,1250,1238,1250,1250,1280,1250,1295,1275,1275,1279,1295,1295,1290,1263,1270,1295,1335,1350,1350,1350,1350,1350,1345,1350,1350,1350,1380,1395,1400,1400,1400,1400,1395,1395,1400,1395,1400,1400,1450,1450,1450,1445,1450,1450,1425,1400
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2700,2700,2700,2700,2750,2750,2800,2800,2800,2899,2900,2895,2800,2800,2800,2800,2800,2850,2975,2999,2995,2950,2995,3000,3000
"Florida",4,,,1500,1500,1500,1595,1350,1300,1400,1400,1400,1450,1450,1499,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1450,1495,1500,1500,1500,1500,1500,1500,1495,1495,1495,1450,1405,1450,1495,1500,1500,1480,1545,1500,1550,1600,1600,1600,1600,1550,1525,1525,1600,1600,1600,1600,1600,1595,1550,1545,1500,1550,1600,1595,1600,1600,1650,1650,1650,1650,1675,1650,1690,1700,1750,1717,1700,1700,1662,1615,1650,1675
"Illinois",5,,,1595,1600,1550,1550,1595,1595,1600,1650,1650,1622.5,1600,1600,1645,1700,1750,1700,1695,1695,1650,1600,1550,1500,1550,1595,1650,1595,1599,1600,1600,1600,1600,1600,1544,1550,1525,1550,1600,1595,1650,1628,1697,1625,1600,1600,1600,1600,1595,1595,1600,1625,1734,1800,1800,1725,1750,1700,1600,1600,1599,1650,1695,1700,1795,1795,1800,1750,1729,1700,1745,1650,1600,1695,1675,1745,1800,1850,1822.5,1785,1750,1625
"Pennsylvania",6,,1395,1400,1497,1450,1350,1350,1375,1374,1350,1300,1300,1250,1250,1295,1350,1325,1300,1300,1300,1295,1250,1205,1250,1250,1275,1300,1350,1350,1350,1350,1300,1250,1250,1250,1200,1225,1295,1300,1350,1400,1395,1350,1300,1295,1250,1250,1250,1250,1230,1250,1275,1375,1375,1375,1350,1300,1295,1290,1295,1299,1300,1350,1400,1400,1400,1400,1380,1350,1300,1300,1295,1300,1300,1394,1400,1404.5,1400,1350,1350,1300,1295
"Ohio",7,,,1200,1150,1150,1200,1200,1200,1000,1000,1000,1000,895,895,875,950,995,950,975,950,950,925,920,895,935,925,942.5,850,850,859,850,895,875,875,900,850,850,850,885,895,895,900,875,895,985,995,900,1000,950,900,900,900,1000,1000,995,995,995,985,995,995,990,995,1028,1050,1085.5,1095,1050,1031,1000,1000,1050,1000,1010,1000,1095,1100,1075,1050,1095,1050,1000,995
"Michigan",8,,1200,1262.5,1250,1300,1300,1250,1250,1200,1200,1175,1150,1000,1000,1000,1050,1100,1050,1050,1095,1000,850,850,850,850,850,875,876.5,875,875,895,900,900,900,895,850,850,850,875,875,900,900,897,932.5,950,950,925,950,950,950,950,950,1000,1000,995,995,1000,1000,1000,1000,1000,980,1000,1000,1050,1100,1100,1100,1100,1100,1100,1100,1100,1050,1100,1150,1150,1100,1195,1150,1160,1150
"Georgia",9,,1012.5,1075,1100,1100,1100,1100,1100,1100,1000,1000,1050,1000,1000,1000,1050,1050,1050,1000,1000,1000,995,995,980,975,994,995,995,995,995,995,995,995,975,975,975,975,975,990,995,999,995,1000,1000,1000,995,990,995,995,995,995,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1050,1086,1100,1100,1100,1075,1050,1050,1075,1070,1095,1095,1100,1125,1150,1139,1150,1150,1150,1150
"North Carolina",10,,1000,995,1000,1025,1050,1050,1095,1095,1050,1045,1050,995,995,1000,1015,1050,1050,1000,1000,1000,995,995,995,995,995,1000,1000,1025,1025,1000,1000,995,999.5,999,995,995,1000,1000,1009.5,1050,1050,1050,1050,1045,1000,1000,1000,1000,1000,1000,1000,1050,1050,1050,1050,1025,1025,1025,1025,1045,1050,1095,1100,1100,1100,1095,1090,1075,1075,1077,1075,1095,1095,1100,1135,1130,1150,1150,1150,1150,1125
