"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,2450,2495,2500,2500,2595,2500,2550,2495,2475,2400,2495,2500,2350,2350,2395,2390,2350,2300,2200,2200,2200,2199,2200,2200,2200,2200,2200,2350,2325,2395,2395,2299,2350,2395,2300,2300,2300,2500,2500,2595,2595,2550,2550,2600,2595,2595,2600,2750,2792.5,2800,2899.5,2882.5,2900,2850,2800,2700,2750,2795,2800,2900,2900,3000,2850,2995,2950,2999,2900
"Texas",2,,,,,,,,,,,,,,2195,2200,2250,2200,2200,2100,2100,2000,1995,1995,1950,1995,2000,1995,1995,2000,2000,2000,1850,1895,1975,1895,1850,1950,2000,2000,1995,2000,2000,2000,2000,1995,2000,2095,1995,1995,1995,2000,2200,2295,2250,2250,2300,2200,2200,2200,2200,2200,2200,2300,2400,2495,2400,2400,2450,2495,2400,2397,2400,2400,2495,2450,2395,2445,2500,2447.5,2500,2400
"Florida",3,,,,,,,,,,,,,,,,3000,3000,2900,2950,3000,2950,2900,2900,2800,2700,3000,2900,2950,3100,3200,3200,3000,2950,2900,2850,2850,2850,2900,2800,2800,2695,2875,2800,2995,2992.5,3000,2950,2900,2900,2800,2800,3000,3000,3200,2850,2850,2800,2800,2800,2800,2750,2750,2850,2800,2800,2797,2800,2700,2750,2850,2900,2900,2800,2900,2895,2800,2850,2800,2949.5,2950,3000
"Pennsylvania",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1900,1800,1800,1800,1800,1525,1350,1300,1500,1500,1550,1700,1700,1800,1900,1972.5,1800,1600,1525,1500,1650,1650,1897.5,1885,1850,2000,2000,2000,2000,1850,1850,1800,1950,1800,1800,1850,1800,1800,1900,1750,1600,1450,1500,1372.5
"Georgia",5,,,,,,,,,,,,,2000,1900,1950,2000,1997.5,2000,2000,1950,1950,1900,1900,1800,1800,1900,1850,1875,1900,1850,1800,1700,1700,1695,1600,1600,1600,1625,1700,1650,1675,1650,1600,1687.5,1650,1575,1600,1550,1522.5,1550,1600,1700,1700,1700,1700,1750,1762.5,1750,1750,1750,1750,1754.5,1750,1800,1895,1895,1875,1831.5,1833,1800,1769.5,1800,1850,1875,1900,1900,1900,1895,1897.5,1970,1890
"North Carolina",6,1995,2200,2472.5,2300,2200,2200,2200,2000,2000,2197.5,2200,2000,1950,1825,1862.5,1900,1995,1925,1900,1900,1800,1765,1795,1897.5,1795,1797,1900,1945,1862.5,1872.5,1900,1895,1750,1750,1712.5,1795,1795,1800,1762.5,1797,1799,1795,1800,1795,1725,1700,1700,1653.5,1695,1695,1695,1750,1800,1850,1800,1795,1795,1725,1750,1800,1850,1822.5,1835,1750,1755,1755,1700,1700,1750,1795,1800,1715,1795,1900,1900,1850,1795,1900,1850,1800,1800
"Virginia",7,,,,,,,,,,,,,2150,2200,2150,2200,2290,2295,2300,2200,2200,2200,2200,2250,2225,2225,2344.5,2397.5,2395,2400,2344.5,2200,2200,2195,2200,2195,2195,2200,2295,2300,2300,2377.5,2397.5,2300,2250,2200,2250,2200,2200,2200,2200,2399.5,2500,2500,2400,2400,2300,2300,2250,2200,2175,2162.5,2255,2395,2495,2495,2395,2300,2295,2300,2300,2250,2200,2250,2250,2300,2300,2397.5,2400,2300,2395
"Washington",8,,,,,,,,,,,,,,,1700,1800,1892.5,1700,1750,1750,1750,1700,1700,1695,1550,1500,1595,1550,1599.5,1675,1695,1650,1595,1500,1550,1595,1600,1650,1700,1700,1680,1750,1700,1612.5,1600,1695,1747.5,1695,1650,1650,1650,1850,1837.5,1850,1895,1800,1812.5,1812.5,1797.5,1795,1795,1840,1900,1895,1895,1895,1995,1995,1950,1800,1750,1895,1800,1797.5,1895,1700,1995,2095,2150,2150,1995
"Massachusetts",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3800,3800,3800,3750,3750,3799,3750,3600,3600,3600,3525,3800,4200,4000,4000,4100,4000,3900,3800,3750,3750,3800,3700,3962.5,4200,4200,4050,4000,4000,3800,3800,3800,3600,3500,3650,4000,4400,4400,4350,4200,4200,4000,4000,4000,4000,3800
"Arizona",10,,2850,2850,2700,2775,2500,2499.5,2500,2500,2499.5,2397.5,2200,2000,1950,2000,1995,1975,1850,1850,1797.5,1795,1795,1795,1750,1785,1800,1812.5,1895,1850,1800,1800,1795,1795,1750,1700,1745,1695,1795,1900,1849,1795,1750,1675,1675,1650,1600,1610,1600,1600,1600,1600,1850,1875,1800,1850,1850,1850,1875,1895,1912.5,1975,2000,2000,2000,2095,1995,1995,2000,2000,1995,1950,2000,2100,2099,2150,1978,1995,2000,1995,1995,1997
"Tennessee",11,,,,,,,,,,,,,,1700,1782.5,1800,1947.5,1895,2000,1875,1700,1950,1995,1925,1675,1937.5,2000,1950,1937.5,1950,1800,1600,1575,1597.5,1500,1500,1400,1497.5,1600,1500,1295,1150,1350,1400,1525,1495,1450,1495,1350,1400,1395,1400,1425,1300,1375,1300,1497.5,1512.5,1500,1500,1700,1650,1500,1545,1597.5,1650,1512.5,1495,1500,1600,1650,1400,1397.5,1400,1500,1447.5,1695,1700,1795,1595,1625
"Missouri",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.5,972.5,995,997.5,1175,1125,1047.5,937.5,1000,900,905,925,900,885,942.5,975,1000,995,995,985,900,900,900,895,825,850,850,850,850,850,860,875,1025,1150,1100,1150,950,950,995,950,900,900,900,895,850,895,895,850,920,855,975,1150,1145,1075
"Maryland",13,,,,,,,,,,,,,2600,2600,2787.5,2950,3000,2900,2850,2800,2687.5,2800,2700,2522,2522,2590,2400,2450,2700,2600,2590,2600,2500,2600,2550,2550,2500,2500,2562.5,2500,2500,2550,2600,2650,2600,2595,2600,2500,2400,2350,2400,2800,2700,2650,2700,2650,2500,2600,2600,2500,2625,2650,2725,2750,2749,2725,2800,2600,2595,2600,2600,2650,2650,2700,2800,2895,2900,2800,2700,2750,2500
"Wisconsin",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,865,850,857.5,865,875,895,850,842.5,800,865,950,850,850,875,875,897.5,912.5,930,925,895,875,919,950,949,870,925,950,930,975,975,995,980,900,995
"Minnesota",15,,,,,,,,,,,,,,,,,,,,,1635,1700,1617,1599,1500,1685,1697.5,1695,1850,1972.5,1800,1785,1695,1697.5,1800,1737.5,1750,1650,1695,1995,1800,1875,1700,1717.5,1985,2000,1875,1925,1875,1800,1795,1875,1900,1800,1900,1995,1895,1900,2000,1995,1772.5,2000,1995,1925,1900,1800,1897.5,1995,1995,2025,1997.5,1895,2000,1995,1995,1900,2000,1812.5,2000,1985,1795
"Colorado",16,,,,,,,,,,,,,,,,1700,1785,1700,1795,1790,1650,1695,1650,1650,1650,1795,1950,1850,1895,1800,1795,1750,1750,1850,1800,1935,1900,1895,1900,1850,1795,1700,1750,1750,1700,1995,1870,1925,1895,1850,1900,1895,1950,1900,1900,1950,1900,1950,1975,1950,2095,2197.5,2150,2100,2100,2095,2150,2085,1995,1995,2000,2225,2200,2149,2047.5,2100,2095,2200,2425,2050,2100
"South Carolina",17,,,,,,,,,,,,,,,,,,,,,,,,1825,1800,1800,1900,1800,1800,1700,1797.5,1800,1800,1737.5,1725,1800,1800,1675,1850,1700,1800,1772.5,1750,1799.5,1797.5,1750,1900,1775,1700,1775,1795,1850,1850,1850,1837.5,1700,1700,1695,1772.5,1750,1795,1737.5,1795,1787.5,1800,1800,1795,1750,1775,1795,1797.5,1895,1972.5,1825,1850,1850,1800,1950,1800,1800,1950
"Connecticut",18,,,,,,,,,,,,,1200,1200,1300,1400,1400,1400,1400,1300,1300,1300,1300,1350,1300,1375,1400,1500,1650,1550,1450,1350,1250,1200,1237.5,1200,1250,1300,1300,1300,1350,1385,1300,1250,1200,1200,1200,1200,1200,1200,1212.5,1200,1250,1300,1262.5,1250,1250,1250,1200,1300,1300,1300,1300,1300,1300,1300,1350,1250,1300,1275,1250,1250,1200,1262.5,1300,1300,1300,1399,1300,1250,1300
"Utah",19,,,,,,,,,,,,,,,,,,1595,1500,1400,1362.5,1347.5,1295,1295,1400,1397.5,1600,1400,1350,1400,1495,1495,1500,1400,1500,1450,1495,1495,1525,1550,1550,1550,1550,1550,1500,1485,1450,1412.5,1395,1400,1400,1500,1550,1595,1575,1595,1550,1530,1495,1450,1495,1595,1550,1495,1475,1567.5,1612.5,1550,1595,1595,1500,1562,1595,1650,1495,1695,1662.5,1695,1695,1695,1650
"Nevada",20,,,,,,1825,1947.5,1900,2047.5,2000,2000,1772.5,1795,1795,1797.5,1700,1800,1798,1800,1795,1850,1950,1900,1895,1795,1800,1712.5,1695,1725,1790,1750,1795,1700,1697.5,1695,1695,1695,1700,1700,1700,1700,1750,1775,1795,1795,1720,1700,1700,1750,1750,1750,1795,1795,1795,1800,1800,1795,1795,1800,1795,1795,1797,1807.5,1850,1995,1895,1895,1900,1850,1827.5,1850,1895,1900,1900,1900,1935,2000,1895,1995,1920,1950
"Idaho",21,,,,,,,,,,,,,,,,,,,,,,,,675,650,642.5,650,650,650,675,725,725,735,675,675,695,715,725,695,725,695,725,745,725,725,725,725,750,750,725,745,725,799.5,762.5,795,850,885,950,950,897.5,795,847.5,850,895,975,872.5,810,805,812.5,800,800,800,795,825,815,815,825,850,862.5,825,872.5
"Hawaii",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2500,2600,2725,2650,2300,2300,2450,2500,2500,2700,3000,3000,2750,2700,3000,2800,2700,2800,2800,2950,2600,2500,2500,2800,2995,2500,2664,2664,2700,3000,2700
