"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,2180,2085,2097.5,2000,2000,2150,2200,2150,2149.5,2100,2100,1975,1950,1900,1950,1950,1950,1900,1895,1850,1850,1850,1800,1800,1800,1800,1650,1600,1700,1695,1699,1750,1700,1700,1650,1675,1695,1650,1650,1650,1623,1600,1550,1750,1995,1970,2000,2000,1995,1950,1950,2050,2100,2100,2150,2200,2200,2195,2200,2200,2200,2200,2295,2299,2300,2350,2395,2395,2395,2400,2400,2400,2425,2450,2400,2350,2395,2350,2350,2400,2395
"Texas",2,1225,1250,1300,1295,1275,1200,1200,1200,1250,1200,1200,1200,1175,1175,1200,1150,1180,1150,1095,1095,1050,1050,1059.5,1050,1175,1100,925,880,972,895,895,970,953.5,1000,995,945,950,975,938,950,995,1011,1012,1095.5,1216,1230,1240,1200,1200,1200,1200,1250,1250,1271.5,1270,1250,1250,1220,1195,1200,1250,1280,1350,1345,1325,1345,1300,1300,1300,1300,1300,1350,1350,1350,1319.5,1300,1300,1300,1300,1265,1275
"New York",3,,,,,,,,,,,,,2295,2600,2650,2700,2700,2800,2895,2850,2850,2650,2500,2400,2595,2500,2550,2650,2700,2700,2750,2788,2828,2800,2900,2895,2900,2895,2900,2900,2800,2700,2795,2800,2950,3000,3000,3050,3050,3000,3000,3050,3150,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3050,3100,3100,3100,3100,3015,3000,3000,3000,3000,3000,3000,3000,2990,3000,3000,2950,2995
"Florida",4,,,,,,,,,,,,,1450,1400,1400,1400,1400,1399,1400,1400,1400,1400,1400,1375,1400,1400,1399,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1500,1500,1500,1600,1600,1600,1600,1550,1500,1495,1525,1550,1595,1600,1600,1575,1550,1550,1595,1600,1600,1600,1700,1700,1750,1800,1750,1770,1800,1800,1800,1800,1800,1750,1700,1700,1600,1600,1650,1650
"Illinois",5,,1350,1350,1350,1395,1382.5,1375,1475,1475,1500,1520,1450,1450,1500,1546,1525,1550,1575,1575,1557,1550,1500,1500,1550,1550,1590,1500,1500,1550,1545,1552,1568.5,1599,1550,1550,1550,1550,1550,1540,1539.5,1549,1555,1560,1595,1600,1600,1600,1595,1575,1550,1563.5,1650,1650,1650,1650,1650,1650,1550,1630,1600,1600,1650,1625,1620,1650,1650,1650,1625,1600,1600,1600,1600,1650,1650,1675,1650,1650,1650,1638.5,1600,1630.5
"Pennsylvania",6,,1350,1295,1300,1400,1350,1450,1350,1450,1400,1350,1295,1250,1350,1425,1400,1375,1350,1375,1350,1295,1297,1300,1250,1300,1300,1350,1400,1350,1350,1300,1250,1200,1200,1175,1175,1200,1250,1280,1295,1250,1200,1175,1200,1300,1295,1295,1250,1250,1275,1300,1449.5,1450,1385,1325,1350,1350,1300,1300,1325,1350,1400,1495,1500,1495,1495,1450,1400,1395,1350,1350,1350,1350,1400,1495,1495,1450,1400,1375,1330,1300
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,999,1050,1000,1022,1100,1100,1150,1095,1150,1150,1100,1000,1022
"Georgia",8,1100,1100,1100,1150,1195,1125,1095,1100,1100,1100,1175,1100,1150,1100,1100,1100,1100,1100,1100,1095,1050,1050,1050,1000,1015,995,950,1000,1000,1000,1000,1000,1000,1000,1000,1000,1020,1079,1100,1050,1025,1000,985,1000,1050,1050,1050,1050,1050,1050,1095,1095,1075,1095,1100,1100,1100,1100,1090,1095,1095,1100,1150,1175,1200,1200,1195,1200,1200,1250,1200,1200,1200,1200,1200,1240,1200,1225,1250,1275,1250
"North Carolina",9,900,925,950,950,937.5,925,950,950,950,950,975,895,895,900,900,900,900,900,895,900,895,885,878.5,895,895,895,895,900,900,900,900,900,900,900,875,875,895,895,895,895,895,895,888.5,900,950,975,950,950,950,950,950,975,975,975,975,950,950,950,950,990,950,950,950,925,925,950,950,900,925,950,915,950,995,999,1000,999.5,1000,1050,1050,1000,1000
"New Jersey",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1600,1600,1700,1750,1725,1750,1750,1750,1750,1850,1850,1850,1800,1800,1775,1750,1750,1750,1800,1850,1850,1900,1900,1900,1850,1800,1775,1800,1800,1850,1850,1850,1850,1800,1850,1850,1800,1800,1800
