"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,1630,1550,1575,1500,1585,1550,1547.5,1500,1475,1439,1418.5,1245,1225,1250,1250,1250,1250,1250,1275,1275,1250,1250,1200,1250,1275,1275,1275,1275,1220,1195,1177,1175,1195,1195,1178,1195,1200,1395,1445,1460,1425,1450,1431,1450,1400,1375,1495,1535,1475,1450,1550,1650,1650,1675,1695,1700,1750,1775,1795,1795,1825,1839,1850,1865,1890,1895,1915,1920,1916,1959,1965,2000,2025,2069,2066,2066,2045,2115,1995,2057,1981
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,942,900,945,865,800,795,795,795,815,800,800,799,875,915,900,929,950,935,1048,1039,1052,1025,1121,1075,1063,1100,1099,1105,1095,1089,1085,1099,1100,1100,1100,1100,1095,1115,1109,1125,1115,1127,1136.5,1129,1195,1180,1195,1185,1223,1209,1209,1200,1189,1182,1207,1150
"New York",3,,,,,,,,,,,,,,,,,,,,2200,2200,2400,2500,2550,2595,2600,2625,2650,2700,2700,2710,2700,2700,2700,2700,2680,2750,2700,2675,2700,2800,2800,2800,2850,2875,2775,2750,2700,2725,2795,2795,2800,2900,2400,2395,2400,2395,2383,2350,2350,2395,2400,2450,2500,2450,2400,2450,2400,2400,2375,2300,2300,2325,2395,2400,2450,2495,2500,2500,2500,2535
"Florida",4,,,,,,,,,,,,,,,1200,1150,1050,1050,1029,1050,1000,1000,1000,1000,1050,1100,1050,1050,1050,1050,1050,1050,1000,1000,1000,1000,1090,999,962.5,964,974,1030,1069.5,1175,1250,1300,1295,1259,1240,1200,1200,1219,1199,1200,1200,1200,1209,1200,1200,1185,1231.5,1250,1200,1210,1209,1300,1325,1309,1345,1364,1369,1400,1428,1467,1435,1443,1420,1400,1400,1450,1450
"Illinois",5,,1117.5,1300,1295,1150,1150,1175,1295,1395.5,1399,1400,1300,1280,1245,1275,1295,1400,1341,1295,1300,1295,1350,1390,1295,1250,1295,1350,1450,1500,1500,1500,1415,1449.5,1441.5,1450,1470,1529,1445,1410,1500,1551,1550,1550,1535,1500,1504,1576,1516,1464,1475,1495,1500,1555,1645,1500,1650,1634,1575,1373,1437,1600,1500,1465,1500,1500,1499,1450,1580,1600,1680,1581,1500,1605,1475,1450,1485,1475,1475,1435,1405,1372
"Pennsylvania",6,800,825,850,895,850,850,850,829,809.5,850,850,800,825,850,850,862.5,850,850,885,850,850,825,820,875,875,875,850,875,850,875,850,845,800,800,800,825,850,950,995,1075,1050,1000,980,950,950,975,995,950,950,950,1000,1099,1050,1050,1035,995,995,1000,1000,1000,1015,1085,1110,1120,1100,1095,1050,1045,1000,1105,1075,1150,1150,1150,1200,1200,1150,1137,1100,1075,1095
"Ohio",7,,,,,,,,750,775,800,750,650,625,600,650,600,600,595,595,585,649,649,585,600,630,600,599,600,599,585,580,595,600,599,585,575,575,600,630,649,649,629,610,595,600,600,625,600,615,625,650,639,625,639,650,650,650,685,695,699,735,755,765,789,750,749,735,725,720,799,800,794.5,790,805,840,844,800,815,800,815,800
"Michigan",8,,,,,,,,,,,,700,668,667.5,692.5,675,662.5,650,675,621,615,600,600,639,641,649.5,640,649.5,614.5,625,600,620,625,625,600,600,645,690,655,665,660,649,635,695,700,700,715,725,749,750,750,775,760,750,795,782.5,780,785,785,795,770,800,840,846,874,760,750,795,845,895,875,860,840,850,863,855,818,900,895,850,895
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1012,1038,1000,1015,995,994,999,995,1000,1000,1014,1036.5,1035,1045,1075,1100,1075,1100,1095,1065,1210,1209,1211,1198,1225,1221,1112,1185,1171,1185,1234.5,1154
"North Carolina",10,575,600,612.5,650,600,600,612.5,625,600,597.5,695,675,695,700,667.5,660,675,675,704,700,691,650,650,650,700,745.5,745,745,715,675,687.5,695,695,695,650,695,695,765,802,820,848.5,848,825,800,799,770,800,800,800,799,809,835,850,841,850,834.5,842,855,875,875,875,892,900,902,913,910,935,950,948.5,1039,1015,1029,1050,1125,1085,1109,1110,1130,1115,1144,1090
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,1600,1560,1600,1600,1600,1600,1600,1600,1575,1620,1650,1696.5,1800,1795,1750,1750,1725,1750,1650,1700,1700
"Virginia",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1459,1520,1557.5,1550,1550,1500,1430,1430,1394.5,1374,1440,1399,1385,1390,1399,1399,1400,1399,1375,1399,1381,1375,1380,1410,1410,1388,1329,1385,1350,1345,1326
"Washington",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1205,1295,1315,1345,1310,1375,1305,1375,1350,1350,1413,1410,1419.5,1415,1450,1450,1485,1495,1462,1410,1480,1492.5,1495,1552.5,1549,1575,1573,1589,1510,1572.5,1525
"Massachusetts",14,,,,,,,,,,,,,,,,,1742,1800,1800,1800,1714,1740,1750,1895,1895,1850,1840,1860,1835,1850,1816,1895,1800,1900,1900,2000,2050,1900,1850,1900,1900,2000,2029.5,2095,2025,2050,2000,2050,2100,2100,2185,2200,2200,2250,2200,2150,2100,2100,2100,2250,2295,2295,2300,2300,2300,2300,2300,2250,2200,2200,2295,2400,2450,2437,2400,2400,2495,2400,2400,2395,2300
