"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,1595,1595,1600,1450,1495,1500,1550,1575,1560,1549.5,1550,1500,1475,1400,1400,1419.5,1425,1475,1456,1450,1475,1465,1500,1525,1495,1469.5,1450,1425,1452,1495,1480,1495,1485,1495,1499,1600,1600,1500,1635,1650,1600,1595,1625,1750,1750,1755,1795,1805,1846,1850,1850,1852,1895,1895,1912,1927,1950,1955,1995,2000,2000,2000,2000,2065,2095,2110,2100,2100,2095,2138,2045,2100,2050
"Texas",2,,975,995,995,995,1050,975,950,900,948.5,950,916,900,919,925,925,925,925,902,825,829,800,800,819,844,899,923,895,900,906,900,910,930,925,931,950,998,950,972,966,975,980,1010,975,1075,1095,1112,1100,1140,1090,1085,1101,1100,1119,1100,1100,1100,1100,1109,1100,1100,1105,1100,1150,1145,1150,1150,1150,1155,1150,1200,1190,1200,1195,1228,1215,1210,1200,1197,1195,1205,1163
"New York",3,,,1900,2100,2000,2200,2000,1950,1900,2102,2000,2200,2000,1995,2325,2450,2475,2350,2400,2495,2395,2375,2400,2400,2400,2499.5,2500,2550,2600,2611,2650,2695,2700,2700,2700,2695,2645,2708,2700,2750,2800,2815,2795,2795,2800,2850,2750,2750,2700,2700,2750,2750,2800,2895,2465,2415,2450,2400,2400,2400,2400,2415,2450,2500,2500,2500,2499,2500,2500,2488,2400,2400,2400,2400,2406,2495,2500,2500,2510,2500,2550,2600
"Florida",4,,,,,,,,,,,,,,1395,1390,1399,1350,1325,1300,1300,1300,1300,1250,1275,1250,1250,1250,1250,1250,1275,1250,1250,1200,1200,1200,1195,1130,1150,1185,1200,1200,1215,1325,1300,1350,1400,1400,1400,1400,1350,1300,1300,1350,1350,1375,1375,1400,1395,1350,1350,1350,1400,1400,1399,1435,1450,1550,1600,1550,1595,1595,1595,1600,1605,1625,1595,1550,1530,1500,1500,1501,1550
"Illinois",5,1550,1300,1295,1295,1292,1295,1250.5,1251,1295,1366,1375,1400,1300,1315,1300,1350,1375,1404,1380,1350,1375,1350,1325.5,1350,1350,1341,1325,1305,1350,1350,1374,1395,1400,1432,1395,1400,1395,1500,1455,1475,1500,1535,1548,1550,1545,1500,1500,1550,1500,1475,1489,1495,1520,1561,1626,1540,1626,1615.5,1550,1450,1495,1599,1502,1500,1550,1545,1545,1500,1580,1595,1643,1565,1525,1600,1517,1505,1549,1525,1510,1500,1495,1465
"Pennsylvania",6,,,1150,1175,1200,1250,1200,1200,1041,1050,1080,1050,1007,1000,1025,1100,1150,1095,1050,1050,1005,980,980,995,1000,1065,1095,1125,1150,1140,1110,1100,1059,1010,1025,1000,995,1045,1062,1100,1150,1135,1100,1046,1075,1010,1025,1050,1020,1025,1050,1098,1200,1200,1180,1150,1100,1100,1100,1100,1100,1100,1175,1200,1200,1200,1200,1175,1150,1125,1200,1150,1200,1200,1200,1250,1250,1200,1200,1190,1120,1150
"Ohio",7,,,,,,,,,,669.5,650,650,648.5,639.5,639.5,699,699,695,685,669,675,639,649,649,667,675,675,649,640,630,630,650,650,650,652,649,635,650,675,660,670,650,650,648.5,639,650,625,669,650,650,650,675,675,675,625,639,695,699,705,715,710,750,769,765,800,775,771,755,750,750,810,819,800,800,830,850,850,825,845,829.5,830,820
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,900,905,955,950,990,859,865,900,945,975,970,950,905,925,950,935,910,995,1000,950,1000
"Georgia",9,,1050,1075,1095,1100,1100,1100,1050,950,920,950,1000,929,975,975,975,975,975,950,940,950,850,825,850,830,875,865,855,875,855,866,895,875,875,867,856,850,875,890,895,897,905,920,915,970,975,950,995,1018,1000,1000,1025,1000,1000,1000,1000,1000,1000,1015,1000,1010,1029,1030,1065,1095,1106,1100,1100,1100,1100,1200,1200,1200,1195,1200,1205,1125,1175,1170,1185,1230,1160.5
"North Carolina",10,,,875,895,900,895,895,895,895,895,897,895,800,825,839,825,800,800,800,800,800,787,790,790,799,805,815,810,815,810,809,840,837,840,825,806,800,825,850,850,862,859,860,845,850,850,850,850,850,850,850,850,880,895,879,875,869,875,880,895,895,889,900,900,900,905,910,928,925,925,1001,989,999,1021,1095,1058,1085,1085,1105,1094.5,1105,1065
