"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,2150,2175,2200,2200,2199,2100,2000,1950,1950,1895,1875,1850,1832.5,1880,1840,1800,1850,1800,1799,1800,1795,1775,1745,1750,1775,1795,1795,1795,1800,1850,1795,1850,1850,1795,1850,1850,1800,1800,1800,1995,1998,2000,2000,2000,2000,2000,2000,2000,2050,2095,2150,2199,2250,2250,2250,2250,2250,2300,2295,2295,2300,2380,2350,2395,2395,2400,2395,2395,2360
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.5,1025,1075,1075,1169,1175,1275,1200,1275,1275,1250,1250,1250,1250,1250,1275,1300,1350,1375,1395,1395,1375,1350,1375,1375,1375,1395,1400,1404.5,1450,1475,1450,1450,1425,1400,1420,1400,1400,1400,1450,1450,1425,1450,1450,1450,1400,1400
"New York",3,,,,,,,,,,,,,,,,,,3500,3200,2950,2750,2500,2800,3000,3100,3000,2975,2900,2900,2700,2700,2600,2600,2648,2650,2695,2600,2600,2600,2700,3000,3200,3075,3100,3000,2800,2795,2900,2995,2928,2800,2800,3000,3000,2900,2850,2750,2700,2700,2750,2975,3000,3000,3295,3000,3000,3300,3300,3200,3139.5,3200,3379,3500,3400,3575,3750,3770,3295.5,3000,2950,2950,2968.5
"Florida",4,,,,,,,,,,,,,,1400,1400,1450,1450,1500,1500,1500,1500,1450,1450,1400,1395,1400,1500,1490,1450,1500,1495,1495,1450,1450,1450,1400,1400,1450,1475,1500,1500,1500,1575,1549,1599,1600,1650,1650,1600,1575,1525,1500,1600,1600,1625,1600,1600,1595,1559,1550,1500,1550,1585,1595,1600,1600,1600,1600,1600,1600,1600,1600,1650,1650,1700,1700,1650,1650,1600,1600,1600,1600
"Illinois",5,,1600,1600,1600,1600,1650,1650,1600,1590,1600,1600,1647.5,1552.5,1500,1500,1545,1568,1600,1600,1585,1565,1500,1500,1490,1475,1495,1500,1495,1500,1525,1507,1525,1475,1450,1450,1456,1455,1440,1475,1475,1500,1500,1518.5,1550,1505,1500,1500,1525,1500,1500,1500,1499,1550,1575,1595,1589,1590,1575,1545,1500,1525,1549,1550,1589,1595,1595,1595,1599,1568,1545.5,1550,1525,1500,1500,1500,1525,1550,1549,1550,1550,1500,1500
"Pennsylvania",6,,1400,1400,1450,1400,1400,1400,1400,1400,1375,1350,1350,1295,1250,1232.5,1292.5,1275,1300,1300,1250,1250,1200,1200,1200,1200,1200,1200,1244,1250,1250,1270,1250,1200,1200,1200,1200,1200,1200,1250,1250,1300,1300,1300,1300,1275,1250,1200,1200,1200,1200,1200,1200,1300,1317.5,1300,1295,1250,1250,1250,1200,1200,1240.5,1275,1300,1300,1325,1325,1300,1250,1250,1250,1250,1250,1250,1295,1300,1300,1300,1295,1275,1250,1250
"Ohio",7,,,,,,,,,,,,,,850,850,975,1000,995,1000,995,975,945,900,880,950,950,925,850,850,875,850,875,851.5,875,900,850,809,800,850,850,895,875,875,895,950,975,900,999,925,900,900,900,1000,995,975,995,995,995,975,975,969,995,1007.5,1050,1050,1075,1000,1000,1000,1000,1005,1000,1000,1000,1095,1100,1059,1050,1100,1050,975,990
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,775,795,800,800,800,800,800,800,800,815,825,825,800,800,800,800,825,825,850,850,850,850,850,850,850,850,850,850,850,850,875,875,875,895,900,900,900,899,875,875,900,900,900,900,900,900,900,949,950,920,925,900,950,975,975,950,1000,995,950,1000
"Georgia",9,1062,1162.5,1200,1200,1200,1200,1200,1200,1200,1200,1195,1200,1100,1100,1100,1150,1150,1150,1100,1100,1100,1100,1050,1050,1000,1000,1050,1025,1050,1050,1050,1050,1050,1000,1000,1000,1000,975,1000,1000,1050,1050,1050,1050,1050,1050,1050,1075,1050,1050,1050,1050,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1175,1153.5,1150,1125,1100,1100,1125,1125,1150,1195,1200,1200,1200,1200,1200,1200,1200
"North Carolina",10,,1100,1050,1100,1182.5,1199,1195,1195,1195,1195,1150,1200,1095,1000,1000,1050,1075,1075,1075,1050,1050,1046,1000,1000,1000,1050,1050,1075,1095,1095,1095,1050,1000,1000,1000,1000,1000,995,1000,1050,1100,1100,1100,1100,1099,1095,1075,1050,1050,1050,1095,1095,1117.5,1100,1100,1121,1100,1100,1100,1100,1100,1125,1150,1195,1175,1175,1175,1150,1150,1150,1140,1136,1145,1149.5,1175,1200,1200,1200,1200,1200,1200,1200
