"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,995,947.5,950,995,950,1012.5,1037.5,1025,950,900,900,940.5,995,1050,1050,1070,1060,1050,1079,1100,1070,1075,1075,1075,1110,1195,1199,1195,1125,1120,1110,1140,1130,975,1100,1150,1108,1083,1098,1195,1195,1222.5,1245,1293.5,1324,1375,1395,1398,1380,1397,1438,1395,1480,1480,1500,1509,1500,1495,1500,1645,1628,1665,1683,1695,1649,1777,1550,1600,1545
"Texas",2,,,,,,,,,,,,,,,,,,,,749,685,649,695,651,645,725,664,700,710,675,642.5,665,635,700,700,605,684,662.5,700,690,704.5,668,750,775,775,765,799,867,850,865,875,825,890,900,909,881,877.5,900,876,887.5,850,850,875,805,850,850,840,852.5,875,955,925,931,940,950,945,940,925,915,885,925,900
"New York",3,1700,1750,1800,1800,1895,1937.5,1937.5,1950,2025,2000,2100,2100,1995,2095,2075,2100,2085,2135,2191,2189.5,2125,2100,2050,2050,2100,2100,2116.5,2150,2150,2150,2171,2150,2200,2199,2195,2150,2195,2195,2195,2200,2200,2200,2200,2250,2250,2250,2250,2225,2250,2250,2250,2295,2295,2200,2150,2130,2188.5,2175,2130,2150,2175,2150,2200,2200,2195,2125,2199,2200,2195,2150,2100,2100,2100,2100,2148,2150,2100,2150,2125,2195,2250
"Florida",4,,,,,,,,,,,,,985,1095,1150,1100,1050,1000,1000,990,900,850,899,899,950,950,899,900,950,938,950,900,845,850,850,830,875,935,920,945,900,995,947,1000,1000,1000,1065,975,950,892.5,895,975,1000,1000,1000,1100,1109,1100,1137,1150,1200,1250,1200,1199,1200,1200,1200,1200,1200,1200,1200,1242.5,1200,1225,1215,1204,1150,1200,1195,1200,1200
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,1400,1339,1265,1385,1195,1150,1175,1110,1110,1095,1165,1200
"Pennsylvania",6,,,,,,,,,,,650,672.5,567.5,625,625,690,690,662.5,655,692.5,685,675,690,700,700,730,750,763,759,775,750,725,724,700,740,777,775,800,829,847.5,820,795,767.5,825,825,800,842,800,775,795,820,850,825,725,702.5,800,825,825,795,810,795,795,850,860,875,875,872.5,850,850,900,890,925,957,950,995,975,895,925,925,900,900
"New Jersey",7,,,,,,,,,,,,,,,,,,,,,,,,1282.5,1250,1205,1275,1250,1375,1372.5,1300,1385,1350,1250,1325,1400,1550,1570,1550,1550,1500,1530,1300,1300,1280,1292.5,1500,1495,1400,1350,1400,1500,1475,1495,1495,1500,1600,1500,1295,1275,1300,1205,1300,1300,1350,1299.5,1250,1200,1155,1300,1300,1450,1550,1550,1530,1500,1450,1500,1496.5,1299.5,1350
"Virginia",8,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.5,1445,1411,1315,1310,1333.5,1387,1350,1405,1414.5,1425,1508,1469.5,1479,1480,1391.5,1367,1400,1353,1344,1350,1360,1354.5,1351,1389.5,1422.5,1449.5,1470,1465,1463,1435,1384.5,1340,1356,1375,1381,1329.5,1250,1355,1342.5,1352.5,1340,1274,1350,1345,1369,1382,1392.5,1384.5,1366,1377,1350,1377,1375,1350
"Washington",9,,,,,,,,,,,,,,,,,,,,,,,,825,875,961,975,965,955,995,1000,1050,1075,1088,1050,1045,1075,1100,1075,1025,995,1025.5,1064,1150,1055,1030,1130,1127,1095,1050,1100,1132,1235,1281.5,1295,1320,1262.5,1284,1263.5,1262,1295,1284.5,1300,1275,1276.5,1277,1265,1299,1275,1278,1323,1319,1339,1349,1366,1385,1363.5,1341,1295,1365,1295
"Massachusetts",10,,,,,,,,,,,,,,,,1250,1275,1295,1300,1350,1300,1325,1250,1295,1300,1300,1350,1400,1375,1350,1350,1395,1400,1420,1420,1415,1400,1400,1425,1450,1450,1450,1450,1475,1450,1495,1475,1475,1495,1500,1500,1500,1500,1550,1550,1550,1550,1595,1595,1595,1595,1595,1595,1600,1600,1600,1620,1625,1625,1650,1650,1625,1622.5,1600,1600,1600,1600,1600,1625,1625,1600
