"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
9,"California",1,19050,15005,15000,14000,14900,15000,14900,15000,15000,15000,15000,14900,14500,14900,14000,11100,13800,13600,14000,15000,15000,15703.5,16000,15900,15000,15000,15000,14000,14550,15000,16000,16000,18500,19100,16100,15000,14000,14000,11000,10450,10100,10100,11000,11000,11396.5,12527.5,11900.5,11000,11000,10400,10002,10000,10000,10001,11000,14000,14000,14000,14000,13000,13000,13606,12500,11000,12000,11800,14000,14115,15000,15000,15000,14000,14000,13500
54,"Texas",2,6950,6010,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,5500,5900,5835,5900,5500,5500,5500,5400,5500,5500,5766,5100,5500,5900,6000,5900,6000,5900,5500,5900,5650,5900,6000,5900,6000,6100,6111,6600,6500,6106,6100,7000,6050,6600,7500,7500,8000,9000,9000,9100,9000,8100,8600,8750,7812,7500,8500,9000,9600,9600,9917,9900,9100,8700,8500,8000
43,"New York",3,14000,12100,11000,11050.5,11000,11000,13000,11000,10900,10900,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9955,10000,10000,10000,10000,9900,9900,9100,9100,9000,9000,9000,9000,9100,9600,9100,9370,9000,9000,9100,8900,8500,8000,9000,9000,9000,9000,9000,8600,8500,8000,8000,8000,7900,8000,8000,8006.5,9000,8800,9000,9100,9000,9000,9000,9000,9000,9000,9100,9100,9800,10000,10000,10000,9900,9900,9000,9000,8300,9000
21,"Illinois",5,10000,10000,9500,9500,9928,9900,9400,9100,9100,9600,9000,9000,9000,9100,8000,7900,8100,8500,8000,8900,8000,7600,7800,7500,7099,7000,6000,6100,6000,6400,6000,6500,6100,6320.5,7000,6043,6100,6500,6000,6000,6300,6250,6200.5,6000,7000,7000,7000,6600,7000,7000,6400,6100,6000,6700,6000,7000,7000,7100,7000,6050,6500,6000,5900,6000,5600,6000,7000,7000,7000,7000,6500,6000,6000,5500
47,"Pennsylvania",6,9000,8100,7400,7400,7400,7000,7400,7000,7100,7500,7600,7400,7000,7400,7100,7000,6900,6400,6750,6400,6667.5,6600,6000,6000,6000,6000,5500,6000,5900,5600,5500,5600,6000,5900,6000,5900,6000,5900,5900,5600,5500,5400,5100,5600,6000,6000,5900,5900,5900,5910,5400,5700,5100,5500,5400,5900,6100,6000,6000,5900,6000,5900,5300,5600,5100,5100,5100,6000,6000,6000,6000,5900,5900,5400
44,"Ohio",7,5900,5100,5100,5040,5100,5382,5100,5000,5000,5100,5000,5000,5000,5000,5000,5000,5099,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
30,"Michigan",8,8000,7000,7000,6000,6000,5900,5800,5900,6000,6400,6500,6000,6000,5830,5100,5100,5100,5099,5400,5600,5100,5500,5900,5400,5400,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5400,5100,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5100,5100,5000,5000,5000,5000,5000,5000,5000,5100,5100,5900,5500,5100,5000,5000,5000,5000,5000,5000,5100,5400,6000,6000,5900,5100,5100
16,"Georgia",9,10000,10000,10000,9600,9900,9900,9400,9845,9450,9763.5,9315,9100,9100,9100,9050,9000,9000,9000,9500,9900,9730,10000,9700,9100,9000,8820,9100,8200,8600,9000,9000,8100,9000,8800,9000,8000,8000,7900,7000,7400,7000,6000,7000,7000,7100,7000,7100,6000,6000,6000,6000,6000,6000,5999.5,6000,6500,6900,6100,6000,6000,6000,6000,6000,5600,5500,5901,6000,6600,7000,7250,6000,6400,6400,6000
36,"North Carolina",10,10000,9900,9393.5,9100,9000,9000,9000,8550,9000,9100,9500,9100,9000,8870,8600,8000,8400,8000,8000,8000,8000,8000,8000,8000,7500,7000,7000,7000,7100,7000,6900,6900,7000,7000,7050,7000,6513,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,5500,5500,5500,5900,6000,6500,7000,7000,6500,6000,6111.5,6000,6500,6100,6000,7000,7000,7600,8000,7000,7000,7000,7000
40,"New Jersey",11,15000,14000,13600,12100,12475,13750,12500,12000.5,12000,13000,11500,11000,12100,12600,10900,10500,10900,10900,10900,10900,10900,10900,10100,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
56,"Virginia",12,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9999.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9100,9000,9100,9100,9900,10000,10000,10000,9900,9950,9500,9000,8200,9000,8500,9000,10000,10000,10000,10000,9900,9901,10000,9000,8400,8000,9000,9000,9900,10000,9950,9900,9000,8900,9000
59,"Washington",13,13000,10990,10050,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
26,"Massachusetts",14,10500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10900,10400,10000,10000,10000,10000
22,"Indiana",15,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
8,"Arizona",16,9100,8000,8000,8000,8300,8000,9000,8500,9000,9000,8100,9000,9000,9000,9100,8900,9100,9900,10000,10000,10000,9500,9000,8000,7500,7000,6500,8000,7967.5,7400,8000,8000,7000,7500,7000,6000,5500,5500,5100,5278.5,5600,5900,5800,5500,5200,5100,5100,5001,5099,5100,5000,5100,5450,5900,6000,5935,5900,5752,5380,5100,5100,5100,5001,5100,5400,5900,5900,5900,5123,5100,5000,5000,5000,5000
53,"Tennessee",17,7000,6000,6000,6000,6100,7000,6000,6000,5900,6400,6000,6000,5650,6000,5900,5950,5900,5500,5211.5,5500,5100,5200,5100,5167,5100,5099.5,5000,5100,5010,5100,5050,5000,5000,5000,5000,5000,5001,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5045,5000,5000,5000,5000,5000,5100,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5200,5400,5999,5690.5,5500,5900,6000
32,"Missouri",18,6009.5,5900,5900,6400,5988.5,5950,5400,5100,5100,5200,5400,5100,5100,5100,5100,5100,5200,5100,5000,5000,5000,5100,5000,5000,5000,5000,5000,5050,5099,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5050,5100,5000,5000,5000,5000
