"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
9,"California",1,15000,14000,13000,12000,13500,13900,12000,12724.5,11000,12998.5,11000,11000,10900,11000,10900,10000,10900,11000,11000,11500,11999.5,13500,13000,14000,12400,12500,13000,11000,12000,13100,15000,12750,13000,14000,12000,11000,10053.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,10100,10000,10050,10000,10001,10001,10094.5,10000,10000,10000,10000,11000,11000,11000,11000,10100,11000,11000
54,"Texas",2,6000,5500,5435,5500,5500,5200,5000,5000,5000,5000,5030,5017,5100,5000,5100,5400,5000,5000,5000,5000,5000,5000,5045,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5100,5000,5000,5300,5100,5100,5100,5000,5900,5100,6000,6000,5050,6000,7000,6000,7847.5,7750,7000,6500,7000,7000,7000,7100,7000,7030,9000,9000,9000.5,9000,9000,9000,7550.5,9000,7000
43,"New York",3,16000,15000,15350,15000,16000,17000,15000,14000,14000,14000,14000,11899.5,14000,14000,12900,11999,13200,14000,10900,10000,10001,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,11000,10000,10000,10100,10450,10000,10000,14000,15000,15000,10000,14000,14000,14000,15700,15000,14100,14000,10499,15000.5,20000,19000,14000,20000,19000,20000,20000,25000,25000,20000,15000,25000,25000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9500,9100,9999,10000,9100,8100,8000,7900,7322.5,8000,7900,8000,8000,7500,7500,7500,8000,7000,7000,7600,7500,7000,7000,7000,7400,8000,7600,7202,7000,6743,6600,6500,6000,6000,6000,6000,6600,6400,7000,6500,7600,7000,6800,6700,6900,7000,7150,7500,8000,9000,9100,9000,9000,8000,8000,7400,7100,7000,7100
21,"Illinois",5,10000,10000,9925.5,9800,10000,10000,9900,9900,9100,9900,9600,9000,9100,9200,8400,8700,9000,9000,8000,9000,7900,7000,8000,8000,7027.5,7960,6000,6000,6000,7000,6050,6500,6000,6600,8000,7000,8100,8000,7500,7000,7100,7900,7550,7500,7400,7500,7000,7000,7900,8500,7900,7410,7100,7100,7000,7000,6540,6100,6000,6000,7000,6000,6000,6000,5500,5900,6000,6000,6000,6000,6000,6000,6000,6000
47,"Pennsylvania",6,5100,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
44,"Ohio",7,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,4500,5000,4900,4100,4100,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4901,5000,5000,5000,5000,5000,5000
30,"Michigan",8,6400,5902.5,6000,6000,6000,6000,6000,6100,6000,5900,6000,5100,5901,5100,5000,5600,5100,5000,5998,6000,5100,5100,7000,5450,5200,6000,6000,7150,5000,5000,5400,5900,5750,5000,6000,5600,5100,5000,5000,5000,5000,5000,5000,6000,5000,5995,5100,5090,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5400,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5900,6000,5900,5400,5000
16,"Georgia",9,10000,10000,9275,9000,9150,10000,9000,9100,7110,8100,8100,7005,8000,8502.5,8000,7000,9400,7900,7500,8900,8800,10000,8000,7740,9000,7600,9100,8500,8000,10000,9550,9001,8000,7500,8750,7000,7000,7900,7000,7000,7000,5500,6250,5100,6000,5000,5000,5001,5100,5000,5000,5100,5100,5100,6000,5600,5600,5100,5000,5140,5100,5100,5100,5000,5100,5001,5000,5010,5100,5250,5100,5000,5100,5000
36,"North Carolina",10,8000,7400,6000,7100,8000,7300,6000,6000,6000,6000,7000,6000,6000,5585.5,6300,6600,6500,5900,6000,6000,5100,5500,5400,5500,5100,5100,5000,6000,5100,5000,5000,5000,5000,5400,5000,5099,5000,5000,5000,5000.5,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5400,5100,5100
