"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
9,"California",1,20000,16000,15000,14900,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14090,12000,14000,14000,14882,15000,15400,16000,17500,16000,15500,15100,15000,14900,15000,15000,16000,17000,20000,20000,19100,15000,15000,14600,12500,11000,10900,10999,12000,12000,13500,14000,14000,12000,11800,11000,10100,10000,10500,10425,11500,14001,14100,14900.5,14000,14000,14000,14000,13000,11900,13500,12500,14900,15000,15000,15000,15000,14100,14000,14000
54,"Texas",2,7000,6100,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5933,5700,6000,5900,5900,5600,5500,5500,5500,5600,5501.5,5900,5225,5500,5900,6000,6000,6000,5900,5600,5985,5900,5900,6000,5900,6000,6400,6400,6900,6600,6400,6400,7000,6090,6900,7600,7500,8000,9000,9000,9100,9000,8367,8900,8900,7900,7500,8600,9000,9600,9600,9962.5,9900,9100,8900,8500,8000
43,"New York",3,12950,11000,10001,10900,10000,10000,11000,10400,10001,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9600,9100,9100,9100,9345,10000,10000,10000,9990,9250,9100,9600,9000,9000,8300,9100,9100,9000,9100,9100,9001,9000,8500,9000,8970,8425,9000,8600,9000,9600,9100,9600,9500,9499,9100,9100,9100,9100,9100,9900,9500,9910,10000,10000,10000,10000,10000,9100,9000,9000,9100
21,"Illinois",5,10000,10000,9100,9150,9900,9600,9100,9000,9100,9534.5,9000,9000,8988,9000,8000,7545,8000,8100,8100,8900,8000,7900,7600,7460,7100,6710,6000,6500,6000,6100,6000,6500,6100,6150,6500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6900,7000,6900,6500,6600,6400,6000,6000,6000,6400,6000,7000,7090,7400,7000,6400,6300,6000,5900,5900,5600,6000,7000,7000,7000,7000,6900,6000,6000,5500
47,"Pennsylvania",6,9275,9000,8000,8000,8000,8000,8000,7600,8000,8000,8600,8000,8000,8100,8000,7999,7500,7000,7215,7000,7000,7379,7000,6901,7000,6300,6000,6900,6000,6000,6000,6000,6000,6000,6100,6000,6100,6000,6000,6000,6000,6000,5900,6000,6190,6500,6000,6000,6000,6000,6000,6000,5900,6000,6000,6000,7000,6500,6300,6000,6400,6000,5600,6000,5900,5894,5500,6100,6100,6400,6000,6000,6000,5600
44,"Ohio",7,6000,5400,5100,5100,5450,5400,5100,5099,5100,5100,5070,5100,5100,5000,5000,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
30,"Michigan",8,8000,7000,7000,6000,6000,5900,5700,5900,6000,6500,6500,6000,6000,5900,5100,5030,5100,5100,5300,5500,5100,5580,5900,5400,5400,5000,5000,5000,5000,5000,5000,5000,5000,5100,5300,5400,5100,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5100,5100,5035,5000,5000,5000,5000,5000,5000,5100,5200,6000,5600,5100,5000,5000,5000,5000,5000,5000,5100,5499.5,6000,6000,5900,5100,5100
16,"Georgia",9,10000,10000,10000,9775,9900,9900,9500,9900,9600,9900,9500,9396.5,9500,9100,9100,9100,9000,9000,9600,9900,9850,10000,9900,9100,9000,8990,9100,8190,8735,8700,9000,8100,9000,9000,9020,8300,8000,7900,7000,7400,7000,6000,7000,7000,7245,7000,7500,6000,6000,6000,6000,6000,6000,6000,6099,6900,7000,6596,6261,6033,6000,6000,6000,5900,5500,6000,6000,7000,7400,7600,6400,6930,6900,6000
36,"North Carolina",10,10000,10000,9600,9500,9000,9000,9000,9000,9100,9600,9900,9489.5,9100,9000,9000,8200,8742,8000,8000,8402.5,8600,8000,8200,8000,7900,7100,7000,7000,7500,7000,7000,7000,7100,7000,7500,7000,7000,6000,6100,6200,6100,6000,6000,6400,6000,6100,6500,6000,6074.5,6000,6000,5900,5900,5900,6000,6100,7000,7100,7000,7000,6000,6500,6000,6900,6500,6400,7000,7500,8000,8000,7500,7400,7000,7000
40,"New Jersey",11,15000,14000,14000,12000,12900,14000,13220,13000,12400,14000,12000,12000,13000,14000,11000,10900,11000,10900,11000,11000,10900,11000,10300,10000,10100,10000,10000,10000,10000,10000,10000,10500,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10100,10099,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
