"RegionName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,95.38,95.61,96.08,96.01,96.28,96.62,96.26,96.61,96.33,96.04,95.91,95.89,95.61,96.1,96.81,96.94,97.2,97.53,97.39,97.35,97,97.18,96.73,96.45,95.71,96.06,96.54,96.75,97.04,97.08,97.27,97.2,97.16,97.07,97.24,97.04,96.69,97.28,97.38,97.4,97.71,97.92,97.77,97.56,97.53,97.58,97.3,97.07,96.37,96.96,97.69,97.27,97.63,97.21,96.42,96.94,96.85,96.6,95.63,95.38,95.29,95.52,95.39,95.62,95.91,96.23,96.14,95.78,95.46,95.06,94.48,93.66,93.55,93.24,93.44,92.85,92.49,92.18,91.38,90.66,88.76,87.08,85.85,83.78,81.82,79.76,78.74,77.23,76.01,76.03,74.14,71.63,67.67,66.39,62.25,61.84,57.66,58.57,60.3,59.49,61.37,63.24,62.86,62.28,62.11,60.17,60.33,59,55.51,54.85,56.86,56.48,59.16,57.63,58.52,57.92,57.81,57.41,56.67,56.32,53.21,51.58,54.43,58.3,54.92,56.54,57.6,56.6,56.33,54.07,53.57,53.01,50.92,51.96,53.56,57.55,59.71,60.96,60.42,61.33,61.42,62.58,62.33,63.44,65.15,65.32,70.43,73.02,75.66,78.04,79.47,80.82,81.39,80.85,81.06,80.35,81.74,83.1,83.93,84.94,85.59,85.26,86.11,86.07,86.46,86.02,86.14,85.03,86.14,85.83,86.93,87.93,88.44,88.74,88.76,88.81,89.04,88.94,88.24,88.47,88.83,87.96,89.69,89.85,90.29,90.41,90.74,90.76,90.81,90.97
"Texas",2,96.51,96.36,96.85,96.54,96.79,96.69,96.36,96.28,96.42,96.19,95.73,95.3,95.27,95.93,95.66,95.88,95.95,95.75,96.28,95.39,95.46,95.47,95.68,94.78,94.98,95.55,95.76,95.44,95.21,95.51,95.27,94.98,95.27,95.15,94.85,95.07,96.62,96.66,96.89,96.91,96.96,97.02,97.11,97.17,96.76,97.1,96.63,95.88,96.73,96.56,96.26,96.35,96.42,96.9,96.63,96.44,96.06,96.1,95.6,95.43,95.55,95.08,95.38,95.75,95.36,95.26,95.02,95.45,94.9,94.24,94.55,94.14,91.95,93.17,92.94,93.43,93.05,93.28,93.13,92.58,92.24,91.87,91.24,90.95,87.28,87.42,87.96,87.15,87.51,87.87,87.38,85.93,86.98,85.38,84.95,83.47,82.81,82.78,83.36,83.98,84.09,83.07,83.23,84.15,84.12,84.45,82.09,82.94,81.71,82.06,81.59,80.18,80.58,80.72,79.35,79.81,79.51,78.87,77.81,76.97,75.03,75.39,75.22,75.89,76.49,76.48,76.57,75.73,75.79,75.8,74.98,74.81,74.15,73.79,74.69,75.99,76.67,75.75,77.16,76.84,76.5,77.29,76.7,76.49,75,76.52,77.96,79.03,79.67,81.48,81,80.94,81.83,81.51,81.16,82,82.2,82.22,83.15,83.78,84.32,85.19,85.03,85.18,85.12,85.63,85.6,85.42,84.5,86.6,86.17,87.57,88.26,88.78,88.69,89.98,89.81,89.63,90.12,89.35,89.7,89.82,89.88,90.88,91.8,95.19,96.83,96.93,96.86,97.01
"New York",3,95.96,94.95,95.33,95.45,95.96,95.09,95.82,95.82,95.67,95.24,95.79,95.15,95.17,94.43,94.29,93.96,94.06,94.08,94.08,94.44,94.22,94.28,94.23,93.24,93.37,93.51,92.92,92.23,93.29,92.34,92.32,93.44,93.82,94.1,93.43,93.58,94.43,94.52,95.54,94.85,94.74,94.94,95.54,95.59,94.72,95.12,94.53,94.71,94.48,94.76,94.49,93.6,93.56,94.27,95.13,94.05,94.9,95.12,94.84,95.56,95.14,95.05,94.56,95.12,95.26,95.85,95.13,93.76,92.5,92.07,91.31,90.61,88.48,88.67,88.27,89.1,89.59,90.14,90.12,90.15,89.86,89.25,88.15,87.51,87.18,85.19,84.31,85.01,85.18,85.8,87.04,87.15,86.61,85.78,84.14,83.11,81.96,79.64,79.03,79.06,82.65,83.83,84.72,84.14,84.21,83.97,83.9,83.11,81.89,81.45,81.3,82.06,82.7,84.66,83.18,81.6,81.24,82,81.84,81.78,79.62,78.85,78.16,79.37,79.6,81.32,81.57,80.76,81.28,79.26,79,78.88,78.08,76.33,76.33,77.09,78.81,79.4,79.21,79.58,79.73,78.88,78.16,79.22,78.35,76.46,77.76,79.29,80.18,80.78,80.83,81.85,81.76,80.98,79.97,81.08,80.49,79.73,79.8,79.87,81.66,81.94,81.9,82.44,82.91,82.37,81.37,81.7,81.86,81.41,80.79,81,81.38,83.34,84.51,84.02,84.57,84.11,82.75,82.14,81.83,82.16,82.02,82.79,82.43,84.1,83.18,84.84,86.13,87.14
"Florida",4,94.4,94.33,94.46,94.56,94.84,95.37,95.02,95.28,95.21,94.54,94.43,94.59,94.49,94.72,95.41,95.34,95.55,95.98,95.77,95.42,95.19,95.4,94.78,95.27,94.78,94.64,95.28,95.25,95.33,95.61,95.96,95.64,95.52,95.25,94.84,94.94,95.44,95.1,96,96.18,96.71,96.56,96.84,96.77,97.04,96.02,95.38,95.53,95.06,94.61,94.75,95.33,94.97,94.41,94.23,93.79,93.09,92.34,90.74,89.73,89.86,91.58,92.17,92.6,92.27,91.95,91.7,91.37,91.19,90.38,89.6,87.79,88.47,88.7,89.89,89.8,89.21,88.78,89,86.38,85.16,84.12,82.46,80.15,80.29,78.85,78.49,78.49,77.03,75.88,74.15,72.79,70.44,68.08,63.88,61.36,60.21,58.27,59.84,59.93,58.8,59.51,57.11,58.42,55.67,56.58,57.02,55.2,50.77,52,53.65,55.31,54.53,53.84,54.72,50.74,48.93,49.45,48.97,51.18,48.1,46.74,49.37,50.66,52.59,51.14,51.08,49.86,50.23,49.6,49.56,51.3,49.29,50.61,52.41,55.53,56.03,54.43,55.63,55.8,55.61,55.91,56.62,58.11,57.1,58.99,61.91,63.12,64.13,64.32,65.25,66.38,67.42,67.59,67.77,64.45,67.85,68.72,72.26,71.29,71.4,71.67,73.51,72.63,72.96,74.06,74.25,73.31,73.18,75.15,76.47,77.12,77.88,78.64,78.04,78.41,78.63,79.61,79.4,79.35,79.64,79.95,81.23,81.4,81.68,82.33,82.25,82.5,82.5,83.19
"Illinois",5,97.27,96.89,96.92,97.09,98.11,97.91,97.68,97.97,97.86,97.55,97.64,97.02,96.72,96.73,96.99,97.1,97.33,97.79,97.98,98.04,97.86,97.74,97.42,97.64,97.11,96.77,97.36,96.76,97.35,98.18,97.85,97.49,97.65,97.61,97.17,97.3,96.98,97.01,96.98,97.08,97.5,97.61,97.69,97.82,97.59,97.46,97.13,97.2,96.63,96.85,96.93,97.1,97.32,97.01,97.26,97.49,97.19,96.95,96.65,95.97,96.18,96.11,95.96,96.53,96.69,96.72,96.56,96.62,96.33,95.65,95.28,94.12,93.88,94.29,94.64,93.98,95.05,95.18,94.74,94.1,93.86,92.57,90.9,88.86,88.09,86.21,86.91,87.12,87.79,87.09,86.42,85.54,84.02,81.71,81,78.7,76.56,74.56,75.54,74.91,75.22,75.84,75.68,75.53,74.76,74.84,73.88,70.72,66.62,67.25,68.52,70.78,71.23,69.64,66.96,67.53,68.09,64.84,67.05,65.27,62.48,60.62,61.48,63.04,63.42,63.8,64.3,63.11,61.77,61.93,61.14,59.72,56.54,56.42,56.81,58.12,58.93,58.95,60.19,59.15,58.26,56.46,58,57.39,55.58,56.39,56.03,57.34,59.77,61.55,63.22,63.86,61.36,62.45,64.7,63.68,61.32,63.62,63.94,63.61,65.85,68.71,67.34,68.38,68.2,66.75,67.97,68.18,68.07,64.63,66.5,68.01,69.29,70.2,70.94,70.62,70.32,70.02,69.41,68.78,67.66,67.09,68.15,70.52,71.22,72.41,72.19,71.47,71.66,70.49
"Pennsylvania",6,97.28,97.07,97.6,97.74,97.92,97.98,98.15,98.32,98.17,97.89,98.04,98.29,97.54,97.64,97.43,97.7,98.17,98.31,98.32,98.03,97.95,97.9,97.81,97.85,97.5,96.9,97.05,97.5,97.61,97.95,97.71,97.86,97.74,97.46,97.56,96.36,96.4,96.26,95.83,96.01,96.61,97.18,97.08,96.45,96.22,96.3,96.23,96.25,95.78,95.1,95.04,94.82,94.84,95.56,95.73,95.68,95.25,95.38,94.74,95.06,95.46,94.75,94.83,94.71,95.78,95.67,96.09,95.57,94.79,95.12,94.67,94.1,92.55,92.96,92.82,93.97,94.27,94.89,95.58,94.96,94.72,93.55,92.71,93.11,91.43,90.54,92.24,91.53,92.42,92.55,92.77,92.19,91.25,90.67,89.54,88.54,86.85,85.97,86.93,88.52,88.4,88.55,88.65,88.08,88.6,88.21,89.4,87.29,84.99,83.51,86.63,87.19,87.47,88.38,85.75,85.12,84.34,85.4,84.87,84.21,82.43,80.29,81.72,81.74,83.9,84.52,82.86,84.29,82.83,83.02,81.41,81.72,80.2,82.12,81.77,82.29,82.23,82.5,82.29,82.57,83.31,81.78,80.29,81.54,80.62,80.79,80.69,81.41,82.03,82.38,82.13,82.06,81.65,81.77,81.39,81.16,80.17,80.06,79.96,80.08,80.98,82.38,82.75,81.81,81.82,81.34,80.65,80.04,80.18,78.63,78.78,81.2,82.44,82.82,83.62,83.15,83.12,81.99,81.58,81.3,80.72,79.53,79.38,82.05,81.6,84.44,85.48,86.19,86.57,83.33
"Ohio",7,93.39,94.88,94.85,95.08,95.74,95.77,95.97,95.65,95.28,94.59,94.73,93.74,93.59,93.93,94.6,94.53,95.36,95.62,95.39,95.94,94.92,94.52,94.66,94.02,93.29,93.6,94.44,94.92,95.09,96.12,95.8,95.73,95.8,95.5,95.03,94.62,94.14,94.19,95.01,94.94,94.8,95.54,95.72,95.31,95.29,95.18,94.09,94.42,94.09,94.21,94.31,94.9,94.6,95.18,94.73,94.96,94.64,93.62,92.93,92.84,91.28,92.13,93.23,93.16,93.08,93.61,94.18,93.46,92.76,92.24,91.34,90.16,88.39,88.36,88.55,90.32,90.23,90.21,90.69,90.32,89.31,88.37,86.18,86,83.21,84,83.59,83.84,84.79,84.95,83.79,83.07,82.38,81.32,79.57,77.85,75.6,73.28,76.91,76.53,78.18,78.48,77.83,78.8,78.16,76.59,76.01,76.5,72.82,71.72,73.71,74.36,74.94,75.43,73.65,71.97,72.67,71.45,70.38,71.7,68.04,67.5,68.95,70.1,69.69,70.45,68.98,70.06,69.71,69.48,69.58,67.06,67.16,67.76,69.5,71.2,70.48,70.39,72.1,70.76,72.34,72,73.73,70.98,73.18,72.25,72.46,71.75,72.42,74,73.33,73.66,73.56,74.76,76.73,74.45,72.62,71.55,72.54,73.35,72.76,75.5,76.16,78.01,75.15,75.49,74.27,74.48,71,71.34,73.21,73.49,76.35,78.58,77.52,78.1,77.09,77.25,76.84,78.1,75.65,75.83,75.62,77.44,78.77,81.18,82.68,82.25,81.5,80.03
"Michigan",8,96.34,96.56,96.2,96.92,97.33,97.68,97.19,97.54,97.18,96.8,96.13,96.16,95.61,95.57,96.01,96.33,96.91,97.72,96.85,97.12,97.04,96.72,96.51,96.45,96.13,96.19,97.02,96.72,96.97,97.24,97.14,97.22,96.98,96.95,96.93,96.54,96.78,96.54,96.37,96.55,96.86,96.73,97.03,97.16,96.96,96.24,96.49,96.34,96.28,95.53,95.96,95.95,96.22,96.45,96.1,96.07,95.89,96.39,95.75,94.86,94.47,93.65,93.24,93.17,92.98,93.49,93.21,93.04,90.61,91.03,90.11,87.62,87.74,89.31,87.72,86.18,86.89,86.42,86.59,84.08,81.87,82.64,81.12,79.28,77.59,77.37,76.92,75.78,75.44,75.37,74.41,74.28,73.34,71.23,69.51,66.85,68.83,66.05,65.53,63.26,60.6,61.49,62.32,63.73,63.59,64.37,64.32,61.8,59.54,59.12,59.47,61.66,61.27,61.94,60.21,60.83,62.92,61.75,62.94,61.68,60.87,59.18,57.91,60.58,60.13,62.34,64.08,64.35,63.73,63.7,63.2,62.29,60.24,58.67,59.24,60.85,61.52,62.83,62.81,61.7,61.75,64.48,63.41,64.14,63.03,64.18,65.84,64.18,66.16,67.67,68.97,69.01,69.59,71.87,69.48,71.22,70.48,71.15,69.49,70.76,73,74.15,75.24,75.19,75.32,75.47,74.9,75.28,74.91,75.08,73.71,75.37,78.38,78.35,79.31,78.54,78.76,79.12,78.63,77.97,78.81,76.89,79.22,79.72,81.32,83.07,84.52,84.06,84.85,85.57
"Georgia",9,96.51,96.83,97.04,96.66,97.24,97.11,97.46,97.38,97.09,96.32,95.55,95.55,95.63,94.91,94.95,95.8,96.03,95.89,95.94,94.99,94.9,94.76,94.02,93.8,92.56,91.67,91.05,91.22,90.97,91.17,91.02,91.55,91.13,92.17,90.55,90.97,92.32,92.63,92.77,93.34,93.17,94.57,94.07,94.04,93.27,93.43,93.01,93.04,91.66,92.45,92.69,92.54,92.75,92.75,93.31,93.26,92.02,91.72,91.39,91.05,88.19,87.2,88.29,88.59,89.52,90.59,91.04,90.94,89.77,88.57,87.98,87.39,87.34,87.76,87.92,88.55,89.16,89.52,89.1,88.6,86.97,86.63,85.49,83.51,81.34,81.35,82.34,82.12,83.11,82.62,80.03,77.2,75.67,78,71.67,71.66,67.42,68.63,73.19,71.03,71.73,71.87,71.85,70.89,67.8,69.14,68.13,65.91,64.46,67.51,64.54,65.34,67.43,65.39,61.25,62.42,64,63.69,64.17,58.94,61.34,59.99,64.32,61.52,61.68,60.59,60.25,61.16,58.94,59.02,57.98,56.94,60.67,58.65,62.94,62.78,59.78,59.53,61.08,58.27,59.69,58.7,61.28,61.82,62.11,60.08,58.41,60.01,63.28,64.25,62.97,64.39,64.14,65.03,62.37,64.52,65.76,64.91,66.51,67.05,68.91,69.25,69.28,71.34,70.17,69.35,69.19,69.33,68.45,68.98,71.05,72.89,74.16,75.24,76.59,75.22,75.73,73.53,74.91,73.74,74.04,74.28,75.26,76.75,78.06,81.82,82.74,82.54,81.79,82.2
"North Carolina",10,94.77,96.98,97.4,97.61,97.13,97.55,97.15,97.19,97.12,96.74,97.03,96.79,96.22,96.15,96.16,96.39,96.85,96.8,96.16,96.86,95.98,95.39,95.18,93.57,94.34,93.78,93.11,93.15,94.37,95.12,93.69,94.11,93.35,93.05,92.79,92.26,92.67,92.44,92.81,92.92,93.62,94.12,94.17,93.93,94.25,93.13,93.76,92.14,92.85,92.44,93.4,92.77,93.64,93.55,92.49,93.29,92.95,92.64,91.88,92.03,91.19,91.22,91.37,91.59,92.56,93.22,92.77,93.06,92.44,92.48,92.19,91.62,91.88,90.98,93.03,91.14,90.52,92.68,92.8,92.4,91.34,90.33,90.47,88.75,87.38,87.51,88.04,89.28,89.52,89.7,88.69,87.99,87.22,86.78,85.32,82.98,82.35,80.83,81.38,81.58,82.69,83.26,82.82,81.65,81.22,81.09,78.75,78.73,82.43,79.64,79.35,78.4,80.34,79.1,77.15,73.74,78.64,76.62,75.34,74.24,73.87,74.01,72.58,71.46,72.07,71.92,72.17,70.4,70.21,70.06,69.78,69.82,69.33,68.21,68.64,68.96,67.69,68.6,69.54,69.3,69.76,70.12,69.77,71.63,71.18,70.89,71.54,71.03,71.99,72.66,71.62,72.36,71.27,72.88,73.27,72.53,73.23,73.73,73.21,74.21,74.73,74.97,75.07,74.81,74.98,76.32,75.46,74.99,75.03,76.66,76.62,78.46,79.35,78.99,79.22,79.12,79.12,79.8,78.56,78.96,80.41,79.19,79.71,81.2,81.63,83.25,83.33,84.01,84.34,84.07
