"RegionName","SizeRank","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,4.62,4.39,3.92,3.99,3.72,3.38,3.74,3.39,3.67,3.96,4.09,4.11,4.39,3.9,3.19,3.06,2.8,2.47,2.61,2.65,3,2.82,3.27,3.55,4.29,3.94,3.46,3.25,2.96,2.92,2.73,2.8,2.84,2.93,2.76,2.96,3.31,2.72,2.62,2.6,2.29,2.08,2.23,2.44,2.47,2.42,2.7,2.93,3.63,3.04,2.31,2.73,2.37,2.79,3.58,3.06,3.15,3.4,4.37,4.62,4.71,4.48,4.61,4.38,4.09,3.77,3.86,4.22,4.54,4.94,5.52,6.34,6.45,6.76,6.56,7.15,7.51,7.82,8.62,9.34,11.24,12.92,14.15,16.22,18.18,20.24,21.26,22.77,23.99,23.97,25.86,28.37,32.33,33.61,37.75,38.16,42.34,41.43,39.7,40.51,38.63,36.76,37.14,37.72,37.89,39.83,39.67,41,44.49,45.15,43.14,43.52,40.84,42.37,41.48,42.08,42.19,42.59,43.33,43.68,46.79,48.42,45.57,41.7,45.08,43.46,42.4,43.4,43.67,45.93,46.43,46.99,49.08,48.04,46.44,42.45,40.29,39.04,39.58,38.67,38.58,37.42,37.67,36.56,34.85,34.68,29.57,26.98,24.34,21.96,20.53,19.18,18.61,19.15,18.94,19.65,18.26,16.9,16.07,15.06,14.41,14.74,13.89,13.93,13.54,13.98,13.86,14.97,13.86,14.17,13.07,12.07,11.56,11.26,11.24,11.19,10.96,11.06,11.76,11.53,11.17,12.04,10.31,10.15,9.71,9.59,9.26,9.24,9.19,9.03
"Texas",2,3.49,3.64,3.15,3.46,3.21,3.31,3.64,3.72,3.58,3.81,4.27,4.7,4.73,4.07,4.34,4.12,4.05,4.25,3.72,4.61,4.54,4.53,4.32,5.22,5.02,4.45,4.24,4.56,4.79,4.49,4.73,5.02,4.73,4.85,5.15,4.93,3.38,3.34,3.11,3.09,3.04,2.98,2.89,2.83,3.24,2.9,3.37,4.12,3.27,3.44,3.74,3.65,3.58,3.1,3.37,3.56,3.94,3.9,4.4,4.57,4.45,4.92,4.62,4.25,4.64,4.74,4.98,4.55,5.1,5.76,5.45,5.86,8.05,6.83,7.06,6.57,6.95,6.72,6.87,7.42,7.76,8.13,8.76,9.05,12.72,12.58,12.04,12.85,12.49,12.13,12.62,14.07,13.02,14.62,15.05,16.53,17.19,17.22,16.64,16.02,15.91,16.93,16.77,15.85,15.88,15.55,17.91,17.06,18.29,17.94,18.41,19.82,19.42,19.28,20.65,20.19,20.49,21.13,22.19,23.03,24.97,24.61,24.78,24.11,23.51,23.52,23.43,24.27,24.21,24.2,25.02,25.19,25.85,26.21,25.31,24.01,23.33,24.25,22.84,23.16,23.5,22.71,23.3,23.51,25,23.48,22.04,20.97,20.33,18.52,19,19.06,18.17,18.49,18.84,18,17.8,17.78,16.85,16.22,15.68,14.81,14.97,14.82,14.88,14.37,14.4,14.58,15.5,13.4,13.83,12.43,11.74,11.22,11.31,10.02,10.19,10.37,9.88,10.65,10.3,10.18,10.12,9.12,8.2,4.81,3.17,3.07,3.14,2.99
"New York",3,4.04,5.05,4.67,4.55,4.04,4.91,4.18,4.18,4.33,4.76,4.21,4.85,4.83,5.57,5.71,6.04,5.94,5.92,5.92,5.56,5.78,5.72,5.77,6.76,6.63,6.49,7.08,7.77,6.71,7.66,7.68,6.56,6.18,5.9,6.57,6.42,5.57,5.48,4.46,5.15,5.26,5.06,4.46,4.41,5.28,4.88,5.47,5.29,5.52,5.24,5.51,6.4,6.44,5.73,4.87,5.95,5.1,4.88,5.16,4.44,4.86,4.95,5.44,4.88,4.74,4.15,4.87,6.24,7.5,7.93,8.69,9.39,11.52,11.33,11.73,10.9,10.41,9.86,9.88,9.85,10.14,10.75,11.85,12.49,12.82,14.81,15.69,14.99,14.82,14.2,12.96,12.85,13.39,14.22,15.86,16.89,18.04,20.36,20.97,20.94,17.35,16.17,15.28,15.86,15.79,16.03,16.1,16.89,18.11,18.55,18.7,17.94,17.3,15.34,16.82,18.4,18.76,18,18.16,18.22,20.38,21.15,21.84,20.63,20.4,18.68,18.43,19.24,18.72,20.74,21,21.12,21.92,23.67,23.67,22.91,21.19,20.6,20.79,20.42,20.27,21.12,21.84,20.78,21.65,23.54,22.24,20.71,19.82,19.22,19.17,18.15,18.24,19.02,20.03,18.92,19.51,20.27,20.2,20.13,18.34,18.06,18.1,17.56,17.09,17.63,18.63,18.3,18.14,18.59,19.21,19,18.62,16.66,15.49,15.98,15.43,15.89,17.25,17.86,18.17,17.84,17.98,17.21,17.57,15.9,16.82,15.16,13.87,12.86
"Florida",4,5.6,5.67,5.54,5.44,5.16,4.63,4.98,4.72,4.79,5.46,5.57,5.41,5.51,5.28,4.59,4.66,4.45,4.02,4.23,4.58,4.81,4.6,5.22,4.73,5.22,5.36,4.72,4.75,4.67,4.39,4.04,4.36,4.48,4.75,5.16,5.06,4.56,4.9,4,3.82,3.29,3.44,3.16,3.23,2.96,3.98,4.62,4.47,4.94,5.39,5.25,4.67,5.03,5.59,5.77,6.21,6.91,7.66,9.26,10.27,10.14,8.42,7.83,7.4,7.73,8.05,8.3,8.63,8.81,9.62,10.4,12.21,11.53,11.3,10.11,10.2,10.79,11.22,11,13.62,14.84,15.88,17.54,19.85,19.71,21.15,21.51,21.51,22.97,24.12,25.85,27.21,29.56,31.92,36.12,38.64,39.79,41.73,40.16,40.07,41.2,40.49,42.89,41.58,44.33,43.42,42.98,44.8,49.23,48,46.35,44.69,45.47,46.16,45.28,49.26,51.07,50.55,51.03,48.82,51.9,53.26,50.63,49.34,47.41,48.86,48.92,50.14,49.77,50.4,50.44,48.7,50.71,49.39,47.59,44.47,43.97,45.57,44.37,44.2,44.39,44.09,43.38,41.89,42.9,41.01,38.09,36.88,35.87,35.68,34.75,33.62,32.58,32.41,32.23,35.55,32.15,31.28,27.74,28.71,28.6,28.33,26.49,27.37,27.04,25.94,25.75,26.69,26.82,24.85,23.53,22.88,22.12,21.36,21.96,21.59,21.37,20.39,20.6,20.65,20.36,20.05,18.77,18.6,18.32,17.67,17.75,17.5,17.5,16.81
"Illinois",5,2.73,3.11,3.08,2.91,1.89,2.09,2.32,2.03,2.14,2.45,2.36,2.98,3.28,3.27,3.01,2.9,2.67,2.21,2.02,1.96,2.14,2.26,2.58,2.36,2.89,3.23,2.64,3.24,2.65,1.82,2.15,2.51,2.35,2.39,2.83,2.7,3.02,2.99,3.02,2.92,2.5,2.39,2.31,2.18,2.41,2.54,2.87,2.8,3.37,3.15,3.07,2.9,2.68,2.99,2.74,2.51,2.81,3.05,3.35,4.03,3.82,3.89,4.04,3.47,3.31,3.28,3.44,3.38,3.67,4.35,4.72,5.88,6.12,5.71,5.36,6.02,4.95,4.82,5.26,5.9,6.14,7.43,9.1,11.14,11.91,13.79,13.09,12.88,12.21,12.91,13.58,14.46,15.98,18.29,19,21.3,23.44,25.44,24.46,25.09,24.77,24.16,24.32,24.47,25.24,25.16,26.12,29.28,33.38,32.75,31.48,29.22,28.77,30.36,33.04,32.47,31.91,35.16,32.95,34.73,37.52,39.38,38.52,36.96,36.58,36.2,35.7,36.89,38.23,38.07,38.86,40.28,43.46,43.58,43.19,41.88,41.07,41.05,39.81,40.85,41.74,43.54,42,42.61,44.42,43.61,43.97,42.66,40.23,38.45,36.78,36.14,38.64,37.55,35.3,36.32,38.68,36.38,36.06,36.39,34.15,31.29,32.66,31.62,31.8,33.25,32.03,31.82,31.93,35.37,33.5,31.99,30.71,29.8,29.06,29.38,29.68,29.98,30.59,31.22,32.34,32.91,31.85,29.48,28.78,27.59,27.81,28.53,28.34,29.51
"Pennsylvania",6,2.72,2.93,2.4,2.26,2.08,2.02,1.85,1.68,1.83,2.11,1.96,1.71,2.46,2.36,2.57,2.3,1.83,1.69,1.68,1.97,2.05,2.1,2.19,2.15,2.5,3.1,2.95,2.5,2.39,2.05,2.29,2.14,2.26,2.54,2.44,3.64,3.6,3.74,4.17,3.99,3.39,2.82,2.92,3.55,3.78,3.7,3.77,3.75,4.22,4.9,4.96,5.18,5.16,4.44,4.27,4.32,4.75,4.62,5.26,4.94,4.54,5.25,5.17,5.29,4.22,4.33,3.91,4.43,5.21,4.88,5.33,5.9,7.45,7.04,7.18,6.03,5.73,5.11,4.42,5.04,5.28,6.45,7.29,6.89,8.57,9.46,7.76,8.47,7.58,7.45,7.23,7.81,8.75,9.33,10.46,11.46,13.15,14.03,13.07,11.48,11.6,11.45,11.35,11.92,11.4,11.79,10.6,12.71,15.01,16.49,13.37,12.81,12.53,11.62,14.25,14.88,15.66,14.6,15.13,15.79,17.57,19.71,18.28,18.26,16.1,15.48,17.14,15.71,17.17,16.98,18.59,18.28,19.8,17.88,18.23,17.71,17.77,17.5,17.71,17.43,16.69,18.22,19.71,18.46,19.38,19.21,19.31,18.59,17.97,17.62,17.87,17.94,18.35,18.23,18.61,18.84,19.83,19.94,20.04,19.92,19.02,17.62,17.25,18.19,18.18,18.66,19.35,19.96,19.82,21.37,21.22,18.8,17.56,17.18,16.38,16.85,16.88,18.01,18.42,18.7,19.28,20.47,20.62,17.95,18.4,15.56,14.52,13.81,13.43,16.67
"Ohio",7,6.61,5.12,5.15,4.92,4.26,4.23,4.03,4.35,4.72,5.41,5.27,6.26,6.41,6.07,5.4,5.47,4.64,4.38,4.61,4.06,5.08,5.48,5.34,5.98,6.71,6.4,5.56,5.08,4.91,3.88,4.2,4.27,4.2,4.5,4.97,5.38,5.86,5.81,4.99,5.06,5.2,4.46,4.28,4.69,4.71,4.82,5.91,5.58,5.91,5.79,5.69,5.1,5.4,4.82,5.27,5.04,5.36,6.38,7.07,7.16,8.72,7.87,6.77,6.84,6.92,6.39,5.82,6.54,7.24,7.76,8.66,9.84,11.61,11.64,11.45,9.68,9.77,9.79,9.31,9.68,10.69,11.63,13.82,14,16.79,16,16.41,16.16,15.21,15.05,16.21,16.93,17.62,18.68,20.43,22.15,24.4,26.72,23.09,23.47,21.82,21.52,22.17,21.2,21.84,23.41,23.99,23.5,27.18,28.28,26.29,25.64,25.06,24.57,26.35,28.03,27.33,28.55,29.62,28.3,31.96,32.5,31.05,29.9,30.31,29.55,31.02,29.94,30.29,30.52,30.42,32.94,32.84,32.24,30.5,28.8,29.52,29.61,27.9,29.24,27.66,28,26.27,29.02,26.82,27.75,27.54,28.25,27.58,26,26.67,26.34,26.44,25.24,23.27,25.55,27.38,28.45,27.46,26.65,27.24,24.5,23.84,21.99,24.85,24.51,25.73,25.52,29,28.66,26.79,26.51,23.65,21.42,22.48,21.9,22.91,22.75,23.16,21.9,24.35,24.17,24.38,22.56,21.23,18.82,17.32,17.75,18.5,19.97
"Michigan",8,3.66,3.44,3.8,3.08,2.67,2.32,2.81,2.46,2.82,3.2,3.87,3.84,4.39,4.43,3.99,3.67,3.09,2.28,3.15,2.88,2.96,3.28,3.49,3.55,3.87,3.81,2.98,3.28,3.03,2.76,2.86,2.78,3.02,3.05,3.07,3.46,3.22,3.46,3.63,3.45,3.14,3.27,2.97,2.84,3.04,3.76,3.51,3.66,3.72,4.47,4.04,4.05,3.78,3.55,3.9,3.93,4.11,3.61,4.25,5.14,5.53,6.35,6.76,6.83,7.02,6.51,6.79,6.96,9.39,8.97,9.89,12.38,12.26,10.69,12.28,13.82,13.11,13.58,13.41,15.92,18.13,17.36,18.88,20.72,22.41,22.63,23.08,24.22,24.56,24.63,25.59,25.72,26.66,28.77,30.49,33.15,31.17,33.95,34.47,36.74,39.4,38.51,37.68,36.27,36.41,35.63,35.68,38.2,40.46,40.88,40.53,38.34,38.73,38.06,39.79,39.17,37.08,38.25,37.06,38.32,39.13,40.82,42.09,39.42,39.87,37.66,35.92,35.65,36.27,36.3,36.8,37.71,39.76,41.33,40.76,39.15,38.48,37.17,37.19,38.3,38.25,35.52,36.59,35.86,36.97,35.82,34.16,35.82,33.84,32.33,31.03,30.99,30.41,28.13,30.52,28.78,29.52,28.85,30.51,29.24,27,25.85,24.76,24.81,24.68,24.53,25.1,24.72,25.09,24.92,26.29,24.63,21.62,21.65,20.69,21.46,21.24,20.88,21.37,22.03,21.19,23.11,20.78,20.28,18.68,16.93,15.48,15.94,15.15,14.43
"Georgia",9,3.49,3.17,2.96,3.34,2.76,2.89,2.54,2.62,2.91,3.68,4.45,4.45,4.37,5.09,5.05,4.2,3.97,4.11,4.06,5.01,5.1,5.24,5.98,6.2,7.44,8.33,8.95,8.78,9.03,8.83,8.98,8.45,8.87,7.83,9.45,9.03,7.68,7.37,7.23,6.66,6.83,5.43,5.93,5.96,6.73,6.57,6.99,6.96,8.34,7.55,7.31,7.46,7.25,7.25,6.69,6.74,7.98,8.28,8.61,8.95,11.81,12.8,11.71,11.41,10.48,9.41,8.96,9.06,10.23,11.43,12.02,12.61,12.66,12.24,12.08,11.45,10.84,10.48,10.9,11.4,13.03,13.37,14.51,16.49,18.66,18.65,17.66,17.88,16.89,17.38,19.97,22.8,24.33,22,28.33,28.34,32.58,31.37,26.81,28.97,28.27,28.13,28.15,29.11,32.2,30.86,31.87,34.09,35.54,32.49,35.46,34.66,32.57,34.61,38.75,37.58,36,36.31,35.83,41.06,38.66,40.01,35.68,38.48,38.32,39.41,39.75,38.84,41.06,40.98,42.02,43.06,39.33,41.35,37.06,37.22,40.22,40.47,38.92,41.73,40.31,41.3,38.72,38.18,37.89,39.92,41.59,39.99,36.72,35.75,37.03,35.61,35.86,34.97,37.63,35.48,34.24,35.09,33.49,32.95,31.09,30.75,30.72,28.66,29.83,30.65,30.81,30.67,31.55,31.02,28.95,27.11,25.84,24.76,23.41,24.78,24.27,26.47,25.09,26.26,25.96,25.72,24.74,23.25,21.94,18.18,17.26,17.46,18.21,17.8
"North Carolina",10,5.23,3.02,2.6,2.39,2.87,2.45,2.85,2.81,2.88,3.26,2.97,3.21,3.78,3.85,3.84,3.61,3.15,3.2,3.84,3.14,4.02,4.61,4.82,6.43,5.66,6.22,6.89,6.85,5.63,4.88,6.31,5.89,6.65,6.95,7.21,7.74,7.33,7.56,7.19,7.08,6.38,5.88,5.83,6.07,5.75,6.87,6.24,7.86,7.15,7.56,6.6,7.23,6.36,6.45,7.51,6.71,7.05,7.36,8.12,7.97,8.81,8.78,8.63,8.41,7.44,6.78,7.23,6.94,7.56,7.52,7.81,8.38,8.12,9.02,6.97,8.86,9.48,7.32,7.2,7.6,8.66,9.67,9.53,11.25,12.62,12.49,11.96,10.72,10.48,10.3,11.31,12.01,12.78,13.22,14.68,17.02,17.65,19.17,18.62,18.42,17.31,16.74,17.18,18.35,18.78,18.91,21.25,21.27,17.57,20.36,20.65,21.6,19.66,20.9,22.85,26.26,21.36,23.38,24.66,25.76,26.13,25.99,27.42,28.54,27.93,28.08,27.83,29.6,29.79,29.94,30.22,30.18,30.67,31.79,31.36,31.04,32.31,31.4,30.46,30.7,30.24,29.88,30.23,28.37,28.82,29.11,28.46,28.97,28.01,27.34,28.38,27.64,28.73,27.12,26.73,27.47,26.77,26.27,26.79,25.79,25.27,25.03,24.93,25.19,25.02,23.68,24.54,25.01,24.97,23.34,23.38,21.54,20.65,21.01,20.78,20.88,20.88,20.2,21.44,21.04,19.59,20.81,20.29,18.8,18.37,16.75,16.67,15.99,15.66,15.93
