"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,150900,150900,150600,150300,150100,149900,150000,150200,150600,151300,151900,152400,152800,153200,153300,153300,153500,154000,154600,155300,156400,157800,159400,159300,159000,159700,161600,162900,164300,165000,166000,167100,168100,169300,170400,171900,173200,174400,175600,177100,178400,179800,181600,183500,185400,187800,190200,192500,194800,197200,199500,201800,203900,206000,208300,210700,213200,215600,218400,221500,224200,226400,228500,230800,233100,235300,237400,239600,241900,244500,247300,250400,253500,257100,260800,264700,268900,273200,277400,281700,286000,290100,294100,298300,302300,305900,309400,313500,318400,323800,329400,335400,341600,348100,355000,362300,370300,379300,388800,397900,406500,414400,421300,427300,432800,438500,444200,450100,456100,461900,467600,474300,481000,486900,492300,497600,501600,503700,505200,507100,508900,510200,510700,510400,509600,508200,506400,504400,502100,499500,497700,496200,494300,491400,487600,483100,478200,472900,467800,462300,454700,445500,435800,425700,414900,404500,394600,384700,375100,366400,358400,350400,343800,339500,335600,331200,326600,322300,318600,315700,313200,311400,310200,309100,310700,314500,316900,316300,316400,316900,316800,315800,315100,314000,312400,310900,309200,306700,304300,302500,300500,298300,296200,294400,292600,291400,290600,290200,289300,288500,288200,288900,290400,292300,294500,297100,300000,303100,306600,310700,314400,317600,321600,327500,334000,340700,347600,354500,360300,365100,369000,372800,375700,378000,380700,383700,386100,388300,390600,392900,395200,397700,399800,401700,403400,404900,407100,409600,412000,414400,416800,418900,421300,423700,426100,428700,431200,432900,434800,437200,439400,441100,443000,445400,448000,450700,453700,456100
54,"Texas",2,70200,70100,70400,70500,70700,70800,71600,73600,75600,76300,76500,76900,77300,77600,77900,78500,78900,79200,79600,79800,79900,80200,80500,80800,81100,81300,81600,81900,82200,82500,82500,82500,82700,83300,83900,84400,85000,85800,86600,87400,88000,88600,88900,89000,89400,89700,89600,89400,89600,89900,89900,90000,90400,91000,91400,91600,91800,91900,92000,92000,92100,92300,92600,92800,92900,93000,93400,93800,94100,94500,94900,95200,95500,95900,96400,96800,97300,97800,98300,98900,99200,99600,99900,100200,100500,101000,101400,101700,101900,102100,102300,102300,102800,103800,105300,107000,108600,109500,110500,111200,111900,112600,113300,113800,114200,114600,115100,115500,115700,116100,116300,116600,117000,117400,117600,117800,118100,118600,119100,119700,120200,120600,121000,121500,122100,122700,123000,123400,123800,124200,124500,124800,125200,125600,126000,126400,126600,126800,127000,127400,127200,126200,124600,122800,121300,120000,119000,118400,118200,118200,118300,118400,118600,118900,119100,119200,119200,119000,118900,118700,118700,118500,118200,117900,117300,116400,115800,115800,115700,115600,115700,115600,115100,114600,114200,113900,113600,113300,113300,113400,113300,113000,112600,112100,111500,111000,110700,110400,110700,111200,111500,111600,111800,111900,111800,111800,111900,112000,112100,112000,112200,112900,113700,114400,115100,115900,116500,117000,117700,118400,118700,119400,120100,120600,121000,121300,121800,122600,123300,123800,124200,125000,126000,126800,127400,128100,129100,130300,131500,132900,134000,135100,136200,137300,138500,139400,140400,141600,142900,144100,145200,146100,148100,150200,151400,151700,152400,153000
43,"New York",3,82200,82400,82700,83000,83100,83200,83500,84000,84400,84800,85100,85100,85000,85000,85200,85300,85200,85300,85300,85400,85800,86200,86600,87100,87400,87600,87400,87000,86800,86700,86700,86800,86900,86700,86800,87000,87300,87500,87900,88400,88900,89300,89600,89800,90000,90300,90800,91200,91500,91900,92300,92500,92900,93300,93500,93700,93900,94300,94900,95600,96200,96500,96700,96800,97100,97300,97600,98000,98300,98800,99200,99500,99900,100400,100800,101200,101800,102600,103400,104200,104900,105300,105900,106800,107600,108300,109400,110600,111500,112200,113100,114000,114800,115100,115600,116400,117400,118200,119100,120100,121300,122400,123200,124100,125000,125600,126300,127200,127900,128700,129800,130800,131700,132700,133700,134700,135100,135400,135700,136100,136400,136800,137300,137900,138300,138600,139000,138700,141500,146800,150000,150000,150600,151100,151400,151700,152300,152800,153100,153100,152900,152800,152700,152600,152600,152500,152200,151900,151800,151500,151200,151600,149100,144500,142300,143200,143100,142700,142300,142100,141800,141500,141300,141100,141600,142200,142300,141700,141200,141200,141300,141200,140800,140500,140500,140300,140000,139800,139400,139000,139000,139300,139400,139200,138800,138300,138000,137600,137500,137600,137800,137800,137600,137500,137300,137300,137300,137400,137400,137600,138200,138600,138700,139000,139500,139700,139500,139600,139900,140200,140400,140400,140400,140600,140900,141000,141000,141100,141400,141600,141600,141700,141500,141400,141500,141400,141200,141300,141500,141800,142200,142600,143200,143600,143800,144100,144600,145100,145400,145800,146000,146200,146400,146600,146700,147000,147800,148700
14,"Florida",4,89100,89500,89600,89600,89600,89500,89600,89800,90100,90400,90800,91200,91600,91800,92000,92300,92600,93100,93400,93600,94000,94600,95200,95800,96100,96300,96500,96600,96700,96900,97000,97400,97900,98500,99200,99700,100100,100500,101000,101500,101900,102600,103300,103900,104400,105100,105900,106800,107400,108000,108700,109600,110300,111000,111800,112400,113100,114000,114800,115500,116200,117000,117800,118800,119700,120600,121600,122400,123200,124200,125400,126500,127500,128500,129300,130400,131600,132600,133700,135100,136400,137500,138900,140200,141500,142800,144300,145500,146700,148000,149700,151400,153300,155000,156900,159000,161300,163900,166600,169600,172900,176200,179500,183100,187000,190700,194500,199100,204400,210100,215800,221400,227300,232900,238000,242700,246600,249500,252100,254800,257000,258300,259000,259000,258600,257900,256800,255500,253800,251900,250000,247900,245600,243200,240400,237400,234400,231400,228300,225200,221500,217100,212500,207900,203500,199400,195500,191700,187900,183900,179800,175500,172200,170200,168500,165800,162800,160000,157500,155300,153500,152100,150800,149600,149300,149400,148900,147600,146500,145200,144200,143300,141900,140400,139100,138100,136500,135200,134300,133700,132800,132100,131400,130500,129700,129200,128800,128400,128100,128000,128400,129000,129800,130800,131600,132300,133300,134300,135100,136100,137100,138000,139000,140400,142100,143800,145500,147200,148900,150600,152500,154300,155900,156800,157500,158700,159800,160700,161500,162200,163300,164500,165600,166900,168000,168800,169600,170800,172200,173800,175400,176900,178600,180200,181700,183300,185000,186200,187400,188900,190300,191600,193400,195700,197600,199300,201400,203200
21,"Illinois",5,109300,110400,111300,111700,111900,112200,112500,112600,113000,113700,114200,114500,114900,115100,115200,115300,115700,116300,116700,117000,117400,118000,118500,118700,118800,118700,118800,119000,119500,119800,120000,120200,120500,120900,121500,121900,122300,122700,123100,123800,124100,124400,125000,125700,126300,126900,127800,128700,129300,129900,130600,131000,131000,131400,131900,132600,133200,133600,134000,134900,135700,136200,136600,137300,138200,139200,140100,140800,141300,141800,142200,142800,143400,144000,144600,145400,146100,146500,147000,147700,148500,149300,150200,151000,151800,152700,153900,154700,155600,156400,157100,157900,158800,159700,160700,161300,161900,162700,163700,164700,165900,167000,167800,168600,169500,170300,171100,172200,173200,173900,174600,175500,176400,177300,178200,179100,179800,180600,181300,182000,182700,183200,183500,183900,184100,184300,184500,184900,185400,185800,186100,186400,186700,186800,186600,186400,186200,186100,186000,185500,184900,184400,183800,182900,182100,181600,180800,179900,179100,178200,177300,176300,175100,174100,172900,171600,170200,168700,167400,166300,165500,164900,164400,163700,162900,162100,161500,160700,159900,159800,159400,158200,156900,156000,154900,153700,152800,152000,151000,150200,149500,148300,147100,146200,145300,144300,143300,142600,142100,141400,140800,140600,140500,140500,140700,141300,141600,141100,140800,141000,141200,141200,141400,141600,141800,142200,143000,143800,144500,145400,146200,146700,147200,147800,148400,148800,149200,149500,149800,150200,150800,151400,151800,152300,152500,152600,153000,153500,154000,154200,154300,154600,154900,155100,155500,155900,156200,156700,157300,158000,158800,159600,160200,160800,161300,161700,162300,162600
47,"Pennsylvania",6,85400,85700,85700,85700,85900,86000,86000,85900,86000,86400,86700,86800,86800,86900,87000,87100,87200,87500,87800,88000,88300,88800,89400,89600,89600,89700,89900,90000,89900,89800,89900,90100,90400,90700,90900,91000,91300,91400,91300,91300,91500,91700,91900,92200,92400,92700,93200,93700,94000,94300,94700,95000,95300,95600,96200,96600,96700,96900,97500,98200,98700,99200,99600,99900,100300,100800,101200,101800,102400,102900,103300,103800,104300,104900,105600,106400,107200,107800,108400,109100,110000,110800,111500,112100,112700,113600,114600,115500,116300,117000,118000,119100,120000,120700,121600,122600,123700,124500,125400,126400,127700,128900,129900,130800,131900,133000,133900,135000,136300,137400,138500,139600,140900,142200,143400,144500,145500,146400,147100,147700,148200,149100,149900,150600,151100,151600,151900,152300,152500,152500,152800,153300,153900,154500,154700,154800,155100,155200,155200,155200,154700,154100,153900,153900,153900,153600,153400,153400,153300,153000,152700,152500,152100,151700,151700,151700,151200,150500,150200,149900,149600,149700,149700,149400,150500,152400,153100,152600,152500,152400,152100,151500,150600,149800,149300,149000,148600,148100,147500,146900,146100,145500,145000,144700,144500,144300,144000,143700,143100,142500,142000,141900,142100,142200,142100,142100,142300,142400,142700,143200,143300,143200,143300,143400,143600,143900,144000,144000,144100,144100,144300,144400,144500,144700,145000,145200,145600,146100,146300,146400,146600,146800,146700,146700,146700,146600,146700,147000,147300,148000,148700,149300,149900,150400,150700,150900,151000,151100,151700,152400,152700,152900,153600,154400,155100,155700,156300,156800
44,"Ohio",7,87900,88100,88300,88600,88900,89000,89100,89400,89800,90100,90500,90700,91000,91400,91800,91900,92300,92800,93100,93400,93700,94000,94400,94800,95100,95200,95400,95600,95800,96200,96500,96800,97200,97800,98400,98700,98900,99400,100100,100500,100700,101000,101600,102000,102200,102600,103200,103700,104200,104700,105200,105600,106100,106500,106800,107100,107500,108000,108200,108600,109000,109200,109500,110100,110400,110600,110800,111100,111400,111700,111800,112200,112600,112900,113000,113300,113700,114000,114300,114500,114900,115100,115500,115800,116400,117000,117300,117600,118100,118500,119000,119600,120000,120300,120600,120900,121100,121400,121500,121700,122000,122400,122700,123000,123300,123600,124000,124300,124500,124800,125000,125200,125300,125400,125600,125900,126100,126200,126300,126200,126100,126100,126200,126200,126100,125900,125700,125600,125400,125100,125100,124900,124600,124400,124000,123600,123200,122900,122500,122100,121700,121000,120300,119700,119100,118500,118000,117500,117100,116700,116300,115800,115200,114800,114400,114100,113700,113200,112800,112700,112400,112200,112100,111900,112000,112500,112500,111900,111800,111800,111500,111200,110900,110400,109700,109000,108600,108100,107700,107500,107100,106700,106400,106200,106100,105800,105400,105000,104700,104500,104500,104800,105200,105600,105900,105800,105800,106000,106100,106200,106500,106700,106800,106900,106900,107100,107300,107600,107800,108100,108500,108900,109200,109300,109600,109900,110100,110200,110600,110900,111100,111400,111700,111900,112200,112400,112600,113100,113500,114000,114500,114900,115300,115900,116400,116900,117200,117600,117900,118300,118600,118900,119200,119800,120300,120900,121800,122600
30,"Michigan",8,98200,97800,97900,99000,98900,98500,98800,99600,100300,101000,101800,102700,103600,104700,105800,106700,107500,108200,108900,109700,110500,111300,112000,112600,113300,114200,114900,115800,116600,117400,118200,118800,119400,120100,120900,121700,122700,123800,124600,125200,126100,127100,127900,128300,128800,129500,130400,131300,132000,132500,133300,133900,134400,135000,135700,136400,137200,137800,138400,139300,140100,140900,141600,142200,142800,143500,144000,144400,144700,144800,145100,145400,145600,146000,146400,146800,147200,147600,148100,148600,149200,149700,150200,150800,151400,151800,152000,152400,153100,153500,153700,154100,154700,155100,155600,155900,156200,156400,156600,156800,157300,157700,158000,158300,158700,158900,159000,159200,159600,160000,160100,160000,159800,159700,159900,160100,160200,160100,159700,159300,158700,158100,157500,157000,156300,155600,155100,154600,153900,153000,152200,151400,150500,149600,148500,147600,146600,145700,144700,143400,141700,139900,138100,136300,134600,132700,130800,129000,127200,125200,123100,120900,118900,117300,116200,114900,113300,111700,110500,109300,108200,107500,107100,106500,106600,107300,107300,106700,106600,106800,106900,106500,106100,105500,104800,104100,103400,102600,102100,101700,101200,100900,100400,99800,99300,99000,98500,98300,98100,98200,98400,98900,99600,100200,100700,101700,102900,104000,105200,106500,107500,108300,109100,110200,111400,112700,114000,115200,116500,117900,119200,120400,121400,122000,122800,123700,124600,125600,126700,127600,128400,129000,129500,130100,130600,130900,131300,131800,132200,132700,133500,134200,134800,135300,135900,136900,137900,138500,139100,139900,140900,141800,142600,143700,144800,145500,146600,147700
16,"Georgia",9,88000,88200,88400,88700,88700,88900,89300,89500,89700,90100,90500,90800,91000,91300,91800,92200,92500,93000,93500,94100,94500,94800,95300,95800,96300,96600,96900,97500,98100,98700,99200,99700,100300,101000,101600,102200,102800,103600,104300,105100,106000,106600,107200,108000,108700,109400,110400,111300,112000,112800,113700,114300,115000,115600,116100,116800,117600,118100,118700,119200,119800,120500,121100,121500,121900,122400,122900,123300,123600,124000,124600,125100,125500,125800,125900,126200,126700,127300,127700,128000,128200,128600,128900,129200,129600,130100,130600,131000,131200,131500,131900,132200,132600,133100,133500,133900,134100,134300,134600,135100,135500,135800,136300,137000,137600,138100,138600,139100,139500,139900,140300,140800,141200,141800,142500,143200,143800,144200,144600,145100,145500,145900,146200,146500,147000,147400,147500,147700,147500,147000,146700,146800,146900,147000,147100,147100,147300,147100,146800,146500,146100,145300,144400,143600,142700,141700,140600,139600,138400,137100,135600,134000,132700,132000,131400,130700,129400,128100,127100,126200,125500,125000,124500,123800,124100,125100,125300,124500,124200,123800,123000,121800,120400,119100,117900,116700,115300,113700,112400,111300,110200,109300,108600,107500,106200,105300,104700,104100,103500,102800,102300,101900,101700,101600,101700,102300,103000,103500,104000,104500,104900,105100,105300,106000,106800,107600,108400,109500,110700,111500,112400,113300,114000,114400,115100,116000,116800,117500,118300,119000,119600,120200,121000,121700,122100,122600,123400,124300,125100,126100,127100,128100,129300,130200,130900,131600,132700,133700,134300,134900,135500,136200,136600,137000,137700,138600,139500,140300
36,"North Carolina",10,91100,91400,91600,92200,92500,92700,92900,93200,93600,94200,94900,95600,96300,97100,97600,98200,98700,99200,99700,100300,100700,101100,101900,102800,103300,103800,104300,104700,105200,105700,106400,107100,107300,107400,107900,108700,109000,109400,110100,110500,110900,111400,111700,111800,112000,112600,113200,113600,113900,114500,115000,115500,115900,116300,116800,117200,118500,119600,119400,118800,119200,119300,119200,119200,119400,119500,119700,120000,120100,120000,120200,120600,120700,120700,120800,121400,121800,121800,122000,122500,122800,122800,123100,123500,123800,124200,124600,124700,124600,124800,125200,125500,125700,126000,126400,126900,127300,127700,127900,128400,128900,129400,129900,130300,130600,131200,131800,132200,132700,133500,134000,134600,135400,136300,137000,137600,138400,139000,139500,140000,140500,141000,141400,141900,142700,143400,143600,144000,144600,144900,145300,145700,146200,146700,147200,147800,148300,148600,148700,148900,148900,148800,148600,148700,148800,148800,148700,148500,148000,147500,147100,146500,145800,145400,145200,144800,144200,143700,143300,143000,142600,142400,142400,142300,142300,142600,142700,142300,141900,141500,141100,140500,139700,139200,138800,138500,138100,137500,136900,136500,136200,136100,135800,135400,135000,134600,134100,133700,133600,133500,133300,133300,133300,133100,133200,133500,133800,133900,134100,134400,134600,134800,135300,135700,135800,135900,136300,136600,136900,137300,137600,137700,138000,138400,138600,138900,139300,139400,139400,139600,139900,140000,140100,140400,140400,140300,140500,141100,141600,142100,142600,143000,143500,144000,144300,145000,145600,146000,146300,146700,147300,148000,148700,149300,150000,150700,151700,152700
