"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,265300,264300,262500,260800,259200,258500,258200,258100,258500,259600,260700,261800,262800,264400,266800,268900,270600,272800,275300,277800,280400,283400,286600,288500,289700,291500,295000,298600,301700,304500,308100,311700,314900,317500,319500,321800,324500,327500,330300,332800,335200,337500,339800,342600,345900,349700,353900,357800,362000,366900,371300,375700,379700,383300,387000,391200,395400,400100,405100,410000,414300,417700,420100,422600,425700,428900,432000,434800,437500,440500,443700,447000,450600,454400,458900,464200,470000,475200,480200,485800,491500,496700,502100,508200,513900,519000,524200,530000,536900,544900,553000,561100,569500,578500,588500,599400,611400,624600,637700,650100,661400,671900,681300,690200,699200,708400,717900,727500,737000,746100,755200,764300,773000,780500,786900,793000,798300,801700,803600,805200,806200,806400,805600,804300,802700,801000,799300,797600,794900,792100,790400,788800,786000,782200,777200,771600,765800,759400,752800,745900,737000,726800,714900,701300,687700,675300,663200,651900,641600,632100,622900,613000,605000,599800,595100,589500,583900,578700,574600,571500,569100,567600,566600,565500,566500,568400,569100,568600,568200,567300,566400,564300,561500,558500,555800,553200,549500,545400,542500,539900,536300,533400,531500,529800,527300,525700,525000,525100,524500,523500,523000,524100,526800,530400,533600,537200,541500,545300,549200,555000,561600,567400,573300,581900,592400,602700,612300,621500,629700,636500,641500,645800,649600,653300,657500,661400,663700,665600,668100,670800,673400,676400,679400,681900,684500,687300,690600,694200,697700,700500,703300,706300,709800,713300,716500,719500,722200,724800,727200,730000,733000,735300,736400,737000,738300,741200,745100,748100
43,"New York",2,153600,153600,153400,153300,152900,151900,152700,154500,156400,158500,160500,161000,161500,162100,162900,163500,164100,164800,165200,165700,166100,166600,167300,168600,169900,170700,171100,171200,171500,172100,172500,172900,173200,173500,174200,175300,176400,177500,178900,180600,182400,184200,185700,187300,189200,191300,193300,195200,197200,199300,201300,202900,204600,206400,208200,209800,211300,212900,214700,216400,218100,219600,220300,221000,222400,224300,226000,227500,228700,229900,230500,231200,232400,234000,235500,237700,240700,243800,246600,249200,251800,254500,257700,261300,264300,267800,272800,277100,279700,282000,284400,287000,289200,290400,292200,295100,297900,300300,303200,306700,310600,314000,317500,321700,325100,327700,331400,336200,340500,344600,348700,352500,356100,359700,363500,367200,369500,370700,372300,374400,376800,379100,380800,382600,384300,385100,385300,383600,391600,407300,416400,415500,416400,417100,417200,416600,415400,414100,412700,411100,408900,406500,404100,401500,398400,395400,392400,389400,386700,384800,383300,383200,373900,358900,350900,351500,349800,347400,344700,342500,340900,339600,338400,336700,337300,339800,340400,337900,335800,334400,333400,331900,330000,328100,326700,326000,325500,324800,323400,322000,321700,322200,322400,321800,320800,319900,318900,317900,316800,315800,315400,315700,315300,314100,313400,313900,314800,315500,315600,316100,316800,317100,317200,317700,318400,319400,320400,321300,322400,323100,323200,323100,323500,324300,324700,324800,325300,326000,326500,327000,327600,328100,328300,328800,329800,330400,330400,330800,331600,332400,333100,333900,334600,335500,336400,337000,337300,338200,339400,340700,341500,342000,342900,344100,345200,346400,348300,350100
14,"Florida",3,199900,200600,200200,199800,199700,199300,198800,198800,199100,199500,200800,202800,204300,204900,205400,205900,206400,207300,209200,211000,212600,214300,215900,217200,217600,218300,219300,219800,219900,220900,221700,222500,223500,224700,226100,227800,229100,230300,231600,233000,234600,236400,237900,239300,240700,242000,243500,245500,247900,250100,252400,254700,256500,258000,260100,262200,263700,265500,267700,270000,272000,273900,276000,278600,280700,282200,283800,285600,288000,291000,294500,297500,299900,301100,302900,306000,310000,313200,315600,318500,321200,323400,324900,326200,327800,329900,332000,334100,336700,340000,343200,346600,350900,355400,359500,363000,367400,373200,379700,386300,392900,399900,407600,415000,422300,430100,438100,447200,457700,468900,479400,489200,499300,509100,517900,526100,531900,535400,539400,544900,549800,553300,555400,556500,556500,555800,555100,555200,553600,550800,548900,547400,544500,540700,536300,531200,525800,520200,514400,508800,501500,492100,482200,473500,464500,455600,447000,438600,430600,423100,415400,406800,399700,396000,393400,389600,385300,381000,376800,373200,370600,368700,367000,364300,367500,374400,376000,371200,368100,366100,365100,364000,361600,358900,356700,354500,350400,346500,344800,344700,344100,343700,343400,343100,342700,342000,341100,341500,341400,340400,340800,342900,344800,346400,348800,351100,353100,354400,356100,358600,360400,360900,362100,364900,368000,370700,373000,375600,378900,382500,385700,388700,391100,392500,393700,395900,398700,401100,402400,402900,403600,405200,407000,409500,411200,411800,412900,415200,417200,419100,420900,423100,425600,428400,430700,432900,434600,435600,436800,438500,440400,441900,443600,445500,447600,450500,454600,458400
21,"Illinois",4,224000,223000,222600,222800,223600,224900,225800,226000,226700,228300,229500,230000,230900,231900,232500,233300,234200,234700,235100,235900,236300,237300,238500,239600,240200,240600,240900,241700,242800,243700,244800,246100,247300,248200,249400,250800,252300,253900,255200,256100,257100,258200,259900,261500,262800,264500,266500,268100,269400,271000,272900,274300,275200,276500,278000,279600,281800,284100,285800,287300,289200,291300,292900,294700,297100,299200,300500,302100,303500,304300,304900,306300,308100,309800,311400,313200,314900,317000,319100,321500,323800,326100,328500,331100,333200,335200,338100,340900,342800,344100,345200,346000,347300,349000,350300,351500,353300,355500,357700,359800,361800,363800,366300,369500,372400,374800,377400,380200,382700,384800,387100,389500,392000,394200,396200,397800,399300,401000,402900,404800,406800,408700,409700,410300,411200,412400,413700,414500,415000,415600,416600,417300,417700,417900,417500,416600,415500,414300,412900,411600,410200,408700,406600,403500,400600,398300,396200,394000,392000,390500,389500,387900,386100,384800,383600,381500,378700,375100,371700,369100,367200,365900,364700,363900,362100,359300,357100,355800,354000,352800,351200,348900,346400,343800,340900,338600,337000,336200,334900,333500,331800,329500,327100,325500,324500,323900,322700,320900,319500,318000,315900,314400,314200,315000,316800,318900,319800,319200,318900,319300,319700,319900,320700,322300,324400,326700,329100,331400,333400,334900,336200,336900,337800,339100,340500,341500,342100,342700,343800,345600,347100,347700,347600,347500,347700,348300,348900,349900,351500,352900,353100,352500,352200,352200,352500,353500,354700,355100,355800,356900,358300,359000,359300,358800,358600,359700,361700,363100
47,"Pennsylvania",5,146100,145600,145300,144900,144700,144800,144900,144700,145000,145300,145700,146300,146800,147000,147300,148000,148800,149300,149700,150100,150400,151000,152000,152700,153100,153400,153500,153400,153200,153200,153500,153900,154400,155000,155500,156100,156500,156800,157100,157400,157800,158400,158900,159300,159900,160500,161300,162300,163200,164100,164900,166000,167200,168200,169100,170200,171200,172000,172800,173900,175000,176100,177000,177900,178500,179100,179800,180800,181600,182300,183200,184400,185400,186500,187700,189000,190300,191800,193500,195300,197400,199500,201100,202600,204600,206800,209100,211300,213500,215500,217200,218900,220800,222800,224600,226400,228000,230000,232400,235000,237700,240300,242800,245100,247300,249400,251800,254200,256800,259500,261800,263800,265900,268500,271300,273800,275300,276500,277700,278800,279700,280700,281900,283000,283600,283700,283900,284300,284300,284300,284900,285800,286400,286700,286600,286300,286400,286500,286400,286000,285100,284000,283200,283000,282600,282200,281900,281900,281700,281100,280400,280000,279400,279000,278900,278800,278400,277800,276700,275400,274700,274200,273900,273200,274700,277000,277800,277000,276900,276500,276200,275400,274200,273200,272400,271500,271100,271000,270400,269300,268200,267100,266000,265300,264900,264500,264200,263700,263300,262900,262300,261800,261500,261500,261800,262500,263000,263400,264000,265000,265600,265900,266200,266800,267500,268400,269000,269400,269900,270400,270900,271300,271400,271600,272200,272800,273400,274500,275500,276400,277100,277600,277700,278100,278200,277800,277900,278900,279900,281200,282600,283500,284200,284600,285000,285600,285500,285200,285900,287400,288300,288700,289800,291700,293400,294800,296300,297700
44,"Ohio",6,154400,154600,154500,154600,154900,155000,155000,155200,155600,156300,156800,157500,158200,159000,159400,160000,160800,161400,161900,162300,163100,163900,164600,165100,165500,165800,166300,166600,166800,167100,167600,168200,168800,169300,170000,170700,171400,172200,173200,174000,174600,175100,175500,176000,176600,177300,178300,179200,179900,180600,181300,182000,182500,183000,183700,184400,184800,185200,185500,186100,186500,187000,187500,187800,188200,188900,189400,189800,190300,191100,191700,192200,192700,193200,193600,194300,195000,195800,196400,196900,197400,198200,199000,199900,201000,202000,202900,203800,204900,205900,207100,208700,210000,210300,210400,210800,211400,211900,212300,212600,213000,213400,213800,214300,214900,215400,215800,216500,217100,217300,217700,218200,218700,218900,219300,219800,220200,220400,220900,221200,221100,221100,221100,220900,220600,220600,220600,220400,219900,219300,219000,218800,218600,218200,217800,217500,217200,216800,216300,215700,214700,213600,212400,211600,210700,210000,209400,208900,208500,208100,207500,206700,206500,207200,208000,208000,207800,207500,207300,206800,206400,206100,206100,205700,206000,206700,206700,206000,205700,205700,205700,205600,205300,204700,203900,203200,202600,201800,201100,200600,200300,200100,200000,199900,199900,199700,199400,199300,199300,199500,199800,200200,200900,201400,201900,202300,202800,203100,203300,203700,204000,204100,204200,204700,205000,205400,205900,206500,207000,207700,208400,209200,210300,211000,211200,211500,212300,213100,213700,214000,214400,215000,215600,216200,216400,216600,217300,218500,219500,220100,221100,222400,223400,224500,225600,226900,227700,228200,228800,229500,229700,230200,230900,231400,232000,232800,234300,235900
30,"Michigan",7,166500,163600,161800,162000,162600,163200,163700,164200,164500,164300,164600,165900,167500,168900,170100,171000,171900,172600,173100,174000,175200,176000,176800,178000,179700,181600,183300,184400,185300,186200,187100,187900,189300,191100,193100,195100,196900,198600,200100,201200,202100,203100,204300,205400,206600,208100,209600,211100,212700,214400,216000,217600,219300,220600,221700,223100,224700,225800,226300,226900,228200,229500,230600,231600,232400,233100,234100,235200,235900,236500,237400,238400,239800,241100,242200,243400,245100,247000,248700,249800,250500,250800,251200,251600,252000,252600,253800,254900,255800,256800,258000,259300,260400,261100,261600,262000,262200,262200,262300,262700,263200,263900,264300,264600,265300,266300,267300,268100,268600,268900,269200,269400,269400,269000,268700,269000,269500,269500,269200,268800,268700,268500,267800,267100,266200,265200,264300,263500,262200,260800,259700,258800,257600,256300,254900,253200,251500,249800,247700,245500,243000,240000,237000,234300,232200,229900,227600,225300,223000,220400,217800,214600,213200,214300,215500,214300,212000,210000,208500,207400,206700,206500,206300,206400,205700,203800,202100,201600,201200,201300,201500,201400,201100,201300,201700,201600,201300,200800,200700,200600,200600,200600,200600,200200,199800,199700,199700,199500,199900,200800,201600,202800,204700,206400,207200,208300,210000,211600,213500,215800,217500,218600,219500,220500,221800,223400,225100,227200,229100,230700,232100,233700,235100,235900,236700,238200,239900,241700,243500,245100,246200,246800,247400,248500,249700,250900,251900,253100,254200,255500,256500,257200,258000,258700,259100,260100,261600,262800,263700,265000,266200,267200,269000,271100,272600,273500,274700,275800
16,"Georgia",8,212800,212500,212300,212100,212000,212000,212300,213200,214200,214700,215300,216600,218400,219700,220500,221500,222400,223500,224700,225600,226700,227900,229000,230000,230800,231400,232400,233600,235100,236700,238500,240000,241400,242500,244100,246100,248200,250100,252200,253900,255200,256200,257300,258400,259600,261100,262600,264100,266100,268500,270400,272100,273500,274800,276100,277000,277900,279600,281400,282500,283000,283500,284300,285400,286900,288800,290200,291400,292700,293800,294800,296100,297200,298100,298900,299900,300900,301700,302400,303600,304600,305400,306400,307400,308600,309900,311000,311700,312400,313000,314100,315500,316700,317700,318800,319900,321100,321900,323200,324800,326600,328400,330100,331800,333600,335400,337300,339600,341500,343200,345000,346800,348800,351100,353500,356100,358700,361400,363500,365200,366900,368800,370500,372200,373900,375000,375900,377100,377300,376800,376700,377200,377500,377900,378100,378000,377700,377100,376000,374800,373400,371600,369800,368100,366400,364300,362000,359400,356200,353100,349800,345700,342500,341000,339500,336800,333500,330200,327300,325100,323900,323100,322300,321000,321400,322300,321500,319400,318900,318600,317400,314900,311700,308100,305300,303100,300400,296800,294100,292700,291200,289500,288700,288700,289100,289300,289200,289100,288300,287500,287200,287100,287000,288000,289300,290100,290700,292100,294000,295800,297400,298700,300100,301800,303600,305300,307100,309200,311500,313700,315700,318000,320100,321400,322600,324200,326100,327900,329400,330700,331600,332000,332500,333600,334700,336300,338700,341800,343900,345300,347200,349500,351600,353200,354700,356400,358100,359700,361000,362400,363700,365200,366000,366800,368200,370400,372500,374000
36,"North Carolina",9,188900,189300,189500,189600,189500,189300,189900,190500,190900,191800,193100,194400,196300,198100,199500,200700,202300,203800,205100,206500,208200,209800,211400,212800,213900,215300,217100,219000,220900,222300,223200,223900,224400,224600,225000,226200,227200,227800,228300,228800,229000,229500,230400,231400,232400,233300,234500,235700,236700,237700,239100,240800,242300,243500,244700,245700,247300,249100,250600,251500,252300,252800,253300,253700,254100,254600,254600,255000,255700,256000,256100,256600,256800,256800,256900,257200,257400,257800,258300,259100,259800,260500,261200,261800,262300,263100,264000,264800,265400,266300,267700,268500,269100,270000,270900,271700,273200,274700,275900,277100,278700,280200,281600,283100,284400,285600,287500,289700,291600,293500,295400,297400,299500,301700,303600,305400,307100,308700,310100,311700,313500,315100,316400,317900,319900,321700,323300,325200,326200,326500,327500,329300,330500,331700,332900,334000,334900,335600,336500,337300,337500,337100,337000,337300,337500,337500,337300,336800,335800,334400,332500,330600,328900,327200,325500,323700,322000,320300,319100,318100,316900,315900,315300,313800,315700,320100,321600,319400,317900,316700,315700,314700,313400,312300,311700,311400,310300,308900,307400,305800,304000,303100,302300,301600,301000,300200,299100,298300,297300,295900,295500,296900,298700,299800,300500,301100,301700,302400,303100,303800,304200,304300,304900,306100,307100,307900,308500,309200,310200,311100,311700,312400,313000,313300,313900,314500,314400,314800,315700,316300,316500,317400,318400,319300,319600,320200,320800,321800,322900,323500,323700,324300,324900,325400,326300,327700,328600,329100,329600,330900,332500,334200,335500,336500,337800,339600,341400,342500
40,"New Jersey",10,226100,224000,223000,221900,220700,219900,219400,219400,219300,219300,219900,221200,222300,223000,223800,224600,225300,225700,226300,227500,229200,230800,232600,234500,236100,237000,237600,238500,239700,241300,243100,245000,247000,248800,250700,252800,255100,257200,258900,260900,263300,265600,267800,270200,272600,275600,278700,281900,285000,288100,291400,294600,297600,300600,303600,306700,310300,313600,316400,319700,323600,327000,330400,334300,338800,343200,347300,350500,353600,357300,361600,365500,369600,374000,378600,383400,388200,392900,397000,401100,405800,410800,415400,419800,423900,428300,433200,438000,442300,446600,450800,455200,459100,462700,466600,471200,476600,482400,487800,493000,499000,505500,512000,518800,525600,531600,536600,541400,547100,553200,559000,564600,569000,572500,576600,581300,585200,588100,590600,593100,595500,597400,598800,599500,600100,601100,601200,600100,599200,599500,599700,599400,599600,599400,598300,596500,594100,591500,589700,588000,586400,584900,583000,580800,577800,573900,569800,566000,562600,559500,556600,553200,550600,550100,549300,546200,542300,538200,534400,531500,529400,527600,525600,524600,520200,512900,508500,508100,506500,505300,504600,503300,501100,498700,496700,494600,492900,492000,490800,487600,484000,481500,480000,478600,476300,473400,470700,468400,466700,465400,464500,464200,464800,465400,465600,466100,467300,468600,469200,469700,471400,473300,474300,475100,476800,478700,480500,482400,484500,486500,487700,488800,490700,492900,494200,495300,496800,498600,500200,501600,503000,503700,503800,504100,505200,506400,507100,507700,508300,508500,508800,509700,510200,510500,511900,513700,515300,516500,517600,519100,521000,522100,522600,523400,525100,527900,531400,534200
