"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,136100,135300,134700,134300,134100,134000,133900,133900,134200,135000,135900,136600,137100,137600,137900,138400,138900,139600,140600,141800,143100,144600,146100,147100,147400,147600,148900,150800,152400,153400,154700,156100,157400,158600,159700,160700,161900,163600,165400,166900,168500,170200,172200,174500,176700,179000,181400,183900,186600,189600,192200,194500,197000,200000,202800,205700,208500,211600,214800,217800,220600,223000,224900,226600,228400,230300,232200,234200,236200,238400,240700,243000,245600,249000,252500,256200,260400,264400,268000,271500,275000,278200,281500,284700,287500,290100,293100,296600,300300,304500,309000,314100,319800,325700,331800,338700,346900,356000,364900,372700,379300,385000,389900,394000,398400,402700,407400,412400,417300,421600,425900,431000,436200,441000,445400,449600,452200,453200,454000,454900,455300,455100,454600,453800,452800,451400,449700,447700,445000,442100,440000,438400,436500,434400,431600,428600,425700,422100,418600,415000,409800,403100,396300,389400,382000,375200,368700,362200,355700,349800,344400,339100,334200,330700,327900,324800,321200,317900,315000,312700,311100,309900,308800,307300,309800,314900,317300,316000,315300,314000,312100,310300,308800,307100,305100,303300,300800,297800,295300,293300,290900,288500,286200,283600,280800,278400,277000,276200,275200,274200,273200,272800,273300,274700,276600,278900,281600,284600,288000,292100,295900,299100,303700,310700,318700,327100,335600,343000,348800,354100,358500,362000,364200,365700,367900,370900,373300,375000,377100,379200,381300,383300,385300,387300,389200,391000,393300,396100,398800,401300,403700,406200,408800,411700,414600,417400,419700,422000,424300,426800,428700,430000,431100,432800,435300,438100,440800,443000
43,"New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454200,454200,455500,458100,459200,457900,456900,458200,459100,459300,459700,460000,460400,461300,460800,459400,455600,451900,452500,455900,457400,457400,457300,458900,462100,464100,466100,469300,470500,470400,471100,473400,476800,481700,486400,491200,496000,501700,506900,511800,515400,518600,520900,522900,525300,529000,531300,531300,531200,531300,531500,534200,536000,535500,537200,541400,544900,551600,561500,570600,576300,581000,585700,590300,592800,594700,597200,600400,603500,608000,612900,617300,623700,630900,636900,641100
14,"Florida",3,70600,70800,70800,70800,70700,70600,70500,70600,70600,70800,71200,71500,71700,71900,72100,72300,72500,72600,72900,73100,73400,73800,74400,74800,75000,75100,75000,75000,75100,75300,75600,76000,76300,76600,76900,77300,77700,77900,77900,77900,78200,78600,79100,79500,79800,80300,80900,81500,81900,82100,82700,83500,84100,84500,84900,85500,86000,86700,87400,88200,89000,89900,90800,91800,92800,93700,94600,95600,96700,97800,98900,100000,100900,102000,103300,104800,106200,107600,109100,110600,112000,113400,114600,115800,117300,119000,120500,121800,123100,124500,125900,127500,129100,130800,132600,134700,137000,139400,142000,145000,148100,151400,154500,157900,161500,164900,168700,173200,178000,182900,188000,192900,198000,202900,207600,211900,215500,218400,220900,223000,224600,225500,225600,225300,224700,223900,222600,221100,219200,217400,215800,213900,211500,209000,206600,204200,201700,199100,196300,193400,189900,185800,181500,177300,172900,168700,164700,160900,157000,152700,148500,144400,140900,138200,135500,132700,129700,126900,124500,122100,120100,118500,117200,115800,115700,116100,115500,113600,112500,111700,110700,109400,108100,106800,105800,104700,103200,101600,100800,100700,100500,100100,99200,98300,97500,97000,96900,96600,96400,96300,96500,97200,98100,98900,99800,100700,101800,102700,103400,104600,106100,107300,108400,109700,111000,112300,113800,115500,117100,118600,120200,121600,122800,123700,124600,125500,126200,127100,128200,129000,130000,131100,132200,133200,133900,134400,135300,136800,138300,139700,141200,142800,144100,145200,146300,147500,148600,149300,150100,151100,151900,152600,153900,155600,157100,158200,159500,160400
21,"Illinois",4,106700,106700,106700,107100,107400,107500,107500,107800,108300,108900,109200,109400,109700,109900,110000,110200,110700,111200,111400,111500,111700,112200,112900,113200,113200,113600,114200,114900,115400,116000,116700,117400,117600,118000,118500,119100,119800,120700,121400,122200,123100,124100,125100,126100,127000,128000,129300,130900,132400,133800,135100,136000,136500,137000,137800,139100,140900,142200,142700,143400,144700,146700,148500,150200,151800,153400,154400,155500,157200,158700,159800,161100,161900,162000,162000,162000,162400,163400,164900,166100,167000,167700,169000,170500,172000,173700,175900,177600,178500,179100,179200,179100,179100,179700,180300,181100,181800,182100,182100,182900,184400,185800,187000,187900,188800,189700,191200,192600,193800,195100,196800,198200,199000,199200,199900,200900,201700,202600,203500,203800,203900,204200,204500,204900,205400,205600,205900,206500,207000,207200,207400,207500,207400,206900,206500,206400,206200,206300,206700,206700,206900,207000,206600,205700,204800,203500,201700,200100,199400,198900,198100,196700,195800,195100,194100,192900,191300,189000,187000,185700,184500,183900,183300,183200,181300,178800,176700,175500,174600,174500,173700,171500,169100,167300,165800,163800,162400,161800,160800,159000,156900,155100,153500,151800,150300,148200,145700,143500,142200,140900,139900,138800,138200,138000,138100,137900,137500,136600,136000,135900,136100,135600,135000,135800,136900,137700,139000,140600,141600,142400,142800,143100,143500,144300,144700,144800,144900,145100,145400,145800,147000,148200,149100,149900,150300,150400,150700,151500,152900,154200,154700,155200,155500,155600,155900,156500,156800,156700,157000,157900,159000,159800,161200,162700,163600,164100,165600,166900
47,"Pennsylvania",5,53600,53500,53300,53100,53100,53000,53000,53000,53000,53100,53200,53200,53200,53200,53200,53200,53100,53100,53200,53200,53100,53400,53900,54300,54400,54400,54400,54200,54100,54100,54400,54600,54700,54800,54900,55100,55200,55200,55100,55300,55500,55600,55500,55700,56000,56200,56400,56600,56700,56800,57000,57200,57300,57500,57700,57600,57700,57800,57900,58100,58400,58600,58700,58900,59200,59700,60200,60700,61300,61900,62300,62500,62900,63400,63900,64500,65200,65700,66200,66800,67200,67600,68200,68800,69400,70300,70900,71500,72200,72700,73200,73900,74800,75600,76400,77400,78100,78900,80000,81100,82300,83400,84800,86300,87600,88800,90200,91700,93100,94600,96400,98100,99600,101100,102800,104400,105900,107000,108000,109000,110300,111700,113000,114000,114800,115400,115800,116100,116200,116300,116600,117300,117900,118300,118600,119400,120200,120700,120600,120100,119300,118800,118800,118700,118300,117900,117500,117300,117200,116900,116600,116300,116100,116200,116300,116300,116000,115600,115500,115600,116000,116400,116600,116800,118400,120300,120800,120600,121400,122100,122200,121400,119800,118600,118500,118700,118300,117700,117200,117000,116700,116100,115000,114300,114500,115000,114900,114500,113500,112800,112600,112200,111400,111200,111200,111100,110800,110600,110600,111200,112100,112500,112500,112700,113000,113200,113000,112500,112400,112300,112100,112300,112600,113000,113300,113500,113600,114200,114700,115200,115400,115400,115700,116000,116000,115700,115700,116000,116600,117200,118000,118800,119700,120400,120900,120900,120800,121100,122000,122800,123000,122700,123800,125700,127000,127400,128000,128400
44,"Ohio",6,83100,83700,84200,84700,85000,85200,85400,85600,85600,85800,86000,86200,86300,86300,86400,86800,87300,87600,87900,88400,88900,89200,89600,89800,90000,90200,90300,90200,90300,90500,90700,90900,91300,91600,92100,92700,93200,93400,93600,93900,94200,94600,94700,94800,94800,95200,95800,96300,96700,97200,97800,98300,98600,98700,99000,99300,99700,100000,100200,100600,100900,101200,101400,101700,101900,102100,102400,102700,103100,103500,103800,104000,104300,104500,104700,104800,105200,105700,106100,106400,106800,107300,107600,107900,108300,108900,109300,109800,110200,110500,110800,111200,111800,112100,112400,112700,113000,113200,113400,113700,114200,114600,115100,115800,116200,116500,116800,117100,117500,117700,117800,118000,117900,117900,118200,118400,118400,118400,118700,118800,118700,118700,118800,118800,118600,118600,118500,118300,118000,117800,117700,117500,117300,116900,116700,116600,116300,116000,115800,115700,115300,114900,114200,113600,113100,112600,112200,111900,111800,111600,111200,110400,109900,109500,109100,108800,108400,108000,107400,106700,106300,106000,105900,105500,105200,105100,104800,104200,103600,103300,103000,102600,102100,101300,100500,99800,99100,98500,97800,97300,97300,97300,96900,96400,96100,95600,94900,94400,94000,93600,93500,93500,93200,93100,93200,93100,93000,93000,92900,92600,92500,92600,92700,92900,93000,93000,93100,93500,93700,94000,94500,95200,95600,95900,96300,96900,97100,97100,97300,97700,97800,97600,97500,97900,98500,98800,99100,99300,99600,100100,100800,101200,101600,102300,103100,103700,104000,104300,104500,105000,105400,105800,106100,106500,106900,107600,108500,109300
30,"Michigan",7,114300,114300,114700,115700,116000,115600,115500,116200,116800,117400,118200,119200,120000,120400,120700,121000,121900,123100,124000,124700,125500,126300,127000,127700,128400,129200,130000,130600,131200,131800,132700,133600,134300,135200,136500,137400,138100,138900,139900,140600,141600,142800,143700,144300,145200,146500,147700,148800,150000,151200,151800,152400,153000,153900,154900,155800,156500,157000,157300,157800,158300,158900,159800,160800,161400,161800,162200,162400,162600,162900,163300,163700,164200,164800,165400,165900,166300,166700,167100,167900,168700,169100,169300,169600,169600,169700,170000,170600,171200,171600,171900,172300,172700,172900,173400,174000,174400,174600,174600,174500,174500,174800,175000,175000,175000,175200,175400,175700,176100,176600,176600,176500,176400,176300,176200,175900,175500,175200,174800,174200,173700,173300,172700,172000,171000,170100,169500,168600,167600,166400,165300,164400,163400,162500,161500,160400,159100,157700,156100,154900,153800,152400,150600,148600,146500,144400,142500,140700,139200,137400,135300,132900,131100,130300,129600,128100,126200,124400,123000,122100,121300,120600,120000,119800,119300,118300,117300,116900,116800,116700,116300,115600,114800,114200,114200,114100,113600,113200,112900,112600,112500,112400,112500,112500,112600,113000,113300,113100,113300,113800,114300,115000,116200,117200,118100,119000,120000,120900,121800,123100,124200,125200,126400,127700,129000,130200,131400,133000,134700,136300,137800,139400,140700,141800,142600,143600,144700,146200,147700,148800,149700,150400,151000,151700,152500,153200,154000,155100,155700,156500,157200,157700,158400,159200,159800,160500,161400,162100,162800,163700,164400,165100,166000,167000,167800,168400,169200,169900
16,"Georgia",8,89300,89600,89300,89100,89000,88800,88800,89000,89300,89800,90600,91100,91400,92100,92700,93500,94300,94900,95500,96000,96300,96800,97500,98100,98600,99100,99600,100400,101500,102700,103500,104300,105500,107000,108400,109400,110100,111300,113100,114800,116000,117200,118500,120000,121400,122600,123600,124600,125800,127300,128400,129200,129700,130400,131100,131800,132300,133100,134200,134700,134800,135400,135900,136400,137000,137700,138300,138800,138900,139000,139400,140100,140700,141000,141200,141700,142300,143000,143300,143800,144400,144900,145000,145200,145700,145900,145900,146000,146000,145800,146000,146300,146700,147100,147800,148500,148800,148900,149300,149900,150300,150600,151000,151300,151900,152500,152900,153300,153700,154200,154700,155200,155800,156600,157600,158400,159100,159800,160400,160600,160900,161500,161800,161800,162100,162300,162600,163100,163200,163000,163000,163200,163200,163300,163400,163200,162800,162300,161800,161200,160600,159700,158800,157900,157000,156000,155000,154200,153200,151900,150200,148100,146200,144800,143400,142000,140500,139000,137400,136200,135300,134700,134200,133600,133500,133500,133300,132600,132200,131800,130900,129200,127400,125900,124600,123100,121200,119300,117600,116000,114300,112700,111400,110300,109100,108100,107100,106300,105800,105300,105000,105100,105000,104700,105200,106400,107500,108000,108600,109400,110100,110800,111300,111800,112700,114200,115500,116600,117800,118800,119300,120100,121100,121900,122400,123100,124200,125000,125300,125500,126000,126800,127700,128500,129300,130300,131400,132700,133900,135300,136800,138200,139500,140900,142300,143700,144700,145600,146600,147800,149000,150100,151000,151900,152700,153700,155000,156300
36,"North Carolina",9,85800,86400,86600,86700,87100,87600,88000,88000,88200,88900,89600,90200,90900,91600,92300,92900,93300,93600,94100,94700,95600,96500,97100,97500,97800,98000,98500,99200,99900,100700,101600,102500,102900,103000,103300,103900,104600,105200,105800,106500,107200,107500,107600,107800,108200,108600,108900,109200,109500,109800,110100,110500,110600,110800,111200,111700,111800,112100,112900,113500,113300,113500,113700,113700,113700,114000,114000,114000,114100,114400,114700,114800,114800,114900,115000,115300,115400,115300,115400,115800,116300,116500,116600,116600,116800,117200,117300,117300,117600,117900,118200,118600,119000,119500,119700,119900,120200,120400,120500,120800,121300,121900,122200,122600,123000,123400,123900,124600,125200,125700,126200,127000,127700,128400,129100,129800,130400,131000,131500,132200,132800,133400,134100,134800,135600,136400,137200,137800,138400,139000,139700,140300,141100,141900,142500,142800,143100,143200,143400,143500,143400,143200,143100,142900,142900,142800,142700,142500,142300,141800,140900,139900,139100,138200,137200,136400,135400,134400,133500,132800,132200,131800,131600,131200,130800,130500,130100,129600,128900,128200,127600,126900,125800,124800,124100,123600,123100,122600,122100,121400,120800,120400,119900,119600,119100,118600,117900,117400,117100,117100,116900,116700,116900,117300,117500,117400,117600,117900,118100,118300,118600,118900,119400,119800,120100,120400,120600,120900,121300,121600,121700,121900,122100,122400,122500,122600,122600,122600,122700,122900,123000,123100,123400,123800,123900,123900,124100,124700,125400,125700,125900,126200,126500,126700,127000,127600,128300,128800,129300,129900,130500,131200,131900,132600,133500,134700,135700,136300
40,"New Jersey",10,95400,94000,92800,91900,91200,90700,90100,89500,89400,90000,90700,91200,91400,91500,92000,92700,93300,93700,93900,94000,94300,94800,95300,96000,96800,97400,97900,98100,98500,99200,100000,100700,101300,102100,102800,103300,103900,104800,105500,106400,107500,108400,109400,110700,111500,112300,113200,114400,115400,116600,117900,119200,120100,120900,122300,124100,125500,126600,127700,129000,130200,131400,132600,134000,135700,137600,139500,141200,142900,144800,146600,148400,150400,152900,155500,157800,160200,162500,164400,166400,169000,171600,174000,176900,179600,181800,183900,186100,188400,190500,192400,194500,196800,199400,201900,204100,206600,210000,213500,216800,220500,224300,227800,231300,235000,237800,240700,244200,247600,250700,254300,257700,260800,263400,266100,269000,271300,272700,274100,275500,277000,278100,278900,279600,279900,280100,280100,279900,278700,278000,277700,277700,277600,277100,275600,273600,272000,270800,269800,268500,267700,266800,265500,264000,262900,261800,260500,259300,257700,256100,255000,253100,252900,255500,257800,257000,255800,254600,253400,252100,251000,249800,248500,248200,246600,243400,240900,240300,239000,237300,235700,234700,233700,232400,230600,229000,227600,225900,224000,221800,219800,218400,217500,216700,216100,215600,214700,213500,212200,211100,210100,209700,209900,210400,210700,211000,211300,211600,211800,211900,212400,212800,212800,213000,213000,213000,213400,214200,214600,214900,215600,216600,217200,217600,217800,217800,218100,218700,218900,218800,218600,218700,219100,219400,219800,219900,220500,221400,222200,223100,224100,224800,225300,225300,225000,225100,225700,226300,226700,227100,227300,227200,227000,227200,228000,229300,231300,233300
