"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,162000,161900,161300,161000,160900,160800,160800,161200,161500,162100,162900,163800,164200,164200,164300,164700,165000,165700,166400,167300,168400,170000,172000,171500,171100,173100,176000,177000,178300,179200,180500,181900,183200,184300,185500,187200,188700,190100,191700,193600,195200,196900,198900,201000,203200,206000,208900,211800,214600,217100,219400,222000,224500,226900,229200,231800,234300,237000,239800,242800,245500,247800,249800,251800,254000,256500,258600,260700,263200,266000,268900,272000,275400,278900,282500,286500,291100,296000,300800,305300,309800,314200,318400,322700,327000,331000,334900,339200,344000,349200,354700,360800,367300,374000,381100,388900,397300,406700,416800,426700,435700,443700,451000,457600,463700,469600,475500,482100,488900,495400,502100,509400,516800,523300,529200,534800,539100,541400,543100,544800,546300,547200,547500,547000,545700,543900,541800,539800,537200,534600,532700,531100,528700,525600,521600,516700,511600,506200,500800,495100,487300,477800,467800,457000,445800,435300,425200,415100,405400,396400,388000,379600,372900,368700,365100,360600,355900,351200,347300,344200,341700,339900,338700,337500,338600,341500,343200,343000,343300,343100,342000,340800,339900,338500,336900,335600,333800,331400,329100,327000,324700,322700,320600,318400,316500,315100,314200,313700,313200,312500,312400,313400,314700,316500,319000,321800,324600,327700,331100,335200,339300,343000,347300,353300,360300,367700,375400,382400,388700,394200,398500,402000,404900,407100,409200,411900,414500,416900,419000,421000,423300,425500,427400,429300,431200,432500,434300,436900,439400,441800,444400,447100,449900,452900,455900,458800,461100,463300,465600,468200,470700,472900,475900,479400,482300,484900,488400,491400
54,"Texas",2,,,,,,,,,,,82000,82300,82600,82900,83500,84300,84900,85200,85300,85100,85200,85700,86100,86300,86600,86800,87000,87200,87500,88000,88400,88400,88400,88800,89400,90100,90800,91600,92300,92800,93300,94000,94800,95000,95000,95100,95200,95400,95900,96100,96200,96400,96800,97400,97800,98100,98200,98100,98200,98400,98600,98900,99300,99800,100200,100400,100500,100600,100800,101200,101700,102000,102300,102800,103300,103700,104200,104700,105400,105900,106100,106400,106600,106800,107000,107400,107800,108300,108600,108600,108600,108700,109200,110200,111700,113200,114500,115500,116400,117200,117800,118600,119200,119500,119900,120700,121300,121700,122100,122500,122800,122900,123200,123500,123800,124200,124700,125300,125900,126600,127200,127600,128000,128500,129000,129400,130000,130600,131100,131700,131900,132000,132600,133100,133600,134000,134100,134200,134400,134700,134800,134300,133000,131300,129800,128500,127600,127100,127300,127800,128400,128800,129600,130700,131700,132100,132600,133100,133400,133600,133600,133700,133500,133600,131600,128100,126300,126800,126600,126200,125900,125900,125600,125100,124600,124000,123900,124300,124600,124400,124300,123900,123400,122800,122500,122100,121700,121500,122000,122800,123100,123100,123200,123400,123500,123500,123500,123500,123600,123600,124000,124900,125600,126100,126700,127500,128200,128600,128900,129500,130100,130500,131100,132000,132700,133200,133800,134500,135100,135600,136200,137000,137600,138200,138900,139700,140700,141700,142800,144000,145200,146300,147300,148400,149600,150600,151600,152700,154000,155000,156100,157100,158700,160300,161300,161500,161900,162200
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316500,315900,315000,313900,312200,310100,308300,306800,305100,303000,300500,298500,296800,294900,292600,292500,282500,266200,257500,257800,256200,254900,253200,251300,249800,248800,248100,247200,247000,247500,247300,245800,244600,243300,241900,240500,239100,237800,236600,235400,234600,233900,233100,232200,231700,231400,230900,230000,229000,228100,227400,226600,225700,224800,224000,223700,223200,222500,222200,222400,222800,222900,222800,223000,223600,223900,224200,224400,224800,225600,226200,226600,226900,227000,227000,227200,227600,228100,228400,228400,228600,229000,229800,230600,230800,230600,230600,230800,231400,232100,232700,232900,233200,233800,234500,235300,236000,236800,237400,237700,238400,239600,240500,241200,241800,242200,242200,242600,243600,245000,246100,247100
14,"Florida",4,92100,92100,92100,92000,92000,91900,92000,92300,92600,92800,93200,93700,94200,94600,94900,95200,95700,96100,96500,97000,97500,98100,98700,99200,99300,99500,99800,99900,100100,100400,100800,101300,101800,102200,102700,103400,104100,104600,105100,105500,106100,106800,107500,107900,108500,109400,110400,111300,111900,112500,113300,114100,114800,115400,116000,116800,117600,118500,119300,120000,120900,121800,122600,123600,124700,125600,126400,127200,128100,129100,130000,131000,132000,133000,134000,135100,136100,137200,138500,139800,141000,142400,143800,145000,146300,147500,148700,150100,151500,153000,154500,156300,158200,160100,162100,164100,166300,169000,172000,175200,178400,181700,185100,188700,192400,196200,200200,204900,210300,215900,221600,227400,233100,238400,243400,248200,252000,254600,257100,259900,262100,263300,263800,263800,263600,263100,262100,260900,259200,257200,255100,253100,251000,248800,246100,243000,240000,236900,233700,230900,227400,223000,218200,213800,209400,205200,201200,197500,193600,189800,186300,182300,179000,177400,176200,173800,170800,168100,165600,163400,161600,160200,158800,157400,157000,157100,156400,154900,153600,152600,151800,150700,149400,148000,146800,145600,144100,142700,141600,141000,140500,139800,139000,138200,137700,137200,136600,136300,136200,136200,136500,137000,137900,138800,139600,140300,141200,141900,142800,143800,144800,145700,146900,148500,150000,151500,153200,155000,156800,158700,160400,162000,163300,164200,165100,166100,167200,168200,169100,169900,170700,171900,173300,174800,175800,176600,177500,179000,180400,182000,183600,185500,187300,189100,190800,192700,194400,195900,197200,198600,200100,201800,204000,206200,207900,209800,212200,214300
21,"Illinois",5,116000,116500,116700,116200,115300,115100,115300,115500,116200,117500,118300,118400,118400,118500,118700,119000,119300,119700,120200,120500,120500,120700,120900,121000,121100,121300,121500,121600,121800,122300,122700,123100,123300,123700,124100,124600,125100,125700,126200,126700,127000,127400,128000,128700,129200,129600,130200,130900,131500,132100,132800,133100,133400,134000,135100,135900,136500,137200,137800,138500,139500,140100,140700,141600,142200,143000,144000,144900,145300,145800,146400,147200,147800,148400,149200,150000,150500,151200,152200,153400,154600,155700,156800,157900,159000,160300,161800,163100,163900,164500,165200,166000,166800,167500,168500,169400,170400,171100,171600,173400,176600,177700,177000,177300,178700,180000,181300,182500,183500,184200,185100,186200,186600,187400,189000,190700,191700,192900,194000,194600,195300,196200,197000,197200,198900,200800,201000,200100,200500,200900,201400,201600,201500,201800,202000,201300,199900,199300,199200,198800,198100,197500,196600,195400,194400,193300,192200,191100,189900,188600,187300,185900,184600,183200,181600,180100,178700,177000,175200,173700,172300,171100,170400,170000,168700,166600,165100,164100,163000,162300,161600,160300,158500,157200,156400,155400,154400,153600,152800,152000,151000,149500,148000,147100,146400,145400,144500,143700,143000,142300,141800,141400,141400,141500,141700,142200,142400,142100,142100,142200,142400,142400,142600,143100,143500,144100,145100,146000,146900,147700,148200,148400,149000,149900,150500,150800,151100,151400,151400,151500,151900,152300,152500,152700,152900,153100,153300,153600,154300,154800,155200,155700,156200,156500,156900,157600,158000,158400,159100,159900,160600,161400,162300,162900,163100,163400,164100,164500
47,"Pennsylvania",6,88500,88600,88800,88900,89000,88900,88800,88900,89200,89300,89600,90000,90200,90400,90600,90800,91000,91300,91500,91800,92000,92300,92600,93000,93400,93600,93600,93700,93800,93900,94200,94700,95200,95600,95700,95900,96000,96100,96300,96500,96700,96800,97100,97300,97500,97900,98600,99100,99400,99800,100300,101000,101500,101700,102000,102600,103000,103300,103800,104500,105000,105600,106100,106400,106800,107500,108000,108400,108800,109500,110100,110700,111300,111800,112400,113000,113700,114300,114900,115600,116400,117100,117700,118500,119400,120200,121100,121900,122800,123900,124900,125600,126600,127600,128300,129000,129700,130500,131500,132600,133700,134500,135500,136500,137500,138400,139500,140400,141400,142600,143700,144700,146000,147200,148400,149600,150600,151300,151900,152400,153100,153800,154500,155300,155900,156400,157000,157400,157500,157500,157900,158500,159200,159800,160100,160400,160500,160700,161000,161100,160900,160500,160200,160200,160100,160000,160000,159900,159800,159700,159200,158800,159000,159600,160400,160700,160500,160000,159400,158900,158700,158400,158100,157800,157900,158300,158200,157700,157400,157100,156700,156100,155400,155000,154500,154100,153900,153500,152900,152400,152000,151500,151100,150800,150400,150000,149800,149500,149000,148400,148200,148200,148200,148100,148100,148200,148500,148700,149100,149500,149800,149900,149800,149800,150000,150400,150500,150600,150600,150500,150600,150700,150700,150700,150800,150900,151300,151800,152200,152400,152400,152500,152700,152800,152800,152900,153000,153200,153600,154100,154600,155100,155800,156300,156400,156500,156700,156900,157200,157700,158000,158300,158800,159500,160000,160500,161200,161800
44,"Ohio",7,88600,88800,88900,89200,89400,89500,89700,90000,90300,90600,91000,91400,91700,92000,92400,92700,92900,93200,93600,93900,94300,94800,95100,95500,95800,96000,96100,96300,96700,97000,97300,97700,98100,98400,98900,99400,99800,100200,100700,101100,101600,102100,102400,102700,103100,103700,104300,104800,105200,105700,106200,106600,107100,107500,107800,108100,108500,109000,109300,109700,110000,110200,110500,111100,111400,111600,111800,112100,112400,112600,112900,113100,113300,113700,114100,114300,114700,115000,115300,115500,115900,116200,116500,116800,117400,117900,118300,118700,119000,119500,120000,120600,121000,121400,121700,121900,122100,122300,122700,123000,123200,123500,123900,124100,124300,124700,125000,125400,125800,125900,126000,126200,126400,126700,126900,127200,127300,127200,127400,127600,127600,127400,127300,127100,127000,127000,126900,126900,126700,126500,126300,126100,125900,125900,125500,125100,124700,124400,123900,123600,123200,122600,121800,121200,120600,120000,119500,119000,118600,118200,117800,117200,116800,116700,116500,116100,115700,115200,114800,114600,114400,114200,114100,113900,114000,114500,114500,114000,113700,113800,113800,113600,113300,112800,112100,111400,110800,110200,109700,109400,109100,109000,108800,108600,108500,108200,107900,107800,107600,107300,107200,107600,108000,108100,108400,108600,108600,108600,108900,109000,109000,109100,109300,109400,109500,109600,109800,110100,110400,110800,111000,111200,111700,112200,112400,112500,112800,113100,113400,113600,113800,114000,114300,114800,115100,115100,115500,116200,116500,116800,117200,117700,118200,118700,119500,120000,120200,120400,120700,121200,121600,121900,122200,122600,123100,123700,124300,124900
30,"Michigan",8,85300,84900,85200,86200,86100,85300,85100,85700,85900,85800,85700,85800,86400,87100,87500,87800,88200,88700,89300,90100,91000,91600,91800,91800,92200,93000,93600,93800,94500,95400,96400,96900,97400,98600,100000,101000,101900,103000,103900,104700,105800,106800,107500,108000,108500,109400,110300,111100,112000,112800,113500,113900,114400,115000,115500,116100,116900,117700,118600,119500,120000,120500,121300,122000,122500,122900,123100,123300,123500,123700,123900,124000,124400,124600,125100,125900,126700,127100,127700,128500,129200,129700,130100,130700,131000,131300,131500,131700,132000,132400,132800,133300,133700,134100,134700,134800,134900,135300,135600,135700,136200,137000,137400,137700,138000,138300,138500,138900,139400,139600,139700,139800,139900,140000,140200,140300,140100,139900,139600,139400,139100,138600,138300,138000,137400,136700,136200,136000,135800,135300,134900,134300,133700,133000,132100,131300,130600,129800,129000,128200,127100,125700,124200,122700,121200,119700,117900,116200,114800,113300,111400,109300,108400,108800,109000,108300,107300,106200,105300,104400,103400,102500,101900,101700,100400,98300,96900,96500,95900,95500,95300,95000,94400,93700,93300,92600,92000,91400,90800,90100,89400,89100,88800,88300,87900,87800,87600,87200,87100,87100,87100,87300,87900,88500,88800,89300,89900,90400,91100,91800,92400,92900,93500,94100,94800,95600,96600,97800,99000,100100,101000,101900,102700,103500,104300,105200,106000,106600,107300,108300,109100,109500,109800,110300,111100,111800,112300,112900,113500,113900,114400,114900,115500,116000,116500,117100,118300,119100,119600,120100,120800,121400,122100,122700,123300,124000,125000,125800
16,"Georgia",9,92400,92900,93200,93000,92900,93200,93700,93900,94100,94600,95000,95300,95700,96100,96600,97200,97800,98100,98500,99100,99600,100200,100900,101700,102000,102100,102600,103500,104400,105100,105600,106000,106600,107500,108100,108400,109000,109800,110500,111300,112000,112600,113300,113900,114500,115300,116500,117300,117900,118500,119300,119900,120700,121300,122100,122800,123200,123600,124400,125100,125700,126400,127100,127400,127500,127800,128100,128500,129100,129700,130000,130500,130900,131400,131700,132000,132600,133100,133400,133800,134100,134300,134600,135100,135500,136000,136400,136600,137100,137500,137800,138300,138900,139500,139900,140300,140600,140800,141100,141600,142100,142700,143400,143900,144500,145100,145700,146300,146900,147400,147900,148700,149300,149800,150600,151500,152300,152600,152800,153200,153800,154400,154700,155100,155400,155900,156300,156700,156500,156000,155800,155800,155900,155900,156000,156000,156100,156100,156100,155900,155600,155100,154400,153500,152500,151700,150700,149700,148500,147100,145600,143900,142800,142900,143000,142400,141400,140200,139300,138500,137800,137200,136700,136000,135900,136000,135500,134600,134200,133800,133000,131900,130700,129400,128100,126800,125400,123700,122400,121500,120500,119800,119300,118600,117800,117300,116600,116100,115600,115100,115000,115100,115000,114900,115000,115300,115600,116100,116700,117200,117700,118100,118500,118900,119500,120000,120700,121700,122800,123600,124500,125400,126100,126700,127200,127700,128400,129100,129600,130000,130400,130800,131400,132200,132900,133300,133900,134800,135600,136500,137600,138600,139500,140600,141400,142200,143000,143700,144200,145000,145700,146400,147000,147700,148600,149500,150400,151300
36,"North Carolina",10,92200,92500,92700,92900,93200,93400,93700,93900,94200,94800,95400,96000,96800,97500,98100,98800,99600,100200,100600,101200,101700,102200,103100,104100,104800,105200,105700,106200,106800,107200,107900,108500,108900,109100,109500,110100,110500,110800,111500,112100,112300,112700,113000,113200,113600,114200,114700,115000,115400,115900,116300,116600,116900,117500,118200,118700,118900,119500,120100,120400,120500,120700,120600,120700,121000,121200,121400,121600,121900,122200,122200,122300,122500,122800,123000,123400,123700,123800,123900,124300,124800,124900,125200,125500,125700,126100,126600,126700,126700,126800,127300,127700,127800,128100,128500,128900,129300,129600,129900,130400,131000,131400,132000,132500,133200,133700,134100,134600,135100,135700,136400,137200,137800,138600,139300,140100,140800,141500,142000,142500,142900,143500,144000,144500,145100,145800,146200,146600,146900,147400,147800,148400,148900,149300,149700,150300,151000,151500,151700,151700,151700,151600,151800,151900,152000,152000,151800,151600,151400,150900,150500,149800,149400,149400,149400,149200,148800,148400,148000,147600,147100,146700,146500,146600,146400,145900,145400,144900,144600,144200,143800,143300,142800,142400,142200,141900,141400,140900,140400,139900,139500,139400,139200,139000,138700,138200,137700,137500,137600,137800,137800,137700,137600,137500,137500,137600,137700,137800,138000,138100,138300,138500,138800,139100,139500,139800,140000,140300,140700,141300,141500,141600,141900,142300,142500,142900,143000,143000,143100,143300,143300,143400,143500,143700,143900,144100,144500,145000,145400,145900,146600,147300,147900,148100,148600,149400,150000,150400,150700,151300,151900,152700,153300,154000,154800,155600,156600,157600
