"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-11-30,102001,"United States",0,192500,0.00574712643678161,0.0190577024880889,0.0653016048699502,0.0486529730415768,-0.00154522747449615,"2007-04","2007-Q2",196600,-0.0208545269582909,"2006-05"
2016-11-30,9,"California",1,482600,0.00604544506983531,0.0183583034395442,0.0688815060908084,0.0943303385164638,-0.00829116458252743,"2006-06","2006-Q2",531800,-0.0925159834524257,"2005-06"
2016-11-30,54,"Texas",2,161700,0.00247985120892746,0.00810473815461347,0.0808823529411765,0.06005553283266,0.0224545811595103,"2016-11","2016-Q4",161700,0,"2016-11"
2016-11-30,43,"New York",3,275600,0.00583941605839416,0.0203628285820067,0.0531142529614062,0.021575905636303,,"2007-08","2007-Q3",333500,-0.173613193403298,
2016-11-30,14,"Florida",4,199800,0.00909090909090909,0.0277777777777778,0.103867403314917,0.0965917841552992,-0.022438441731744,"2006-07","2006-Q3",254100,-0.213695395513577,"2005-04"
2016-11-30,21,"Illinois",5,164900,0.00243161094224924,0.00917992656058752,0.0489821882951654,0.0280476463930557,-0.020088332695534,"2007-05","2007-Q2",203500,-0.18968058968059,"2003-06"
2016-11-30,47,"Pennsylvania",6,156900,0.00255591054313099,0.0103026400515132,0.0356435643564356,0.017024784501692,0.00390674089106247,"2016-11","2016-Q4",156900,0,"2016-11"
2016-11-30,44,"Ohio",7,123900,0.0048661800486618,0.0147420147420147,0.0420521446593776,0.030148918049959,-0.00183762564187373,"2006-05","2006-Q2",126900,-0.0236406619385343,"2005-01"
2016-11-30,30,"Michigan",8,128500,0.00705329153605016,0.0222752585521082,0.0708333333333333,0.0767082292795838,-0.00739443949484342,"2005-12","2005-Q4",142700,-0.0995094604064471,"2002-08"
2016-11-30,16,"Georgia",9,151400,0.00397877984084881,0.0181573638197714,0.061711079943899,0.0552576354792313,-0.0035619729432238,"2006-11","2006-Q4",156900,-0.0350541746335245,"2005-11"
2016-11-30,36,"North Carolina",10,156100,0.00579896907216495,0.0182648401826484,0.0547297297297297,0.0276498403302441,0.00671144204413654,"2016-11","2016-Q4",156100,0,"2016-11"
2016-11-30,40,"New Jersey",11,299500,0.00672268907563025,0.0197480422199523,0.0472027972027972,0.023239067083078,-0.0197986133428534,"2006-07","2006-Q3",367600,-0.18525571273123,"2004-08"
2016-11-30,56,"Virginia",12,239500,0.00419287211740042,0.0144006776789496,0.0327727468736524,0.0270293335255332,-0.0106252318388635,"2007-05","2007-Q2",267200,-0.103667664670659,"2005-06"
2016-11-30,59,"Washington",13,316200,0.00764818355640535,0.0259571706683971,0.111814345991561,0.0757354190772201,0.00655539545609884,"2016-11","2016-Q4",316200,0,"2016-11"
2016-11-30,26,"Massachusetts",14,360800,0.00529395374756199,0.0200735086231269,0.0614886731391586,0.047562875622859,0.00554219925927413,"2016-11","2016-Q4",360800,0,"2016-11"
2016-11-30,22,"Indiana",15,118600,0.00423370025402202,0.00850340136054422,0.0067911714770798,0.0164661147138965,0.000677050629991349,"2005-08","2005-Q3",119700,-0.00918964076858814,"2005-06"
2016-11-30,8,"Arizona",16,216000,0.00605496040987424,0.0207939508506616,0.0756972111553785,0.100359595076229,-0.017420606865587,"2006-05","2006-Q2",261800,-0.174942704354469,"2005-06"
2016-11-30,53,"Tennessee",17,136400,0.00664206642066421,0.024024024024024,0.0631332813717849,0.0338236839156587,0.0144244060910459,"2016-11","2016-Q4",136400,0,"2016-11"
2016-11-30,32,"Missouri",18,138700,0.00434467776973208,0.0146305779078274,0.0636503067484663,0.0229894697469906,-0.00898445020792327,"2007-05","2007-Q2",153200,-0.0946475195822454,"2004-10"
