"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,270600,270300,269700,269600,269600,269700,270300,271100,272500,274500,276400,278000,279500,280900,282500,284600,287000,289400,291900,294900,298300,302200,306300,307800,309300,313200,318800,322900,326800,329700,332800,336100,339200,341800,344200,346800,349300,352000,355100,358500,361600,365300,369600,374000,378700,384200,390100,396100,402200,408700,414800,420900,427200,433700,440200,447100,453500,459500,465600,471900,476700,478900,479500,479900,480400,481500,482100,482700,483700,485100,487400,490900,495200,500500,506400,512800,519400,525800,531700,537100,542000,546900,551700,556300,560400,564200,568000,573000,579200,586200,594100,603100,612800,622700,632900,643400,655400,668900,682900,695700,706700,716300,724900,732400,739800,747800,756500,765600,774500,782600,790600,799200,807500,814400,820600,826300,831400,834900,837100,838500,839300,839000,837200,834600,832100,829700,827100,824500,821200,818300,817000,816800,815900,814000,811000,808100,804800,800100,795000,790300,784400,776900,767900,757100,746400,737100,727900,718800,711100,704900,698600,691100,684700,681100,677400,671800,665800,660600,657600,656500,655900,655800,656300,656800,657500,658200,658900,659100,658700,657300,655600,653300,650500,647000,644000,641400,638500,634800,631300,628000,624200,621100,618300,615200,612300,610700,609700,609600,610200,610800,611100,612500,616400,621900,627500,633100,638400,643300,648800,655600,662900,669400,676100,685800,697500,709100,719800,728800,735600,741600,746200,750200,754000,757900,762400,767400,771300,774600,778400,782500,786700,790800,794800,798800,802800,807500,814300,822100,829000,834400,839500,844500,849300,853700,858600,864000,869400,874900,880400,885100,888300,889700,889600,890200,893100,898100,903300,907400
54,"Texas",2,130000,130600,132000,132800,133100,133000,134100,138200,143000,145800,146900,147900,148500,148900,149300,150100,151100,151900,152500,152600,152700,153500,154400,154800,155300,156200,156700,157400,158200,159100,159800,160200,160100,160600,161500,162300,163200,164400,165600,166800,167900,168800,169500,170000,170400,170900,171200,171300,171700,172400,173100,173700,174400,175100,175900,176500,176900,177200,177800,178400,179000,179700,180200,180500,180700,181200,181800,182100,182200,182700,182800,182800,183000,183200,183200,183500,184100,184600,185000,185400,185800,186000,186400,186600,186600,187000,187500,187700,187900,188200,188200,188300,188800,190300,192500,194700,196700,198400,199800,201000,202100,203100,204100,204800,205600,206300,207200,208300,209200,209900,210600,211400,212200,213100,213900,214600,215500,216700,217800,218800,220100,221100,222100,223100,224300,225400,226300,227100,228100,229500,230600,231200,231900,233000,234400,235600,236400,237200,238000,239100,239800,239000,236900,234700,232900,231400,230400,230200,230700,231600,232600,233500,234700,236300,237700,238500,239200,239900,240500,241100,241700,241900,241800,242200,240000,236000,233900,234600,234900,234900,234700,234100,233200,232300,231600,230900,230900,231700,232500,232600,232500,232100,231800,231300,230800,230300,230100,229900,230600,232000,233200,233700,234500,235000,235100,235300,235700,236200,236500,236700,237800,239400,241100,242400,243800,245300,247100,248800,250500,251900,253300,254900,256600,258200,259500,260700,262100,263500,265000,266600,268000,269400,270700,271900,273200,274800,276500,278300,280700,283400,285800,287700,289400,291200,292800,294300,295600,297100,298900,300400,301700,302800,303400,303700,304400,305700,307200,308300
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513200,519300,524400,528300,529000,531000,538800,549400,556400,560900,564100,567900,572500,577200,581900,586600,588500,589800,594200,599800,603900,606600,607500,607500,608100,608300,608400,607600,610500,617100,621400,621100,621100,621000,619500,617600,617300,617900,618100,618000,616600,613800,610900,608900,606600,603500,600800,598900,596400,592600,588500,585700,576900,563300,553500,550000,545800,542300,538600,534500,531300,529700,529100,529100,529000,528900,528400,527400,526700,526500,525800,525000,523900,522500,521500,521200,521500,521900,522200,522100,521400,520600,520200,519400,518500,517500,515900,513800,512200,511100,510800,511500,512000,511600,511800,513600,515100,515600,516100,517300,518100,519100,520300,521400,522700,524800,527500,530800,534800,538000,540000,542000,545300,549600,553300,554900,556300,558200,560100,561600,563300,564200,564800,566000,567700,569700,572400,575800,579100,582500,586100,589300,592000,595900,599700,602700,605400,608000,609800,612300,615600,618900,621800,624700,628300,633000,638200,642300
14,"Florida",4,155300,155600,155700,155500,155500,155600,155700,155800,156200,156900,158000,159200,159800,160000,160300,161000,161600,162100,162700,163400,164300,165400,166500,167200,167700,168200,168400,168800,169200,169700,170200,171100,172000,172800,173800,175000,176000,176700,177600,178400,179400,180500,181800,183000,184300,185400,186800,188200,189700,191400,193200,194600,195700,197000,198800,200500,202000,203900,206100,208200,210100,212000,213900,215800,217500,219200,221100,223100,225400,227900,230100,232100,234200,236000,238100,240900,244200,247200,249700,252100,254500,256700,258700,261100,263500,266000,268600,271200,273600,276100,278900,281800,284900,288200,291700,295600,300400,305700,311000,317000,323500,330000,336600,343400,350400,357300,364700,373300,382800,392400,401800,410900,419800,427900,435200,441800,446900,450200,453200,456200,458300,459200,459100,458400,457100,455400,453800,452300,449800,446600,443500,440200,435800,431300,426400,421300,416300,411400,406300,401500,396000,389700,382600,375400,368100,361400,354800,348600,342800,336900,330600,323900,318500,316000,314200,311000,307400,304100,301300,298600,296400,295000,293900,292400,292300,292800,291900,289500,287700,286400,285500,284200,282200,280000,278000,276700,274600,272300,270800,270700,270400,269800,268900,268200,267500,266900,266300,266200,266500,267200,268400,270100,271900,273600,275400,277000,278600,280200,281600,283300,285600,287600,289300,291700,294600,297300,300000,302900,305700,308600,311400,314000,316300,318100,319600,321400,323100,324900,326600,328200,329700,331500,333000,335200,337300,339100,340700,342900,345000,347300,349500,351600,353800,356100,357800,359700,361700,363000,364000,365300,366600,367900,369800,372200,374300,377300,382800,388200
21,"Illinois",5,190400,190400,190800,191100,191200,191700,192300,192800,194200,196800,198600,199100,199700,200500,200900,201000,201400,201800,202200,202600,203000,203700,204500,205300,205900,206500,206900,207300,208100,209100,210400,211800,212700,213400,214300,215400,216800,218000,219100,220600,222100,223600,225300,226900,228400,229900,231500,233000,234600,236400,238200,239900,241300,242700,244200,245800,247600,249200,250700,252600,254600,256200,257500,259000,261000,263100,265000,266900,268500,269800,271000,272400,273900,275000,276200,277700,279700,281900,284000,285900,287800,289700,291900,294400,297000,300200,304300,307800,309800,310500,310300,310400,311300,312600,314300,315900,317500,319200,321000,323000,325100,327200,329800,332800,335900,338900,341500,344000,346200,348100,350100,352000,354000,356300,358800,361100,363000,364900,366700,368400,369800,370800,371400,372000,372500,373000,373500,373700,373800,374000,373900,373600,372900,372000,370700,369300,367800,366600,365500,364200,363000,361800,360400,358100,355900,353500,350700,348200,346800,345300,343300,340900,338700,336400,334100,331400,328700,325700,323000,320700,318900,317400,316600,316200,314200,311100,308700,307000,305000,304000,303000,300600,297800,295800,293500,290800,288900,288000,287200,286000,284300,282200,280400,279300,277900,276800,275400,274100,272900,271700,270300,269600,269800,270300,271400,272800,273300,272500,272400,273200,274100,274700,275700,277400,279800,282400,285100,287800,290000,291600,292900,293900,294900,296500,298000,299000,300000,300900,302000,303200,304600,305500,305600,305500,305800,305900,306000,306800,308100,309200,309300,309000,309000,309500,310200,311200,312100,312800,313400,314400,315900,317000,317700,317800,318200,319300,320800,321800
47,"Pennsylvania",6,147900,147700,148000,148100,148200,148500,148800,148900,149100,149400,149900,150700,151500,152000,152400,152800,153100,153500,153900,154300,154700,155400,156000,156800,157400,157600,157700,157700,157800,157900,158200,158800,159600,160400,161200,161700,162100,162500,162700,163100,163700,164100,164700,165400,166100,167000,168000,168900,169600,170500,171400,172300,173300,174200,175100,176100,177000,177800,178700,179900,181000,182100,183300,184300,185200,186100,186900,187800,189000,190100,191100,192200,193400,194900,196600,198500,200300,202100,204100,206000,207900,209900,212000,214100,216100,217900,219700,221600,223600,225800,228200,230100,231900,233800,235700,237500,239500,241900,244200,246800,249400,251900,254300,256800,259200,261500,263700,265800,268000,270500,272800,275100,277500,279800,281700,283700,285500,286800,287900,289200,290500,291500,292400,293300,293900,294000,293900,294000,294000,294200,294700,295300,295700,295600,295400,295000,294700,294400,294600,294500,293800,292700,291700,291300,291000,290600,290000,289200,288600,288000,287100,286200,284800,283300,282200,281500,280300,279100,277900,277000,276300,275700,275200,274600,275300,276500,276900,276200,275900,275600,275200,273900,272200,271000,270000,268800,268400,268300,267900,267000,266000,264900,264000,263500,263200,262600,262100,261600,261000,260800,260600,260400,260400,260400,260500,260900,261500,262100,262500,263400,264400,265000,265300,265800,266500,267400,268000,268400,268900,269300,269900,270600,271200,271600,272000,272500,273100,274100,275000,275800,276300,276800,276800,276800,276600,276300,276600,277200,277900,278900,280000,280900,281700,282100,282400,282700,282700,282900,283500,284400,285100,285900,287200,288800,290300,291800,293500,294600
44,"Ohio",7,151100,151400,151600,152000,152400,152600,152700,153100,153600,154300,155200,155900,156400,156900,157400,157900,158400,159000,159300,159700,160300,161000,161400,162000,162400,162800,163100,163300,163700,164200,164800,165300,165800,166300,166900,167600,168400,169200,170100,170800,171200,171700,172100,172600,173100,173800,174700,175600,176300,177000,177700,178100,178700,179400,180000,180400,181000,181500,182000,182500,183000,183500,183900,184400,184700,185200,185600,186000,186400,187100,187600,188100,188600,189100,189500,190300,191100,191700,192200,193000,193800,194300,195000,195800,196600,197600,198400,199200,200000,201000,202100,203300,204200,204800,205200,205500,205800,206300,206800,207400,208000,208400,208800,209500,210300,211000,211700,212600,213200,213400,213800,214300,214600,214900,215300,215800,216100,216400,216700,217000,217100,217200,217100,217000,217000,217100,217000,216700,216200,215800,215600,215300,215100,214900,214300,213600,213200,212800,212400,211900,211200,210400,209300,208200,207400,206600,206000,205300,204600,204100,203400,202200,201600,202000,202200,201900,201500,201000,200600,200400,200300,200200,200200,200300,200000,199000,198400,198000,197600,197500,197600,197500,196900,196100,195300,194700,194200,193700,193200,192800,192500,192300,192200,191900,191600,191500,191200,190900,190800,191100,191600,192200,192800,193200,193600,194100,194900,195400,195500,195900,196500,197000,197500,198100,198600,199400,200100,200800,201300,201900,202700,203800,205100,206000,206500,206800,207400,207900,208400,209000,209500,210100,210700,211300,211900,212400,213000,213900,214700,215700,216700,217600,218400,219400,220400,221200,221900,222600,223200,223800,224300,224900,225500,226100,226800,227900,229100,230200
30,"Michigan",8,156800,155000,154200,154800,154400,153300,153000,153800,154400,155000,155800,157000,158100,159200,160100,161000,161800,162600,163400,164500,165700,166700,167600,168500,169600,170900,172100,173000,174200,175500,176500,177300,178100,179400,180800,182200,183700,185400,186800,187900,189100,190400,191500,192400,193500,194800,196200,197400,198900,200400,201800,202900,204100,205500,206900,208100,209200,210200,211100,212000,213000,214300,215700,216900,217900,218600,219200,219800,220400,221200,221900,222300,222800,223400,224300,225400,226400,227400,228500,229500,230500,231300,231900,232400,232900,233500,234100,234800,235700,236600,237400,238300,239300,240000,240600,241300,242000,242500,242700,242900,243700,245000,246100,247100,247800,248500,249200,250000,250600,251000,251200,251200,251000,250500,250300,250300,250300,250100,249600,249200,248900,248100,247300,246600,245800,244500,243400,242300,241300,240200,238900,237500,236100,234700,233200,231900,230400,228900,227200,225300,223500,221600,219300,216500,213900,211600,209100,206700,204100,201500,198900,195800,194600,195900,196900,195900,194300,192500,191100,190000,189200,188700,188300,188900,186200,180700,177300,177400,177200,177200,177200,176800,176000,175500,175200,174800,174500,174900,175200,175000,174800,174900,175100,174900,174900,175400,175800,175500,176000,177000,177900,178500,179700,181100,182300,183600,185200,186500,187700,189200,191000,192500,193700,195100,196900,198800,200700,202700,204500,206000,207600,209200,211000,212400,213600,214600,215500,216400,217300,218400,219300,219900,220200,220700,221700,223000,224000,224900,225900,226700,227400,228300,229400,230200,230500,231400,233200,234700,235400,236000,236900,237900,239000,240200,241100,242400,244100,245600
16,"Georgia",9,163900,163700,163600,163300,163000,163100,163500,164000,164600,165200,165900,167100,168400,169400,170100,170900,171500,172500,173700,174400,175000,175700,176300,177000,178000,179100,180000,180900,181900,183000,184100,185500,186900,188200,189400,190700,192200,193600,195100,196900,198900,200800,202200,203500,204800,206300,207900,209400,210700,212300,214200,215700,216800,217700,218400,219200,220100,221100,222100,223200,224200,225100,225800,226600,227400,227800,228400,229100,230000,230700,231500,232300,233100,233800,234500,235300,236000,236500,237200,238300,239000,239600,240400,241200,241700,242200,242900,243700,244400,245300,246300,247000,247800,249000,250200,251100,252000,252800,253500,254300,255500,256600,257800,259200,260900,262300,263500,264600,265900,267100,268300,269900,271600,273400,275100,276700,278000,279400,280600,281800,282900,284100,285100,285900,286800,287800,288700,289500,289700,289200,289000,289600,290300,290800,291000,291300,291500,291400,291100,290700,290200,289400,288100,286800,285400,283800,282100,280600,278800,276800,274500,271600,270500,271200,271500,270300,268700,266900,265100,263600,262400,261300,260600,260200,258700,256400,254500,253100,252000,251500,250900,249400,247300,245100,243100,241200,239400,237600,235900,234400,233400,232600,231900,231400,230900,230500,230500,230700,230500,230200,230200,230600,231100,231500,232400,233400,234300,235100,235800,236600,237700,238800,239900,241000,242100,242900,243900,245400,247100,248600,250000,251700,253200,254200,255200,256400,257900,259300,260500,261400,262300,263200,264300,265300,266600,268300,270000,271900,273600,274900,276300,278000,279700,281500,283000,284400,286100,287800,289100,290300,291900,293800,295200,296000,297300,299100,301000,302600
36,"North Carolina",10,164500,164200,164100,164400,164600,164600,164900,165500,166300,167200,168300,169400,170800,172300,173800,174900,175700,176700,177800,178800,179800,180900,181900,182800,183400,183800,184500,185300,186300,187200,188000,188600,189200,190000,190700,191600,192500,193200,193600,194400,195300,196100,196800,197800,198500,199100,200000,200900,201700,203000,204400,205800,206700,207600,208700,209700,210700,212000,213100,213600,214200,214800,215100,215500,216100,216400,216700,217000,217500,217900,218300,218900,219300,219500,220000,220400,220600,221200,221800,222400,223000,223700,224400,225200,226000,226800,227600,228300,228900,229600,230500,231700,232800,233700,234400,235300,236200,237400,238700,239900,241300,242700,244300,245400,246600,248000,249700,251300,253400,255200,256800,258600,260700,262900,265100,267300,269400,271200,272900,274700,276500,278100,279600,281300,283300,285000,286300,288000,289400,290300,291500,292700,293500,294400,295500,296200,296800,297100,297300,297500,297600,297400,296900,296600,296600,296600,296500,296200,295400,294300,292900,291000,289500,288800,288400,287400,286200,285000,283800,282500,281500,280500,279700,279000,278200,277400,276400,275300,274100,272900,272000,271200,270400,269500,268700,268100,267500,266800,265900,264900,263900,263300,262700,262000,261200,260600,260200,260000,260000,260000,260100,260300,260700,261100,261500,261500,261700,261900,262300,262700,263100,263600,264400,265200,266100,266600,267200,268200,269100,270100,270900,271500,272200,272900,273500,274000,274400,274900,275500,276100,276600,277300,277600,278200,278700,279300,279900,281000,282500,283600,284300,285000,285600,286100,287000,288100,289200,290200,291200,292400,293800,295000,295900,297100,298500,300200,302200,303900
