"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,1964,1957,1952,1948,1942,1940,1938,1937,1935,1933,1931,1931,1931,1933,1931,1928,1926,1925,1926,1929,1932,1932,1933,1935,1936,1938,1943,1950,1959,1966,1973,1980,1985,1988,1993,1999,2004,2011,2015,2020,2024,2029,2033,2039,2052,2072,2098,2121,2144,2166,2183,2195,2206,2216,2228,2239,2250,2258,2264,2268,2272,2282,2296,2311,2328,2343,2355,2365,2371,2376,2379,2384,2390
54,"Texas",2,1210,1219,1220,1219,1217,1215,1213,1212,1211,1210,1208,1206,1208,1207,1207,1209,1210,1211,1212,1214,1216,1218,1221,1223,1226,1225,1226,1229,1235,1242,1249,1255,1259,1262,1265,1270,1279,1284,1288,1289,1289,1289,1289,1291,1296,1304,1317,1328,1339,1347,1353,1359,1364,1370,1376,1383,1388,1392,1392,1392,1392,1394,1399,1405,1411,1415,1418,1420,1421,1421,1422,1422,1424
43,"New York",3,1707,1721,1730,1737,1744,1750,1749,1746,1740,1737,1735,1735,1737,1742,1746,1757,1762,1772,1784,1790,1790,1782,1776,1772,1780,1786,1794,1798,1804,1809,1821,1835,1847,1853,1857,1863,1881,1895,1901,1903,1904,1904,1902,1903,1914,1929,1947,1960,1978,1987,1987,1990,1998,2011,2019,2030,2040,2061,2078,2094,2097,2099,2105,2112,2120,2121,2126,2131,2139,2142,2145,2149,2161
14,"Florida",4,1254,1257,1257,1255,1251,1248,1244,1242,1242,1242,1241,1241,1242,1242,1240,1241,1243,1247,1252,1256,1259,1262,1264,1267,1271,1275,1277,1281,1284,1288,1293,1299,1305,1311,1319,1330,1342,1353,1359,1365,1369,1372,1375,1376,1378,1383,1390,1397,1402,1408,1412,1418,1425,1432,1440,1447,1455,1461,1463,1463,1464,1469,1478,1486,1494,1499,1504,1509,1513,1516,1520,1525,1531
21,"Illinois",5,1467,1463,1462,1457,1448,1443,1438,1433,1424,1413,1405,1401,1398,1391,1384,1383,1385,1386,1389,1390,1391,1391,1396,1403,1405,1400,1392,1388,1386,1394,1401,1409,1413,1417,1418,1422,1431,1440,1451,1455,1456,1449,1445,1441,1447,1454,1463,1465,1468,1465,1463,1460,1460,1462,1462,1465,1468,1473,1474,1472,1471,1469,1479,1488,1497,1500,1501,1499,1496,1491,1486,1482,1478
47,"Pennsylvania",6,1195,1201,1202,1199,1195,1195,1194,1192,1188,1185,1183,1180,1177,1169,1164,1164,1169,1176,1181,1185,1186,1183,1180,1181,1186,1189,1192,1192,1191,1190,1190,1191,1191,1192,1192,1193,1196,1196,1197,1197,1195,1191,1185,1182,1183,1188,1195,1201,1207,1212,1213,1214,1212,1210,1211,1215,1222,1228,1231,1230,1228,1223,1224,1227,1235,1239,1243,1243,1241,1237,1234,1234,1236
44,"Ohio",7,982,982,988,989,986,979,976,978,982,983,981,979,981,983,988,992,998,999,993,980,968,962,963,969,976,979,979,979,982,991,1000,1008,1010,1012,1013,1019,1024,1028,1027,1028,1025,1025,1025,1028,1037,1048,1060,1066,1069,1069,1069,1071,1075,1082,1090,1098,1103,1104,1101,1098,1097,1097,1101,1103,1104,1105,1108,1110,1112,1112,1110,1108,1106
30,"Michigan",8,1090,1100,1106,1103,1093,1079,1072,1069,1072,1070,1065,1033,993,943,917,909,910,913,917,920,919,914,910,914,930,941,943,937,929,924,923,926,927,929,935,955,980,996,996,994,988,982,972,968,971,979,988,995,1004,1007,1009,1016,1027,1042,1049,1051,1050,1050,1049,1049,1051,1055,1065,1072,1080,1081,1083,1084,1083,1079,1075,1074,1081
16,"Georgia",9,1103,1110,1114,1112,1106,1103,1100,1097,1093,1089,1086,1083,1084,1082,1080,1079,1079,1077,1075,1074,1075,1074,1071,1068,1066,1063,1060,1060,1061,1065,1069,1075,1080,1083,1087,1091,1095,1098,1098,1099,1099,1100,1100,1098,1100,1105,1114,1122,1132,1138,1143,1145,1148,1152,1158,1165,1169,1173,1175,1176,1175,1175,1178,1184,1192,1197,1200,1200,1199,1198,1198,1201,1206
36,"North Carolina",10,988,990,992,993,995,995,996,999,1002,1003,1004,1003,1006,1007,1010,1014,1018,1022,1023,1025,1024,1025,1025,1025,1027,1028,1026,1024,1022,1022,1024,1029,1038,1047,1057,1065,1072,1078,1081,1080,1077,1075,1074,1072,1071,1071,1075,1079,1085,1092,1097,1102,1106,1110,1117,1124,1129,1132,1131,1128,1125,1123,1127,1136,1148,1154,1158,1158,1156,1154,1156,1160,1164
40,"New Jersey",11,1806,1822,1834,1840,1845,1846,1842,1833,1824,1820,1819,1822,1834,1840,1847,1853,1859,1864,1870,1875,1879,1881,1881,1880,1885,1885,1889,1895,1897,1901,1909,1919,1927,1930,1930,1929,1930,1923,1917,1912,1907,1904,1904,1905,1913,1927,1948,1969,1990,1997,1998,1998,1999,2001,2003,2001,2000,1998,1994,1991,1995,1995,1998,2005,2016,2028,2037,2048,2055,2061,2063,2062,2062
56,"Virginia",12,1370,1366,1368,1372,1379,1385,1392,1398,1404,1408,1412,1414,1416,1421,1425,1429,1429,1429,1428,1430,1433,1437,1442,1445,1449,1451,1449,1447,1445,1447,1452,1459,1465,1468,1470,1472,1475,1479,1482,1485,1485,1484,1480,1477,1473,1474,1478,1484,1489,1494,1496,1499,1502,1506,1508,1509,1510,1509,1505,1501,1498,1497,1502,1505,1510,1512,1513,1513,1512,1512,1512,1513,1511
59,"Washington",13,1354,1365,1374,1381,1387,1389,1387,1386,1384,1379,1373,1366,1369,1368,1368,1367,1367,1369,1374,1379,1383,1384,1385,1385,1393,1397,1397,1398,1399,1400,1404,1411,1421,1431,1441,1451,1463,1472,1476,1477,1477,1474,1472,1471,1473,1478,1487,1496,1507,1516,1520,1525,1534,1546,1558,1568,1575,1583,1588,1591,1595,1602,1610,1622,1634,1645,1652,1659,1664,1671,1681,1693,1708
26,"Massachusetts",14,1679,1686,1683,1682,1685,1692,1694,1701,1707,1716,1725,1738,1751,1762,1771,1778,1784,1786,1791,1789,1787,1780,1776,1771,1765,1765,1768,1777,1781,1787,1790,1791,1785,1783,1786,1798,1815,1830,1837,1837,1837,1837,1836,1833,1841,1853,1871,1884,1899,1921,1946,1970,1988,2000,2009,2026,2047,2067,2077,2081,2078,2073,2070,2069,2078,2093,2117,2140,2155,2163,2166,2170,2176
22,"Indiana",15,1004,1013,1017,1019,1017,1015,1011,1007,997,983,968,956,951,943,938,940,945,948,946,939,932,928,931,935,944,945,943,937,930,924,925,932,944,952,963,975,991,999,1002,1000,997,994,990,990,994,1004,1015,1023,1032,1037,1041,1045,1049,1052,1059,1066,1072,1075,1070,1062,1055,1047,1046,1050,1061,1073,1081,1085,1086,1086,1085,1085,1089
8,"Arizona",16,1148,1149,1146,1143,1137,1132,1128,1128,1126,1123,1119,1116,1115,1115,1118,1120,1122,1124,1126,1128,1130,1133,1134,1136,1139,1141,1141,1139,1140,1141,1143,1144,1146,1148,1151,1154,1156,1155,1154,1153,1153,1153,1152,1152,1155,1160,1167,1174,1182,1188,1193,1198,1201,1205,1208,1213,1218,1222,1225,1227,1226,1225,1230,1238,1249,1257,1263,1267,1268,1267,1266,1267,1270
53,"Tennessee",17,948,956,960,962,962,959,954,948,945,942,943,945,951,954,956,958,960,962,964,965,968,970,971,970,972,973,975,977,976,975,975,979,984,989,992,995,999,998,999,1000,999,999,998,1000,1003,1008,1015,1022,1028,1031,1032,1034,1039,1046,1057,1064,1070,1074,1077,1078,1079,1079,1080,1084,1091,1098,1103,1105,1102,1098,1095,1096,1099
32,"Missouri",18,968,961,961,961,964,965,968,969,969,967,968,970,972,977,981,982,981,980,979,980,978,976,972,968,965,963,962,961,962,962,961,958,957,957,961,966,971,976,980,982,983,985,986,987,994,1007,1023,1034,1038,1041,1040,1039,1038,1040,1043,1051,1058,1062,1056,1049,1043,1044,1049,1056,1063,1069,1073,1073,1068,1060,1055,1056,1060
27,"Maryland",19,1645,1648,1651,1653,1655,1656,1657,1660,1663,1664,1664,1667,1670,1671,1671,1672,1672,1673,1674,1676,1677,1676,1673,1671,1672,1674,1675,1678,1683,1689,1693,1697,1701,1705,1708,1711,1715,1718,1719,1718,1716,1713,1709,1704,1703,1708,1719,1728,1737,1742,1744,1745,1746,1748,1753,1759,1763,1765,1762,1758,1754,1752,1756,1762,1767,1769,1771,1772,1771,1769,1769,1770,1771
60,"Wisconsin",20,837,850,871,902,942,968,988,1005,1026,1036,1033,1021,1021,1019,1031,1046,1060,1073,1086,1100,1107,1112,1115,1120,1131,1130,1113,1089,1059,1044,1040,1042,1050,1062,1076,1091,1108,1115,1111,1099,1081,1067,1054,1042,1035,1046,1070,1096,1117,1133,1146,1158,1168,1174,1180,1182,1182,1173,1153,1132,1122,1118,1124,1139,1156,1170,1177,1177,1171,1161,1156,1158,1167
31,"Minnesota",21,1218,1235,1246,1251,1253,1255,1261,1268,1274,1275,1272,1268,1269,1263,1260,1262,1265,1267,1265,1265,1266,1269,1274,1279,1288,1291,1295,1299,1301,1300,1299,1303,1309,1314,1318,1321,1329,1331,1333,1332,1329,1328,1327,1325,1322,1323,1327,1333,1341,1341,1339,1338,1341,1348,1354,1359,1366,1371,1376,1379,1384,1383,1386,1391,1399,1405,1409,1411,1409,1406,1404,1404,1405
10,"Colorado",22,1299,1307,1317,1330,1341,1347,1352,1357,1359,1357,1354,1353,1359,1359,1358,1357,1357,1359,1362,1367,1371,1376,1381,1387,1401,1411,1417,1423,1429,1436,1443,1447,1454,1459,1466,1470,1480,1485,1491,1495,1497,1500,1504,1509,1519,1536,1559,1581,1606,1624,1637,1647,1656,1670,1684,1700,1716,1732,1742,1750,1757,1762,1771,1782,1795,1805,1813,1820,1823,1823,1823,1825,1829
4,"Alabama",23,949,950,948,947,944,942,940,941,941,940,936,931,927,927,930,938,947,951,946,937,931,927,926,925,926,925,925,926,929,933,937,939,942,942,943,945,949,952,949,941,931,926,925,927,931,939,951,962,970,974,977,980,981,987,995,1004,1012,1015,1014,1010,1006,1003,1006,1009,1011,1009,1007,1005,1001,996,992,990,990
51,"South Carolina",24,995,1004,1007,1005,1001,1000,1000,1004,1010,1018,1025,1025,1019,1007,1002,1004,1008,1010,1011,1008,1009,1009,1010,1012,1020,1027,1033,1038,1041,1041,1043,1048,1057,1062,1067,1072,1083,1089,1091,1084,1076,1070,1070,1071,1071,1076,1086,1097,1108,1117,1123,1133,1141,1153,1162,1169,1172,1172,1168,1163,1156,1153,1156,1166,1178,1186,1189,1189,1184,1180,1177,1179,1183
25,"Louisiana",25,1191,1186,1178,1172,1172,1178,1183,1188,1193,1195,1197,1197,1197,1202,1208,1213,1211,1205,1198,1194,1193,1195,1197,1198,1198,1199,1203,1205,1206,1207,1212,1219,1224,1222,1218,1218,1217,1219,1218,1218,1217,1218,1217,1215,1216,1227,1245,1261,1273,1280,1289,1295,1300,1305,1310,1313,1316,1316,1312,1306,1297,1288,1287,1290,1298,1300,1301,1300,1295,1288,1280,1275,1270
24,"Kentucky",26,950,953,953,952,952,952,953,956,960,964,965,966,966,966,963,961,956,952,948,947,947,946,943,940,939,937,937,937,939,944,950,954,955,953,951,950,952,956,959,958,954,949,945,940,940,946,957,968,977,985,992,998,1006,1013,1018,1023,1029,1035,1036,1033,1028,1026,1027,1033,1041,1046,1050,1052,1049,1044,1043,1047,1051
46,"Oregon",27,1183,1183,1184,1186,1191,1194,1196,1198,1197,1196,1199,1204,1211,1215,1220,1222,1224,1226,1230,1234,1238,1242,1243,1244,1245,1249,1253,1259,1263,1268,1272,1275,1275,1275,1278,1286,1296,1303,1307,1309,1309,1310,1311,1313,1325,1341,1360,1374,1386,1397,1407,1416,1424,1435,1447,1462,1476,1491,1502,1512,1520,1528,1541,1557,1574,1588,1600,1611,1617,1619,1620,1623,1630
45,"Oklahoma",28,867,882,891,894,891,886,880,877,876,873,866,859,861,858,858,860,865,868,869,864,857,852,851,856,870,875,880,883,885,885,884,888,896,905,915,921,932,934,938,939,940,940,939,937,937,941,948,955,961,959,954,953,956,966,978,991,1002,1010,1011,1006,1001,994,992,990,990,990,993,994,990,984,979,978,977
11,"Connecticut",29,1663,1658,1656,1656,1652,1648,1645,1646,1649,1649,1646,1642,1642,1645,1648,1647,1645,1644,1645,1647,1648,1649,1650,1650,1650,1648,1644,1642,1640,1640,1641,1644,1648,1651,1656,1661,1666,1666,1669,1673,1678,1678,1673,1667,1665,1673,1685,1695,1701,1706,1711,1716,1722,1728,1735,1741,1744,1746,1745,1745,1745,1747,1751,1755,1762,1771,1781,1788,1788,1784,1779,1777,1775
19,"Iowa",30,1019,1012,1002,996,992,987,989,992,986,971,957,946,940,938,943,949,956,964,968,964,957,949,949,957,968,978,982,985,984,985,983,980,981,984,987,993,1000,1010,1011,1005,992,980,972,972,982,1001,1023,1034,1039,1041,1047,1054,1064,1072,1079,1088,1098,1104,1099,1089,1077,1066,1061,1062,1070,1077,1083,1085,1082,1078,1074,1073,1074
34,"Mississippi",31,945,946,948,946,942,937,933,933,931,930,925,926,926,927,935,945,957,960,959,956,952,943,929,914,900,889,885,892,899,915,928,943,955,970,988,1000,1006,1003,997,988,972,954,936,923,926,942,970,996,1020,1034,1041,1039,1038,1040,1051,1059,1060,1051,1036,1029,1028,1028,1032,1041,1055,1070,1079,1083,1082,1078,1073,1066,1061
6,"Arkansas",32,800,804,808,811,816,821,827,827,828,828,831,835,840,843,846,849,851,850,847,848,852,861,872,881,887,887,888,891,896,902,910,918,922,924,923,922,923,922,919,913,904,897,891,888,888,890,895,900,910,918,924,928,929,934,938,942,944,943,940,933,929,924,928,935,946,949,953,953,953,951,949,948,947
23,"Kansas",33,879,882,886,881,873,870,884,909,933,951,959,963,965,971,976,985,989,997,1003,1008,1008,1003,1003,1005,1009,1013,1020,1027,1031,1031,1025,1016,1005,999,996,1000,998,994,986,984,986,993,994,991,995,1004,1017,1026,1036,1046,1055,1058,1057,1056,1056,1060,1064,1068,1068,1063,1054,1045,1047,1053,1065,1067,1069,1062,1056,1047,1042,1039,1036
55,"Utah",34,,,,1204,1206,1205,1202,1199,1199,1202,1206,1208,1207,1206,1206,1209,1210,1209,1208,1207,1207,1207,1209,1213,1223,1237,1249,1260,1268,1277,1287,1297,1307,1316,1324,1331,1334,1332,1326,1319,1313,1310,1310,1310,1311,1313,1318,1325,1333,1340,1346,1350,1354,1359,1364,1369,1373,1375,1374,1371,1368,1371,1378,1389,1400,1408,1417,1425,1429,1432,1434,1438,1441
42,"Nevada",35,1198,1202,1204,1205,1203,1203,1202,1200,1198,1196,1194,1192,1191,1187,1185,1182,1182,1179,1178,1178,1178,1177,1177,1178,1182,1183,1183,1185,1186,1187,1186,1186,1185,1186,1188,1190,1194,1196,1197,1196,1196,1196,1196,1195,1195,1198,1204,1210,1216,1218,1219,1220,1222,1225,1230,1236,1243,1249,1250,1249,1247,1249,1255,1260,1266,1271,1277,1281,1284,1284,1286,1288,1291
