"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,1948,1942,1934,1927,1919,1914,1910,1909,1907,1904,1902,1901,1900,1901,1899,1898,1898,1898,1899,1902,1904,1904,1903,1904,1904,1907,1912,1918,1928,1937,1945,1953,1958,1961,1965,1972,1977,1984,1987,1992,1996,2000,2002,2007,2021,2044,2072,2097,2121,2144,2163,2176,2188,2199,2212,2224,2235,2245,2250,2253,2255,2265,2280,2296,2313,2328,2342,2352,2357,2360,2363,2370,2378
54,"Texas",2,1210,1219,1220,1218,1216,1214,1212,1211,1210,1208,1206,1204,1206,1204,1205,1206,1208,1208,1209,1210,1213,1215,1218,1219,1223,1221,1222,1225,1231,1238,1246,1252,1257,1260,1263,1268,1277,1282,1286,1287,1287,1288,1288,1290,1295,1304,1317,1329,1340,1347,1353,1359,1365,1371,1377,1383,1389,1394,1394,1393,1394,1395,1400,1405,1411,1415,1417,1419,1419,1418,1417,1418,1419
43,"New York",3,1689,1694,1696,1699,1701,1706,1706,1704,1700,1699,1700,1700,1701,1705,1710,1718,1727,1738,1753,1763,1767,1763,1757,1750,1753,1761,1771,1778,1786,1794,1807,1824,1840,1848,1854,1862,1880,1896,1907,1913,1916,1920,1920,1922,1934,1950,1972,1988,2006,2016,2017,2023,2032,2044,2052,2063,2072,2093,2112,2131,2140,2147,2157,2164,2172,2171,2172,2173,2175,2173,2172,2174,2182
14,"Florida",4,1259,1265,1265,1263,1260,1256,1252,1251,1251,1251,1251,1250,1251,1250,1248,1249,1251,1255,1260,1264,1267,1269,1272,1274,1279,1281,1285,1288,1292,1296,1300,1307,1313,1321,1330,1340,1353,1363,1371,1377,1381,1385,1386,1387,1389,1394,1401,1408,1414,1418,1423,1429,1437,1445,1453,1460,1467,1473,1476,1477,1480,1484,1491,1496,1502,1506,1512,1517,1520,1522,1524,1527,1532
21,"Illinois",5,1459,1459,1457,1452,1443,1438,1433,1429,1420,1409,1401,1397,1395,1388,1381,1380,1382,1383,1385,1386,1387,1387,1393,1400,1403,1396,1388,1383,1382,1390,1397,1405,1408,1413,1414,1419,1427,1435,1446,1450,1451,1443,1439,1435,1442,1449,1457,1460,1464,1461,1459,1457,1457,1459,1459,1461,1464,1468,1468,1466,1464,1462,1471,1480,1490,1494,1495,1493,1490,1485,1480,1474,1469
47,"Pennsylvania",6,1194,1199,1199,1194,1189,1187,1187,1184,1181,1178,1175,1171,1168,1159,1154,1154,1160,1167,1173,1178,1178,1176,1173,1174,1178,1180,1183,1184,1183,1182,1182,1184,1185,1185,1185,1187,1190,1190,1190,1190,1187,1183,1177,1174,1176,1181,1188,1193,1200,1205,1208,1209,1207,1205,1205,1207,1213,1218,1221,1220,1217,1212,1214,1218,1225,1229,1231,1231,1229,1226,1224,1223,1222
44,"Ohio",7,963,965,970,972,969,962,959,961,966,968,967,964,965,967,970,974,979,980,975,963,952,946,947,952,958,962,961,962,965,973,981,987,990,990,990,994,1000,1005,1005,1007,1005,1005,1004,1004,1012,1025,1039,1044,1045,1043,1043,1046,1052,1059,1068,1077,1084,1085,1083,1081,1082,1083,1085,1084,1084,1083,1086,1089,1089,1086,1083,1082,1082
30,"Michigan",8,1090,1101,1108,1104,1094,1079,1073,1069,1072,1071,1066,1034,994,944,919,911,912,915,920,922,921,916,911,915,931,943,945,939,931,926,925,928,928,930,936,956,981,996,996,994,989,983,974,970,973,981,990,997,1006,1009,1011,1017,1028,1044,1051,1053,1052,1052,1052,1051,1053,1056,1066,1073,1080,1080,1080,1081,1078,1075,1071,1070,1077
16,"Georgia",9,1108,1115,1116,1115,1110,1107,1103,1100,1096,1092,1088,1086,1088,1085,1084,1083,1082,1080,1078,1077,1077,1076,1074,1071,1068,1064,1061,1061,1063,1067,1071,1078,1082,1085,1088,1092,1096,1099,1100,1101,1101,1102,1101,1100,1102,1108,1117,1124,1134,1140,1146,1148,1151,1155,1161,1168,1172,1176,1178,1179,1179,1178,1182,1187,1194,1197,1199,1199,1197,1194,1193,1194,1198
36,"North Carolina",10,989,992,994,996,997,998,999,1002,1005,1007,1007,1007,1010,1010,1013,1017,1021,1025,1026,1027,1027,1027,1027,1028,1030,1030,1029,1026,1024,1024,1026,1031,1041,1050,1060,1067,1074,1079,1081,1081,1078,1076,1076,1073,1073,1073,1076,1081,1086,1093,1098,1103,1107,1112,1119,1126,1131,1134,1133,1131,1128,1126,1129,1137,1147,1152,1154,1153,1149,1146,1145,1147,1150
40,"New Jersey",11,1802,1816,1826,1832,1835,1837,1832,1824,1816,1812,1811,1814,1826,1832,1841,1847,1853,1858,1864,1869,1873,1874,1875,1874,1878,1879,1882,1888,1891,1894,1902,1912,1920,1924,1924,1923,1923,1916,1910,1905,1900,1897,1896,1898,1906,1920,1942,1962,1982,1989,1991,1990,1992,1994,1995,1995,1994,1992,1988,1986,1988,1988,1990,1997,2009,2021,2029,2037,2043,2047,2047,2045,2045
56,"Virginia",12,1345,1349,1353,1358,1364,1370,1377,1383,1388,1392,1395,1397,1401,1405,1408,1412,1413,1413,1412,1413,1416,1420,1425,1427,1431,1432,1430,1428,1427,1430,1435,1442,1449,1452,1454,1455,1458,1461,1463,1465,1465,1463,1460,1457,1455,1457,1462,1469,1474,1478,1479,1482,1485,1490,1494,1495,1495,1493,1490,1487,1485,1483,1486,1489,1493,1492,1493,1491,1488,1485,1483,1483,1484
59,"Washington",13,1346,1355,1362,1370,1375,1376,1374,1372,1370,1364,1358,1351,1353,1354,1354,1352,1352,1354,1359,1365,1370,1371,1372,1372,1379,1383,1384,1385,1386,1388,1391,1398,1407,1418,1427,1435,1446,1455,1460,1462,1462,1460,1459,1458,1460,1466,1475,1482,1492,1501,1505,1511,1520,1533,1545,1555,1564,1571,1575,1578,1583,1592,1598,1606,1616,1625,1631,1636,1638,1642,1652,1665,1680
26,"Massachusetts",14,1670,1668,1659,1655,1656,1659,1657,1660,1664,1671,1678,1689,1699,1711,1722,1731,1740,1749,1762,1770,1772,1769,1765,1759,1752,1754,1758,1767,1771,1776,1779,1779,1775,1775,1780,1794,1810,1828,1836,1837,1837,1835,1832,1828,1835,1848,1868,1883,1898,1921,1944,1967,1985,1998,2009,2026,2045,2062,2070,2071,2068,2066,2065,2066,2075,2088,2109,2128,2141,2148,2152,2159,2166
22,"Indiana",15,1000,1007,1014,1014,1013,1010,1006,1002,991,977,962,949,945,937,932,934,939,942,940,932,925,922,924,929,937,938,935,929,922,916,918,926,937,946,957,969,986,994,996,995,992,989,986,986,990,999,1009,1017,1026,1031,1035,1039,1042,1046,1052,1060,1066,1068,1064,1055,1047,1039,1038,1042,1052,1063,1070,1074,1074,1075,1075,1075,1078
8,"Arizona",16,1138,1135,1132,1129,1123,1118,1113,1113,1111,1108,1104,1102,1100,1102,1104,1106,1107,1109,1110,1113,1114,1116,1118,1120,1123,1126,1126,1124,1124,1124,1127,1128,1130,1133,1137,1140,1140,1140,1140,1139,1138,1137,1137,1138,1141,1147,1156,1164,1171,1178,1183,1188,1191,1195,1198,1202,1208,1212,1215,1214,1211,1209,1214,1224,1237,1245,1251,1254,1252,1249,1247,1247,1251
53,"Tennessee",17,953,961,964,965,965,962,958,952,948,946,947,949,956,958,960,962,964,966,969,971,974,976,976,975,976,977,979,981,981,980,979,984,989,994,998,1001,1005,1003,1003,1004,1004,1004,1003,1005,1008,1014,1020,1027,1034,1036,1037,1039,1044,1052,1061,1068,1074,1078,1081,1082,1083,1083,1086,1089,1096,1102,1107,1108,1105,1100,1096,1097,1099
32,"Missouri",18,942,941,940,939,939,938,940,941,941,940,941,942,944,948,952,954,954,954,954,953,950,946,941,939,938,937,936,934,934,933,931,928,927,926,929,934,937,941,944,947,949,950,950,950,957,967,981,987,989,988,986,985,984,986,988,996,1004,1011,1008,1002,996,995,998,1003,1007,1011,1014,1013,1007,997,991,991,994
27,"Maryland",19,1643,1645,1646,1648,1651,1652,1653,1656,1658,1660,1661,1664,1667,1668,1667,1669,1669,1670,1671,1672,1673,1672,1670,1668,1669,1670,1672,1675,1679,1685,1690,1694,1697,1701,1705,1708,1711,1714,1715,1714,1712,1710,1706,1701,1701,1705,1715,1724,1733,1738,1740,1741,1742,1745,1750,1756,1760,1762,1760,1755,1750,1749,1753,1758,1762,1764,1766,1766,1764,1761,1760,1762,1761
60,"Wisconsin",20,830,844,865,893,929,954,974,993,1012,1020,1017,1005,1006,1004,1015,1028,1041,1052,1064,1077,1085,1092,1095,1101,1112,1111,1095,1073,1045,1031,1025,1024,1032,1044,1061,1075,1088,1091,1086,1075,1060,1048,1035,1024,1016,1026,1050,1077,1098,1114,1126,1137,1147,1153,1159,1163,1164,1154,1133,1112,1101,1097,1103,1118,1135,1148,1153,1153,1145,1135,1128,1128,1136
31,"Minnesota",21,1210,1225,1239,1243,1245,1247,1253,1260,1266,1267,1264,1260,1260,1254,1251,1253,1256,1257,1256,1256,1258,1261,1266,1272,1282,1285,1289,1292,1293,1291,1292,1295,1301,1306,1310,1312,1319,1322,1323,1323,1319,1318,1318,1316,1313,1314,1318,1325,1332,1332,1329,1328,1332,1339,1345,1350,1357,1363,1368,1370,1374,1373,1376,1381,1390,1396,1399,1400,1396,1392,1389,1390,1393
