"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,1829,1825,1814,1800,1787,1778,1774,1773,1773,1773,1773,1771,1767,1766,1766,1770,1773,1776,1776,1777,1774,1771,1769,1771,1773,1780,1789,1798,1808,1818,1829,1835,1839,1839,1844,1853,1860,1866,1867,1871,1875,1878,1878,1883,1904,1935,1971,2000,2024,2047,2067,2083,2097,2112,2130,2149,2165,2176,2181,2186,2190,2201,2219,2239,2261,2278,2294,2306,2311,2313,2314,2320,2328
54,"Texas",2,1071,1066,1064,1062,1058,1056,1052,1049,1047,1044,1042,1036,1031,1028,1023,1022,1023,1023,1022,1020,1021,1024,1028,1032,1036,1039,1045,1052,1060,1069,1081,1094,1102,1108,1114,1125,1140,1157,1167,1172,1173,1176,1178,1182,1191,1204,1220,1230,1240,1245,1247,1250,1254,1259,1266,1274,1280,1282,1282,1281,1282,1284,1290,1297,1304,1308,1309,1309,1306,1302,1299,1299,1300
43,"New York",3,1719,1717,1714,1708,1701,1700,1699,1700,1700,1702,1705,1707,1708,1711,1718,1728,1745,1759,1774,1785,1790,1789,1781,1775,1779,1788,1802,1814,1829,1840,1857,1883,1911,1930,1943,1950,1965,1983,2002,2018,2025,2033,2041,2048,2066,2085,2115,2136,2153,2162,2170,2185,2201,2211,2215,2215,2214,2232,2254,2283,2300,2312,2314,2310,2308,2311,2314,2315,2309,2296,2282,2274,2274
14,"Florida",4,1204,1206,1207,1208,1209,1210,1209,1210,1212,1213,1214,1213,1216,1214,1213,1213,1216,1220,1227,1231,1234,1236,1238,1241,1245,1247,1249,1250,1250,1253,1256,1262,1268,1278,1290,1303,1319,1333,1344,1351,1355,1358,1361,1364,1368,1373,1379,1386,1391,1395,1398,1405,1411,1419,1426,1432,1440,1447,1451,1451,1453,1457,1466,1476,1485,1491,1496,1499,1501,1500,1501,1504,1508
21,"Illinois",5,1487,1487,1482,1473,1465,1460,1456,1451,1448,1446,1444,1441,1440,1437,1437,1439,1442,1443,1444,1441,1441,1442,1447,1455,1457,1454,1451,1450,1454,1466,1477,1486,1483,1483,1484,1491,1497,1500,1509,1517,1518,1514,1513,1517,1528,1538,1549,1556,1564,1559,1554,1549,1543,1540,1538,1541,1546,1547,1543,1536,1533,1531,1540,1550,1561,1564,1563,1559,1553,1546,1538,1532,1522
47,"Pennsylvania",6,1047,1051,1047,1036,1026,1017,1011,1006,1006,1009,1013,1013,1010,1005,1005,1012,1020,1027,1031,1034,1035,1032,1033,1032,1032,1028,1027,1028,1033,1038,1044,1047,1045,1042,1038,1039,1043,1048,1055,1061,1066,1070,1070,1069,1073,1081,1094,1104,1113,1120,1123,1125,1122,1120,1120,1128,1134,1140,1141,1142,1142,1143,1148,1152,1155,1157,1162,1166,1167,1166,1165,1164,1163
44,"Ohio",7,815,822,829,835,839,840,840,841,842,846,848,850,851,850,850,851,853,853,850,844,838,834,835,838,846,850,851,849,845,844,845,846,848,849,852,856,863,866,867,870,871,873,876,878,884,890,896,899,901,902,903,906,910,918,926,934,940,944,943,941,940,937,938,938,940,940,942,944,944,941,937,936,936
30,"Michigan",8,1169,1166,1165,1157,1145,1138,1140,1145,1151,1158,1165,1161,1147,1129,1118,1118,1125,1133,1140,1144,1145,1145,1145,1150,1157,1168,1173,1174,1170,1169,1166,1167,1168,1174,1183,1194,1201,1205,1207,1209,1210,1208,1204,1198,1197,1197,1203,1210,1217,1222,1226,1233,1239,1246,1251,1258,1264,1264,1257,1248,1244,1248,1259,1268,1279,1282,1285,1284,1283,1279,1278,1278,1280
16,"Georgia",9,1081,1079,1081,1082,1082,1079,1078,1077,1077,1073,1070,1067,1067,1065,1063,1062,1062,1061,1059,1057,1055,1053,1051,1050,1049,1049,1048,1048,1050,1057,1065,1074,1081,1087,1094,1101,1109,1115,1116,1117,1117,1119,1122,1127,1133,1141,1152,1162,1172,1182,1190,1196,1200,1202,1204,1207,1212,1217,1220,1220,1220,1223,1229,1237,1246,1250,1253,1253,1253,1251,1251,1252,1256
36,"North Carolina",10,909,917,920,920,918,916,914,915,917,919,923,926,929,929,931,935,937,939,940,941,941,942,943,947,953,955,956,957,957,958,960,965,970,973,976,980,987,991,995,995,993,993,993,993,994,997,1002,1006,1010,1013,1014,1018,1023,1031,1038,1044,1050,1057,1059,1058,1054,1053,1057,1064,1075,1082,1087,1089,1088,1086,1085,1087,1091
40,"New Jersey",11,1607,1624,1636,1639,1635,1629,1624,1619,1616,1626,1643,1664,1694,1717,1744,1754,1755,1758,1764,1770,1770,1767,1770,1779,1792,1795,1802,1809,1811,1809,1807,1815,1825,1831,1824,1814,1800,1774,1758,1751,1745,1745,1745,1743,1746,1754,1773,1792,1803,1791,1782,1781,1787,1796,1804,1811,1825,1833,1838,1835,1831,1820,1826,1839,1863,1881,1894,1894,1882,1866,1843,1825,1812
