"Date","RegionName","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"United States",0,1540,0,-0.000648929266709929,0.0259826782145237,15204807
2016-11-30,"California",1,2328,0.00344827586206897,0.00648508430609598,0.063013698630137,1960046
2016-11-30,"Texas",2,1300,0.000769822940723634,-0.00153609831029186,0.0140405616224649,469004
2016-11-30,"New York",3,2274,0,-0.00958188153310104,-0.011304347826087,1593429
2016-11-30,"Florida",4,1508,0.00265957446808511,0.00533333333333333,0.0378527185134205,2266628
2016-11-30,"Illinois",5,1522,-0.00652741514360313,-0.0155239327296248,-0.00717547292889759,892401
2016-11-30,"Pennsylvania",6,1163,-0.000859106529209622,-0.00257289879931389,0.0183887915936953,737341
2016-11-30,"Ohio",7,936,0,-0.0053134962805526,-0.00425531914893617,451621
2016-11-30,"Michigan",8,1280,0.00156494522691706,0.000781860828772478,0.0289389067524116,338348
2016-11-30,"Georgia",9,1256,0.00319488817891374,0.00399680255795364,0.0295081967213115,212333
2016-11-30,"North Carolina",10,1091,0.00367985280588776,0.00460405156537753,0.0351043643263757,266301
2016-11-30,"New Jersey",11,1812,-0.00712328767123288,-0.0289389067524116,-0.0103768432550519,276379
2016-11-30,"Virginia",12,1709,0.00117164616285882,0.00175849941383353,-0.000584795321637427,475170
2016-11-30,"Washington",13,1606,0.00689655172413793,0.0196825396825397,0.0836707152496626,318024
2016-11-30,"Massachusetts",14,2083,0.00579430226943506,0.013625304136253,0.0546835443037975,674551
2016-11-30,"Indiana",15,977,-0.00102249488752556,0,0.029504741833509,148914
2016-11-30,"Arizona",16,1136,0.00264783759929391,0.00530973451327434,0.0777988614800759,313305
2016-11-30,"Tennessee",17,1166,0.000858369098712446,0.000858369098712446,0.0429338103756708,183515
2016-11-30,"Missouri",18,907,0.00665926748057714,0.00889877641824249,0.0044296788482835,171971
2016-11-30,"Maryland",19,1691,-0.000591016548463357,-0.000591016548463357,0.00356083086053412,376577
2016-11-30,"Wisconsin",20,1040,0.00386100386100386,-0.00857959961868446,0.010689990281827,214056
2016-11-30,"Minnesota",21,1348,0.00297619047619048,0.00447093889716841,0.0243161094224924,220901
2016-11-30,"Colorado",22,1583,0.000632111251580278,0.00380469245402663,0.0428194993412385,304842
2016-11-30,"Alabama",23,1037,-0.0076555023923445,-0.0308411214953271,-0.0170616113744076,60194
2016-11-30,"South Carolina",24,1131,0.00354924578527063,0,0.0433579335793358,183821
2016-11-30,"Louisiana",25,1328,-0.00449775112443778,-0.0299488677867056,-0.0561478322672353,57706
2016-11-30,"Kentucky",26,992,0.00608519269776876,0.0132788559754852,0.00404858299595142,79419
2016-11-30,"Oregon",27,1475,0.005453306066803,0.013745704467354,0.0758570386579139,118839
2016-11-30,"Oklahoma",28,835,-0.002389486260454,-0.0106635071090047,0.00360576923076923,26446
2016-11-30,"Connecticut",29,1370,-0.0021849963583394,-0.0072463768115942,-0.00145772594752187,294007
2016-11-30,"Iowa",30,999,0.00402010050251256,-0.00398803589232303,0.00909090909090909,87427
2016-11-30,"Mississippi",31,891,-0.00223964165733483,-0.0154696132596685,-0.00779510022271715,12003
2016-11-30,"Arkansas",32,845,-0.00118203309692671,-0.00937866354044549,0.0355392156862745,24214
2016-11-30,"Kansas",33,953,-0.00209424083769634,-0.00417972831765935,0.00105042016806723,55617
2016-11-30,"Utah",34,1286,0.0046875,0.0110062893081761,0.0379338175948345,150200
2016-11-30,"New Mexico",35,1034,0.00779727095516569,0,-0.0142993326978074,23736
2016-11-30,"West Virginia",36,879,0.00918484500574053,-0.00113636363636364,-0.0658873538788523,16743
2016-11-30,"Nebraska",37,1135,-0.00525854513584575,-0.00351185250219491,0.0393772893772894,31418
2016-11-30,"Idaho",38,958,0.0126849894291755,0.0245989304812834,0.0764044943820225,26785
2016-11-30,"Hawaii",39,2047,-0.00146341463414634,0,0.0312342569269521,176611
2016-11-30,"Maine",40,1177,0,0.000850340136054422,0.0137812230835487,205544
2016-11-30,"New Hampshire",41,1457,0.00760719225449516,0.0111034004163775,0.0203081232492997,161514
2016-11-30,"Rhode Island",42,1290,0.0015527950310559,0.00233100233100233,0.0530612244897959,85590
2016-11-30,"Montana",43,1176,-0.00591715976331361,-0.00675675675675676,0.0585058505850585,33709
2016-11-30,"Delaware",44,1321,-0.00151171579743008,-0.0149142431021626,-0.00601956358164033,14129
2016-11-30,"South Dakota",45,1061,0.0124045801526718,0.0361328125,0.0351219512195122,3773
2016-11-30,"Alaska",46,1580,-0.00315457413249211,-0.0168014934660859,-0.028290282902829,34810
2016-11-30,"North Dakota",47,1083,-0.0154545454545455,-0.0234445446348061,-0.0806451612903226,13869
2016-11-30,"Vermont",48,1529,-0.00390879478827362,-0.0236270753512133,-0.0573366214549938,23685
2016-11-30,"District of Columbia",49,2536,0.00395882818685669,0.00316455696202532,0.0176565008025682,126127
2016-11-30,"Wyoming",50,1064,-0.0148148148148148,-0.0567375886524823,-0.122112211221122,10640
