"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,1981,1979,1974,1971,1965,1962,1959,1958,1955,1951,1949,1948,1949,1950,1947,1944,1942,1940,1940,1944,1946,1947,1948,1949,1951,1952,1956,1964,1973,1980,1987,1993,1998,2002,2007,2013,2018,2023,2026,2031,2035,2039,2042,2048,2061,2081,2107,2130,2153,2174,2191,2202,2214,2224,2237,2248,2258,2267,2272,2276,2279,2287,2302,2316,2333,2347,2359,2368,2374,2377,2380,2384,2391
54,"Texas",2,1230,1229,1229,1228,1226,1224,1223,1221,1220,1218,1216,1214,1215,1215,1215,1216,1217,1218,1220,1222,1224,1226,1229,1231,1234,1234,1234,1236,1242,1249,1256,1263,1268,1270,1273,1278,1286,1293,1296,1297,1296,1296,1296,1297,1302,1311,1324,1336,1346,1356,1362,1369,1374,1380,1386,1393,1398,1403,1404,1403,1402,1402,1409,1416,1423,1426,1428,1430,1430,1428,1427,1428,1430
43,"New York",3,1657,1667,1676,1687,1701,1713,1713,1709,1700,1694,1692,1692,1697,1701,1702,1708,1710,1717,1731,1739,1741,1733,1727,1722,1728,1735,1739,1742,1744,1752,1761,1768,1772,1775,1778,1787,1806,1818,1821,1818,1813,1807,1803,1806,1818,1828,1842,1851,1863,1868,1874,1881,1891,1896,1901,1910,1921,1941,1956,1971,1977,1975,1979,1982,1991,1992,1996,2001,2009,2016,2020,2020,2023
14,"Florida",4,1290,1292,1291,1288,1283,1279,1274,1271,1270,1270,1270,1270,1270,1269,1268,1269,1271,1275,1279,1283,1285,1286,1288,1291,1294,1298,1302,1306,1312,1317,1324,1331,1338,1345,1352,1361,1371,1379,1385,1390,1394,1397,1397,1395,1397,1402,1412,1420,1426,1432,1436,1442,1450,1457,1465,1472,1478,1483,1485,1487,1489,1493,1499,1504,1509,1514,1520,1526,1530,1532,1533,1535,1538
21,"Illinois",5,1441,1446,1449,1446,1437,1431,1425,1421,1410,1397,1386,1384,1383,1373,1364,1361,1362,1362,1365,1368,1370,1370,1376,1384,1387,1379,1368,1363,1358,1364,1368,1377,1383,1389,1390,1392,1402,1408,1419,1421,1424,1416,1410,1403,1407,1413,1422,1423,1427,1424,1422,1421,1424,1429,1431,1432,1433,1438,1438,1436,1435,1433,1442,1451,1459,1461,1462,1461,1458,1453,1448,1442,1439
47,"Pennsylvania",6,1197,1203,1207,1210,1210,1208,1206,1204,1201,1197,1193,1189,1189,1183,1179,1179,1184,1189,1194,1197,1197,1194,1192,1193,1199,1202,1204,1205,1204,1203,1203,1205,1205,1206,1207,1208,1210,1208,1207,1206,1204,1200,1195,1191,1193,1198,1206,1211,1217,1222,1222,1221,1218,1217,1220,1226,1234,1241,1244,1242,1239,1236,1236,1238,1244,1248,1250,1248,1243,1237,1234,1234,1237
44,"Ohio",7,982,983,989,990,987,978,975,976,980,982,980,978,980,983,987,992,998,999,993,980,968,962,963,969,976,979,979,980,983,994,1003,1012,1015,1017,1019,1024,1029,1032,1030,1030,1027,1026,1026,1029,1038,1049,1060,1067,1069,1069,1069,1072,1076,1083,1090,1098,1103,1104,1101,1098,1096,1096,1100,1101,1102,1102,1104,1106,1107,1106,1104,1101,1099
30,"Michigan",8,1090,1100,1104,1098,1086,1072,1065,1062,1065,1063,1057,1024,982,930,905,896,897,900,904,907,906,901,897,900,916,926,927,921,913,909,907,910,910,912,917,935,958,974,975,974,970,963,955,950,953,960,969,976,985,989,991,998,1008,1023,1028,1030,1029,1029,1028,1028,1030,1035,1045,1051,1056,1055,1056,1056,1053,1049,1045,1045,1054
16,"Georgia",9,1112,1121,1121,1118,1112,1108,1104,1101,1097,1093,1090,1087,1089,1086,1085,1084,1084,1082,1080,1078,1079,1078,1075,1072,1070,1065,1062,1063,1064,1068,1072,1077,1081,1085,1088,1092,1096,1098,1099,1100,1100,1100,1099,1097,1100,1105,1114,1121,1130,1136,1142,1144,1147,1151,1157,1163,1167,1172,1174,1175,1175,1173,1176,1181,1189,1193,1195,1196,1196,1193,1192,1192,1195
36,"North Carolina",10,993,996,1000,1003,1005,1005,1007,1011,1015,1018,1019,1019,1021,1022,1024,1028,1032,1037,1038,1039,1038,1038,1039,1039,1042,1042,1040,1037,1035,1034,1036,1041,1050,1059,1068,1076,1083,1088,1090,1090,1087,1086,1085,1082,1081,1081,1083,1088,1093,1100,1104,1109,1114,1119,1126,1133,1138,1141,1141,1138,1135,1135,1139,1146,1155,1160,1162,1161,1158,1155,1155,1158,1161
40,"New Jersey",11,1818,1837,1848,1853,1857,1859,1855,1846,1836,1833,1831,1835,1845,1847,1852,1857,1863,1868,1873,1879,1883,1884,1883,1882,1887,1887,1891,1897,1900,1904,1913,1923,1930,1933,1934,1934,1936,1930,1925,1921,1917,1914,1913,1915,1922,1936,1958,1978,1999,2006,2008,2008,2009,2011,2012,2011,2010,2007,2003,1999,2002,2002,2005,2013,2023,2034,2042,2052,2060,2066,2068,2068,2070
56,"Virginia",12,1300,1305,1309,1314,1320,1326,1333,1338,1343,1347,1350,1352,1355,1358,1362,1365,1365,1364,1363,1364,1367,1371,1374,1375,1379,1379,1377,1375,1374,1377,1381,1387,1391,1393,1394,1395,1400,1402,1403,1404,1402,1401,1397,1393,1391,1394,1400,1408,1415,1418,1420,1423,1426,1431,1436,1439,1441,1441,1437,1433,1430,1427,1430,1434,1439,1439,1439,1438,1435,1431,1429,1429,1428
59,"Washington",13,1362,1375,1383,1391,1396,1399,1397,1396,1393,1389,1383,1377,1381,1380,1380,1378,1377,1379,1383,1388,1391,1392,1392,1392,1400,1402,1403,1403,1405,1407,1412,1420,1430,1440,1449,1458,1470,1478,1481,1482,1481,1478,1475,1473,1476,1480,1489,1497,1507,1516,1519,1525,1534,1548,1560,1570,1578,1585,1588,1590,1593,1600,1608,1618,1628,1636,1641,1646,1648,1654,1663,1676,1689
26,"Massachusetts",14,1694,1709,1706,1706,1707,1715,1717,1725,1732,1741,1750,1764,1779,1789,1801,1809,1815,1815,1817,1814,1810,1804,1801,1795,1788,1784,1785,1793,1797,1804,1808,1808,1802,1800,1804,1817,1835,1850,1855,1855,1856,1855,1854,1850,1857,1868,1886,1898,1913,1936,1963,1989,2009,2021,2034,2053,2074,2093,2103,2110,2109,2103,2099,2097,2106,2122,2147,2172,2189,2197,2201,2203,2209
22,"Indiana",15,1005,1014,1020,1021,1020,1017,1014,1009,998,983,967,953,948,939,934,936,941,945,943,935,928,925,928,933,942,942,940,934,927,921,922,929,941,950,961,974,991,999,1002,1000,997,994,991,991,995,1004,1015,1023,1032,1037,1041,1045,1049,1052,1059,1066,1072,1074,1070,1062,1054,1046,1045,1049,1059,1069,1076,1080,1081,1081,1080,1080,1084
8,"Arizona",16,1178,1175,1172,1170,1163,1159,1155,1154,1152,1149,1145,1142,1139,1138,1139,1142,1146,1148,1150,1152,1154,1156,1157,1159,1161,1165,1165,1163,1163,1164,1166,1166,1167,1169,1172,1175,1177,1177,1175,1173,1171,1170,1171,1172,1174,1179,1186,1192,1198,1203,1208,1213,1216,1220,1224,1227,1232,1237,1241,1243,1243,1245,1251,1258,1267,1275,1281,1285,1286,1284,1284,1285,1288
53,"Tennessee",17,952,960,963,965,965,962,958,952,949,946,947,949,955,957,960,961,964,966,968,970,973,975,975,974,975,976,978,980,980,979,979,983,988,993,998,1001,1004,1002,1003,1003,1002,1002,1001,1003,1006,1011,1018,1025,1031,1034,1035,1037,1042,1049,1060,1066,1072,1075,1078,1079,1080,1080,1082,1085,1091,1098,1102,1103,1099,1094,1090,1090,1093
32,"Missouri",18,947,949,949,947,948,947,949,950,950,949,949,950,953,958,961,962,961,961,962,962,959,955,950,947,947,946,945,944,944,943,941,937,935,934,937,942,947,950,954,957,958,960,960,959,966,978,993,1000,1004,1003,1001,1000,999,1001,1004,1013,1021,1029,1025,1019,1011,1008,1010,1016,1022,1027,1031,1031,1025,1015,1008,1007,1010
27,"Maryland",19,1674,1671,1673,1675,1676,1675,1676,1678,1680,1680,1680,1682,1683,1685,1685,1686,1687,1689,1690,1692,1693,1692,1689,1686,1684,1686,1688,1692,1698,1703,1709,1714,1718,1723,1727,1731,1734,1738,1739,1737,1735,1733,1728,1722,1721,1727,1739,1748,1756,1763,1767,1769,1770,1773,1777,1783,1786,1788,1785,1782,1780,1779,1781,1783,1787,1789,1792,1793,1792,1788,1786,1786,1788
60,"Wisconsin",20,829,842,863,894,933,959,980,999,1019,1028,1025,1011,1012,1010,1022,1036,1050,1062,1075,1088,1097,1104,1108,1113,1124,1123,1105,1081,1051,1037,1031,1031,1039,1052,1068,1082,1098,1103,1098,1085,1068,1055,1042,1029,1020,1031,1055,1083,1105,1121,1135,1147,1156,1162,1168,1172,1173,1163,1142,1120,1109,1104,1110,1126,1143,1155,1161,1161,1153,1142,1136,1136,1146
31,"Minnesota",21,1219,1236,1248,1254,1257,1260,1265,1273,1278,1278,1275,1270,1270,1263,1261,1263,1267,1268,1267,1266,1267,1270,1275,1280,1290,1291,1296,1299,1300,1298,1298,1303,1308,1313,1317,1320,1328,1330,1332,1332,1327,1325,1324,1322,1319,1320,1324,1331,1340,1340,1337,1335,1340,1347,1353,1358,1365,1371,1377,1380,1386,1385,1388,1393,1400,1406,1410,1411,1409,1405,1402,1401,1402
10,"Colorado",22,1316,1331,1345,1359,1371,1378,1384,1389,1392,1392,1388,1386,1393,1390,1388,1387,1389,1392,1395,1399,1404,1409,1412,1417,1432,1442,1448,1454,1459,1466,1473,1478,1482,1487,1495,1502,1514,1518,1522,1527,1528,1531,1533,1538,1548,1566,1591,1614,1641,1659,1670,1680,1689,1703,1719,1737,1753,1767,1776,1783,1793,1798,1807,1818,1831,1840,1848,1855,1858,1859,1858,1859,1862
4,"Alabama",23,951,953,951,951,948,946,944,944,944,944,940,936,932,931,936,943,953,957,953,944,938,934,931,929,929,927,927,927,930,934,938,941,943,943,944,946,950,953,950,942,931,926,925,927,930,938,950,961,970,973,976,978,980,986,994,1003,1010,1013,1012,1009,1005,1002,1004,1007,1008,1005,1003,999,996,991,987,984,983
51,"South Carolina",24,999,1010,1018,1016,1012,1010,1010,1016,1022,1032,1041,1042,1036,1022,1016,1016,1020,1022,1024,1022,1023,1023,1024,1027,1037,1043,1048,1052,1056,1057,1059,1064,1072,1077,1081,1087,1097,1102,1102,1096,1089,1085,1085,1085,1085,1089,1098,1107,1118,1128,1136,1147,1155,1166,1174,1180,1183,1183,1178,1173,1167,1162,1165,1174,1185,1191,1192,1191,1186,1181,1178,1178,1181
25,"Louisiana",25,1191,1188,1180,1174,1174,1180,1185,1190,1195,1196,1198,1198,1198,1203,1209,1213,1211,1205,1199,1195,1193,1195,1197,1198,1199,1199,1202,1205,1206,1207,1213,1220,1225,1223,1219,1218,1218,1219,1219,1218,1217,1218,1218,1215,1217,1228,1246,1263,1275,1282,1290,1296,1301,1306,1310,1314,1316,1317,1314,1307,1298,1288,1287,1290,1298,1300,1300,1298,1291,1283,1274,1269,1264
24,"Kentucky",26,968,960,959,958,958,958,958,961,965,967,968,968,967,968,966,963,958,953,949,948,947,946,942,939,936,936,936,936,938,943,949,953,953,951,949,947,946,951,953,953,950,946,943,938,937,942,954,966,975,984,992,998,1004,1011,1017,1022,1028,1033,1034,1031,1025,1023,1023,1027,1033,1035,1037,1037,1034,1030,1028,1030,1032
46,"Oregon",27,1184,1185,1186,1189,1194,1197,1199,1201,1201,1201,1204,1208,1215,1219,1223,1225,1227,1229,1232,1237,1242,1245,1247,1248,1250,1254,1257,1262,1266,1272,1276,1279,1279,1278,1281,1289,1300,1309,1312,1314,1314,1314,1315,1317,1328,1344,1364,1378,1391,1404,1415,1425,1435,1446,1459,1474,1488,1503,1513,1520,1526,1532,1545,1559,1576,1589,1602,1612,1618,1620,1622,1627,1634
45,"Oklahoma",28,872,887,895,898,897,892,887,884,883,879,873,864,866,864,864,867,872,875,875,870,864,858,857,863,877,883,888,891,893,893,893,897,906,914,924,929,941,944,947,949,948,947,946,944,944,949,956,964,970,969,964,963,966,976,989,1002,1013,1021,1023,1019,1013,1004,1000,998,998,998,1000,1001,995,988,982,980,979
11,"Connecticut",29,1733,1724,1720,1722,1723,1724,1721,1719,1716,1713,1708,1704,1704,1708,1714,1714,1712,1708,1707,1707,1707,1707,1708,1709,1709,1706,1701,1698,1696,1697,1700,1705,1710,1711,1714,1719,1725,1728,1736,1741,1743,1741,1736,1730,1729,1735,1747,1757,1763,1765,1767,1771,1775,1781,1787,1791,1796,1800,1804,1809,1812,1810,1811,1813,1819,1828,1839,1849,1853,1852,1846,1839,1831
19,"Iowa",30,1022,1015,1005,998,993,987,989,993,986,971,957,944,938,935,940,947,955,963,967,964,956,948,947,955,966,977,981,984,984,985,983,980,980,983,986,993,999,1009,1011,1005,991,979,971,970,980,1001,1023,1035,1039,1041,1047,1055,1065,1073,1080,1089,1099,1104,1100,1091,1080,1068,1063,1062,1070,1077,1083,1084,1081,1077,1073,1072,1072
34,"Mississippi",31,944,945,947,944,940,934,931,931,930,929,925,925,925,926,935,945,958,962,962,958,954,945,931,916,902,889,886,893,901,916,930,945,956,971,990,1002,1007,1004,998,988,973,955,937,924,928,946,974,1000,1025,1039,1045,1043,1041,1043,1054,1063,1063,1054,1039,1032,1031,1031,1034,1043,1056,1069,1076,1078,1075,1069,1060,1051,1046
6,"Arkansas",32,800,805,808,811,816,821,827,828,828,828,831,835,841,844,847,850,851,850,847,848,852,862,872,882,887,887,888,891,895,902,910,918,922,924,923,922,922,921,918,912,903,896,890,887,887,889,894,900,910,918,924,928,929,934,939,943,945,944,940,934,928,923,927,934,945,949,953,952,951,947,944,944,944
23,"Kansas",33,882,887,893,888,881,879,893,918,941,959,966,970,973,979,985,994,999,1007,1012,1016,1016,1012,1012,1015,1019,1024,1031,1038,1043,1044,1039,1031,1022,1016,1013,1016,1014,1008,1000,997,998,1004,1005,1001,1006,1015,1029,1038,1048,1057,1065,1067,1066,1066,1066,1070,1074,1077,1077,1073,1064,1055,1056,1063,1074,1075,1075,1067,1060,1050,1044,1040,1037
55,"Utah",34,,,,1204,1207,1207,1205,1203,1205,1211,1217,1220,1218,1217,1217,1222,1223,1222,1221,1221,1222,1221,1222,1225,1235,1249,1263,1276,1285,1294,1303,1314,1324,1333,1341,1347,1349,1346,1338,1332,1326,1323,1324,1324,1325,1327,1331,1337,1346,1354,1360,1365,1369,1374,1378,1381,1384,1386,1386,1384,1383,1386,1391,1399,1407,1415,1424,1430,1433,1435,1436,1439,1442
42,"Nevada",35,1246,1248,1249,1248,1247,1246,1246,1246,1244,1242,1239,1234,1230,1225,1222,1219,1216,1214,1212,1211,1212,1213,1213,1214,1217,1219,1221,1224,1226,1229,1229,1228,1225,1224,1225,1230,1236,1238,1238,1236,1234,1233,1233,1233,1234,1237,1243,1249,1255,1259,1261,1262,1264,1266,1271,1279,1288,1295,1296,1294,1292,1294,1300,1307,1316,1321,1325,1327,1327,1327,1329,1332,1336
41,"New Mexico",36,1168,1161,1154,1146,1139,1143,1155,1166,1173,1174,1172,1167,1158,1156,1157,1157,1153,1144,1130,1122,1114,1114,1114,1118,1115,1114,1113,1115,1123,1130,1137,1141,1145,1144,1144,1144,1148,1151,1154,1154,1148,1141,1133,1128,1129,1133,1142,1148,1151,1156,1161,1170,1176,1182,1186,1189,1190,1190,1188,1186,1183,1182,1182,1181,1184,1187,1190,1190,1187,1184,1181,1180,1178
61,"West Virginia",37,982,995,1005,1004,991,963,939,921,916,913,911,905,901,896,898,913,930,952,961,965,961,962,969,972,974,970,968,957,952,954,971,984,988,984,974,965,957,951,934,916,904,898,893,883,879,881,891,904,919,928,931,936,938,943,945,955,965,970,964,954,944,935,932,936,941,933,919,907,895,882,871,870,880
38,"Nebraska",38,1090,1092,1093,1096,1096,1095,1098,1101,1107,1115,1124,1126,1118,1105,1094,1089,1088,1090,1092,1092,1088,1078,1065,1056,1059,1074,1092,1108,1117,1124,1128,1130,1127,1127,1132,1141,1151,1151,1143,1133,1126,1122,1116,1112,1116,1127,1143,1159,1175,1190,1202,1211,1218,1222,1226,1232,1239,1242,1241,1234,1229,1224,1224,1225,1228,1232,1239,1246,1249,1249,1249,1248,1247
20,"Idaho",39,,,,,900,900,903,907,910,909,905,904,905,908,907,905,905,906,909,913,919,923,925,926,928,933,939,947,958,967,971,970,969,969,971,972,976,980,982,984,987,988,988,988,987,990,999,1012,1022,1033,1039,1044,1048,1050,1054,1061,1073,1085,1093,1093,1090,1094,1098,1103,1110,1117,1123,1129,1132,1133,1135,1141,1151
18,"Hawaii",40,2242,2240,2238,2234,2229,2198,2167,2135,2106,2076,2050,2040,2042,2044,2050,2062,2082,2106,2130,2146,2148,2141,2130,2124,2136,2143,2157,2167,2183,2205,2231,2263,2294,2315,2326,2317,2294,2258,2220,2178,2137,2103,2078,2066,2081,2124,2188,2251,2310,2366,2403,2441,2467,2499,2518,2527,2528,2520,2506,2493,2490,2493,2498,2506,2516,2527,2535,2543,2544,2543,2539,2541,2543
28,"Maine",41,,,,932,937,942,943,951,961,971,972,967,961,962,965,976,988,1005,1021,1032,1033,1035,1046,1059,1063,1062,1066,1083,1095,1108,1115,1116,1114,1110,1105,1101,1105,1121,1133,1140,1138,1127,1115,1104,1103,1120,1152,1192,1227,1254,1267,1271,1272,1275,1286,1302,1327,1336,1331,1316,1309,1308,1308,1313,1323,1335,1349,1365,1372,1374,1374,1379,1381
39,"New Hampshire",42,1481,1487,1498,1502,1500,1496,1490,1483,1481,1483,1487,1490,1495,1498,1500,1502,1500,1493,1485,1481,1479,1477,1476,1481,1492,1498,1502,1505,1514,1525,1538,1549,1552,1551,1549,1548,1545,1539,1525,1517,1512,1509,1500,1491,1491,1501,1515,1525,1536,1553,1564,1574,1584,1604,1633,1659,1678,1687,1685,1678,1672,1671,1675,1678,1682,1677,1672,1666,1659,1654,1652,1657,1666
50,"Rhode Island",43,1578,1553,1504,1447,1408,1393,1384,1390,1405,1413,1415,1415,1404,1417,1444,1471,1492,1499,1502,1497,1493,1488,1487,1486,1471,1474,1484,1494,1501,1501,1497,1486,1476,1472,1474,1481,1470,1466,1462,1467,1470,1479,1485,1489,1487,1488,1496,1510,1514,1522,1532,1542,1544,1542,1545,1551,1559,1566,1573,1575,1569,1570,1582,1591,1604,1616,1631,1645,1657,1663,1664,1660,1654
35,"Montana",44,,,,,,1116,1118,1121,1123,1122,1118,1114,1106,1085,1056,1030,1011,1004,996,993,995,990,985,982,987,994,1004,1012,1023,1039,1049,1047,1041,1033,1030,1031,1030,1029,1032,1043,1045,1054,1049,1048,1046,1056,1072,1088,1101,1106,1122,1133,1142,1143,1142,1143,1151,1162,1171,1178,1186,1191,1199,1202,1207,1218,1224,1233,1236,1239,1232,1223,1217
13,"Delaware",45,1328,1326,1322,1316,1313,1321,1328,1337,1343,1348,1339,1324,1307,1299,1302,1310,1312,1308,1298,1294,1293,1296,1300,1306,1311,1307,1302,1300,1303,1311,1321,1330,1334,1327,1322,1321,1328,1331,1331,1324,1313,1303,1296,1293,1300,1317,1339,1356,1365,1366,1371,1372,1371,1367,1366,1367,1368,1370,1375,1382,1387,1386,1396,1408,1427,1438,1446,1443,1434,1420,1408,1401,1399
