"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
102001,"United States",0,99000,99000,98900,98900,99100,99300,99600,99900,100200,100600,100900,101200,101500,101900,102200,102600,103000,103400,103800,104200,104600,105000,105300,105800,106300,106900,107500,108100,108700,109300,109800,110300,110800,111300,111800,112300,112700,113300,113900,114600,115300,116000,116700,117500,118300,119000,119800,120500,121200,121700,122200,122700,123200,123600,124000,124500,125100,125700,126300,126900,127500,128000,128500,129000,129500,129900,130400,131000,131600,132300,132900,133600,134100,134700,135300,136000,136600,137300,138000,138800,139500,140200,140900,141500,142300,143000,143800,144600,145400,146400,147300,148400,149600,150700,152000,153300,154600,156100,157500,159000,160400,161800,163200,164500,165800,167000,168100,169300,170500,171800,173200,174600,176000,177300,178600,179800,181100,182200,183300,184400,185500,186600,187500,188400,189200,189800,190200,190400,190600,190800,191000,191300,191400,191300,191100,190700,190200,189500,188600,187700,186700,185500,184200,182900,181500,179900,178100,176400,174800,173100,171600,170200,168800,167400,166100,164800,163300,161700,160100,158800,158000,157300,156900,156600,156500,156500,156700,156400,155800,155500,155500,154900,154100,153400,152700,151800,150800,149800,148800,147900,147100,146400,145800,145400,145000,144500,144200,144000,143900,143800,143600,143600,144000,144600,145000,145300,145500,145900,146400,146900,147500,148000,148500,149400,150200,150900,151800,152900,154100,154900,155600,156300,157000,157900,158600,159300,160100,160800,161500,162200,162900,163500,164000,164600,165200,165700,166400,167100,167900,168700,169500,170200,171000,171800,172500,173200,174200,175100,175900,177000,178000,178900,179800,180800,181900,182900,183900,185100,186400,187500,188800,190200,191400,192600,193800,194800,195900,197000,198200,199400,200500,202100,204000,205700,206900,208200,209400,210700,211900,213100,214600,216000
394913,"New York, NY",1,140000,140000,139900,139900,139800,139800,139900,140000,140300,140800,141300,141600,142000,142400,142700,142900,143100,143300,143600,144100,144800,145600,146300,146800,147200,147600,147900,148300,148700,149200,149900,150800,151900,153000,154100,155200,156300,157500,158800,160200,161400,162600,163800,165000,166300,167800,169400,171100,172800,174600,176400,178200,180000,181700,183500,185200,187000,188900,190800,192600,194600,196600,198800,201100,203600,206300,209300,212400,215600,218900,222200,225600,229000,232400,235800,239400,242900,246500,250200,253900,257600,261200,264600,268000,271300,274600,277900,281100,284300,287500,290700,293900,297100,300400,303800,307300,310900,314700,318800,323200,327700,332200,336600,340700,344900,348900,352800,356700,360600,364400,368000,371300,374300,377100,379600,381900,384000,385900,387500,388800,390000,390900,391300,391300,390800,390000,388900,387400,385900,384500,383100,381900,380700,379400,378000,376500,374800,373000,371200,369300,367300,365200,363100,360500,357500,354000,350600,347200,344100,341100,338100,335100,332300,329900,327600,325200,322300,319000,315900,313800,312600,311900,311600,311500,311700,312100,312800,313100,313000,312200,311500,310700,309600,307700,305700,304100,301600,298500,295400,292500,290900,290800,290400,288900,286900,285400,284100,282500,281400,280000,278100,277100,277000,276400,275400,274600,273700,273300,273000,273100,273200,273600,274400,275200,275500,276200,277800,279500,280400,280600,280900,281800,282900,284200,285100,285800,286700,287500,287700,288100,288800,289700,290300,290400,290400,290800,291400,291400,291100,291100,291400,291500,292200,293300,294400,294700,294500,294400,295300,296200,296700,296600,296700,297500,299100,300600,301200,302100,304100,305800,306600,307700,309100,310900,313200,315300,316600,317600,319000,320600,322400,324200,326300,327900,329300,330700,332100,333700,335700,337400,338900,340300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,166600,166400,166100,165800,165600,165400,165200,165300,165500,166000,166300,166400,166400,166600,166900,167300,167900,168700,169800,171200,172900,174900,176700,178200,179600,180900,182000,183000,184100,185200,186400,187700,189300,191000,192600,194000,195400,196900,198400,199800,201200,202700,204300,206100,208100,210400,212700,214800,217000,219200,221400,223500,225500,227600,229600,231700,233800,236100,238200,240200,242200,244100,246100,248200,250300,252500,254900,257600,260400,263500,266700,270100,273600,277500,281700,286200,291000,295900,301000,306300,311600,316600,321500,326500,331800,337200,343000,349300,355900,362700,369900,377300,385000,393300,402200,411800,422200,432900,443400,453300,462200,470200,477400,483800,489800,495700,501500,507500,513900,520500,527500,534900,542200,549400,556400,562800,568700,574000,578900,583700,588100,591500,593900,594700,593700,591600,589200,586400,583800,581500,579000,575900,572100,567700,562600,556600,549500,542100,534900,527600,519900,511900,503100,493200,482400,471600,461200,452700,446200,441100,436200,431500,427100,423000,418500,413300,407600,401400,396600,394700,395000,396200,397900,399500,400900,402200,402600,401600,401600,403000,403100,401000,399700,398100,395800,393200,390700,387900,385500,383700,381900,379600,378100,376600,373700,370300,367700,366200,365100,364100,363900,364800,366600,369200,372000,374600,376600,378900,381900,386100,390300,394700,400900,409200,417900,426100,433800,440300,445700,450000,453400,455800,457300,458800,461400,464600,467500,470200,472800,475100,476500,478000,479900,481800,484100,487000,489700,492600,495700,498600,501200,504100,507600,511700,515200,518400,522300,526000,528100,530100,532700,534800,536800,540100,544000,547800,551400,554800,558400,561700,564900,567800,570600,573300,576100,579000,582800,587300,591600,595700,599600,604300,609100,612200,613400,614200,615200,616700,618300,619500,620700,622800
394463,"Chicago, IL",3,131800,132300,132500,132600,132300,131800,131000,129900,128900,128000,127000,125900,124800,123900,122900,121900,121000,120300,120000,120300,121100,122200,123300,124300,125400,126600,127800,129200,130600,132000,133200,134100,134900,135500,135700,135600,135600,135500,135600,135600,135700,135800,136000,136400,137200,138400,139800,141100,142500,143900,145300,146700,148000,149300,150500,151600,152800,153800,154800,155600,156300,157000,157800,158600,159400,160400,161300,162200,163100,163900,164700,165500,166200,167100,167900,168700,169600,170500,171400,172300,173200,174100,175000,175900,176900,177800,178800,179800,180900,182200,183500,184800,186100,187400,188600,189800,191100,192400,193900,195400,197000,198700,200400,202200,204000,205900,207800,209800,211900,214000,216100,218200,220300,222300,224200,225900,227400,228700,229900,231200,232400,233400,234100,234600,235000,235400,235600,235800,236000,236300,236300,236300,236300,235900,235400,234800,234100,233500,232800,231900,230600,229000,227100,225200,223300,221200,219000,216600,214000,211600,209500,207300,205100,202900,200600,198300,195700,192900,189900,187300,185000,183000,181500,180400,179800,179600,179900,179000,177100,175900,175400,174200,172700,171100,169300,167800,166200,165000,164000,162600,160900,159200,157400,156300,155700,154700,153300,152000,151200,150200,148900,148200,148700,148900,149200,149500,149600,149800,150400,150700,150600,150600,150900,151500,152200,153400,154700,156200,157500,158500,159100,159700,160100,160400,160600,161100,161900,162900,164000,165000,165900,166500,166900,167400,167800,168200,168500,169400,170600,171400,171800,172100,172300,172700,173500,174400,174900,175300,176100,177000,177600,178200,178900,179500,180400,181400,182300,183300,184200,184700,185300,186300,187300,188100,188700,189400,190100,191000,192300,193600,194800,196200,198100,199400,200300,201200,202300,203300,204200,205300,206300,207200
394514,"Dallas-Fort Worth, TX",4,95400,95600,95800,96000,96200,96300,96600,96800,97000,97200,97400,97400,97500,97600,97700,97800,98000,98200,98400,98700,98900,99200,99400,99600,99800,100000,100100,100300,100400,100400,100600,100800,101200,101700,102300,102900,103500,104100,104700,105300,105800,106400,107000,107600,108100,108500,108900,109300,109700,110100,110600,111200,111800,112500,113100,113700,114100,114400,114400,114300,114200,114100,114100,114100,114200,114400,114600,114800,115100,115400,115700,116000,116400,116800,117300,117800,118300,118700,119100,119400,119600,119700,119800,119900,120000,120100,120200,120300,120300,120400,120600,120900,121500,122200,123300,124600,125700,126600,127300,127800,128200,128600,128800,129100,129400,129800,130100,130400,130600,130800,130800,130900,130900,130800,130800,130800,130900,131100,131300,131600,131900,132300,132600,132800,132900,133100,133300,133400,133600,133700,133800,133900,134100,134300,134600,134900,135300,135600,135900,136000,135700,135100,134300,133400,132400,131500,130700,130000,129500,129100,128700,128500,128300,128100,127900,127600,127200,126800,126300,126100,126100,126000,126000,126000,126000,126100,126200,126200,125900,125700,125500,125300,125100,125000,124500,123800,123300,123100,122800,122400,122000,121700,121400,121200,120900,120600,120500,120200,119900,119600,119500,119600,119900,120200,120400,120500,120500,120300,120300,120600,121000,121200,121400,121600,122000,122700,123400,124000,124400,124900,125500,126200,126800,127200,127700,128500,129200,129800,130400,131100,131800,132400,132900,133500,134400,135200,136200,137200,138300,139200,140100,140900,141800,142800,143800,145000,146200,147400,148500,149900,151600,153400,155600,158200,160700,163400,165900,168100,170100,172100,174100,176100,177900,179400,180600,181900,183600,185000,186300,187500,188900,191000,193700,195800,197300,198900,200500,201800,202800,203900,205800,207600
394974,"Philadelphia, PA",5,92100,91900,91800,91600,91400,91400,91400,91400,91500,91600,91600,91700,91700,91700,91800,91800,91800,91800,91900,91900,92000,92200,92300,92400,92500,92500,92600,92700,92800,92900,93100,93300,93600,94000,94300,94600,94800,95000,95100,95300,95500,95700,96000,96300,96800,97200,97600,98100,98500,98900,99200,99600,100000,100400,100900,101400,102000,102600,103400,104100,104900,105600,106300,106900,107500,108100,108800,109500,110200,111100,112000,112900,113800,114800,115700,116700,117800,118900,120100,121400,122700,123800,124900,126100,127200,128500,129900,131400,132800,134300,135800,137300,138800,140300,141800,143300,145000,146800,148800,150900,153100,155200,157200,159300,161500,163700,165900,168000,170100,172100,174200,176300,178500,180700,182800,184700,186300,187600,188800,190000,191200,192300,193200,194100,194900,195500,195800,196000,196100,196300,196500,196800,197200,197600,197800,197900,197800,197700,197400,196800,196200,195600,195100,194600,194200,193700,193100,192300,191500,190800,190100,189400,188800,188300,187700,187100,186200,185200,184100,183300,182900,182800,182800,182900,183100,183400,183600,183100,182200,181900,182000,181600,180500,179100,177800,176700,175300,173900,172900,172100,171100,169500,167600,166200,165000,163900,163200,162800,162200,161400,161000,161100,161100,160900,160700,160400,160200,160000,159700,159400,159800,160200,160300,160400,160600,161100,161700,162100,162700,163300,163500,163600,163700,163900,163800,163400,163500,163900,164100,164100,164200,164300,164400,164400,164200,164000,164000,164400,165300,166300,167200,167900,168900,170100,170900,171000,171300,171900,172900,173900,174600,175100,176300,177800,178900,180000,181200,182200,183100,184300,185300,186600,188000,189200,190300,191500,192900,193800,195100,197400,200200,202100,202900,203100,203100,203500,204200,205000,205800,206500,207300,208100
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,87100,87300,87600,87900,88300,88700,89100,89500,89900,90200,90400,90700,91000,91200,91400,91900,92500,93300,94100,95100,96000,96700,97300,97800,98200,98400,98600,98700,98900,99100,99200,99300,99400,99500,99600,99700,99800,100000,100200,100400,100500,100400,100200,99900,99700,99600,99600,99600,99700,99800,100100,100300,100700,101100,101500,101800,102200,102700,103200,103900,104700,105400,106100,106700,107300,107900,108400,108900,109300,109600,109900,110100,110300,110500,110800,111200,111800,112600,113500,114500,115500,116300,117000,117600,118200,118700,119200,119800,120300,120800,121300,121600,121800,121900,121900,121800,121600,121400,121200,121100,121000,121200,121400,121600,121900,122200,122700,123200,123800,124400,124900,125400,125800,126100,126300,126600,127000,127500,128000,128500,128900,129300,129600,129600,129300,128700,127900,126900,126000,125100,124300,123500,122900,122400,122000,121500,121100,120800,120400,119900,119400,118800,118300,118000,117900,117900,118100,118100,118100,118200,118200,118100,117800,117600,117500,117100,116600,116100,115600,114900,114500,114200,113900,113800,113700,113300,112800,112200,111500,110800,110400,110200,109800,109100,109000,109100,109000,109100,109300,109600,109900,109900,109700,109800,110100,110500,110900,111400,111900,112500,113400,114400,115400,116300,117000,117500,118000,118600,119000,119600,120300,121200,122100,123000,123700,124400,125500,126700,127600,128600,129400,130300,131300,132300,133100,133900,134700,135900,136800,137400,138200,139400,140300,141100,142100,143200,144100,145000,146000,146700,147100,147700,148500,149100,149800,150500,151300,152000,152700,153200,153800,154500,155700,157000,158200,159700,161700,163200,164400,165400,166300,167100,168100,169000,170100,171000
395209,"Washington, DC",7,139800,139500,139100,138800,138500,138300,138200,138300,138600,139000,139300,139500,139800,140000,140200,140200,140000,139900,139800,139800,140000,140200,140500,140700,140900,141100,141400,141800,142200,142700,143300,143900,144700,145600,146400,147100,147800,148500,149200,149900,150600,151300,152200,153200,154400,155700,156900,158000,159100,160200,161300,162600,163900,165400,167100,168900,170800,172800,174700,176600,178500,180300,182300,184300,186500,188800,191200,193700,196300,199000,201600,204300,206900,209600,212400,215400,218400,221600,224800,228000,231200,234400,237400,240600,243700,246900,250100,253300,256600,260000,263500,267000,270700,274700,278900,283800,289400,295800,302900,310500,318200,325800,333200,340200,347100,353900,360600,367500,374700,381700,388200,394100,399200,403400,406700,409300,411000,412100,412700,412700,412000,410500,408500,405900,402700,399500,396400,393700,391700,390200,389100,388000,386600,384800,382400,379500,376100,372500,368700,364700,360500,356400,352100,347500,342300,337000,331800,327400,323900,321100,318400,315900,313500,311200,308700,305800,302400,298500,295200,293000,291900,291200,291000,291100,291600,292300,292800,292500,292200,292600,293700,294100,293800,293500,293300,293200,292900,292100,290600,289900,290500,291700,292400,292800,293200,293200,293300,293600,293600,293300,293800,295500,297300,298800,300400,302300,303700,305000,306600,308000,309400,311600,314200,316700,319500,322900,326200,329200,332300,335000,337100,338500,340000,341400,342800,344100,345300,345800,346200,346600,346800,347100,347800,348800,349500,350000,351400,352900,353800,354300,354400,354600,355100,355700,356000,356400,357200,357800,357900,358700,360200,362000,363600,364800,365800,367300,368800,370700,372400,374300,376000,377700,378700,379600,381000,382400,383400,384500,385700,386700,388000,390300,393200,395200,396200,397200,397700,398000,398500,399000,399700,400800
394856,"Miami-Fort Lauderdale, FL",8,111700,111800,111900,112000,112100,112200,112300,112500,112800,113100,113300,113400,113500,113700,113800,113900,114000,114100,114400,114700,115100,115700,116200,116500,116600,116600,116600,116600,116700,117000,117300,117700,118200,118700,119200,119600,120000,120400,120800,121200,121600,121900,122300,122700,123200,123900,124700,125400,126100,126900,127700,128400,129300,130100,131000,132000,133100,134300,135600,137000,138400,139900,141500,143000,144600,146200,147800,149300,150900,152400,153800,155200,156600,157900,159400,160900,162500,164200,166000,167900,170000,172100,174300,176600,178900,181100,183300,185600,187800,190100,192500,195000,197600,200400,203300,206400,209800,213500,217800,222500,227400,232700,238200,243700,249500,255400,261200,267200,273500,280000,286600,293100,299100,304600,309600,314100,318300,322200,326100,330200,334300,337900,340600,342500,343400,343500,343000,341900,340800,339500,337700,335500,333200,330400,327300,323900,320200,316200,311700,306800,301200,295300,288800,282200,275600,268900,262100,255600,249100,242500,235900,229200,222700,216500,210300,203900,197400,190700,184600,180300,177500,175500,174000,172800,172100,171900,172100,170900,168900,167800,167600,166300,164300,162600,161700,161100,160200,159000,158300,158500,159000,159400,159400,159100,158900,158600,158400,158600,158600,158600,158700,159100,159600,160300,160800,160900,161400,162000,162500,163200,164200,165200,166700,168900,171400,173600,175500,177800,180200,182500,184400,186400,188600,190900,192800,194900,197300,200000,203000,206300,209600,212300,214500,216600,218500,220000,221600,223900,226300,228700,230700,232600,234600,236700,238700,240400,242200,244300,246500,249000,251600,254000,256400,258900,261000,263000,266000,269400,272400,275000,276800,278100,279600,280900,281800,283400,285300,287300,288900,289800,291200,294000,296900,298900,300500,302400,304600,306600,308300,309800,311500,312800
394347,"Atlanta, GA",9,92500,92900,93400,93800,94200,94600,95100,95500,95900,96300,96600,96800,97100,97500,97900,98400,99000,99600,100100,100600,101200,101800,102300,102800,103300,103900,104600,105300,106000,106800,107500,108200,108900,109700,110400,111100,111800,112500,113400,114200,115000,115800,116500,117200,118000,118800,119600,120300,121100,121900,122700,123500,124300,125100,126000,126800,127700,128500,129200,129900,130500,131100,131700,132200,132700,133200,133700,134300,134900,135400,136000,136500,137000,137400,137900,138300,138700,139000,139400,139700,140000,140300,140600,140900,141100,141400,141600,141900,142200,142500,142800,143200,143700,144300,145200,146000,146700,147000,147100,147100,147300,147600,148000,148400,148700,149000,149300,149500,149900,150300,150800,151400,152000,152600,153200,153600,154100,154600,154900,155300,155700,156300,156800,157300,157700,158100,158400,158600,158700,158900,158900,159000,159300,159400,159400,159400,159200,159000,158500,157800,157000,156000,154800,153700,152800,151800,150600,149200,147700,146100,144700,143100,141500,139900,138200,136500,134800,132900,131100,129600,128400,127300,126300,125300,124500,124100,124100,122900,120800,119200,118600,117600,116400,115200,114100,113100,111700,110200,108500,107100,106000,104600,102900,101200,99400,97200,95000,93300,92000,90900,90100,89600,89200,89000,88800,88400,88400,88900,89600,90400,91400,92500,93600,94900,96300,98000,99700,101500,103500,105700,107800,109500,111000,112500,114100,115600,117200,118600,119900,121200,122500,123500,124300,125300,126200,126800,127200,128000,128900,129700,130500,131300,132200,132900,133300,134000,134900,135600,136400,137400,138600,140000,141400,143100,144800,146300,147600,148900,150000,151200,152200,153200,154100,155100,156000,156700,157700,158900,160200,161600,163100,165200,167700,169700,171200,172700,174300,175800,176900,178500,180900,183000
