"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
102001,"United States",0,174900,174900,174900,175000,175300,175600,176100,176600,177300,178000,178700,179400,180000,180500,181100,181700,182100,182600,183000,183300,183700,184000,184400,184700,185200,185700,186500,187400,188300,189400,190400,191500,192500,193500,194500,195500,196500,197600,198700,200000,201400,202800,204300,205900,207700,209500,211200,212800,214200,215500,216700,217800,218900,219900,221100,222200,223500,224800,226000,227200,228500,229700,231000,232200,233500,234700,236000,237300,238600,239900,241300,242600,243800,245000,246100,247300,248500,249800,251200,252600,254200,255700,257200,258700,260200,261800,263400,265000,266700,268500,270400,272500,274600,277000,279400,282000,284700,287500,290500,293600,296800,299900,303100,306100,309000,311800,314800,318100,321700,325400,329300,333100,336800,340300,343500,346600,349400,352000,354100,356100,358200,359900,361400,362500,363100,363500,363600,363600,363600,363700,363600,363500,363300,362700,361700,360500,358900,357200,355200,353000,350500,348000,345200,342500,339700,336800,333800,330900,328100,325400,323000,320600,318400,316300,314200,312000,309600,306900,304200,302200,300900,300000,299300,298800,298600,298600,298900,298200,296500,295300,294700,293400,291800,290100,288700,287300,285700,284100,282600,281500,280600,279900,279200,278500,277900,277400,277100,276900,276900,276900,276800,277200,278000,278900,279800,280800,281800,282700,283600,284800,286200,287400,288500,290200,292200,294100,296100,298300,300500,302400,304000,305300,306300,307600,308900,310200,311400,312700,314000,315300,316600,317800,318800,319700,320700,321600,322600,323700,324900,326400,327800,329100,330300,331500,332600,333700,335000,336300,337500,339000,340900,342500,344000,345500,347000,348200,349700,351400,353100,354600,356100,357800,359600,361200,362300,363100,364100,365300,366500,367800,369100,371100,373400,375200,376500,377800,379000,380200,381300,382400,383900,385300
394913,"New York, NY",1,268000,267900,267600,267300,267000,266800,266900,267000,267500,268300,269100,269600,270200,270900,271600,272300,273200,274000,275100,276300,277900,279600,281100,282300,283600,285000,286600,288300,290200,292200,294300,296500,298900,301400,303900,306300,309200,312300,315700,319100,322600,326000,329500,332900,336800,340900,345100,349200,353300,357500,361500,365600,369500,373300,377100,381000,385000,389200,393400,397600,401900,406200,410400,414600,418800,422900,427100,431300,435200,438800,441900,444600,447200,450000,453200,456800,460800,465200,470100,475400,481200,487400,493900,500700,507400,513600,519300,524600,529500,533900,538100,542300,546600,551200,555900,561000,566500,572400,578900,586000,593500,601300,609100,616500,623700,630600,636900,643400,650000,656600,663000,669300,675400,681500,687300,692700,697600,702100,705700,709200,712300,714700,716200,716800,716400,715000,712900,710400,708000,706100,704500,703400,702500,701000,698700,696300,694200,692700,691400,690000,688600,687000,685100,683100,680700,677300,672900,668300,663700,659400,655400,651400,647500,643900,640200,636800,633000,628400,623300,619100,616100,614300,613600,613500,614000,614700,616000,614300,610100,607600,608300,608300,607100,604600,602200,600100,597700,594800,592200,590600,590500,591300,591700,591800,591700,591700,591200,590200,588800,587500,586100,585700,586000,586800,587600,588400,588800,589400,590100,591100,592100,593200,594600,596900,599400,601500,603400,606000,609000,611400,613500,616200,619500,622400,624400,625900,628400,631200,633400,635400,638400,641400,643800,646200,648400,650800,653100,655100,657000,659000,661200,664100,667200,670000,672100,673300,674200,675600,678000,680800,682700,683600,684300,685500,687500,689500,691400,694500,698400,701500,703600,706700,711700,717100,721800,726000,729200,732800,736000,737300,737900,740600,744500,748200,750900,752700,754100,754800,754400,754700,756300,758200
753899,"Los Angeles-Long Beach-Anaheim, CA",2,290400,290100,289900,289800,289700,289900,290300,291000,292100,293400,294500,295500,296500,297800,299500,301600,304000,306800,309900,313500,317700,322300,326700,330600,334400,338000,341400,344900,348300,351700,355200,358900,362900,366900,370500,373700,376700,379500,382100,384500,386700,388900,391300,393800,396900,400300,403700,406900,410000,413200,416500,419700,423000,426300,429800,433500,437400,441400,445300,448900,452500,455800,459100,462200,465400,468600,472100,475700,479500,483600,487900,492700,497800,503600,510100,517200,524700,532600,540900,549200,557400,565100,572500,580100,588000,596200,605100,614700,625000,635700,646900,658400,670500,683600,697800,713500,730400,747600,764300,779400,792300,803100,812200,820000,827200,834400,841300,848200,854900,861300,867900,875000,882400,890000,897400,904100,910100,915600,920300,924800,928300,930500,931400,930300,927200,923000,918500,913600,909200,905200,900900,896000,890100,883500,876200,868100,859200,850500,842200,834100,825600,816400,806100,795000,783300,772400,763300,756600,751900,748600,745800,743500,741500,739700,737100,733200,728100,722400,718300,717700,719500,722100,725000,727800,730300,732200,733000,731000,730300,731700,730700,726100,723200,720500,716700,711700,706900,702500,699100,696900,694600,691600,689900,688900,686000,682100,679500,678200,677500,676800,676800,678900,682900,688100,693000,697500,701700,707200,714200,722800,731500,739900,750200,764400,779600,793400,805700,815800,823200,828000,831300,833700,834800,836400,840100,844500,847700,850600,853700,857100,859900,862100,864400,867100,870500,875400,880600,885400,890000,894300,898200,902400,907100,912900,918700,924100,930500,935600,937900,940200,942800,944500,947000,951600,957700,964000,969400,974800,980700,986000,990600,994500,998600,1003500,1008800,1014200,1020900,1028900,1036500,1043800,1051200,1061900,1074900,1084700,1090300,1095200,1100100,1104700,1109400,1112700,1116600,1121600
394463,"Chicago, IL",3,221900,222800,223400,223500,223000,222100,220900,219300,218000,217000,215700,214300,212900,211600,210200,208800,207300,206100,205700,206100,207800,210300,213000,215500,218200,220900,223800,226700,229600,232500,235200,237400,239300,240900,241800,242000,242300,242800,243600,244700,246100,247700,249500,251500,253900,256700,259300,261700,264200,266800,269400,272000,274700,277200,279500,281600,283500,285400,287000,288300,289600,291000,292300,293900,295700,297600,299600,301600,303500,305500,307300,309200,311100,312900,314700,316400,318100,319800,321500,323300,325100,326900,328600,330400,332200,333900,335600,337300,339100,340800,342700,344600,346700,348900,351100,353400,355800,358200,360800,363600,366300,369100,371900,374700,377400,380000,382700,385500,388500,391600,394600,397600,400500,403400,406200,408800,411200,413400,415300,417400,419600,421300,422700,423700,424400,424800,425100,425200,425400,425600,425500,425300,424800,423700,422200,420600,419000,417700,416500,415000,413000,410700,408000,405200,402400,399200,395500,391700,387800,384400,381400,378500,375500,372800,369900,366800,363100,358700,354300,351300,349400,348200,347400,346800,346500,346800,347700,346200,342700,340700,340000,337800,334900,331600,328300,325700,323000,321100,320100,318900,317400,315900,314400,313700,313200,312000,310600,309700,309300,307700,305100,303800,304700,306000,307500,308200,308800,310000,311200,312000,313000,313900,314800,316600,319200,321800,324900,328800,332200,334700,336200,337100,337600,338500,339400,340600,342300,344200,346000,347800,349200,349900,350100,350100,350100,350200,350300,351200,352900,354100,354800,355300,355800,356600,357900,359200,359700,359700,360100,361100,362200,363300,364300,364700,365200,366200,367500,368700,369600,370400,371400,372500,373400,373700,373600,373500,373600,374100,375100,376300,376900,378500,381300,383600,384300,384600,384200,383300,382900,383000,383500,384600
394514,"Dallas-Fort Worth, TX",4,217300,217600,218200,218800,219400,219900,220100,219800,219000,217600,216100,214900,214100,213800,214000,214500,215200,216400,217900,219800,222100,224700,226900,228300,228400,227500,226000,224600,223500,223200,223900,225800,229000,233000,236900,240100,242200,243200,243200,242600,241500,240300,239400,239000,239300,240200,241200,242100,242800,243200,243500,243800,244200,244700,245200,245700,246300,246800,247100,247300,247300,247200,247100,246800,246300,245500,244500,243200,241800,240400,239300,238600,238600,239000,239800,240700,241700,242500,243000,243200,242800,242100,241100,240200,239600,239500,239600,239900,240100,240300,240500,240700,241100,242100,243600,245400,247000,248400,249500,250400,251300,252400,253600,254900,256200,257400,258400,259500,260700,262000,263500,264800,266000,267000,268000,268900,270000,271100,272300,273400,274400,275300,276000,276700,277300,277900,278400,278900,279100,279100,279000,279100,279300,279600,280100,280700,281300,281800,282300,282500,282200,281400,280200,278800,277200,275700,274400,273400,272600,272000,271300,270800,270200,269700,269200,268700,268000,267200,266500,266100,265900,265800,265700,265700,265700,265700,265900,265700,265300,265100,264900,264300,264200,264100,263700,263100,262900,262700,262400,261700,261200,261200,261300,260900,260400,260400,260600,260800,260800,261000,261200,262000,263200,264200,264800,265300,265600,265600,265900,266700,267500,268100,268700,269700,271000,272400,274000,275800,277500,279000,280300,281700,283000,284300,285600,287100,288200,289200,290600,292600,294800,296900,298600,300100,301800,303600,305200,307300,309800,312200,314500,316500,318400,320300,322300,324500,326700,328700,330800,333600,336900,340200,344100,348200,351700,354400,357100,359800,362400,364900,367200,369500,371900,373700,375100,376700,378600,380300,381900,383000,384100,386500,390000,392900,394800,396200,396700,396400,395800,396000,397400,399300
394974,"Philadelphia, PA",5,187000,186700,186400,185900,185600,185400,185400,185500,185800,186200,186500,186800,187000,187200,187400,187500,187600,187700,187900,188200,188500,188900,189400,189800,190100,190500,190900,191300,191800,192200,192800,193500,194200,195100,195800,196500,197400,198400,199500,200800,202200,203600,205100,206700,208500,210400,212200,213800,215500,217000,218500,219900,221200,222600,223900,225400,227000,228800,230600,232500,234200,235900,237700,239400,241000,242700,244400,246300,248200,250200,252300,254500,256800,259100,261600,264200,266900,269800,272900,276100,279300,282300,285200,287900,290800,293600,296500,299600,302800,306100,309300,312500,315500,318600,321800,325300,328900,332700,336700,340500,344200,347700,350900,354100,357300,360400,363400,366300,369200,372200,375400,378700,382200,385500,388600,391400,393900,396200,398200,400100,401900,403300,404400,405200,405800,406000,405900,405500,405100,404900,404600,404500,404400,404100,403400,402500,401600,400500,399200,397600,395900,394100,392200,390500,389100,387600,386000,384500,382900,381200,379600,378100,376700,375500,374300,372900,371300,369200,366900,365000,363600,362700,362100,361800,361800,362100,362800,361800,359700,358700,358300,356800,354700,352900,351400,349800,348100,346400,345000,344000,343300,342300,340900,339800,338700,337700,337000,337000,336700,335800,335200,335500,335700,335500,335300,335400,335600,335800,335900,335900,336400,336900,337500,338300,339400,340300,341500,343100,345000,346800,348100,349200,350300,351400,351800,351800,352600,354100,355200,356200,357300,358300,358900,359100,359100,359100,358900,359200,360100,361100,362000,362800,363400,363800,364100,364400,364700,365700,367100,368200,368700,369200,370100,371600,372900,373900,374700,375000,375200,375700,376800,378000,379400,381100,382500,383400,384200,384900,385800,388000,390800,392800,394100,395100,395900,396400,397300,398500,399500,400200,401100,402000
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,204200,206500,209200,212200,215300,218100,220100,221000,221000,220200,218900,217700,217000,217400,219400,223200,229200,236500,243800,250300,255000,257500,258300,257800,256300,254300,252000,250600,251000,253700,258300,263700,268900,272800,274900,274900,273100,269800,265700,261400,257500,254200,251400,249000,247000,245400,244300,243600,243400,243600,243800,243700,243200,242200,240700,239100,238000,237700,238000,238700,239600,240600,241400,241900,241800,241400,240800,240100,239400,239100,239000,239300,239800,240400,241000,241500,241700,241800,242000,242500,243300,244400,245800,247300,248900,250700,252500,254400,256400,258200,259700,260900,261800,262400,262800,263100,263400,263600,263700,263800,264000,264200,264500,264900,265400,266100,266900,267900,268900,270100,271300,272500,273600,274500,275100,275400,275800,276200,276500,276900,277300,277600,277900,278100,277800,277100,275900,274400,273000,271700,270600,269800,269400,269000,268500,268100,267900,267500,267200,266800,266600,266200,265900,265800,265900,266100,266300,266400,266600,266700,266700,266700,266600,266400,265900,265200,264200,263700,263200,262400,261300,260700,260600,260700,260800,261200,261300,260900,260400,259800,259500,259800,259900,260000,260500,260700,260600,260700,261300,262100,263200,264000,264400,264900,265700,266700,267900,269300,270600,272200,274500,277100,279400,281600,283600,285500,287300,288800,290300,292000,294100,296100,297900,300000,302100,304000,306100,308400,310900,312900,314400,316200,318700,321000,323000,324800,326600,328300,329500,330500,332000,333400,334600,336100,337700,339400,340900,342000,342900,343800,344700,345600,346300,346900,347500,347700,348400,348900,349000,349000,349200,349600,350100,350400,350900,351900,353900,356200,357800,358700,359300,360000,360400,360600,361100,361800
395209,"Washington, DC",7,263900,263500,262900,262300,261800,261600,261600,261900,262400,263000,263300,263200,262900,262600,262400,262300,262400,262700,263100,263600,264200,265000,265500,266000,266600,267400,268400,269500,270600,271800,272900,274100,275400,276900,278200,279400,280800,282400,284200,286200,288400,290700,293400,296200,299400,302800,306100,309000,312000,315000,318100,321500,325200,329200,333500,338000,342700,347400,352000,356500,361000,365400,369800,374000,378300,382500,386700,391100,395500,399900,404300,408400,412500,416500,420400,424200,428100,431900,435900,439900,443900,448100,452300,456600,460900,465200,469500,473900,478500,483400,488700,494300,500300,506600,513500,521300,530100,540000,551100,563100,575100,586800,598000,608500,618700,628600,638300,648400,658800,668600,677400,684800,690500,694700,697500,698900,699400,699300,698700,697600,695600,692700,689300,685300,680900,676700,673100,670100,667900,666500,665400,664200,662400,659700,656000,651800,647300,642500,637600,632400,627100,621900,616700,611300,605400,599300,593400,588500,584500,581400,578800,576600,574600,572900,570800,567800,563800,558900,554600,552800,553400,555100,557500,559700,561900,564000,565200,564600,564200,565800,568400,569300,569200,569000,568200,566800,565700,564300,562400,561300,561900,563800,565500,566300,566800,566600,565800,565300,564100,562800,563400,566600,570000,573100,575900,578500,580200,581000,582100,584400,587600,591000,594000,596900,600700,604600,608100,611700,615300,618100,620400,622800,625200,626800,628100,629900,631500,632000,632500,633000,633000,632900,634200,635100,634800,635400,638200,639800,640100,640300,640700,641400,642300,643200,643700,644500,644900,644700,644000,645200,647800,649900,651400,652300,652800,654200,656800,660100,663200,665600,667400,669000,670200,671100,671800,672400,673300,674900,675900,676500,677900,682000,687000,690500,691600,692200,692100,692000,692700,694300,695700,696600
394856,"Miami-Fort Lauderdale, FL",8,179400,179200,179000,178800,178500,178400,178400,178600,179000,179600,180000,180200,180400,180500,180700,180900,181100,181500,182100,182900,183900,185100,186000,186500,186800,186800,186700,186700,186800,187200,187800,188500,189300,190300,191100,191700,192400,193100,193900,194800,195600,196500,197500,198700,200100,201700,203400,204900,206500,208000,209500,210900,212400,214000,215900,218000,220700,224000,228300,233900,241300,250100,260100,270800,281400,291100,299600,306600,312000,315800,317900,318100,316600,313900,310400,306500,303000,300300,298700,298400,299500,301700,304700,308100,311600,315100,318500,321800,325100,328600,332100,335700,339400,343200,347100,351300,355800,360900,366500,372900,379700,386900,394500,402400,410700,419400,428100,437100,446900,456900,467000,476900,486000,494100,501100,507300,512900,517900,522600,527700,532600,536800,539900,541700,542100,541500,540200,538400,536200,533900,531100,527700,523700,519200,514100,508500,502200,495500,488300,480500,471800,462500,452500,442000,431500,421500,412000,403700,396300,389200,382000,374900,368100,361800,355500,348700,341700,334500,328100,324000,321800,320600,320100,319900,320100,320600,321200,320200,318300,317300,317000,315400,312500,309700,308200,307700,306600,304800,303700,304400,305900,307200,307600,307500,307600,308500,309400,309400,309500,310100,311200,312200,313300,314600,315800,316400,317200,318500,319400,321200,323900,326500,329100,332700,337200,341700,346100,350500,354900,358400,361100,364400,367700,370500,373400,376900,380000,382700,385800,389500,392900,395000,396100,397200,398500,399700,401400,403900,406500,408900,411000,413200,415300,417900,420700,422600,424400,426400,428200,429900,432300,434700,436900,439100,440900,443000,446000,449500,452200,454200,455000,454800,454900,455300,455700,457000,458400,459800,461000,462000,463300,467000,471900,475600,477800,479800,481600,482700,483800,485000,486500,487500
394347,"Atlanta, GA",9,181700,182300,183000,183700,184500,185300,186200,187000,187800,188600,189300,189800,190400,191000,191800,192600,193600,194500,195500,196500,197400,198500,199500,200300,201300,202500,203800,205300,206800,208400,210100,211600,213300,214900,216600,218200,220000,221900,223800,225800,227600,229400,231200,232900,234800,236700,238500,240200,241800,243500,245000,246600,248200,249800,251400,253000,254600,256200,257600,258700,259700,260500,261200,261800,262400,263100,263900,264900,266000,267200,268500,269600,270500,271300,271800,272200,272600,273100,273800,274700,275700,276700,277500,278300,278900,279400,279800,280300,280900,281600,282500,283300,284100,284800,285600,286800,288300,290000,291900,293800,295600,297200,298600,299600,300500,301500,302800,304400,306300,308300,310400,312500,314500,316500,318600,320600,322700,324700,326400,328000,329600,331100,332700,334400,336100,337700,339000,340100,341300,342400,343300,344200,345000,345300,345200,345200,345000,344700,344300,343500,342300,340800,339100,337500,335800,333700,331200,328500,325500,322700,320200,317700,315200,312900,310500,308000,305100,301800,298300,295900,294400,293300,292600,291800,291400,291300,291800,290300,287400,285700,284900,283100,281000,278400,275500,273100,271100,268600,265800,263500,262200,261100,260000,258800,257200,255300,253800,252700,252000,251400,251200,251900,252700,253500,254500,255800,257600,259900,262000,263900,265800,267700,269800,272100,274700,277500,280200,282800,285200,287700,289900,291900,293900,295700,297700,300300,303000,305100,307400,309900,311900,313400,315000,317000,318300,318900,319400,320400,321900,323600,325100,326500,327600,328200,328700,329300,330300,331800,333900,336400,339400,342400,345300,348600,351800,355000,358000,360600,363000,365400,367400,369100,370500,371300,371400,371700,372900,374700,376200,377700,379800,383200,387200,390100,392100,394200,395400,395800,395900,396900,399600,402600
