RegionID,102001,394913,753899,394463,394514,394974,394692,395209,394856,394347,394404,395057,394532,395025,395078,394865,395056,395121,395148,394530,394982,394998,394458,395045,395055,394466,394475,394735,394775,394492,394705,395059,394355,395194,394902,395005,394862,394714,394849,394935,394807,394669,395022,394425,395012,395053,395031,394640,753924,395169,394619,395238,394415,394312,394308,394938,394908,394357,394753,394653,394952,394318,394561,394521,394486,394304,753906,395134,394457,395143,394484,395235,395224,395115,394440,394399,395160,394816,394766,394528,394531,394711,395245,394352,394666,394460,395113,395006,394768,394871,394997,394549,395068,394792,394770,394590,394971,395195,395116,395244,394502,394338,394995,753917,394612,395050,395183,394870,395015,394439,394820,395048,394327,394520,394972,394898,395146,394679,394697,394576,395033,395070,394332,394927,394732,395107,395109,394747,395028,394646,394796,394602,395179,394405,394808,394572,394609,394924,395061,394622,395065,394851,395229,394741,394645,394811,394937,394387,394412,395240,753875,395171,395103,394455,394334,394464,394459,394468,394361,394773,395030,394597,394848,753895,394378,394765,395247,395162,394681,753869,394680,394960,394748,394392,395018,394896,395102,394651,395246,394485,394539,394555,394710,395009,394393,394386,394406,394380,394917,394731,395125,394359,394662,394707,395036,394873,395223,394428,394814,394723,395000,395221,394639,394493,395066,395163,394685,394480,395119,395079,394900,394719,394577,395013,394810,394756,394703,394983,394879,394633,395120,394668,394824,394353,394890,394307,395213,394390,394949,395237,394932,753890,395218,394867,394788,395039,394518,394794,394513,394804,394709,394340,394630,394302,395173,394501,395080,395166,394953,394637,394580,394823,394441,394689,395190,394542,394911,394942,394907,394410,394407,394882,394704,394568,753912,753887,395248,394505,394988,394641,394986,394638,394936,394350,394999,394925,394465,395106,395205,394738,395062,394489,394445,394675,394593,395085,394884,753881,394744,394994,753883,394897,394614,395088,394764,394736,394829,394752,394343,394701,394586,753891,394305,394693,394496,395199,394939,753903,395049,394618,394889,395092,394309,394570,394759,394365,394989,395157,394582,394634,394444,394933,394721,394940,394339,394652,394625,394556,394819,395234,394547,395020,394326,395097,394504,394477,394919,394427,394987,395144,394990,394375,753905,395201,394695,394842,394391,395037,753904,394379,394947,395032,394500,394426,394895,395087,394349,394448,753913,394876,394567,394627,753877,395178,394383,394799,394354,394476,394526,394663,395192,394507,394603,394920,394573,394341,394506,394916,394617,394702,394948,394771,395084,395141,394335,394525,394557,394331,394414,394812,394815,394855,394730,394310,395100,395185,753884,395154,394892,394401,753909,394758,394494,395130,394418,394687,395004,395236,395112,753925
RegionName,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Cincinnati, OH","Cleveland, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","Buffalo, NY","Raleigh, NC","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Urban Honolulu, HI","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Dayton, OH","Columbia, SC","Akron, OH","North Port-Sarasota-Bradenton, FL","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Youngstown, OH","Augusta, GA","Harrisburg, PA","Chattanooga, TN","Spokane, WA","Provo, UT","Lancaster, PA","Modesto, CA","Portland, ME","Durham, NC","Santa Rosa, CA","Lexington, KY","Lansing, MI","Fayetteville, AR","Pensacola, FL","Visalia, CA","Springfield, MO","York, PA","Corpus Christi, TX","Asheville, NC","Port St. Lucie, FL","Santa Maria-Santa Barbara, CA","Fort Wayne, IN","Salinas, CA","Vallejo, CA","Mobile, AL","Reading, PA","Canton, OH","Manchester, NH","Salem, OR","Anchorage, AK","Davenport, IL","Peoria, IL","Myrtle Beach, SC","Tallahassee, FL","Hickory, NC","Huntington, WV","Eugene, OR","Rockford, IL","Savannah, GA","Ann Arbor, MI","Ocala, FL","Kalamazoo, MI","South Bend, IN","Spartanburg, SC","Kingsport, TN","Roanoke, VA","Green Bay, WI","Lincoln, NE","Fort Collins, CO","Utica, NY","Boulder, CO","Lubbock, TX","Erie, PA","Fort Smith, AR","New London, CT","San Luis Obispo, CA","Gainesville, FL","Santa Cruz, CA","Merced, CA","Wilmington, NC","Kennewick, WA","Greeley, CO","Lynchburg, VA","Olympia, WA","Binghamton, NY","Bremerton, WA","Yakima, WA","Crestview-Fort Walton Beach-Destin, FL","Tuscaloosa, AL","Sioux Falls, SD","Charleston, WV","Appleton, WI","Chico, CA","Charlottesville, VA","Claremont, NH","Barnstable Town, MA","Las Cruces, NM","Rochester, MN","Florence, SC","Medford, OR","Lafayette-West Lafayette, IN","Bellingham, WA","Lake Havasu City, AZ","Yuma, AZ","Torrington, CT","Hilton Head Island, SC","Bloomington, IL","Hilo, HI","Panama City, FL","Kingston, NY","Blacksburg, VA","Redding, CA","Muskegon, MI","Sioux City, IA","Greenville, NC","Yuba City, CA","Columbia, MO","Dover, DE","Eau Claire, WI","Jackson, MI","Punta Gorda, FL","Bloomington, IN","Billings, MT","Bowling Green, KY","Bend, OR","Niles, MI","Kahului, HI","State College, PA","Bangor, ME","Hanford, CA","Iowa City, IA","Rocky Mount, NC","Monroe, MI","Wichita Falls, TX","Burlington, NC","Madera, CA","Jefferson City, MO","Pottsville, PA","Wheeling, OH","Grand Junction, CO","Concord, NH","Santa Fe, NM","Traverse City, MI","Homosassa Springs, FL","Coeur d'Alene, ID","St. George, UT","Vero Beach, FL","Napa, CA","Jamestown, NY","Eureka, CA","Rapid City, SD","Lumberton, NC","La Crosse, WI","Idaho Falls, ID","Pittsfield, MA","Morgantown, WV","Glens Falls, NY","St. Joseph, MO","Harrisonburg, VA","Mansfield, OH","Augusta, ME","Mount Vernon, WA","Albany, OR","Watertown, NY","Bismarck, ND","Owensboro, KY","Wooster, OH","Ogdensburg, NY","Holland, MI","Wenatchee, WA","Missoula, MT","Lewiston, ME","Roseburg, OR","Danville, VA","Lima, OH","Cumberland, MD","Longview, WA","Ithaca, NY","Ashtabula, OH","Gettysburg, PA","Adrian, MI","Twin Falls, ID","Corning, NY","Sebring, FL","Truckee, CA","Paducah, KY","Grand Forks, ND","Fairbanks, AK","Mankato, MN","Cape Girardeau, MO","Hot Springs, AR","Victoria, TX","Dubuque, IA","New Philadelphia, OH","Orangeburg, SC","New Castle, PA","Brainerd, MN","Bozeman, MT","Moses Lake, WA","Indiana, PA","Elmira, NY","Pinehurst-Southern Pines, NC","Hermiston-Pendleton, OR","Zanesville, OH","Corvallis, OR","Pocatello, ID","Grants Pass, OR","Plattsburgh, NY","Grand Island, NE","Olean, NY","Auburn, NY","Portsmouth, OH","Oak Harbor, WA","Chillicothe, OH","Somerset, PA","Warsaw, IN","Keene, NH","Sandusky, OH","Columbus, IN","Casper, WY","Helena, MT","Findlay, OH","Seneca, SC","Mount Airy, NC","Glenwood Springs, CO","Key West, FL","Port Angeles, WA","Greenfield Town, MA","Muskogee, OK","Frankfort, KY","Shawnee, OK","Lake City, FL","Kapaa, HI","Marquette, MI","Klamath Falls, OR","Athens, OH","Hutchinson, KS","Faribault, MN","Ionia, MI","Alamogordo, NM","Hudson, NY","Coos Bay, OR","Walla Walla, WA","Oneonta, NY","Marietta, OH","Salina, KS","Fremont, OH","Mount Vernon, OH","Shelton, WA","Albemarle, NC","Enid, OK","Laconia, NH","Batavia, NY","Point Pleasant, WV","Tiffin, OH","Fairmont, WV","Gloversville, NY","Carson City, NV","Oil City, PA","Jasper, IN","Ontario, OR","Ashland, OH","Greenville, OH","Galesburg, IL","Edwards, CO","Malone, NY","Winona, MN","Durango, CO","Rexburg, ID","Amsterdam, NY","Sidney, OH","Cortland, NY","Clinton, IA","Norfolk, NE","Burlington, IA","Plymouth, IN","Tahlequah, OK","Ponca City, OK","Bedford, IN","Newport, OR","Wapakoneta, OH","Huntingdon, PA","McAlester, OK","Blackfoot, ID","Rolla, MO","Marion, NC","Bemidji, MN","Ottumwa, IA","Rock Springs, WY","Cornelia, GA","Burley, ID","Muscatine, IA","Seymour, IN","Auburn, IN","Cedartown, GA","Port Clinton, OH","Montrose, CO","Ellensburg, WA","Garden City, KS","Cullowhee, NC","Urbana, OH","Berlin, NH","Lock Haven, PA","Austin, MN","Clewiston, FL","Defiance, OH","Hannibal, MO","Vincennes, IN","Crawfordsville, IN","Fort Dodge, IA","North Platte, NE","Escanaba, MI","Astoria, OR","Coshocton, OH","Newton, IA","Fremont, NE","Hutchinson, MN","Owatonna, MN","Laramie, WY","Seneca Falls, NY","Susanville, CA","Arcadia, FL","Decatur, IN","Effingham, IL","Angola, IN","Brevard, NC","Macomb, IL","Madison, IN","Miami, OK","Juneau, AK","Albert Lea, MN","Silver City, NM","Van Wert, OH","Hailey, ID","Thomaston, GA","Mountain Home, ID","Boone, IA","Ottawa, KS","La Grande, OR","Connersville, IN","Sterling, CO","Brookings, OR","Hood River, OR","Prineville, OR","Woodward, OK","Spirit Lake, IA","Vineyard Haven, MA"
SizeRank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409
1996-04,63500,93500,91300,69400,54200,65500,,88900,43700,65900,81800,143900,65900,55600,87000,57500,78200,62800,33300,63900,35900,,48800,89300,,54700,52500,42600,66400,55400,,133200,,62900,57600,76000,70700,45100,41900,20500,48200,51400,60700,57300,40900,97900,57600,77100,146700,21300,44900,,58500,90600,61700,56200,54400,42400,43100,40600,103500,65600,46700,48700,40600,50900,49600,56000,59300,49000,66700,41700,32200,64500,52400,63200,,90600,38900,47000,49300,,35600,63800,62100,25800,54200,145500,74800,64000,64800,61600,134000,,38500,,33200,55300,,62800,56100,40600,39000,150600,27100,154700,,29000,65800,36500,48900,52300,64500,43200,24300,46800,25100,,,69500,67400,36200,89200,26300,82900,40400,24800,32900,43700,59500,55700,74500,43500,85000,25000,44000,18300,,118700,29000,162500,,,48600,70200,47300,101100,39300,90400,50000,50000,52800,,25800,63500,77800,62000,48400,63100,,49400,19600,105800,32000,100400,39400,47800,78700,175200,67600,73700,31900,61600,40900,,33400,26200,,84600,,,89000,48900,37400,81300,109800,,83900,57200,140100,27100,45100,,49900,53600,,,29400,74900,,36800,,49400,58300,107600,,31800,75800,82800,38200,162700,48000,96200,90600,21800,61300,38900,67600,32900,55900,,48800,38700,39100,75800,47800,32800,,23500,50900,26200,57400,91300,124300,57400,,,34500,32600,65300,51000,40100,60700,46000,36100,31200,30200,103200,33400,,71100,60300,,37600,31700,37000,,17900,,34100,133900,,16400,28100,,67200,34500,,49500,77300,28600,30000,36600,48600,,144000,37900,23000,39900,67200,57000,61500,,125900,60700,,,121900,114600,98500,57200,11900,35800,16900,,,27500,33900,27700,,75600,40800,92600,75000,59800,38700,49000,29100,,45100,45500,95500,,5900,61100,54000,19900,34900,23500,31500,,21600,62100,28600,39600,,39700,110100,22100,,,38200,42300,49800,34600,32800,24300,17100,62200,21200,,50600,75300,,20000,13500,39200,,15500,45300,15400,,44300,,43400,65800,,,63400,52600,88700,37700,53300,,49300,37000,24600,32600,,24800,,51500,17700,31000,,76400,29200,44400,,,43900,119000,46300,79300,35200,33800,,53200,44000,,51100,11000,79700,,,,,,,38000,22400,55600,,21700,143700,94600,48600,,38500,110600
1996-05,63400,93300,91100,69900,54100,65500,,88600,43900,66000,82100,143300,66200,55400,86900,57700,77400,62600,33700,64200,35800,,49500,89100,,54900,52700,42700,66300,55900,,133100,,62500,58000,75900,70800,44700,42200,20700,48500,50700,60500,57100,41400,97800,57300,77900,150100,21300,44800,,58600,90700,61500,57300,53700,42000,43000,41000,102800,66100,46600,48400,40700,51000,49500,55900,59200,48600,67000,41900,32100,64200,52200,63500,,90800,38700,47200,49600,,35600,63700,62500,26000,54200,144900,75200,63900,64300,62100,133600,,38600,,33700,55000,,62800,56000,40800,38900,151400,27200,154500,,29000,65500,36500,48600,52600,64500,43100,24500,47000,25300,,,70100,66800,36300,89900,26400,83400,40100,25000,33000,43800,59500,55900,74900,43100,85100,25000,44200,18400,,118700,29000,161600,,,48000,70900,47600,101000,39200,90500,50000,50300,53100,,25900,63600,76400,62100,48100,63300,,49700,19900,106000,32500,101000,39700,48300,78200,176400,67800,72400,32200,61100,41000,,33900,26200,,83900,,,88600,49300,37200,80400,109800,,84800,57300,140400,27300,45200,,50100,53900,,,29500,74900,,36800,,49900,58500,107700,,31800,76200,82700,38100,162800,47900,95400,89900,21900,60900,39100,67500,33000,55600,,49100,38900,39200,76100,48200,32600,,23500,51100,25900,57900,92100,124300,57200,,,34400,32300,65400,50600,39900,60700,46400,36400,31000,30200,102500,33400,,71300,60200,,37500,31700,37100,,17800,,34100,133900,,16600,28200,,67700,34600,,49800,77300,28700,30200,36600,48300,,144400,37900,23100,39800,66700,57100,61000,,126000,60500,,,122600,115100,98700,57300,11900,36000,17000,,,27800,34000,27800,,76600,41100,92800,74400,59900,38900,48900,29200,,45100,45700,95600,,6000,60600,53400,20000,35000,23800,31700,,21700,61500,29600,39600,,39900,111400,22400,,,38700,42000,49900,34400,33000,24600,17200,62100,21300,,50200,75700,,20200,13600,39500,,15600,44900,15600,,44700,,43600,65200,,,63700,53000,89500,37700,53500,,49100,37200,24400,32000,,25100,,51700,17800,31200,,76900,29200,44700,,,44300,118900,46400,78800,35100,34300,,53400,44200,,50700,11000,79200,,,,,,,38300,22700,56200,,21800,144100,94900,49000,,38700,110900
1996-06,63200,93000,90800,70400,54000,65500,,88300,43900,66200,82400,142700,66500,55300,86800,57900,76700,62400,34100,64500,35700,,50200,88700,,55200,52900,42800,66300,56400,,133000,,62200,58200,75900,71000,44300,42400,20900,48900,50000,60200,56900,41800,97700,57000,78700,153600,21300,44700,,58700,90700,61300,58500,53000,41600,43000,41400,102100,66500,46600,48000,41000,51200,49500,55700,59100,48300,67300,42100,32100,63800,51800,63800,,91000,38500,47200,49800,,35600,63500,62800,26300,54100,144300,75800,63900,63900,62500,133300,,38700,,34200,54700,,62800,56000,41000,38700,152200,27300,154500,,29100,65300,36600,48400,53000,64600,43000,24700,47200,25500,,,70700,66200,36400,90500,26500,83800,39700,25300,33000,43900,59500,56000,75300,42700,85300,25000,44300,18600,,118700,28900,160800,,,47300,71600,48000,100800,39000,90500,50000,50500,53300,,26000,63700,74900,62100,47900,63600,,50000,20100,106100,33100,101500,40000,48600,77600,177900,68100,71000,32600,60700,41100,,34400,26400,,83200,,,88200,49700,37100,79300,109900,,85700,57400,140900,27400,45300,,50300,54200,,,29600,74900,,36800,,50400,58600,107700,,31800,76600,82600,38100,163000,47800,94600,89200,22000,60700,39200,67300,33100,55300,,49300,39200,39200,76400,48500,32400,,23600,51400,25500,58500,93000,124300,57100,,,34300,32000,65400,50200,39800,60700,46900,36600,30700,30300,101900,33500,,71500,60200,,37400,31700,37300,,17700,,33900,134000,,16700,28300,,68100,34600,,50200,77200,28900,30400,36500,48000,,144800,37900,23200,39700,66200,57300,60500,,126100,60400,,,123400,115500,98900,57400,12000,36000,17000,,,28100,34200,27800,,77700,41300,93000,73800,60000,39100,48800,29300,,45200,45900,95700,,6000,60100,52800,20100,35000,24000,32000,,21800,60800,30600,39700,,40100,112600,22700,,,39000,41700,49900,34300,33300,25000,17400,62100,21200,,49700,76000,,20300,13600,39800,,15800,44600,15800,,45000,,43700,64700,,,63900,53400,90200,37800,53700,,48800,37400,24400,31500,,25400,,51900,17800,31400,,77400,29300,45000,,,44600,118700,46500,78200,35000,34700,,53500,44400,,50300,11000,78900,,,,,,,38600,23000,56700,,22000,144500,95300,49500,,39100,111300
1996-07,63100,92600,90600,70800,53800,65500,,87900,44000,66400,82700,142200,66800,55100,86700,58100,75900,62000,34600,64900,35700,,51000,88200,,55400,53100,42900,66400,56900,,132900,,61900,58500,75900,71000,44000,42600,21100,49200,49200,60000,56700,42300,97600,56800,79400,156800,21300,44600,,58900,90700,61200,59700,52500,41300,42900,41800,101400,67000,46500,47700,41200,51300,49600,55500,59100,48000,67600,42300,32100,63400,51400,64000,,91200,38300,47200,50000,,35600,63300,63200,26600,54000,143700,76300,63800,63500,63000,133100,,38800,,34600,54400,,62800,56000,41200,38500,153000,27300,154500,,29100,65100,36700,48300,53300,64700,42900,24900,47600,25700,,,71300,65600,36500,91100,26500,84100,39400,25500,33100,43900,59400,56000,75700,42300,85500,25000,44500,18800,,118700,28800,160100,,,46600,72300,48300,100700,38800,90500,50000,50800,53400,,26100,63800,73500,62200,47600,63900,,50300,20400,106100,33600,102100,40300,49000,77100,179700,68300,69500,32900,60300,41300,,34900,26500,,82500,,,87700,50100,37000,78300,110000,,86800,57500,141500,27600,45500,,50400,54600,,,29800,74900,,36800,,50900,58800,107800,,31800,77000,82400,38000,163200,47600,93700,88400,22000,60400,39400,67100,33200,55000,,49600,39400,39300,76700,48900,32200,,23600,51600,25200,59000,93900,124300,57000,,,34300,31800,65400,49700,39600,60600,47400,36900,30400,30300,101300,33600,,71800,60000,,37200,31700,37500,,17600,,33800,134200,,16900,28400,,68500,34700,,50500,77200,29100,30600,36400,47700,,145200,37900,23200,39600,65600,57400,59900,,126300,60200,,,124100,115900,99100,57600,12000,36100,17100,,,28400,34300,27800,,78600,41600,93200,73200,60100,39200,48600,29400,,45200,46200,95800,,6100,59600,52300,20300,35100,24200,32200,,21800,60100,31600,39700,,40300,113700,23000,,,39400,41400,50000,34100,33600,25300,17600,62100,21300,,49300,76400,,20400,13700,40200,,16000,44200,16100,,45400,,43800,64100,,,64100,53700,91100,37800,53900,,48400,37600,24300,30900,,25700,,52200,17900,31500,,77900,29400,45300,,,45000,118500,46600,77600,34900,35200,,53700,44500,,49900,11100,78600,,,,,,,39000,23400,57200,,22100,144800,95600,49900,,39400,111700
1996-08,63000,92300,90200,71200,53600,65400,,87600,44100,66600,83100,141800,67100,54900,86800,58200,75300,61500,35000,65300,35600,,51700,87600,,55600,53300,43000,66400,57300,,132900,,61500,58700,75900,71000,43700,42800,21300,49600,48400,59700,56500,42800,97600,56500,80100,159600,21300,44500,,59200,90800,61000,60800,52100,40900,42800,42100,100800,67500,46500,47400,41500,51500,49700,55300,59300,47700,67900,42500,32100,63000,51000,64300,,91300,38100,47200,50200,,35600,63100,63500,26900,53900,143200,76700,63700,63100,63500,132900,,38900,,35100,54100,,62700,56000,41300,38400,153800,27400,154600,,29100,64900,36700,48200,53700,64800,42800,25100,48100,25900,,,71900,65000,36600,91600,26600,84300,39100,25700,33200,44000,59400,56100,76200,41900,85700,25000,44600,18900,,118800,28800,159500,,,45800,73000,48600,100500,38600,90500,49900,51100,53600,,26200,63900,72000,62300,47300,64400,,50600,20700,106100,34100,102600,40600,49400,76500,181700,68600,68000,33300,60000,41400,,35400,26600,,81800,,,87200,50500,36900,77300,110000,,87800,57600,142300,27800,45600,,50500,54900,,,30000,74800,,36700,,51400,59000,108000,,31700,77300,82200,37900,163400,47500,92800,87500,22100,60200,39600,66900,33300,54700,,49900,39700,39400,77000,49300,31900,,23700,51700,24800,59600,94700,124400,56900,,,34200,31400,65400,49200,39500,60500,47900,37200,30200,30300,100800,33700,,72200,59800,,37100,31700,37600,,17500,,33700,134400,,17100,28500,,68900,34800,,50900,77000,29200,30800,36400,47300,,145600,38000,23300,39400,65200,57600,59400,,126500,60000,,,124800,116300,99300,57900,12000,36200,17100,,,28700,34400,27900,,79500,41900,93500,72600,60200,39500,48400,29400,,45200,46400,96000,,6100,59200,51800,20400,35200,24400,32400,,21900,59500,32700,39800,,40500,114900,23300,,,39900,41100,50100,34000,33900,25700,17900,62000,21300,,48900,76700,,20600,13800,40600,,16200,43900,16400,,45800,,43900,63500,,,64400,54000,91900,37800,54100,,48100,37900,24200,30400,,25900,,52300,17900,31700,,78400,29600,45600,,,45300,118300,46800,76900,34800,35700,,53900,44600,,49400,11100,78400,,,,,,,39400,23700,57600,,22200,145100,95900,50400,,39600,112200
1996-09,62900,92000,89900,71500,53400,65400,,87400,44200,66900,83500,141500,67400,54600,86900,58300,74700,61100,35400,65700,35500,,52400,86900,,55700,53500,43100,66500,57700,,133000,,61300,58800,75800,71100,43400,43000,21400,49900,47700,59500,56400,43400,97500,56200,80700,161600,21300,44500,,59400,90800,60900,62000,51700,40500,42600,42500,100200,68100,46400,47000,41700,51600,49800,55100,59500,47500,68300,42700,32000,62700,50600,64700,,91500,37800,47200,50400,,35600,62900,63900,27200,53900,142700,77100,63700,62800,63900,132800,,39000,,35500,53800,,62700,56100,41500,38300,154700,27500,154600,,29100,64700,36700,48100,54100,64900,42700,25300,48600,26100,,,72600,64300,36700,92200,26600,84400,38900,25900,33200,44000,59400,56100,76600,41500,85900,25000,44800,19100,,118900,28700,159100,,,45000,73700,48900,100400,38400,90600,49800,51400,53700,,26400,64000,70500,62400,47000,64800,,50900,21000,106000,34700,103000,40800,49700,75800,183900,68700,66600,33600,59700,41600,,35900,26700,,81100,,,86800,50800,36800,76300,110000,,88900,57700,143200,27900,45700,,50600,55200,,,30200,74800,,36700,,51900,59200,108100,,31700,77700,82000,37900,163600,47400,91900,86700,22100,60000,39800,66800,33400,54400,,50100,39900,39500,77200,49700,31600,,23800,51900,24500,60100,95500,124400,56800,,,34100,31200,65500,48700,39500,60500,48400,37500,30100,30300,100300,33700,,72600,59600,,37100,31700,37800,,17500,,33600,134700,,17300,28500,,69200,34800,,51200,76900,29300,30900,36400,47000,,145900,38000,23400,39300,64800,57800,58900,,126700,59900,,,125600,116600,99500,58100,12100,36300,17200,,,28900,34600,28000,,80400,42200,93600,72100,60300,39700,48200,29600,,45300,46600,96100,,6100,58900,51300,20500,35300,24700,32700,,22000,58800,33800,39900,,40700,116100,23600,,,40300,40800,50100,33900,34200,26000,18100,62000,21400,,48300,77000,,20800,13900,41000,,16300,43600,16600,,46100,,44100,62900,,,64600,54200,92800,37800,54300,,47800,38100,24100,29900,,26200,,52500,18000,31800,,79000,29700,45900,,,45600,118100,46900,76200,34700,36300,,54100,44800,,49000,11200,78200,,,,,,,39700,24000,58100,,22400,145400,96200,50800,,39900,112800
1996-10,62900,91800,89700,71900,53100,65500,,87200,44200,67400,83900,141400,67800,54400,87200,58500,74400,60700,35800,66200,35500,,53100,86200,,55800,53800,43200,66700,58000,,133100,,61100,58900,75800,71100,43200,43200,21600,50100,47000,59200,56300,44100,97400,56000,81400,162700,21300,44400,,59700,90800,60700,63100,51500,40100,42600,42900,99700,68600,46400,46700,42000,51700,49900,54900,60000,47300,68600,42900,32000,62400,50200,65000,,91600,37500,47200,50600,,35700,62700,64200,27500,53900,142400,77400,63600,62400,64300,132800,,39200,,35900,53700,,62800,56100,41800,38200,155600,27600,154700,,29100,64600,36800,48200,54400,65200,42600,25500,49300,26300,,,73200,63800,36800,92900,26700,84700,38700,26200,33300,44100,59400,56100,77000,41200,86300,25000,45100,19200,,119100,28600,158800,,,44100,74400,49200,100300,38200,90600,49700,51800,53700,,26500,64000,69100,62500,46700,65300,,51200,21300,106000,35200,103600,41100,50000,75200,186300,68900,65200,33900,59500,41900,,36400,26800,,80300,,,86500,51200,36700,75300,110000,,90100,58000,144100,28100,45800,,50800,55600,,,30500,74700,,36700,,52300,59500,108300,,31800,78200,81800,37900,163800,47200,91000,85800,22300,59900,40000,66600,33500,54200,,50300,40200,39600,77500,50100,31400,,23900,52100,24300,60700,96400,124400,56700,,,34100,30900,65600,48300,39400,60600,48800,37800,30100,30400,100100,33800,,73000,59500,,37100,31800,37900,,17400,,33500,134800,,17500,28500,,69500,34900,,51600,76800,29600,31100,36400,46500,,146300,38100,23500,39300,64400,58000,58400,,126700,59800,,,126300,116900,99800,58300,12200,36300,17200,,,29200,34700,28000,,81300,42500,93800,71600,60300,40000,48000,29700,,45400,46800,96300,,6200,58600,50900,20700,35400,24900,32900,,22100,58200,34900,40000,,40900,117200,24000,,,40800,40500,50200,33800,34600,26400,18400,62000,21400,,47800,77400,,21000,13900,41300,,16500,43300,16900,,46400,,44300,62400,,,65000,54500,93600,37900,54600,,47400,38300,24000,29400,,26500,,52600,18100,32000,,79500,29800,46200,,,45800,118000,47000,75400,34600,36800,,54300,44900,,48600,11200,78200,,,,,,,40100,24400,58600,,22500,145700,96500,51200,,40200,113500
